,Concept_ID,sq,hi
0,Auge::N,sy,आँख
1,Auge::N,sy,चक्षु
2,Ohr::N,vesh,कान
3,Ohr::N,vesh,कर्ण
4,Nase::N,hundë,नाक
5,Nase::N,hundë,नासा
6,Mund::N,gojë,मुख
7,Mund::N,gojë,मुँह
8,Zahn::N,dhëmb,दंत
9,Zahn::N,dhëmb,दाँत
10,Zunge::N,gjuhë,जीभ
11,Zunge::N,gjuhë,ज़बान
12,Zunge::N,gjuhë,जिह्वा
13,Lippe::N,buzë,ओंठ
14,Lippe::N,buzë,होंठ
15,Wange::N,faqe,गाल
16,Wange::N,faqe,कपोल
17,Wange::N,mollëz,गाल
18,Wange::N,mollëz,कपोल
19,Gesicht::N,fytyrë,मुँह
20,Gesicht::N,fytyrë,चेहरा
21,Stirn::N,ballë,माथा
22,Stirn::N,ballë,मस्तक
23,Haar::N,flokë,बाल
24,Schnurrbart::N,mustaqe,मूँछें
25,Bart::N,mjekër,दाढ़ी
26,Kinn::N,mjekër,चिबुक
27,Kiefer[Anatomie]::N,nofull,जबड़ा
28,Kehle::N,fyt,गला
29,Kehle::N,grykë,गला
30,Hals::N,qafë,गला
31,Hals::N,qafë,गरदन
32,Genick::N,arrëz,गरदन
33,Genick::N,arrëz,ग्रीवा
34,Kopf::N,kokë,सिर
35,Kopf::N,kokë,शीर्ष
36,Rücken::N,kurriz,पीठ
37,Bauch::N,bark,उदर
38,Nabel::N,kërthizë,नाभि
39,Nabel::N,kërthizë,ढोंढी
40,Busen::N,gji,कुच
41,Busen::N,gji,स्तन
42,Brust::N,gjoks,वक्ष
43,Brust::N,kraharor,वक्ष
44,Schulter::N,sup,कंधा
45,Schulter::N,sup,स्कंध
46,Schulter::N,krah,कंधा
47,Schulter::N,krah,स्कंध
48,Arm::N,krah,बाँह
49,Arm::N,krah,बाज़ू
50,Ellenbogen::N,bërryl,कुहनी
51,Hand::N,dorë,हाथ
52,Hand::N,dorë,हस्त
53,Handfläche::N,pëllëmbë,हथेली
54,Finger::N,gisht,उँगली
55,Finger::N,gisht,अँगुली
56,Fingernagel::N,thua,नख
57,Fingernagel::N,thua,नाख़ून
58,Nagel[Anatomie]::N,thua,नख
59,Nagel[Anatomie]::N,thua,नाख़ून
60,Zeh::N,gisht i këmbës,उँगली
61,Zeh::N,gisht i këmbës,पाँव की उँगली
62,Fuß::N,këmbë,चरण
63,Fuß::N,këmbë,पाँव
64,Ferse::N,thembër,एड़ी
65,Knie::N,gju,जानु
66,Knie::N,gju,घुटना
67,Oberschenkel::N,kofshë,उरु
68,Bein::N,këmbë,टाँग
69,Körper::N,trup,तन
70,Körper::N,trup,देह
71,Körper::N,trup,शरीर
72,Haut::N,lëkurë,चर्म
73,Haut::N,lëkurë,त्वचा
74,Blut::N,gjak,लहू
75,Blut::N,gjak,ख़ून
76,Ader::N,venë,रग
77,Ader::N,venë,शिरा
78,Sehne::N,dell,कंडरा
79,Sehne::N,dell,स्नायु
80,Knochen::N,asht,अस्थि
81,Knochen::N,kockë,अस्थि
82,Gehirn::N,tru,दिमाग़
83,Gehirn::N,tru,मस्तिष्क
84,Herz::N,zemër,दिल
85,Herz::N,zemër,हृदय
86,Magen::N,stomak,मेदा
87,Magen::N,stomak,अमाशय
88,Leber::N,mëlçi,जिगर
89,Leber::N,mëlçi,यकृत्
90,Atem::N,frymë,दम
91,Atem::N,frymë,साँस
92,Atem::N,frymë,श्वास
93,Hunger::N,uri,भूख
94,Hunger::N,uri,क्षुधा
95,Träne::N,lot,आँसू
96,Träne::N,lot,अश्रु
97,Geschmack::N,shije,स्वाद
98,Geschmack::N,shije,ज़ायक़ा
99,Geruch::N,erë,बू
100,Geruch::N,erë,गंध
101,Schlaf::N,gjumë,नींद
102,Schlaf::N,gjumë,निद्रा
103,Traum::N,ëndërr,सपना
104,Traum::N,ëndërr,स्वप्न
105,Himmel::N,qiell,आकाश
106,Himmel::N,qiell,आसमान
107,Sonne::N,diell,रवि
108,Sonne::N,diell,सूरज
109,Sonne::N,diell,सूर्य
110,Mond::N,hënë,चाँद
111,Mond::N,hënë,चंद्र
112,Stern::N,yll,तारा
113,Stern::N,yll,सितारा
114,Luft::N,ajër,हवा
115,Luft::N,ajër,वायु
116,Wind::N,erë,पाद
117,Welle::N,valë,लहर
118,Welle::N,valë,तरंग
119,Welle::N,dallgë,लहर
120,Welle::N,dallgë,तरंग
121,Wasser::N,ujë,जल
122,Wasser::N,ujë,पानी
123,Stein::N,gur,पत्थर
124,Boden::N,tokë,मिट्टी
125,Boden::N,truall,मिट्टी
126,Erde::N,dhe,भूमि
127,Erde::N,dhe,ज़मीन
128,Erde::N,baltë,भूमि
129,Erde::N,baltë,ज़मीन
130,Staub::N,pluhur,धूल
131,Rauch::N,tym,धूआँ
132,Rauch::N,tym,धुम्र
133,Funke::N,xixë,चिनगारी
134,Funke::N,xixë,स्फुलिंग
135,Funke::N,shkëndijë,चिनगारी
136,Funke::N,shkëndijë,स्फुलिंग
137,Feuer::N,zjarr,आग
138,Feuer::N,zjarr,आतिश
139,Feuer::N,zjarr,अग्नि
140,Licht::N,dritë,रोशनी
141,Licht::N,dritë,प्रकाश
142,Schatten::N,hije,छाया
143,Schatten::N,hije,परछाई
144,Wetter::N,mot,ऋतु
145,Wetter::N,mot,मौसम
146,Nebel::N,mjegull,धुँध
147,Nebel::N,mjegull,कुहरा
148,Wolke::N,re,मेघ
149,Wolke::N,re,अभ्र
150,Regen::N,shi,मेंह
151,Regen::N,shi,बारिश
152,Schnee::N,borë,हिम
153,Schnee::N,borë,बर्फ़
154,Eis::N,akull,हिम
155,Eis::N,akull,बर्फ़
156,Frost::N,ngricë,ठंड
157,Kälte::N,të ftohtë,सर्दी
158,Kälte::N,të ftohtë,शीतलता
159,Hitze::N,vapë,ताप
160,Hitze::N,vapë,गरमी
161,Hitze::N,nxehtësi,ताप
162,Hitze::N,nxehtësi,गरमी
163,Raureif::N,cikmë,पाला
164,Regenbogen::N,ylber,इंद्र-धनुष
165,Donner::N,gjëmim,गरज
166,Donner::N,gjëmim,मेघ-गर्जन
167,Donner::N,bubullimë,गरज
168,Donner::N,bubullimë,मेघ-गर्जन
169,Strömung::N,rrymë,बहाव
170,Strömung::N,rrymë,प्रवाह
171,Tropfen::N,pikë,बूँद
172,Schaum::N,shkumë,झाग
173,Schmutz::N,baltë,गंद
174,Schmutz::N,baltë,कीचड़
175,See::N,liqen,झील
176,See::N,liqen,सरोवर
177,Sumpf::N,batak,दलदल
178,Sumpf::N,batak,धँसान
179,Moor::N,kënetë,झाबर
180,Moor::N,kënetë,धँसान
181,Wiese::N,livadh,घास-स्थल
182,Wald::N,pyll,जंगल
183,Hügel::N,kodër,टीला
184,Hügel::N,kodër,पहाड़
