,Concept_ID,it,ka
0,Auge::N,occhio,თვალი
1,Ohr::N,orecchio,ყური
2,Nase::N,naso,ცხვირი
3,Mund::N,bocca,პირი
4,Zahn::N,dente,კბილი
5,Zunge::N,lingua,ენა
6,Lippe::N,labbro,ბაგე
7,Wange::N,guancia,ლოყა
8,Gesicht::N,viso,სახე
9,Gesicht::N,faccia,სახე
10,Stirn::N,fronte,შუბლი
11,Haar::N,capello,თმა
12,Schnurrbart::N,baffi,ულვაში
13,Schnurrbart::N,mustacchi,ულვაში
14,Bart::N,barba,წვერი
15,Kinn::N,mento,ნიკაპი
16,Kiefer[Anatomie]::N,mascella,ყბა
17,Kehle::N,gola,ყელი
18,Hals::N,collo,ყელი
19,Hals::N,collo,კისერი
20,Genick::N,nuca,კეფა
21,Kopf::N,capo,თავი
22,Kopf::N,testa,თავი
23,Rücken::N,dorso,ზურგი
24,Rücken::N,schiena,ზურგი
25,Bauch::N,ventre,მუცელი
26,Nabel::N,ombelico,ჭიპი
27,Busen::N,seno,ძუძუ
28,Brust::N,petto,მკერდი
29,Schulter::N,spalla,მხარი
30,Schulter::N,spalla,მკლავი
31,Arm::N,braccio,ხელი
32,Ellenbogen::N,gomito,იდაყვი
33,Hand::N,mano,ხელი
34,Handfläche::N,palma,ნები
35,Handfläche::N,palma,ხელისგული
36,Finger::N,dito,თითი
37,Fingernagel::N,unghia,ფრჩხილი
38,Nagel[Anatomie]::N,unghia,ფრჩხილი
39,Zeh::N,dito del piede,ფეხის თითი
40,Fuß::N,piede,ტერფი
41,Fuß::N,piede,ფეხისგული
42,Ferse::N,tallone,ქუსლი
43,Ferse::N,calcagno,ქუსლი
44,Knie::N,ginocchio,მუხლი
45,Oberschenkel::N,fèmore,ბარძაყი
46,Bein::N,gamba,ფეხი
47,Körper::N,corpo,ტანი
48,Körper::N,corpo,სხეული
49,Haut::N,pelle,კანი
50,Blut::N,sangue,სისხლი
51,Ader::N,vena,ძარღვი
52,Sehne::N,tèndine,მყესი
53,Knochen::N,osso,ძვალი
54,Gehirn::N,cervello,ტვინი
55,Herz::N,cuore,გული
56,Magen::N,stòmaco,კუჭი
57,Leber::N,fegato,ღვიძლი
58,Atem::N,fiato,სუნთქვა
59,Atem::N,respiro,სუნთქვა
60,Hunger::N,fame,შიმშილი
61,Träne::N,làcrima,ცრემლი
62,Geschmack::N,gusto,გემო
63,Geschmack::N,sapore,გემო
64,Geruch::N,odore,სუნი
65,Schlaf::N,sonno,ძილი
66,Traum::N,sogno,სიზმარი
67,Himmel::N,cielo,ცა
68,Sonne::N,sole,მზე
69,Mond::N,luna,მთვარე
70,Stern::N,stella,ვარსკვლავი
71,Luft::N,aria,ჰაერი
72,Wind::N,vento,ქარი
73,Welle::N,onda,ტალღა
74,Wasser::N,acqua,წყალი
75,Stein::N,sasso,ქვა
76,Stein::N,pietra,ქვა
77,Boden::N,suolo,მიწა
78,Boden::N,terreno,მიწა
79,Erde::N,terra,ნიადაგი
80,Staub::N,polvere,მტვერი
81,Rauch::N,fumo,ბოლი
82,Rauch::N,fumo,კვამლი
83,Funke::N,scintilla,ნაკვესი
84,Feuer::N,fuoco,ცეცხლი
85,Licht::N,luce,შუქი
86,Licht::N,luce,სინათლე
87,Schatten::N,ombra,ლანდი
88,Schatten::N,ombra,ჩრდილი
89,Wetter::N,tempo,ამინდი
90,Nebel::N,nebbia,ნისლი
91,Wolke::N,nube,ღრუბელი
92,Wolke::N,nùvola,ღრუბელი
93,Regen::N,pioggia,წვიმა
94,Schnee::N,neve,თოვლი
95,Eis::N,ghiaccio,თოში
96,Eis::N,ghiaccio,ყინული
97,Frost::N,gelo,ყინვა
98,Kälte::N,freddo,სიცივე
99,Hitze::N,caldo,სიცხე
100,Hitze::N,calura,სიცხე
101,Raureif::N,brina,ჭირხლი
102,Raureif::N,brina,თრთვილი
103,Regenbogen::N,arcobaleno,ცისარტყელა
104,Donner::N,tuono,ქუხილი
105,Strömung::N,corrente,დინება
106,Tropfen::N,goccia,წვეთი
107,Schaum::N,spuma,ქაფი
