,Concept_ID,lt,lbe
0,Auge::N,akis,я
1,Ohr::N,ausis,вичӏи
2,Nase::N,nosis,май
3,Mund::N,burna,кьацӏ
4,Zahn::N,dantis,ккарччи
5,Zunge::N,liežuvis,маз
6,Lippe::N,lūpa,мурччи
7,Wange::N,žandas,чӏав
8,Wange::N,skruostas,чӏав
9,Gesicht::N,veidas,лажин
10,Stirn::N,kakta,ненттабакӏ
11,Haar::N,plaukai,чӏара
12,Schnurrbart::N,ūsai,ссирссилтту
13,Bart::N,barzda,чӏири
14,Kinn::N,smakras,лунттубакӏ
15,Kiefer[Anatomie]::N,žandikaulis,ххинчулул
16,Kehle::N,gerklė,кьакьари
17,Hals::N,kaklas,ссурссу
18,Genick::N,sprandas,махъабакӏ
19,Kopf::N,galva,бакӏ
20,Rücken::N,nugara,ттиликӏ
21,Bauch::N,pilvas,лякьа
22,Nabel::N,bamba,цӏумуккутӏ
23,Busen::N,krūtinė,ккукку
24,Brust::N,krūtis,хъазам
25,Schulter::N,petys,хъачӏ
26,Arm::N,ranka,ка
27,Ellenbogen::N,alkūnė,ссюрхъ
28,Hand::N,ranka,бартка
29,Hand::N,plaštaka,бартка
30,Handfläche::N,delnas,хъат
31,Handfläche::N,delnas,битӏянхъ
32,Handfläche::N,plaštaka,хъат
33,Handfläche::N,plaštaka,битӏянхъ
34,Finger::N,pirštas,кӏисса
35,Fingernagel::N,nagas,михь
36,Nagel[Anatomie]::N,nagas,михь
37,Zeh::N,pirštas,кӏисса
38,Fuß::N,pėda,чӏанччан
39,Ferse::N,kulnas,никъа
40,Knie::N,kelis,ник
41,Oberschenkel::N,kulšis,жира
42,Oberschenkel::N,šlaunis,жира
43,Bein::N,koja,ччан
44,Körper::N,kūnas,чурх
45,Haut::N,oda,бурчу
46,Blut::N,kraujas,оь
47,Ader::N,kraujagyslė,тунну
48,Sehne::N,sausgyslė,хьхьа
49,Knochen::N,kaulas,ттаркӏ
50,Gehirn::N,smegenys,ня
51,Herz::N,širdis,дакӏ
52,Herz::N,širdis,къюкӏ
53,Magen::N,skrandis,лякьа
54,Leber::N,kepenys,
55,Atem::N,kvapas,ссихӏ ласаву
56,Atem::N,kvapas,ссихӏ бигьаву
57,Hunger::N,badas,ккаши
58,Hunger::N,alkis,ккаши
59,Träne::N,ašara,макь
60,Geschmack::N,skonis,тӏин
61,Geschmack::N,skonis,тӏааьн
62,Geruch::N,kvapas,кьанкь
63,Schlaf::N,miegas,шану
64,Traum::N,sapnas,макӏру
65,Himmel::N,dangus,ссав
66,Sonne::N,saulė,баргъ
67,Mond::N,mėnulis,барз
68,Stern::N,žvaigždė,цӏуку
69,Luft::N,oras,гьава
70,Wind::N,vėjas,марч
71,Welle::N,banga,щатӏи
72,Welle::N,vilnis,щатӏи
73,Wasser::N,vanduo,щин
74,Stein::N,akmuo,чару
75,Boden::N,žemė,аьрщи
76,Boden::N,dugnas,аьрщи
77,Erde::N,žemė,аьрщи
78,Staub::N,dulkės,ххит
79,Rauch::N,dūmai,пуркӏу
80,Funke::N,kibirkštis,пиягь
81,Feuer::N,ugnis,цӏу
82,Licht::N,šviesa,чани
83,Schatten::N,paūksmė,ххют
84,Wetter::N,oras,гьава
85,Nebel::N,migla,шархь ттурлу
86,Nebel::N,rūkas,шархь ттурлу
87,Wolke::N,debesis,ттурлу
88,Regen::N,lietus,гъарал
89,Schnee::N,sniegas,марххала
90,Eis::N,ledas,микӏ
91,Frost::N,šalna,дяркъу
92,Frost::N,šalna,замгьар
93,Kälte::N,šaltis,дяркъу
94,Hitze::N,karštis,кӏиришиву
95,Raureif::N,šerkšnas,сил
96,Raureif::N,šerkšnas,бурса
97,Regenbogen::N,vaivorykštė,ссурул ккуртта
98,Donner::N,perkūnas,къув
99,Donner::N,griaustinis,къув
100,Strömung::N,tėkmė,экьинанаву
101,Tropfen::N,lašas,кӏунтӏ
102,Schaum::N,putos,хьама
103,Schmutz::N,purvas,кьяркьи
104,See::N,ežeras,бяр
105,Sumpf::N,klampynė,кунцӏа
106,Sumpf::N,liūnas,кунцӏа
107,Moor::N,pelkė,
108,Wiese::N,pieva,кьан
109,Wald::N,miškas,вацӏа
