,Concept_ID,lt,hu
0,Auge::N,akis,szem
1,Ohr::N,ausis,fül
2,Nase::N,nosis,orr
3,Mund::N,burna,száj
4,Zahn::N,dantis,fog
5,Zunge::N,liežuvis,nyelv
6,Lippe::N,lūpa,ajak
7,Wange::N,žandas,orca
8,Wange::N,skruostas,orca
9,Gesicht::N,veidas,arc
10,Stirn::N,kakta,homlok
11,Haar::N,plaukai,haj
12,Schnurrbart::N,ūsai,bajusz
13,Bart::N,barzda,szakáll
14,Kinn::N,smakras,áll
15,Kiefer[Anatomie]::N,žandikaulis,állkapocs
16,Kehle::N,gerklė,gége
17,Kehle::N,gerklė,torok
18,Hals::N,kaklas,nyak
19,Genick::N,sprandas,tarkó
20,Kopf::N,galva,fő
21,Kopf::N,galva,fej
22,Rücken::N,nugara,hát
23,Bauch::N,pilvas,has
24,Nabel::N,bamba,köldök
25,Busen::N,krūtinė,mell
26,Busen::N,krūtinė,kebel
27,Brust::N,krūtis,mell
28,Schulter::N,petys,váll
29,Arm::N,ranka,kar
30,Ellenbogen::N,alkūnė,könyök
31,Hand::N,ranka,kéz
32,Hand::N,plaštaka,kéz
33,Handfläche::N,delnas,tenyér
34,Handfläche::N,plaštaka,tenyér
35,Finger::N,pirštas,ujj
36,Fingernagel::N,nagas,köröm
37,Nagel[Anatomie]::N,nagas,köröm
38,Zeh::N,pirštas,lábujj
39,Fuß::N,pėda,láb
40,Ferse::N,kulnas,sarok
41,Knie::N,kelis,térd
42,Oberschenkel::N,kulšis,comb
43,Oberschenkel::N,šlaunis,comb
44,Bein::N,koja,láb
45,Bein::N,koja,lábszár
46,Körper::N,kūnas,test
47,Haut::N,oda,bőr
48,Blut::N,kraujas,vér
49,Ader::N,kraujagyslė,ér
50,Sehne::N,sausgyslė,ín
51,Knochen::N,kaulas,csont
52,Gehirn::N,smegenys,agy
53,Gehirn::N,smegenys,agyvelő
54,Herz::N,širdis,szív
55,Magen::N,skrandis,gyomor
56,Leber::N,kepenys,máj
57,Atem::N,kvapas,lehelet
58,Atem::N,kvapas,lélegzet
59,Hunger::N,badas,éhség
60,Hunger::N,alkis,éhség
61,Träne::N,ašara,könny
62,Geschmack::N,skonis,íz
63,Geruch::N,kvapas,szag
64,Schlaf::N,miegas,álom
65,Schlaf::N,miegas,alvás
66,Traum::N,sapnas,álom
67,Himmel::N,dangus,ég
68,Himmel::N,dangus,menny
69,Sonne::N,saulė,nap
70,Mond::N,mėnulis,hold
71,Stern::N,žvaigždė,csillag
72,Luft::N,oras,levegő
73,Wind::N,vėjas,szél
74,Welle::N,banga,hullám
75,Welle::N,vilnis,hullám
76,Wasser::N,vanduo,víz
77,Stein::N,akmuo,kő
78,Boden::N,žemė,föld
79,Boden::N,žemė,talaj
80,Boden::N,dugnas,föld
81,Boden::N,dugnas,talaj
82,Erde::N,žemė,föld
83,Staub::N,dulkės,por
84,Rauch::N,dūmai,füst
85,Funke::N,kibirkštis,szikra
86,Feuer::N,ugnis,tűz
87,Licht::N,šviesa,fény
88,Schatten::N,paūksmė,árnyék
89,Wetter::N,oras,idő
90,Wetter::N,oras,időjárás
91,Nebel::N,migla,köd
92,Nebel::N,rūkas,köd
93,Wolke::N,debesis,felhő
94,Regen::N,lietus,eső
95,Schnee::N,sniegas,hó
96,Eis::N,ledas,jég
97,Frost::N,šalna,fagy
98,Kälte::N,šaltis,hideg
99,Hitze::N,karštis,hő
100,Hitze::N,karštis,hőség
101,Raureif::N,šerkšnas,zúzmara
102,Regenbogen::N,vaivorykštė,szivárvány
103,Donner::N,perkūnas,dörgés
104,Donner::N,perkūnas,mennydörgés
105,Donner::N,griaustinis,dörgés
106,Donner::N,griaustinis,mennydörgés
107,Strömung::N,tėkmė,áramlat
108,Tropfen::N,lašas,csepp
109,Schaum::N,putos,hab
110,Schaum::N,putos,tajték
111,Schmutz::N,purvas,piszok
112,See::N,ežeras,tó
113,Sumpf::N,klampynė,mocsár
114,Sumpf::N,liūnas,mocsár
115,Moor::N,pelkė,láp
116,Wiese::N,pieva,rét
117,Wiese::N,pieva,mező
118,Wald::N,miškas,erdő
119,Hügel::N,kalva,domb
120,Anhöhe::N,kauburys,magaslat
121,Berg::N,kalnas,hegy
122,Gipfel::N,viršūnė,csúcs
123,Höhle::N,ola,barlang
124,Abhang::N,šlaitas,lejtő
125,Abhang::N,nuokalnė,lejtő
126,Quelle::N,versmė,forrás
127,Quelle::N,šaltinis,forrás
128,Bach::N,upelis,patak
129,Fluss::N,upė,folyó
130,Ufer::N,krantas,part
131,Küste::N,pajūris,tengerpart
132,Festland::N,sausuma,szárazföld
133,Meer::N,jūra,tenger
134,Bucht::N,įlanka,öböl
135,Bucht::N,užutekis,öböl
136,Insel::N,sala,sziget
137,Blume::N,gėlė,virág
138,Gras::N,žolė,fű
139,Wurzel::N,šaknis,gyökér
140,Baum::N,medis,fa
141,Stamm::N,kamienas,tő
142,Stamm::N,kamienas,törzs
143,Rinde::N,žievė,kéreg
144,Ast::N,šaka,ág
145,Zweig::N,šakelė,gally
146,Blatt::N,lapas,levél
147,Birke::N,beržas,nyír
148,Kiefer[Baum]::N,pušis,fenyő
149,Weide[Baum]::N,karklas,fűz
150,Tanne::N,eglė,fenyő
151,Tanne::N,kėnis,fenyő
152,Horn::N,ragas,szarv
153,Feder::N,plunksna,toll
154,Fell::N,kailis,szőr
155,Fell::N,kailis,bunda
156,Flügel::N,sparnas,szárny
157,Klaue::N,kanopa,köröm
158,Kralle::N,nagas,karom
159,Schwanz::N,uodega,farok
160,Ei::N,kiaušinis,tojás
161,Nest::N,gūžta,fészek
162,Nest::N,lizdas,fészek
163,Bau::N,ola,odú
164,Tier::N,gyvūnas,állat
165,Herde::N,banda,nyáj
166,Herde::N,banda,csorda
167,Herde::N,kaimenė,nyáj
168,Herde::N,kaimenė,csorda
169,Kuh::N,karvė,tehén
170,Bulle::N,bulius,bika
171,Pferd::N,arklys,ló
172,Schaf::N,avis,juh
173,Schaf::N,avis,birka
174,Schwein::N,kiaulė,sertés
175,Hund::N,šuo,eb
176,Hund::N,šuo,kutya
177,Katze::N,katė,macska
178,Bär::N,lokys,medve
179,Eichhörnchen::N,voveraitė,mókus
180,Elch::N,briedis,jávorszarvas
181,Fuchs::N,lapė,róka
182,Hase::N,kiškas,nyúl
183,Maus::N,pelė,egér
184,Wolf::N,vilkas,farkas
185,Vogel::N,paukštis,madár
186,Schwarm::N,spiečius,raj
187,Huhn::N,višta,tyúk
188,Hahn::N,gaidys,kakas
189,Gans::N,žąsis,lúd
190,Gans::N,žąsis,liba
191,Adler::N,erelis,sas
192,Ente::N,antis,kacsa
193,Eule::N,pelėda,bagoly
194,Kranich::N,gervė,daru
195,Krähe::N,varna,varjú
196,Kuckuck::N,gegužė,kakukk
197,Schwan::N,gulbė,hattyú
198,Fisch::N,žuvis,hal
199,Barsch::N,ešerys,sügér
200,Hecht::N,lydeka,csuka
201,Schlange[Tier]::N,gyvatė,kígyó
202,Wurm::N,kirmėlė,kukac
203,Spinne::N,voras,pók
204,Ameise::N,skruzdė,hangya
205,Laus::N,utėlė,tetű
206,Mücke::N,uodas,szúnyog
207,Fliege::N,musė,légy
208,Schmetterling::N,drugys,lepke
209,Schmetterling::N,drugys,pillangó
210,Schmetterling::N,peteliškė,lepke
211,Schmetterling::N,peteliškė,pillangó
212,Beere::N,uoga,bogyó
213,Apfel::N,obuolys,alma
214,Pilz::N,grybas,gomba
215,Zwiebel::N,svogūnas,hagyma
216,Saat::N,sėkla,vetőmag
217,Korn::N,grūdai,mag
218,Korn::N,grūdai,szem
219,Heu::N,šienas,széna
220,Schale::N,žievelė,héj
221,Grube::N,duobė,verem
222,Falle::N,pinklės,csapda
223,Falle::N,žabangai,csapda
224,Schlinge::N,kilpa,tőr
225,Spur::N,vėžė,nyom
226,Spur::N,pėdos,nyom
227,Spur::N,pėdsakas,nyom
228,Asche::N,pelenai,hamu
229,Dreck::N,purvas,sár
230,Dreck::N,purvas,piszok
231,Eisen::N,geležis,vas
232,Gold::N,auksas,arany
233,Silber::N,sidabras,ezüst
234,Kohle::N,anglis,szén
235,Glas::N,stiklas,üveg
236,Lehm::N,molis,agyag
237,Lehm::N,molis,vályog
238,Sand::N,smėlis,homok
239,Mensch::N,žmogus,ember
240,Mann::N,vyras,úr
241,Mann::N,vyras,férfi
242,Mann::N,vyriškis,úr
243,Mann::N,vyriškis,férfi
244,Frau::N,moteris,nő
245,Frau::N,moteris,asszony
246,Kind::N,vaikas,gyerek
247,Kind::N,vaikas,gyermek
248,Junge::N,vaikinas,fiú
249,Junge::N,berniukas,fiú
250,Mädchen::N,mergytė,lány
251,Mädchen::N,mergaitė,lány
252,Familie::N,šeima,család
253,Großvater::N,senelis,nagyapa
254,Großmutter::N,senelė,nagyanya
255,Eltern::N,tėvai,szülők
256,Vater::N,tėvas,apa
257,Vater::N,tėvas,atya
258,Mutter::N,motina,anya
259,Sohn::N,sūnus,fiú
260,Tochter::N,duktė,lány
261,Bruder::N,brolis,fivér
262,Bruder::N,brolis,testvér
263,Schwester::N,sesuo,nővér
264,Schwester::N,sesuo,lánytestvér
265,Onkel::N,dėdė,nagybácsi
266,Tante::N,teta,nagynéni
267,Ehemann::N,vyras,férj
268,Ehefrau::N,žmona,feleség
269,Freude::N,džiaugsmas,öröm
270,Gelächter::N,juokas,nevetés
271,Gelächter::N,juokas,hahotázás
272,Glück::N,laimė,boldogság
273,Kummer::N,vargas,bánat
274,Kummer::N,rūpestis,bánat
275,Wunsch::N,troškimas,óhaj
276,Wunsch::N,pageidavimas,óhaj
277,Lust::N,noras,kedv
278,Lust::N,geidulys,kedv
279,Geist::N,dvasia,elme
280,Geist::N,dvasia,szellem
281,Gedanke::N,mintis,gondolat
282,Gedächtnis::N,atmintis,emlékezet
283,Verstand::N,protas,ész
284,Verstand::N,protas,értelem
285,Sinn::N,prasmė,értelem
286,Grund::N,priežastis,ok
287,Grund::N,priežastis,alap
288,Wahrheit::N,tiesa,igaz
289,Wahrheit::N,tiesa,igazság
290,Wahrheit::N,teisybė,igaz
291,Wahrheit::N,teisybė,igazság
292,Gespräch::N,pokalbis,beszélgetés
293,Märchen::N,pasaka,mese
294,Erzählung::N,apsakymas,elbeszélés
295,Erzählung::N,pasakojimas,elbeszélés
296,Nachricht::N,žinia,hír
297,Nachricht::N,žinia,híradás
298,Neuigkeit::N,naujiena,újság
299,Name::N,vardas,név
300,Rätsel::N,mįslė,rejtvény
301,Rede::N,kalba,beszéd
302,Rede::N,kalba,szónoklat
303,Sprache::N,kalba,nyelv
304,Stimme::N,balsas,hang
305,Wort::N,žodis,szó
306,Zeichen::N,žymė,jel
307,Zeichen::N,ženklas,jel
308,Ruf::N,šauksmas,kiáltás
309,Lärm::N,triukšmas,zaj
310,Laut::N,garsas,hang
311,Ton::N,tonas,hang
312,Ton::N,garsas,hang
313,Lied::N,daina,dal
314,Lied::N,daina,ének
315,Lied::N,giesmė,dal
316,Lied::N,giesmė,ének
317,Ruhe::N,ramybė,csend
318,Ruhe::N,ramybė,nyugalom
319,Ruhe::N,ramumas,csend
320,Ruhe::N,ramumas,nyugalom
321,Leute::N,žmonės,emberek
322,Volk::N,tauta,nép
323,Arbeit::N,darbas,dolog
324,Arbeit::N,triūsas,dolog
325,Gast::N,svečias,vendég
326,Geschenk::N,dovana,ajándék
327,Spiel::N,žaismas,játék
328,Spiel::N,žaidimas,játék
329,Gesellschaft::N,draugija,társaság
330,Gesellschaft::N,kompanija,társaság
331,Hilfe::N,pagalba,segítség
332,Freund::N,draugas,barát
333,Freund::N,bičiulis,barát
334,Kamerad::N,draugas,társ
335,Angelegenheit::N,dalykas,ügy
336,Angelegenheit::N,reikalas,ügy
337,Anzahl::N,kiekis,szám
338,Anzahl::N,skaičius,szám
339,Art::N,rūšis,faj
340,Art::N,rūšis,fajta
341,Stück::N,gabalas,darab
342,Teil::N,dalis,rész
343,Hälfte::N,pusė,fél
344,Kreis::N,ratas,kör
345,Kreis::N,apskritis,kör
346,Kreis::N,apskritimas,kör
347,Kreuz::N,kryžius,kereszt
348,Linie::N,linija,vonal
349,Strich::N,brėžis,vonás
350,Strich::N,brūkšnys,vonás
351,Abstand::N,atstumas,köz
352,Entfernung::N,atstumas,távolság
353,Gegend::N,vietovė,táj
354,Gegend::N,vietovė,vidék
355,Platz::N,vieta,hely
356,Ort::N,vieta,hely
357,Ort::N,vietovė,hely
358,Seite::N,pusė,fél
359,Seite::N,pusė,oldal
360,Seite::N,šonas,fél
361,Seite::N,šonas,oldal
362,Mitte::N,vidurys,közép
363,Gegenstand::N,dalykas,tárgy
364,Sache::N,daiktas,dolog
365,Rand::N,kraštas,szél
366,Rand::N,kraštas,perem
367,Rand::N,kraštas,szegély
368,Rand::N,pakraštys,szél
369,Rand::N,pakraštys,perem
370,Rand::N,pakraštys,szegély
371,Kante::N,kraštas,él
372,Ecke::N,kertė,sarok
373,Ecke::N,kertė,szöglet
374,Ecke::N,kampas,sarok
375,Ecke::N,kampas,szöglet
376,Spitze::N,priekis,csúcs
377,Spitze::N,priešakys,csúcs
378,Ende::N,galas,vég
379,Loch::N,skylė,lyuk
380,Winkel::N,kampas,szög
381,Winkel::N,kampelis,szög
382,Muster::N,raštas,minta
383,Größe::N,dydis,nagyság
384,Größe::N,didumas,nagyság
385,Länge::N,ilgis,hossz
386,Länge::N,ilgis,hosszúság
387,Länge::N,ilgumas,hossz
388,Länge::N,ilgumas,hosszúság
389,Höhe::N,aukštis,magasság
390,Höhe::N,aukštuma,magasság
391,Gewicht::N,svoris,súly
392,Gewicht::N,svarstis,súly
393,Menge::N,kiekis,sokaság
394,Menge::N,kiekis,mennyiség
395,Menge::N,daugybė,sokaság
396,Menge::N,daugybė,mennyiség
397,Haufen::N,krūva,halom
398,Haufen::N,šūsnis,halom
399,Reihe::N,greta,sor
400,Boot::N,valtis,csónak
401,Boot::N,laivelis,csónak
402,Ruder::N,irklas,evező
403,Schlitten::N,rogės,szánkó
404,Schlitten::N,rogutės,szánkó
405,Ski::N,slidė,sí
406,Lagerfeuer::N,laužas,tábortűz
407,Last::N,našta,teher
408,Last::N,nešulys,teher
409,Gang::N,eisena,járás
410,Schritt::N,žingsnis,lépés
411,Norden::N,šiaurė,észak
412,Norden::N,žiemiai,észak
413,Süden::N,pietūs,dél
414,Westen::N,vakarai,nyugat
415,Osten::N,rytai,kelet
416,Holz::N,mediena,fa
417,Brett::N,lenta,deszka
418,Platte::N,plokštė,lap
419,Platte::N,plokštė,lemez
420,Stütze::N,atrama,támasz
421,Stütze::N,atrama,támaszték
422,Stütze::N,atspara,támasz
423,Stütze::N,atspara,támaszték
424,Stange::N,lazda,rúd
425,Stange::N,lazda,pózna
426,Stange::N,kartis,rúd
