,Concept_ID,kl,es
0,Auge::N,isi,ojo
1,Ohr::N,siut,oreja
2,Mund::N,paaq,boca
3,Mund::N,qaneq,boca
4,Zahn::N,kigut,diente
5,Zunge::N,oqaq,lengua
6,Lippe::N,qarloq,labio
7,Wange::N,ersaq,mejilla
8,Gesicht::N,kiinaq,cara
9,Stirn::N,qaaq,frente
10,Haar::N,meqqoq,cabello
11,Bart::N,umik,barba
12,Kinn::N,talloq,barbilla
13,Kiefer[Anatomie]::N,alleroq,mandíbula
14,Kehle::N,malaq,garganta
15,Hals::N,qungaseq,cuello
16,Genick::N,pukusuk,nuca
17,Genick::N,pukusuk,cerviz
18,Kopf::N,niaqoq,cabeza
19,Rücken::N,qimerlut,espalda
20,Bauch::N,naaq,vientre
21,Nabel::N,qalaseq,ombligo
22,Busen::N,iviangeq,pecho
23,Brust::N,iviangeq,pecho
24,Schulter::N,ersik,hombro
25,Schulter::N,assaqqoq,hombro
26,Arm::N,taleq,brazo
27,Ellenbogen::N,ikusik,codo
28,Hand::N,assak,mano
29,Handfläche::N,itumak,palma
30,Finger::N,inuak,dedo
31,Fingernagel::N,kikiak,uña
32,Nagel[Anatomie]::N,kukik,uña
33,Zeh::N,isigak,dedo del pie
34,Ferse::N,kimmik,talón
35,Knie::N,seeqqoq,rodilla
36,Oberschenkel::N,uppat,muslo
37,Oberschenkel::N,quttoraq,muslo
38,Bein::N,isigak,pierna
39,Körper::N,timi,cuerpo
40,Haut::N,mattak,piel
41,Blut::N,aak,sangre
42,Ader::N,taqaq,vena
43,Sehne::N,ujalu,tendón
44,Sehne::N,ujaloq,tendón
45,Knochen::N,saanikut,hueso
46,Gehirn::N,qarasaq,cerebro
47,Gehirn::N,qarasaq,encéfalo
48,Herz::N,uummat,corazón
49,Magen::N,aqajaroq,estómago
50,Leber::N,tinguk,hígado
51,Atem::N,anerneq,aliento
52,Hunger::N,kaanneq,hambre
53,Träne::N,qia,lágrima
54,Träne::N,qiak,lágrima
55,Geschmack::N,qilanaartuut,gusto
56,Geruch::N,tipi,olor
57,Geruch::N,tipik,olor
58,Traum::N,sinnattoq,sueño
59,Traum::N,sinnattoq,ensueño
60,Traum::N,sinnattugaq,sueño
61,Traum::N,sinnattugaq,ensueño
62,Himmel::N,qilak,cielo
63,Sonne::N,seqineq,sol
64,Mond::N,qaammat,luna
65,Stern::N,ulloriaq,estrella
66,Luft::N,silaannaq,aire
67,Wind::N,anori,viento
68,Wind::N,anorsarik,viento
69,Welle::N,aalappaa,ola
70,Welle::N,aalappaa,onda
71,Wasser::N,imeq,agua
72,Stein::N,ujarak,piedra
73,Boden::N,nateq,suelo
74,Erde::N,issoq,tierra
75,Staub::N,pujualanerit,polvo
76,Staub::N,pujoralanerit,polvo
77,Rauch::N,iseq,humo
78,Rauch::N,pujoq,humo
79,Funke::N,illoorneq,chispa
80,Feuer::N,inneq,fuego
81,Licht::N,qaamaneq,luz
82,Schatten::N,tarraq,sombra
83,Wetter::N,sila,tiempo
84,Nebel::N,pujoq,niebla
85,Wolke::N,nuia,nube
86,Regen::N,sialuk,lluvia
87,Schnee::N,aput,nieve
88,Eis::N,siku,hielo
89,Frost::N,issi,helada
90,Frost::N,issik,helada
91,Kälte::N,issi,frío
92,Hitze::N,kianneq,calor
93,Hitze::N,kiassuseq,calor
94,Raureif::N,kaneq,escarcha
95,Regenbogen::N,neriusaaq,arco iris
96,Donner::N,kalleq,trueno
97,Tropfen::N,kuseriarneq,gota
98,Schaum::N,qapuk,espuma
99,Schmutz::N,minguk,suciedad
100,See::N,taseq,lago
101,Sumpf::N,maqulluk,pantano
102,Wiese::N,masarsuk,prado
103,Wiese::N,masarsuk,pradera
104,Hügel::N,qattuneq,colina
105,Hügel::N,majuariaq,colina
106,Hügel::N,majorajaaq,colina
107,Hügel::N,qaqqannguaq,colina
108,Berg::N,qaqqaq,monte
109,Berg::N,qaqqaq,montaña
110,Höhle::N,qaarusuk,cueva
111,Höhle::N,qaarusuk,caverna
112,Abhang::N,ippik,cuesta
113,Abhang::N,ippik,declive
114,Abhang::N,sivinganeq,cuesta
115,Abhang::N,sivinganeq,declive
116,Abhang::N,sivingajaaq,cuesta
117,Abhang::N,sivingajaaq,declive
118,Abhang::N,kussangajaaq,cuesta
119,Abhang::N,kussangajaaq,declive
120,Bach::N,kuunnguaq,arroyo
121,Fluss::N,kuuk,río
122,Ufer::N,sissap sinaa,orilla
123,Küste::N,sineriak,costa
124,Meer::N,imaq,mar
125,Bucht::N,ikeq,cala
126,Bucht::N,ikeq,bahía
127,Bucht::N,kangerluk,cala
128,Bucht::N,kangerluk,bahía
129,Bucht::N,kangerliumaneq,cala
130,Bucht::N,kangerliumaneq,bahía
131,Insel::N,qeqertaq,isla
132,Blume::N,naasoq,flor
133,Gras::N,ivigaq,hierba
134,Wurzel::N,niulutaq,raíz
135,Baum::N,orpik,árbol
136,Stamm::N,kanaartaq,tronco
137,Rinde::N,ameraq,corteza
138,Ast::N,avalequt,rama
139,Zweig::N,avalequt,ramo
140,Blatt::N,pilutaq,hoja
141,Birke::N,patitsit,abedul
