,Concept_ID,sk,cv
0,Auge::N,oko,куҫ
1,Ohr::N,ucho,хӑлха
2,Nase::N,nos,сӑмса
3,Mund::N,ústa,ҫӑвар
4,Zahn::N,zub,шӑл
5,Zunge::N,jazyk,чӗлхе
6,Lippe::N,pera,тута
7,Wange::N,líce,пит ҫӑмарти
8,Gesicht::N,tvár,пит
9,Gesicht::N,tvár,пит-куҫ
10,Gesicht::N,obličaj,пит
11,Gesicht::N,obličaj,пит-куҫ
12,Stirn::N,čelo,ҫамка
13,Haar::N,vlas,ҫӳҫ
14,Schnurrbart::N,fúzy,усси
15,Bart::N,brada,сухал
16,Kinn::N,brada,янах
17,Kiefer[Anatomie]::N,čeľusť,янах
18,Kehle::N,hrdlo,пыр
19,Kehle::N,hrdlo,карланкӑ
20,Hals::N,krk,пыр
21,Genick::N,väzy,ӗнсе
22,Kopf::N,hlava,пуҫ
23,Rücken::N,chrbát,ҫурӑм
24,Bauch::N,brucho,
25,Nabel::N,pupok,кӑвапа
26,Busen::N,prsia,кӑкӑр
27,Brust::N,hruď,умӗ
28,Schulter::N,plece,хул пуҫҫи
29,Arm::N,rameno,алӑ
30,Ellenbogen::N,lakeť,чавса
31,Hand::N,ruka,алӑ сыппи
32,Handfläche::N,dlaň,ал лаппи
33,Finger::N,prst,пӳрне
34,Fingernagel::N,necht,чӗрне
35,Nagel[Anatomie]::N,necht,чӗрне
36,Zeh::N,prst na nohe,пӳрне
37,Fuß::N,noha,ура лаппи
38,Ferse::N,päta,кӗле
39,Knie::N,koleno,чӗркуҫҫи
40,Oberschenkel::N,stehno,пӗҫӗ
41,Bein::N,noha,ура
42,Körper::N,telo,ӳт
43,Körper::N,telo,ӳт-пӳ
44,Haut::N,koža,тир
45,Blut::N,krv,юн
46,Ader::N,žila,вена
47,Sehne::N,šľacha,шӑнӑр
48,Knochen::N,kosť,шӑмӑ
49,Gehirn::N,mozog,миме
50,Herz::N,srdce,чӗре
51,Magen::N,žalúdok,хырӑмлӑх
52,Leber::N,pečeň,пӗвер
53,Atem::N,dych,сывлав
54,Hunger::N,hlad,выҫлӑх
55,Träne::N,slza,куҫҫуль
56,Geschmack::N,chuť,техӗм
57,Geruch::N,pach,шӑршӑ
58,Schlaf::N,spánok,ыйхӑ
59,Traum::N,sen,тӗлӗк
60,Himmel::N,nebo,пӗлӗт
61,Sonne::N,slnko,хӗвел
62,Mond::N,mesiac,уйӑх
63,Stern::N,hviezda,ҫӑлтӑр
64,Luft::N,vzduch,сывлӑш
65,Wind::N,vietor,ҫил
66,Welle::N,vlna,хум
67,Wasser::N,voda,шыв
68,Wasser::N,voda,шыв-шур
69,Stein::N,kameň,чул
70,Boden::N,zem,тӑпра
71,Boden::N,pôda,тӑпра
72,Erde::N,zem,ҫӗр
73,Staub::N,prach,тусан
74,Rauch::N,dym,тӗтӗм
75,Funke::N,iskra,хӗм
76,Feuer::N,oheň,вут
77,Feuer::N,oheň,ҫулӑм
78,Licht::N,svetlo,ҫутӑ
79,Schatten::N,tieň,сулхӑн
80,Wetter::N,počasie,ҫанталӑк
81,Nebel::N,hmla,тӗтре
82,Wolke::N,oblak,пӗлӗт
83,Wolke::N,mračno,пӗлӗт
84,Regen::N,dážď,ҫумӑр
85,Schnee::N,sneh,юр
86,Eis::N,ľad,пӑр
87,Frost::N,mráz,сивӗ
88,Kälte::N,zima,сивӗ
89,Kälte::N,chlad,сивӗ
90,Hitze::N,horúčava,вӗри
91,Hitze::N,horúčava,шӑрӑх
92,Raureif::N,srieň,пас
93,Raureif::N,inovať,пас
94,Regenbogen::N,dúha,асамат кӗперӗ
95,Donner::N,hrom,аслати
96,Strömung::N,prúdenie,юхӑ
97,Tropfen::N,kvapka,тумлам
98,Schaum::N,pena,кӑпӑк
99,Schmutz::N,špina,пылчӑк
100,Schmutz::N,nečistota,пылчӑк
101,See::N,jazero,кӳлӗ
102,Sumpf::N,bahno,шур
103,Sumpf::N,bahno,шурлӑх
104,Moor::N,močiar,торфлӑ шурлӑх
105,Wiese::N,lúka,улӑх
106,Wiese::N,lúka,ҫаран
107,Wald::N,les,вӑрман
108,Wald::N,hora,вӑрман
109,Hügel::N,vŕšok,сӑрт
110,Hügel::N,vŕšok,тӗмеске
111,Anhöhe::N,výšina,сӑрт
112,Anhöhe::N,vyvýšenina,сӑрт
113,Berg::N,hora,ту
114,Gipfel::N,vrchol,тӳпе
115,Höhle::N,jaskyňa,ҫӗр хӑвӑлӗ
116,Abhang::N,úbočie,тӑвайкки
117,Quelle::N,prameň,ҫӑл куҫ
118,Bach::N,potok,пӗчӗк шыв
119,Fluss::N,rieka,юхан шыв
120,Ufer::N,breh,ҫыран
121,Küste::N,pobrežie,тинӗс ҫыранӗ
122,Festland::N,pevnina,тип ҫӗр
123,Meer::N,more,тинӗс
124,Bucht::N,záliv,тинӗс кукӑрӗ
125,Bucht::N,zátoka,тинӗс кукӑрӗ
126,Insel::N,ostrov,утрав
127,Blume::N,kvet,чечек
128,Blume::N,kvetina,чечек
129,Gras::N,tráva,курӑк
130,Wurzel::N,koreň,тымар
131,Baum::N,strom,йывӑҫ
132,Stamm::N,kmeň,вулӑ
133,Rinde::N,kôra,хуйӑр
134,Ast::N,konár,турат
135,Zweig::N,vetva,турат
136,Blatt::N,list,ҫулҫӑ
137,Birke::N,breza,хурӑн
138,Kiefer[Baum]::N,sosna,хыр
139,Kiefer[Baum]::N,borovica,хыр
140,Weide[Baum]::N,vŕba,хӑва
141,Tanne::N,jedľa,чӑрӑш
142,Horn::N,roh,мӑйрака
143,Feder::N,pero,тӗк
144,Fell::N,koža,ҫӑм
145,Fell::N,kožušina,ҫӑм
146,Flügel::N,krídlo,ҫунат
147,Klaue::N,paznecht,чӗрне
148,Kralle::N,pazúr,ура
149,Schwanz::N,chvost,хӳре
150,Ei::N,vajce,ҫӑмарта
151,Ei::N,vajíčko,ҫӑмарта
152,Nest::N,hniezdo,йӑва
153,Bau::N,nora,йӗнӗ
154,Tier::N,zviera,выльӑх
155,Herde::N,stádo,кӗтӳ
156,Kuh::N,krava,ӗне
157,Bulle::N,býk,вӑкӑр
158,Pferd::N,kôň,лаша
159,Schaf::N,ovca,сурӑх
160,Schwein::N,sviňa,сысна
161,Hund::N,pes,йытӑ
162,Katze::N,mačka,кушак
163,Bär::N,medveď,упа
164,Eichhörnchen::N,veverička,пакша
165,Elch::N,los,пӑши
166,Fuchs::N,líška,тилӗ
167,Hase::N,zajac,куян
168,Hase::N,zajac,мулкач
169,Maus::N,myš,шӑши
170,Wolf::N,vlk,кашкӑр
171,Vogel::N,vták,кайӑк
172,Vogel::N,vták,вӗҫен кайӑк
173,Schwarm::N,roj,ушкӑн
174,Huhn::N,kurča,чӑх
175,Huhn::N,kurča,чӑхӑ
176,Huhn::N,sliepka,чӑх
177,Huhn::N,sliepka,чӑхӑ
178,Hahn::N,kohút,автан
179,Gans::N,hus,хур
180,Adler::N,orol,ӑмӑрт кайӑк
181,Ente::N,kačka,кӑвакал
182,Ente::N,kačica,кӑвакал
183,Eule::N,sova,тӑмана
184,Kranich::N,žeriav,тӑрна
185,Krähe::N,vrana,ула курак
186,Kuckuck::N,kukučka,куккук
187,Schwan::N,labuť,акӑш
188,Fisch::N,ryba,пулӑ
189,Barsch::N,ostriež,уланкӑ
190,Hecht::N,šťuka,ҫӑрттан
191,Schlange[Tier]::N,had,ҫӗлен
192,Wurm::N,červ,ӑман
193,Spinne::N,pavúk,эрешмен
194,Ameise::N,mravec,кӑткӑ
195,Laus::N,voš,пыйтӑ
196,Mücke::N,komár,вӑрӑм туна
197,Fliege::N,mucha,шӑна
198,Schmetterling::N,motýľ,лӗпӗш
199,Beere::N,bobuľa,ҫырла
200,Apfel::N,jablko,улма
201,Apfel::N,jablko,пан улми
202,Pilz::N,hríb,кӑмпа
203,Zwiebel::N,cibuľa,сухан
204,Saat::N,osivo,вӑрӑ
205,Korn::N,zrno,тӗшӗ
206,Korn::N,zrno,пӗрчӗ
207,Heu::N,seno,утӑ
208,Schale::N,šupa,хупӑ
209,Schale::N,škrupina,хупӑ
210,Grube::N,jama,шӑтӑк
211,Falle::N,pasca,тапӑ
212,Falle::N,pasca,капкӑн
213,Falle::N,klepec,тапӑ
214,Falle::N,klepec,капкӑн
215,Schlinge::N,slučka,йӑлӑ
216,Spur::N,stopa,йӗр
217,Asche::N,popol,кӗл
218,Dreck::N,kal,пылчӑк
219,Dreck::N,blato,пылчӑк
220,Eisen::N,železo,тимӗр
221,Gold::N,zlato,ылтӑн
222,Silber::N,striebro,кӗмӗл
223,Kohle::N,uhlie,кӑмрӑк
224,Glas::N,sklo,кӗленче
225,Lehm::N,íl,тӑм
226,Lehm::N,hlina,тӑм
227,Sand::N,piesok,хӑйӑр
228,Mensch::N,človek,ҫын
229,Mensch::N,človek,этем
230,Mann::N,muž,ар
231,Mann::N,chlap,ар
232,Frau::N,žena,хӗрарӑм
233,Kind::N,dieťa,ача
234,Junge::N,chlapec,ача
235,Junge::N,chlapec,ар ҫын ача
236,Mädchen::N,dievka,хӗр ача
237,Familie::N,rodina,ҫемье
238,Familie::N,rodina,кил-йыш
239,Großvater::N,dedo,кукаҫи
240,Großvater::N,starý otec,кукаҫи
241,Großmutter::N,babička,кукамай
242,Großmutter::N,stará mať,кукамай
243,Eltern::N,rodičia,аҫа-ама
244,Vater::N,otec,атте
245,Mutter::N,mať,анне
246,Mutter::N,matka,анне
247,Sohn::N,syn,ывӑл
248,Tochter::N,dcéra,хӗр
249,Bruder::N,brat,ар тӑван
250,Schwester::N,sestra,аппа
251,Schwester::N,sestra,йӑмӑк
252,Onkel::N,ujo,мучи
253,Onkel::N,ujo,пичче
254,Onkel::N,strýko,мучи
255,Onkel::N,strýko,пичче
256,Tante::N,teta,аппа
257,Tante::N,tetka,аппа
258,Ehemann::N,muž,упӑшка
259,Ehemann::N,manžel,упӑшка
260,Ehefrau::N,žena,арӑм
261,Ehefrau::N,manželka,арӑм
262,Freude::N,radosť,савӑнӑҫ
263,Freude::N,radosť,хаваслӑх
264,Gelächter::N,smiech,кулӑ
265,Glück::N,šťastie,телей
266,Glück::N,šťastie,ӑраскал
267,Kummer::N,žiaľ,хурлӑх
268,Kummer::N,zármutok,хурлӑх
269,Wunsch::N,prianie,ӗмӗт
270,Wunsch::N,prianie,кӑмӑл
271,Lust::N,chuť,кӑмӑл
272,Geist::N,duch,чун-чӗм
273,Geist::N,duch,ыр-усал
274,Geist::N,duch,чун хавалӗ
275,Gedanke::N,myšlienka,шухӑш
276,Gedächtnis::N,pamäť,ас
277,Verstand::N,rozum,ӑс
278,Verstand::N,rozum,ӑс-тӑн
