,Concept_ID,ta,es
0,Auge::N,கண்,ojo
1,Ohr::N,காது,oreja
2,Nase::N,மூக்கு,nariz
3,Mund::N,வாய்,boca
4,Zahn::N,பல்,diente
5,Zunge::N,நாக்கு,lengua
6,Lippe::N,உதடு,labio
7,Wange::N,கன்னம்,mejilla
8,Gesicht::N,முகம்,cara
9,Stirn::N,முன்னெற்றி,frente
10,Haar::N,முடி,cabello
11,Schnurrbart::N,மீசை,bigote
12,Bart::N,தாடி,barba
13,Kinn::N,கீழதாடை,barbilla
14,Kiefer[Anatomie]::N,தாடை,mandíbula
15,Kehle::N,தொண்டை,garganta
16,Hals::N,கழுத்து,cuello
17,Genick::N,கழுத்து,nuca
18,Genick::N,கழுத்து,cerviz
19,Kopf::N,தலை,cabeza
20,Rücken::N,முதுகு,espalda
21,Bauch::N,வயிறு,vientre
22,Nabel::N,தொப்புள்,ombligo
23,Busen::N,மார்பகம்,pecho
24,Brust::N, மார்பு,pecho
25,Schulter::N,தோள்பட்டை,hombro
26,Arm::N,கரம்,brazo
27,Ellenbogen::N,முழங்கை,codo
28,Hand::N,கை,mano
29,Handfläche::N,உள்ளங்கை,palma
30,Finger::N,விரல்,dedo
31,Fingernagel::N,விரல் நகம்,uña
32,Nagel[Anatomie]::N,நகம்,uña
33,Zeh::N,கால்விரல்,dedo del pie
34,Fuß::N,கால்,pie
35,Ferse::N,குதிகால்,talón
36,Knie::N,முழங்கால்,rodilla
37,Oberschenkel::N,தொடை,muslo
38,Bein::N,கால்,pierna
39,Körper::N,உடல்,cuerpo
40,Haut::N,சருமம்,piel
41,Blut::N,இரத்தம்,sangre
42,Ader::N,நாளம்,vena
43,Sehne::N,தசைநார்,tendón
44,Knochen::N,எலுமபு,hueso
45,Gehirn::N,மூனை,cerebro
46,Gehirn::N,மூனை,encéfalo
47,Herz::N,இதயம,corazón
48,Magen::N,வயிறு,estómago
49,Leber::N,கல்லீரல்,hígado
50,Atem::N,மூச்சு,aliento
51,Hunger::N,பசி,hambre
52,Träne::N,கண்ணீர்,lágrima
53,Geschmack::N,நறுமணம்,gusto
54,Geruch::N,துர்நாற்றம்,olor
55,Schlaf::N,தூக்கம்,sueño
56,Traum::N,கனவு,sueño
57,Traum::N,கனவு,ensueño
58,Himmel::N,வானம்,cielo
59,Sonne::N,சூரியன்,sol
60,Mond::N,சந்திரன்,luna
61,Stern::N,நட்சத்திரம்,estrella
62,Luft::N,காறறு,aire
63,Wind::N,காற்று,viento
64,Welle::N,அலை,ola
65,Welle::N,அலை,onda
66,Wasser::N,நீர்,agua
67,Stein::N,கல்,piedra
68,Boden::N,தரை,suelo
69,Erde::N,மண்,tierra
70,Staub::N,தூசி,polvo
71,Rauch::N,புகை,humo
72,Funke::N,தீப்பொறி,chispa
73,Feuer::N,தீ,fuego
74,Licht::N,வெளிச்சம்,luz
75,Schatten::N,நிழல்,sombra
76,Wetter::N,வானிலை,tiempo
77,Nebel::N,பனிமூட்டம்,niebla
78,Wolke::N,மேகம்,nube
79,Regen::N,மழை,lluvia
80,Schnee::N,உறைபனி,nieve
81,Eis::N,பனிக்கட்டி,hielo
82,Frost::N,உறைபனி,helada
83,Kälte::N,குளிர்ந்த,frío
84,Hitze::N,சூடு,calor
85,Raureif::N,உறைபனி வெண்திரை,escarcha
86,Regenbogen::N,வானவில்,arco iris
87,Donner::N,இடி,trueno
88,Strömung::N,நீரோட்டம்,corriente
89,Tropfen::N,துளி,gota
90,Schaum::N,நுரை,espuma
91,Schmutz::N,அழுக்கு,suciedad
92,See::N,ஏரி,lago
93,Sumpf::N,சதுப்பு நிலம்,pantano
94,Moor::N,முட்புதற்காடு,turbera
95,Wiese::N,பசும் புல்தரை,prado
96,Wiese::N,பசும் புல்தரை,pradera
97,Wald::N,காடு,bosque
98,Hügel::N,குன்று,colina
99,Anhöhe::N,பதுக்கை,cerro
100,Berg::N,மலை,monte
101,Berg::N,மலை,montaña
102,Gipfel::N,உச்சி மாநாடு,cima
103,Gipfel::N,உச்சி மாநாடு,cumbre
104,Höhle::N,குகை,cueva
105,Höhle::N,குகை,caverna
106,Abhang::N,சரிவு,cuesta
107,Abhang::N,சரிவு,declive
108,Quelle::N,மூலம்,fuente
109,Quelle::N,மூலம்,manantial
110,Bach::N,ஓடை,arroyo
111,Fluss::N,ஆறு,río
112,Ufer::N,நீர்க்கரை,orilla
113,Küste::N,கடற்கரை,costa
114,Festland::N,நிலம்,tierra firme
115,Meer::N,கடல்,mar
116,Bucht::N,சிறுகுடா,cala
117,Bucht::N,சிறுகுடா,bahía
118,Insel::N,தீவு,isla
119,Blume::N,பூ,flor
120,Gras::N,புல்தரை,hierba
121,Wurzel::N,வேர்,raíz
122,Baum::N,மரம்,árbol
123,Stamm::N,அடிமரம்,tronco
