,Concept_ID,hr,hu
0,Auge::N,oko,szem
1,Ohr::N,uho,fül
2,Nase::N,nos,orr
3,Mund::N,usta,száj
4,Zahn::N,zub,fog
5,Zunge::N,jezik,nyelv
6,Lippe::N,usna,ajak
7,Wange::N,obraz,orca
8,Gesicht::N,lice,arc
9,Stirn::N,čelo,homlok
10,Haar::N,kosa,haj
11,Schnurrbart::N,brkovi,bajusz
12,Bart::N,brada,szakáll
13,Kinn::N,brada,áll
14,Kinn::N,podbradak,áll
15,Kiefer[Anatomie]::N,čeljust,állkapocs
16,Kehle::N,grlo,gége
17,Kehle::N,grlo,torok
18,Hals::N,vrat,nyak
19,Genick::N,zatiljak,tarkó
20,Kopf::N,glava,fő
21,Kopf::N,glava,fej
22,Rücken::N,leđa,hát
23,Rücken::N,hrbat,hát
24,Bauch::N,trbuh,has
25,Nabel::N,pupak,köldök
26,Busen::N,sisa,mell
27,Busen::N,sisa,kebel
28,Busen::N,njedra,mell
29,Busen::N,njedra,kebel
30,Brust::N,prsa,mell
31,Schulter::N,rame,váll
32,Schulter::N,pleći,váll
33,Arm::N,ruka,kar
34,Ellenbogen::N,lakat,könyök
35,Hand::N,ruka,kéz
36,Handfläche::N,dlan,tenyér
37,Finger::N,prst,ujj
38,Fingernagel::N,nokat,köröm
39,Nagel[Anatomie]::N,nokat,köröm
40,Zeh::N,nozni prst,lábujj
41,Fuß::N,noga,láb
42,Fuß::N,stopalo,láb
43,Ferse::N,peta,sarok
44,Knie::N,koljeno,térd
45,Oberschenkel::N,bedro,comb
46,Bein::N,noga,láb
47,Bein::N,noga,lábszár
48,Körper::N,tijelo,test
49,Haut::N,put,bőr
50,Haut::N,koža,bőr
51,Blut::N,krv,vér
52,Ader::N,žila,ér
53,Sehne::N,tetiva,ín
54,Knochen::N,kost,csont
55,Herz::N,srce,szív
56,Magen::N,stomak,gyomor
57,Magen::N,želudac,gyomor
58,Leber::N,jetra,máj
59,Atem::N,dah,lehelet
60,Atem::N,dah,lélegzet
61,Hunger::N,glad,éhség
62,Träne::N,suza,könny
63,Geschmack::N,ukus,íz
64,Geruch::N,njuh,szag
65,Geruch::N,miris,szag
66,Schlaf::N,san,álom
67,Schlaf::N,san,alvás
68,Traum::N,san,álom
69,Himmel::N,nebo,ég
70,Himmel::N,nebo,menny
71,Sonne::N,sunce,nap
72,Mond::N,mjesec,hold
73,Stern::N,zvijezda,csillag
74,Luft::N,zrak,levegő
