,Concept_ID,ar,ro
0,Auge::N,عين,ochi
1,Ohr::N,أذن,ureche
2,Nase::N,أنف,nas
3,Mund::N,فم,gură
4,Zahn::N,سن,dinte
5,Zunge::N,لسان,limbă
6,Lippe::N,شفة,buză
7,Wange::N,خد,bucă
8,Wange::N,خد,obraz
9,Wange::N,وجنة,bucă
10,Wange::N,وجنة,obraz
11,Gesicht::N,وجه,față
12,Gesicht::N,وجه,figură
13,Stirn::N,جبين,frunte
14,Haar::N,شعر,păr
15,Schnurrbart::N,شارب,mustață
16,Bart::N,لحية,barbă
17,Kinn::N,ذقن,bărbie
18,Kiefer[Anatomie]::N,فك,falcă
19,Kehle::N,حلق,beregată
20,Hals::N,عنق,gât
21,Hals::N,رقبة,gât
22,Genick::N,قفا,ceafă
23,Kopf::N,رأس,cap
24,Rücken::N,ظهر,dos
25,Rücken::N,ظهر,spate
26,Rücken::N,ظهر,spinare
27,Bauch::N,بطن,burtă
28,Bauch::N,بطن,pântece
29,Nabel::N,سرة,buric
30,Busen::N,ثدي,sân
31,Brust::N,صدر,piept
32,Schulter::N,كتف,umăr
33,Schulter::N,كتف,spate
34,Arm::N,ذراع,braț
35,Ellenbogen::N,كوع,cot
36,Hand::N,يد,mână
37,Handfläche::N,كف,palmă
38,Finger::N,إصبع,deget
39,Fingernagel::N,ظفر,unghie
40,Nagel[Anatomie]::N,ظفر,unghie
41,Zeh::N,إصبع القدم,deget de la picior
42,Fuß::N,قدم,picior
43,Ferse::N,كعب,călcâi
44,Knie::N,ركبة,genunchi
45,Oberschenkel::N,فخذ,coapsă
46,Bein::N,ساق,picior
47,Körper::N,جسم,corp
48,Haut::N,بشرة,piele
49,Blut::N,دم,sânge
50,Ader::N,عرق,vână
51,Ader::N,عرق,arteră
52,Sehne::N,طنب,tendon
53,Knochen::N,عظم,os
54,Gehirn::N,دماغ,creier
55,Herz::N,قلب,inimă
56,Magen::N,معدة,stomac
57,Leber::N,كبد,ficat
58,Atem::N,نفس,răsuflare
59,Atem::N,نفس,respirație
60,Hunger::N,جوع,foame
61,Träne::N,دمعة,lacrimă
62,Geschmack::N,طعم,gust
63,Geschmack::N,مذاق,gust
64,Geruch::N,رائحة,miros
65,Schlaf::N,نوم,somn
66,Schlaf::N,منام,somn
67,Traum::N,حلم,vis
68,Himmel::N,سماء,cer
69,Sonne::N,شمس,soare
70,Mond::N,قمر,lună
71,Stern::N,نجم,stea
72,Stern::N,كوكب,stea
73,Luft::N,هواء,aer
74,Wind::N,ريح,vânt
75,Welle::N,موجة,val
76,Welle::N,موجة,undă
77,Wasser::N,ماء,apă
78,Stein::N,حجر,piatră
79,Boden::N,تراب,sol
80,Boden::N,تراب,pământ
81,Erde::N,أرض,pământ
82,Staub::N,غبار,praf
83,Rauch::N,دخان,fum
84,Funke::N,شرارة,scânteie
85,Feuer::N,نار,foc
86,Licht::N,نور,lumină
87,Licht::N,ضوء,lumină
88,Schatten::N,ظل,umbră
89,Schatten::N,فيء,umbră
90,Wetter::N,جو,timp
91,Wetter::N,جو,vreme
92,Wetter::N,طقس,timp
93,Wetter::N,طقس,vreme
94,Nebel::N,ضباب,ceață
95,Nebel::N,ضباب,negură
96,Wolke::N,غيمة,nor
97,Wolke::N,سحابة,nor
98,Regen::N,مطر,ploaie
99,Schnee::N,ثلج,zăpadă
100,Eis::N,جليد,gheață
