,Concept_ID,el,mn
0,Auge::N,μάτι,нүд
1,Auge::N,οφθαλμός,нүд
2,Ohr::N,αυτί,чих
3,Nase::N,μύτη,хамар
4,Mund::N,στόμα,ам
5,Zahn::N,δόντι,шүд
6,Zunge::N,γλώσσα,хэл
7,Lippe::N,χείλος,уруул
8,Wange::N,παρειά,хацар
9,Wange::N,μάγουλο,хацар
10,Gesicht::N,πρόσωπο,царай
11,Gesicht::N,πρόσωπο,нүүр
12,Stirn::N,μέτωπο,дух
13,Haar::N,μαλλιά,үс
14,Schnurrbart::N,μουστάκι,дээд сахал
15,Schnurrbart::N,μουστάκι,живэр сахал
16,Bart::N,γένια,сахал
17,Kinn::N,πιγούνι,эрүү
18,Kiefer[Anatomie]::N,σαγόνι,эрүү
19,Kehle::N,λαρύγγι,хоолой
20,Hals::N,λαιμός,хүзүү
21,Genick::N,σβέρκος,шил
22,Genick::N,σβέρκος,хүзүү
23,Kopf::N,κεφάλι,толгой
24,Rücken::N,ράχη,ар
25,Rücken::N,ράχη,нуруу
26,Bauch::N,κοιλιά,хэвлий
27,Bauch::N,κοιλιά,гэдэс
28,Nabel::N,αφαλός,хүйс
29,Busen::N,στήθος,хөх
30,Brust::N,στήθος,цээж
31,Schulter::N,ώμος,мөр
32,Schulter::N,ώμος,бугалга
33,Arm::N,χέρι,гар
34,Arm::N,μπράτςο,гар
35,Ellenbogen::N,αγκώνας,тохой
36,Hand::N,χέρι,гар
37,Hand::N,χέρι,алга
38,Handfläche::N,παλάμη,алга
39,Finger::N,δάχτυλο,хуруу
40,Fingernagel::N,νύχι,хурууны хумс
41,Nagel[Anatomie]::N,νύχι,хумс
42,Zeh::N,δάχτυλο του ποδιού,хуруу
43,Fuß::N,πόδι,хөл
44,Ferse::N,φτέρνα,өсгий
45,Knie::N,γόνατο,өвдөг
46,Oberschenkel::N,μηρός,гуя
47,Bein::N,πόδι,хөл
48,Körper::N,σώμα,бие
49,Körper::N,κορμί,бие
50,Haut::N,πετσί,арьс
51,Blut::N,αίμα,цус
52,Ader::N,φλέβα,судас
53,Sehne::N,νεύρο,бүлх
54,Sehne::N,νεύρο,шандас
55,Sehne::N,τένοντας,бүлх
56,Sehne::N,τένοντας,шандас
57,Knochen::N,οστό,яс
58,Knochen::N,κόκκαλο,яс
59,Gehirn::N,μυαλό,тархи
60,Gehirn::N,εγκέφαλος,тархи
61,Herz::N,καρδιά,зүрх
62,Magen::N,στομάχι,ходоод
63,Leber::N,ήπαρ,элэг
64,Leber::N,συκωτί,элэг
65,Atem::N,αναπνοή,амьсгаа
66,Hunger::N,πείνα,өлсгөлөн
67,Träne::N,δάκρυ,нулимс
68,Geschmack::N,γεύση,амт
69,Geruch::N,οσμή,үнэр
70,Geruch::N,μυρωδία,үнэр
71,Schlaf::N,ύπνος,нойр
72,Traum::N,όνειρο,зүүд
73,Himmel::N,ουρανός,тэнгэр
74,Himmel::N,ουρανός,огторгуй
75,Sonne::N,ήλιος,нар
76,Mond::N,σελήνη,сар
77,Mond::N,φεγγάρι,сар
78,Stern::N,άστρο,од
79,Stern::N,αστέρι,од
80,Luft::N,αέρας,агаар
81,Wind::N,αέρας,салхи
82,Wind::N,άνεμος,салхи
83,Welle::N,κύμα,долгио
84,Welle::N,κύμα,давалгаа
85,Wasser::N,νερό,ус
86,Stein::N,πέτρα,чулуу
87,Boden::N,χώμα,хөрс
88,Erde::N,γη,газар
89,Erde::N,γη,шороо
90,Staub::N,σκόνη,тоос
91,Rauch::N,καπνός,утаа
92,Funke::N,σπίθα,оч
93,Funke::N,σπινθήρας,оч
94,Feuer::N,φωτιά,гал
95,Licht::N,φως,гэрэл
96,Licht::N,φως,гэгээ
97,Schatten::N,σκιά,сүүдэр
98,Schatten::N,ίσκιος,сүүдэр
99,Wetter::N,καιρός,тэнгэр
100,Wetter::N,καιρός,цаг уур
101,Nebel::N,ομίχλη,будан
