,Concept_ID,it,tr
0,Auge::N,occhio,göz
1,Ohr::N,orecchio,kulak
2,Nase::N,naso,burun
3,Mund::N,bocca,ağız
4,Zahn::N,dente,diş
5,Zunge::N,lingua,dil
6,Lippe::N,labbro,dudak
7,Wange::N,guancia,yanak
8,Gesicht::N,viso,yüz
9,Gesicht::N,faccia,yüz
10,Stirn::N,fronte,alın
11,Haar::N,capello,saç
12,Schnurrbart::N,baffi,bıyık
13,Schnurrbart::N,mustacchi,bıyık
14,Bart::N,barba,sakal
15,Kinn::N,mento,çene
16,Kiefer[Anatomie]::N,mascella,çene
17,Kehle::N,gola,boğaz
18,Hals::N,collo,boyun
19,Hals::N,collo,gerdan
20,Genick::N,nuca,ense
21,Kopf::N,capo,baş
22,Kopf::N,capo,kafa
23,Kopf::N,testa,baş
24,Kopf::N,testa,kafa
25,Rücken::N,dorso,arka
26,Rücken::N,schiena,arka
27,Bauch::N,ventre,karın
28,Nabel::N,ombelico,göbek
29,Busen::N,seno,koyun
30,Brust::N,petto,göğüs
31,Schulter::N,spalla,omuz
32,Arm::N,braccio,kol
33,Ellenbogen::N,gomito,dirsek
34,Hand::N,mano,el
35,Handfläche::N,palma,avuç
36,Handfläche::N,palma,el ayası
37,Finger::N,dito,parmak
38,Fingernagel::N,unghia,el tırnağı
39,Nagel[Anatomie]::N,unghia,tırnak
40,Zeh::N,dito del piede,ayak parmağı
41,Fuß::N,piede,ayak
42,Ferse::N,tallone,topuk
43,Ferse::N,calcagno,topuk
44,Knie::N,ginocchio,diz
45,Oberschenkel::N,fèmore,uyluk
46,Bein::N,gamba,bacak
47,Körper::N,corpo,vücut
48,Haut::N,pelle,cilt
49,Blut::N,sangue,kan
50,Ader::N,vena,damar
51,Sehne::N,tèndine,kiriş
52,Knochen::N,osso,kemik
53,Gehirn::N,cervello,beyin
54,Herz::N,cuore,kalp
55,Herz::N,cuore,yürek
56,Magen::N,stòmaco,mide
57,Leber::N,fegato,karaciğer
58,Atem::N,fiato,nefes
59,Atem::N,respiro,nefes
60,Hunger::N,fame,açlık
61,Träne::N,làcrima,gözyaşı
62,Geschmack::N,gusto,tat
63,Geschmack::N,gusto,lezzet
64,Geschmack::N,sapore,tat
65,Geschmack::N,sapore,lezzet
66,Geruch::N,odore,koku
67,Schlaf::N,sonno,uyku
68,Traum::N,sogno,düş
69,Traum::N,sogno,rüya
70,Himmel::N,cielo,gök
71,Sonne::N,sole,güneş
72,Mond::N,luna,ay
73,Stern::N,stella,yıldız
74,Luft::N,aria,hava
75,Wind::N,vento,yel
76,Wind::N,vento,rüzgâr
77,Welle::N,onda,dalga
78,Wasser::N,acqua,su
79,Stein::N,sasso,taş
80,Stein::N,pietra,taş
81,Boden::N,suolo,yer
82,Boden::N,suolo,zemin
83,Boden::N,terreno,yer
84,Boden::N,terreno,zemin
85,Erde::N,terra,toprak
86,Staub::N,polvere,toz
87,Rauch::N,fumo,duman
88,Funke::N,scintilla,kıvılcım
89,Feuer::N,fuoco,ateş
90,Licht::N,luce,ışık
91,Schatten::N,ombra,gölge
92,Wetter::N,tempo,hava
93,Nebel::N,nebbia,pus
94,Wolke::N,nube,bulut
95,Wolke::N,nùvola,bulut
96,Regen::N,pioggia,yağmur
97,Schnee::N,neve,kar
98,Eis::N,ghiaccio,buz
99,Frost::N,gelo,don
100,Kälte::N,freddo,soğukluk
101,Hitze::N,caldo,sıcaklık
102,Hitze::N,calura,sıcaklık
103,Raureif::N,brina,kırç
104,Regenbogen::N,arcobaleno,gökkuşağı
105,Donner::N,tuono,gök gürlemesi
106,Strömung::N,corrente,akıntı
107,Strömung::N,corrente,cereyan
108,Tropfen::N,goccia,damla
109,Schaum::N,spuma,köpük
110,Schaum::N,schiuma,köpük
111,Schmutz::N,sudiciume,çamur
112,Schmutz::N,sudiciume,pislik
113,See::N,lago,göl
114,Sumpf::N,palude,batak
115,Moor::N,torbiera,cılgıt
116,Wiese::N,prato,çimen
117,Wald::N,bosco,koru
118,Wald::N,bosco,orman
119,Wald::N,foresta,koru
120,Wald::N,foresta,orman
121,Hügel::N,colle,tepe
122,Hügel::N,collina,tepe
123,Anhöhe::N,altura,tümsek
124,Anhöhe::N,altura,yükseklik
125,Berg::N,monte,dağ
126,Berg::N,montagna,dağ
127,Gipfel::N,cima,zirve
128,Höhle::N,grotta,in
129,Höhle::N,grotta,mağara
130,Höhle::N,caverna,in
131,Höhle::N,caverna,mağara
132,Abhang::N,pendìo,bayır
133,Quelle::N,sorgente,pınar
134,Quelle::N,sorgente,kaynak
135,Bach::N,ruscello,çay
136,Bach::N,ruscello,dere
137,Fluss::N,fiume,nehir
138,Ufer::N,riva,kıyı
139,Ufer::N,riva,sahil
