,Concept_ID,nl,mdf
0,Auge::N,oog,сельме
1,Ohr::N,oor,пиле
2,Nase::N,neus,шалхка
3,Mund::N,mond,курга
4,Zahn::N,tand,пей
5,Zunge::N,tong,кяль
6,Lippe::N,lip,търва́
7,Wange::N,wang,щёка
8,Gesicht::N,gelaat,шама
9,Gesicht::N,gezicht,шама
10,Stirn::N,voorhoofd,коня
11,Haar::N,haar,шя́ярь
12,Schnurrbart::N,snor,уса́
13,Bart::N,baard,сакал
14,Kinn::N,kin,ула
15,Kiefer[Anatomie]::N,kaak,саласка
16,Kehle::N,keel,кълдома
17,Kehle::N,keel,кърга́парь
18,Kehle::N,strot,кълдома
19,Kehle::N,strot,кърга́парь
20,Hals::N,hals,сялдаз
21,Genick::N,nek,шовонь
22,Kopf::N,hoofd,пря
23,Rücken::N,rug,копорь
24,Bauch::N,buik,пеке
25,Nabel::N,navel,по́кон
26,Busen::N,boezem,потя
27,Brust::N,borst,мяште
28,Schulter::N,schouder,лафту
29,Arm::N,arm,кядь
30,Ellenbogen::N,elleboog,кенерьба́карь
31,Hand::N,hand,кядь
32,Handfläche::N,handpalm,кядьлапш
33,Finger::N,vinger,сур
34,Fingernagel::N,nagel,кенже
35,Nagel[Anatomie]::N,nagel,кенже
36,Zeh::N,teen,пильгосу́р
37,Fuß::N,voet,пильге
38,Fuß::N,voet,пильгелапа
39,Ferse::N,hak,кочкяря
40,Ferse::N,hiel,кочкяря
41,Knie::N,knie,эль
42,Knie::N,knie,пълма́нжа
43,Oberschenkel::N,dij,пильгепукша
44,Bein::N,been,пильге
45,Körper::N,lichaam,ро́нга
46,Körper::N,lichaam,по́нда
47,Haut::N,huid,киське
48,Blut::N,bloed,вер
49,Ader::N,ader,сан
50,Ader::N,ader,верза́н
51,Sehne::N,pees,коське сан
52,Knochen::N,bot,пакарь
53,Knochen::N,been,пакарь
54,Knochen::N,knook,пакарь
55,Gehirn::N,hersenen,уй
56,Herz::N,hart,седи
57,Magen::N,maag,коткърдазь
58,Leber::N,lever,макса
59,Atem::N,adem,лекома
60,Atem::N,adem,ваймонь тарксема
61,Hunger::N,honger,вачеши
62,Träne::N,traan,сельмове́дь
63,Geschmack::N,smaak,таньф
64,Geruch::N,geur,шине
65,Schlaf::N,slaap,удома́
66,Traum::N,droom,он
67,Himmel::N,hemel,менель
68,Sonne::N,zon,ши
69,Mond::N,maan,ков
70,Stern::N,ster,тяште
71,Luft::N,lucht,кожф
72,Wind::N,wind,варма
73,Welle::N,golf,тавла
74,Wasser::N,water,ведь
75,Stein::N,steen,кев
76,Boden::N,grond,мода
77,Boden::N,grond,потмакс
78,Erde::N,aarde,мода
79,Erde::N,aarde,мастор
80,Staub::N,stof,пуль
81,Rauch::N,rook,качам
82,Funke::N,vonk,ця́тка
83,Feuer::N,vuur,тол
84,Licht::N,licht,ва́лда
85,Schatten::N,schaduw,цильф
86,Wetter::N,weer,уша
87,Nebel::N,mist,тума́н
88,Nebel::N,nevel,тума́н
89,Wolke::N,wolk,ковол
90,Regen::N,regen,пизем
91,Schnee::N,sneeuw,лов
92,Eis::N,ijs,эй
93,Frost::N,vorst,ке́льме
94,Kälte::N,kou,якшама
95,Kälte::N,koude,якшама
96,Hitze::N,hitte,пси
97,Raureif::N,rijp,леш
98,Regenbogen::N,regenboog,а́тямъёнга
99,Donner::N,donder,атям
100,Strömung::N,stroming,шудема́
101,Tropfen::N,druppel,путькс
102,Tropfen::N,druppel,пътняфкс
103,Schaum::N,schuim,шов
104,Schmutz::N,vuil,ърда́з
105,See::N,meer,эрьхке
106,Sumpf::N,moeras,шяй
107,Moor::N,veen,шяй
108,Wiese::N,wei,луга
109,Wiese::N,weide,луга
110,Wald::N,bos,вирь
111,Hügel::N,heuvel,губо́р
112,Hügel::N,heuvel,пандоня
113,Anhöhe::N,hoogte,губо́р
114,Berg::N,berg,панда
115,Gipfel::N,top,пря
116,Höhle::N,hol,у́нда
117,Abhang::N,helling,па́нда ша́ма
118,Quelle::N,bron,эшиня
119,Bach::N,beek,шудерькс
120,Fluss::N,stroom,ляй
121,Ufer::N,wal,търва́
122,Ufer::N,oever,търва́
123,Küste::N,kust,ляйтърва́
124,Festland::N,vasteland,мода
125,Meer::N,zee,моря
126,Bucht::N,baai,ведьуське
127,Bucht::N,inham,ведьуське
128,Insel::N,eiland,цёнга
129,Blume::N,bloem,панчф
130,Gras::N,gras,тише
131,Wurzel::N,wortel,юр
132,Wurzel::N,wortel,ункс
133,Baum::N,boom,шуфта
134,Stamm::N,stam,ро́нга
135,Rinde::N,schors,кер
136,Ast::N,tak,морга
137,Zweig::N,twijg,тарад
138,Blatt::N,blad,лопа
139,Birke::N,berk,ке́лу
140,Kiefer[Baum]::N,den,пиче
141,Weide[Baum]::N,wilg,каль
142,Tanne::N,spar,куз
143,Horn::N,hoorn,сюра
144,Feder::N,veer,толга
145,Feder::N,pluim,толга
146,Fell::N,vel,кедь
147,Flügel::N,vleugel,паця
148,Klaue::N,klauw,кенже
149,Kralle::N,klauw,кенже
150,Schwanz::N,staart,пула
151,Ei::N,ei,ал
152,Nest::N,nest,пиза
153,Bau::N,hol,пиза
154,Tier::N,dier,жува́та
155,Herde::N,kudde,нал
156,Herde::N,kudde,стада
157,Kuh::N,koe,скал
158,Kuh::N,koe,тракс
159,Bulle::N,stier,бука
160,Pferd::N,paard,лишме
161,Schaf::N,schaap,уча́
162,Schwein::N,varken,тува
163,Hund::N,hond,пине
164,Katze::N,kat,катоня
165,Katze::N,kat,аваката
166,Bär::N,beer,офта
167,Eichhörnchen::N,eekhoorntje,ур
168,Elch::N,eland,ся́рда
169,Fuchs::N,vos,келазь
170,Hase::N,haas,ну́мол
171,Maus::N,muis,шеер
172,Wolf::N,wolf,върьгаз
173,Vogel::N,vogel,нармонь
174,Schwarm::N,zwerm,ко́вол
175,Schwarm::N,zwerm,ме́швеле
176,Huhn::N,kip,сараз
177,Huhn::N,hoen,сараз
178,Hahn::N,haan,а́тякш
179,Gans::N,gans,маци
180,Adler::N,arend,куцькан
181,Ente::N,eend,яксярга
182,Eule::N,uil,ко́рож
183,Kranich::N,kraanvogel,ка́рга
184,Krähe::N,kraai,ва́рси
185,Kuckuck::N,koekoek,ку́ку
186,Schwan::N,zwaan,ло́ксти
