,Concept_ID,mn,hy
0,Auge::N,нүд,աչք
1,Ohr::N,чих,ականջ
2,Nase::N,хамар,քիթ
3,Mund::N,ам,բերան
4,Zahn::N,шүд,ատամ
5,Zunge::N,хэл,լեզու
6,Lippe::N,уруул,շրթունք
7,Wange::N,хацар,այտ
8,Wange::N,хацар,թուշ
9,Gesicht::N,царай,դեմք
10,Gesicht::N,нүүр,դեմք
11,Stirn::N,дух,ճակատ
12,Haar::N,үс,մազ
13,Schnurrbart::N,дээд сахал,բեղ
14,Schnurrbart::N,живэр сахал,բեղ
15,Bart::N,сахал,մորուք
16,Kinn::N,эрүү,կզակ
17,Kiefer[Anatomie]::N,эрүү,ծնոտ
18,Kehle::N,хоолой,կոկորդ
19,Hals::N,хүзүү,վիզ
20,Hals::N,хүзүү,պարանոց
21,Genick::N,шил,ծոծրակ
22,Genick::N,хүзүү,ծոծրակ
23,Kopf::N,толгой,գլուխ
24,Rücken::N,ар,մեջք
25,Rücken::N,нуруу,մեջք
26,Bauch::N,хэвлий,փոր
27,Bauch::N,хэвлий,որովայն
28,Bauch::N,гэдэс,փոր
29,Bauch::N,гэдэс,որովայն
30,Nabel::N,хүйс,պորտ
31,Busen::N,хөх,ծոց
32,Brust::N,цээж,կուրծք
33,Schulter::N,мөр,ուս
34,Schulter::N,бугалга,ուս
35,Arm::N,гар,թեւ
36,Arm::N,гар,բազուկ
37,Ellenbogen::N,тохой,արմունկ
38,Hand::N,гар,ձեռք
39,Hand::N,алга,ձեռք
40,Handfläche::N,алга,ափ
41,Finger::N,хуруу,մատ
42,Fingernagel::N,хурууны хумс,եղունգ
43,Nagel[Anatomie]::N,хумс,եղունգ
44,Zeh::N,хуруу,ոտքի մատ
45,Fuß::N,хөл,ոտք
46,Ferse::N,өсгий,գարշապար
47,Knie::N,өвдөг,ծունկ
48,Oberschenkel::N,гуя,ազդր
49,Bein::N,хөл,ոտք
50,Körper::N,бие,մարմին
51,Haut::N,арьс,մաշկ
52,Blut::N,цус,արյուն
53,Ader::N,судас,երակ
54,Sehne::N,бүлх,ջիղ
55,Sehne::N,бүлх,ձգտան
56,Sehne::N,шандас,ջիղ
57,Sehne::N,шандас,ձգտան
58,Knochen::N,яс,ոսկոր
59,Gehirn::N,тархи,խելք
60,Herz::N,зүрх,սիրտ
61,Magen::N,ходоод,ստամոքս
62,Leber::N,элэг,լյարդ
63,Atem::N,амьсгаа,շունչ
64,Hunger::N,өлсгөлөн,քաղց
65,Träne::N,нулимс,արտասուք
66,Geschmack::N,амт,համ
67,Geschmack::N,амт,բուրմունք
68,Geruch::N,үнэр,հոտ
69,Geruch::N,үнэр,բուրում
70,Schlaf::N,нойр,քուն
71,Traum::N,зүүд,երազ
72,Himmel::N,тэнгэр,երկինք
73,Himmel::N,огторгуй,երկինք
74,Sonne::N,нар,արեւ
