,Concept_ID,kl,az
0,Auge::N,isi,göz
1,Ohr::N,siut,qulaq
2,Mund::N,paaq,ağız
3,Mund::N,qaneq,ağız
4,Zahn::N,kigut,diş
5,Zunge::N,oqaq,dil
6,Lippe::N,qarloq,dodaq
7,Wange::N,ersaq,yanaq
8,Gesicht::N,kiinaq,üz
9,Stirn::N,qaaq,alın
10,Haar::N,meqqoq,saç
11,Bart::N,umik,saqqal
12,Kinn::N,talloq,çənə
13,Kiefer[Anatomie]::N,alleroq,çənə
14,Kehle::N,malaq,boğaz
15,Hals::N,qungaseq,boyun
16,Genick::N,pukusuk,ənsə
17,Kopf::N,niaqoq,baş
18,Rücken::N,qimerlut,bel
19,Bauch::N,naaq,qarın
20,Nabel::N,qalaseq,göbək
21,Busen::N,iviangeq,məmə
22,Brust::N,iviangeq,döş
23,Schulter::N,ersik,çiyin
24,Schulter::N,assaqqoq,çiyin
25,Arm::N,taleq,qol
26,Ellenbogen::N,ikusik,dirsək
27,Hand::N,assak,əl
28,Handfläche::N,itumak,ovuc
29,Finger::N,inuak,barmaq
30,Fingernagel::N,kikiak,barmaq dırnağı
31,Nagel[Anatomie]::N,kukik,dırnak
32,Zeh::N,isigak,ayaq barmağı
33,Ferse::N,kimmik,daban
34,Knie::N,seeqqoq,diz
35,Oberschenkel::N,uppat,bud
36,Oberschenkel::N,quttoraq,bud
37,Bein::N,isigak,qıç
38,Körper::N,timi,əndam
39,Haut::N,mattak,dəri
40,Blut::N,aak,qan
41,Ader::N,taqaq,damar
42,Sehne::N,ujalu,vətər
43,Sehne::N,ujaloq,vətər
44,Knochen::N,saanikut,sümük
45,Gehirn::N,qarasaq,beyin
46,Herz::N,uummat,ürək
47,Magen::N,aqajaroq,mədə
48,Leber::N,tinguk,qara ciyər
49,Atem::N,anerneq,nəfəs
50,Hunger::N,kaanneq,aclıq
51,Träne::N,qia,göz yaşı
52,Träne::N,qiak,göz yaşı
53,Geschmack::N,qilanaartuut,tam
54,Geschmack::N,qilanaartuut,ləzzət
55,Geruch::N,tipi,qoxu
56,Geruch::N,tipik,qoxu
57,Traum::N,sinnattoq,röya
58,Traum::N,sinnattugaq,röya
59,Himmel::N,qilak,göy
60,Himmel::N,qilak,səma
61,Sonne::N,seqineq,günəş
62,Mond::N,qaammat,ay
63,Stern::N,ulloriaq,ulduz
64,Luft::N,silaannaq,hava
65,Wind::N,anori,yel
66,Wind::N,anori,külək
67,Wind::N,anorsarik,yel
68,Wind::N,anorsarik,külək
69,Welle::N,aalappaa,dalğa
70,Wasser::N,imeq,su
71,Stein::N,ujarak,daş
72,Boden::N,nateq,yer
73,Boden::N,nateq,zəmin
74,Erde::N,issoq,yer torpaq
75,Staub::N,pujualanerit,toz
76,Staub::N,pujoralanerit,toz
77,Rauch::N,iseq,tüstü
78,Rauch::N,pujoq,tüstü
79,Funke::N,illoorneq,qığılcım
80,Feuer::N,inneq,od
81,Licht::N,qaamaneq,işıq
82,Schatten::N,tarraq,kölgə
83,Wetter::N,sila,hava
84,Nebel::N,pujoq,duman
85,Wolke::N,nuia,bulud
86,Regen::N,sialuk,yağış
87,Regen::N,sialuk,yağmur
88,Schnee::N,aput,qar
89,Eis::N,siku,buz
90,Frost::N,issi,ayaz
91,Frost::N,issik,ayaz
92,Kälte::N,issi,soyuq
93,Hitze::N,kianneq,coşğunluq
94,Hitze::N,kiassuseq,coşğunluq
95,Raureif::N,kaneq,qırov
96,Regenbogen::N,neriusaaq,göy qurşağı
97,Donner::N,kalleq,göy gurultusu
98,Tropfen::N,kuseriarneq,damcı
99,Schaum::N,qapuk,köpük
100,Schmutz::N,minguk,çamır
101,See::N,taseq,göl
102,Sumpf::N,maqulluk,bataqlıq
103,Wiese::N,masarsuk,çəmən
104,Hügel::N,qattuneq,təpə
105,Hügel::N,majuariaq,təpə
106,Hügel::N,majorajaaq,təpə
107,Hügel::N,qaqqannguaq,təpə
108,Berg::N,qaqqaq,dağ
109,Höhle::N,qaarusuk,mağara
110,Abhang::N,ippik,yamac
