,Concept_ID,uk,hy
0,Auge::N,око,աչք
1,Ohr::N,вухо,ականջ
2,Nase::N,ніс,քիթ
3,Mund::N,рот,բերան
4,Zahn::N,зуб,ատամ
5,Zunge::N,язик,լեզու
6,Lippe::N,губа,շրթունք
7,Wange::N,щока,այտ
8,Wange::N,щока,թուշ
9,Gesicht::N,обличчя,դեմք
10,Stirn::N,лоб,ճակատ
11,Haar::N,волосся,մազ
12,Schnurrbart::N,вуса,բեղ
13,Bart::N,борода,մորուք
14,Kinn::N,підборіддя,կզակ
15,Kiefer[Anatomie]::N,щелепа,ծնոտ
16,Kehle::N,горло,կոկորդ
17,Hals::N,шия,վիզ
18,Hals::N,шия,պարանոց
19,Genick::N,потилиця,ծոծրակ
20,Kopf::N,голова,գլուխ
21,Rücken::N,спина,մեջք
22,Bauch::N,живіт,փոր
23,Bauch::N,живіт,որովայն
24,Nabel::N,пупок,պորտ
25,Busen::N,груди,ծոց
26,Brust::N,груди,կուրծք
27,Schulter::N,плече,ուս
28,Arm::N,рука,թեւ
29,Arm::N,рука,բազուկ
30,Ellenbogen::N,лікоть,արմունկ
31,Hand::N,рука,ձեռք
32,Handfläche::N,долоня,ափ
33,Finger::N,палець,մատ
34,Fingernagel::N,ніготь,եղունգ
35,Nagel[Anatomie]::N,ніготь,եղունգ
36,Zeh::N,палець на нозі,ոտքի մատ
37,Fuß::N,нога,ոտք
38,Ferse::N,п’ятка,գարշապար
39,Knie::N,коліно,ծունկ
40,Oberschenkel::N,стегно,ազդր
41,Bein::N,нога,ոտք
42,Körper::N,тіло,մարմին
43,Haut::N,шкіра,մաշկ
44,Blut::N,кров,արյուն
45,Ader::N,вена,երակ
46,Sehne::N,сухожилля,ջիղ
47,Sehne::N,сухожилля,ձգտան
48,Knochen::N,кістка,ոսկոր
49,Gehirn::N,мозок,խելք
50,Herz::N,серце,սիրտ
51,Magen::N,шлунок,ստամոքս
52,Leber::N,печінка,լյարդ
53,Atem::N,дихання,շունչ
54,Hunger::N,голод,քաղց
55,Träne::N,сльоза,արտասուք
56,Geschmack::N,смак,համ
57,Geschmack::N,смак,բուրմունք
58,Geruch::N,запах,հոտ
59,Geruch::N,запах,բուրում
60,Schlaf::N,сон,քուն
61,Schlaf::N,сплячка,քուն
62,Traum::N,сон,երազ
63,Himmel::N,небо,երկինք
64,Sonne::N,сонце,արեւ
65,Mond::N,місяць,լուսին
66,Stern::N,зірка,աստղ
67,Luft::N,повітря,օդ
68,Wind::N,вітер,քամի
69,Welle::N,хвиля,ալիք
70,Wasser::N,вода,ջուր
71,Stein::N,камінь,քար
72,Boden::N,ґрунт,գետին
73,Erde::N,земля,հող
74,Staub::N,пил,փոշի
75,Rauch::N,дим,ծուխ
76,Funke::N,іскра,կայծ
77,Feuer::N,вогонь,կրակ
78,Feuer::N,вогонь,հրդեհ
79,Licht::N,світло,լույս
80,Schatten::N,тінь,ստվեր
81,Wetter::N,погода,եղանակ
82,Nebel::N,туман,մեգ
83,Nebel::N,туман,մառախուղ
84,Wolke::N,хмара,ամպ
85,Regen::N,дощ,անձրև
86,Schnee::N,сніг,ձյուն
87,Eis::N,лід,սառույց
88,Frost::N,мороз,սառնամանիք
89,Kälte::N,холод,դող
90,Hitze::N,жар,շոգ
91,Raureif::N,іній,ցօղեղեամ
92,Regenbogen::N,райдуга,ծիածան
93,Donner::N,грім,որոտ
94,Strömung::N,струмина,հոսանք
95,Tropfen::N,крапля,կաթիլ
96,Schaum::N,піна,փրփուր
97,Schmutz::N,бруд,կեղտ
98,See::N,озеро,լիճ
99,Sumpf::N,драговина,ճահիճ
100,Moor::N,болото,ճահիճ
101,Wiese::N,луг,մարգագետին
102,Wiese::N,лука,մարգագետին
103,Wald::N,ліс,անտառ
104,Hügel::N,горб,բլուր
105,Anhöhe::N,височина,բարձունք
106,Berg::N,гора,լեռ
107,Gipfel::N,вершина,գագաթ
108,Gipfel::N,вершина,կատար
109,Höhle::N,печера,քարայր
110,Abhang::N,схил,լանջ
111,Abhang::N,схил,զառիվայր
112,Quelle::N,джерело,աղբյուր
113,Bach::N,струмок,վտակ
114,Fluss::N,річка,գետ
115,Ufer::N,берег,ծովափ
116,Küste::N,узбережжя,ափ
117,Küste::N,узбережжя,ծովափ
118,Festland::N,суша,ցամաք
119,Meer::N,море,ծով
120,Bucht::N,бухта,հաչիւն
121,Bucht::N,затока,հաչիւն
122,Insel::N,острів,վղզի
123,Blume::N,квітка,ծաղիկ
124,Gras::N,трава,խոտ
125,Wurzel::N,корінь,արմատ
126,Baum::N,дерево,ծառ
127,Stamm::N,стовбур,իրան
128,Rinde::N,кора,կեղեւ
129,Rinde::N,кора,հաչոց
130,Ast::N,гілка,ճյուղ
131,Zweig::N,галузь,ճյուղ
132,Blatt::N,лист,տերեւ
133,Birke::N,береза,ցարասի
134,Kiefer[Baum]::N,сосна,սոճի
135,Weide[Baum]::N,верба,ուռենի
136,Tanne::N,ялиця,եղեւին
137,Horn::N,ріг,
138,Feder::N,перо,փետուր
139,Fell::N,хутро,մորթի
140,Flügel::N,крило,թեւ
141,Klaue::N,кіготь,չանչ
142,Kralle::N,лапа,ճանկ
143,Schwanz::N,хвіст,պոչ
144,Ei::N,яйце,ձու
145,Nest::N,гніздо,բույն
146,Bau::N,лігво,որջ
147,Bau::N,лігво,բայոց
148,Tier::N,тварина,կենդանի
149,Herde::N,стадо,հոտ
150,Kuh::N,корова,կով
151,Bulle::N,бик,ցուլ
152,Bulle::N,бугай,ցուլ
153,Pferd::N,кінь,ձի
154,Schaf::N,вівця,ոչխար
155,Schwein::N,свиня,խոզ
156,Hund::N,собака,շուն
157,Katze::N,кішка,կատու
158,Bär::N,ведмідь,արջ
159,Eichhörnchen::N,білка,սկյուռ
160,Elch::N,лось,հիւսիսային եղջերու
161,Fuchs::N,лисиця,աղվես
162,Hase::N,заєць,նապաստակ
163,Maus::N,миша,մուկ
164,Wolf::N,вовк,գայլ
165,Vogel::N,птах,թռչուն
166,Schwarm::N,зграя,երամ
167,Huhn::N,курка,հավ
168,Hahn::N,півень,աքաղաղ
169,Gans::N,гуска,սագ
170,Adler::N,орел,արծիվ
171,Ente::N,качка,բադ
172,Eule::N,сова,բու
173,Kranich::N,журавель,կռունկ
174,Krähe::N,ворона,ագռավ
175,Kuckuck::N,зозуля,կուկու
176,Schwan::N,лебідь,կարապ
177,Fisch::N,риба,ձուկ
178,Barsch::N,окунь,պերկես
179,Hecht::N,щука,գայլաձուկ
180,Schlange[Tier]::N,змія,օձ
181,Wurm::N,черв’як,որդ
182,Wurm::N,черв’як,ճիճու
183,Spinne::N,павук,սարդ
184,Ameise::N,мурашка,միջյուն
185,Laus::N,воша,ոջիլ
186,Mücke::N,комар,մժղուկ
187,Fliege::N,муха,ճանճ
188,Schmetterling::N,метелик,թիթեռ
189,Beere::N,ягода,հատապտուղ
190,Apfel::N,яблуко,խնձոր
191,Pilz::N,гриб,սունկ
192,Zwiebel::N,цибуля,սոխ
193,Saat::N,сім’я,սերմ
194,Korn::N,зерно,հատիկ
195,Heu::N,сіно,խոտ
196,Schale::N,шкірка,կեղեւ
197,Grube::N,яма,փոս
198,Falle::N,пастка,ծուղակ
199,Schlinge::N,петля,խեղդան
200,Spur::N,слід,հետք
201,Asche::N,зола,մոխիր
202,Asche::N,попіл,մոխիր
203,Dreck::N,бруд,աղտ
204,Eisen::N,залізо,երկաթ
205,Gold::N,золото,ոսկի
206,Silber::N,срібло,արծաթ
207,Kohle::N,вугілля,քարածուխ
208,Glas::N,скло,ապակի
209,Lehm::N,глина,կավ
210,Sand::N,пісок,ավազ
211,Mensch::N,людина,մարդ
212,Mann::N,чоловік,մարդ
213,Mann::N,чоловік,տղամարդ
214,Frau::N,жінка,կին
215,Kind::N,дитина,զավակ
216,Junge::N,хлопець,տղա
217,Mädchen::N,дівчина,աղջիկ
218,Familie::N,сім’я,ընտանիք
219,Familie::N,родина,ընտանիք
220,Großvater::N,дідусь,պապ
221,Großmutter::N,бабуся,տատ
222,Eltern::N,батьки,ծնողներ
223,Vater::N,батько,հայր
224,Mutter::N,мати,մայր
225,Sohn::N,син,որդի
226,Tochter::N,дочка,աղջիկ
227,Tochter::N,дочка,դուստր
228,Bruder::N,брат,եղբայր
229,Schwester::N,сестра,քույր
230,Onkel::N,дядько,քեռի
231,Onkel::N,дядько,հորեղբայր
232,Tante::N,тітка,մորաքույր
233,Ehemann::N,чоловік,մարդ
234,Ehemann::N,чоловік,ամուսին
235,Ehefrau::N,жінка,կին ամուսին
236,Ehefrau::N,дружина,կին ամուսին
237,Freude::N,радощі,ուրախություն
238,Gelächter::N,сміх,ծիծաղ
239,Glück::N,щастя,երջանկություն
240,Kummer::N,горе,վիշտ
241,Wunsch::N,бажання,ցանկություն
242,Lust::N,бажання,փափագ
243,Lust::N,бажання,իղձ
244,Geist::N,дух,ոգի
245,Gedanke::N,думка,միտք
246,Gedächtnis::N,пам’ять,հիշողություն
247,Verstand::N,розум,խելք
248,Sinn::N,зміст,իմաստ
249,Sinn::N,значення,իմաստ
250,Grund::N,причина,պատճառ
251,Wahrheit::N,правда,ճշմարտություն
252,Gespräch::N,розмова,զրույց
253,Märchen::N,байка,պայիկի պատմություն
254,Erzählung::N,повість,պատմվածք
255,Erzählung::N,повість,պատմություն
256,Erzählung::N,оповідання,պատմվածք
257,Erzählung::N,оповідання,պատմություն
258,Nachricht::N,повідомлення,հաղորդագրություն
259,Neuigkeit::N,новина,լուր
260,Neuigkeit::N,новина,նորություն
261,Name::N,ім’я,անուն
262,Rätsel::N,загадка,բարդ խնդիր
263,Rede::N,промова,ճառ
264,Rede::N,промова,ելույթ
265,Sprache::N,мова,լեզու
266,Stimme::N,голос,ձայն
267,Wort::N,слово,բառ
268,Zeichen::N,знак,նշան
269,Ruf::N,оклик,կոչ
270,Ruf::N,оклик,կանչ
271,Lärm::N,шум,աղմուկ
272,Laut::N,звук,հնչյուն
273,Laut::N,звук,ձայն
274,Ton::N,тон,տոն
275,Lied::N,пісня,երգ
276,Ruhe::N,спокій,անդորրություն
277,Leute::N,люди,մարդիկ
278,Volk::N,народ,ազգ
279,Arbeit::N,робота,գործ
280,Arbeit::N,робота,աշխատանք
281,Gast::N,гість,հյուր
282,Geschenk::N,подарунок,նվեր
283,Spiel::N,гра,խաղ
284,Gesellschaft::N,товариство,ընկերություն
285,Hilfe::N,допомога,օգնությթուն
286,Freund::N,друг,ընկեր
287,Freund::N,друг,բարեկամ
288,Freund::N,приятель,ընկեր
289,Freund::N,приятель,բարեկամ
290,Kamerad::N,товариш,ուղեկից
291,Angelegenheit::N,справа,բան
292,Angelegenheit::N,справа,գործ
293,Anzahl::N,число,քանակ
294,Anzahl::N,число,գումար
295,Art::N,рід,տեսակ
296,Stück::N,кусок,կտոր
297,Teil::N,частина,մաս
298,Hälfte::N,половина,կես
299,Kreis::N,круг,շիջանակ
300,Kreis::N,коло,շիջանակ
301,Kreuz::N,хрест,խաչ
302,Linie::N,лінія,գիծ
303,Strich::N,штрих,գիծ
304,Abstand::N,проміжок,անջրպետ
305,Entfernung::N,відстань,հեռավորություն
306,Gegend::N,місцевість,շրջան
307,Platz::N,площа,տարածություն
308,Ort::N,місце,տեղ
309,Ort::N,місце,վայր
310,Seite::N,сторона,կողմ
311,Mitte::N,середина,մեջտեղ
312,Gegenstand::N,предмет,առարկա
313,Sache::N,річ,բան
314,Rand::N,край,վերջք
315,Kante::N,ребро,եզր
316,Ecke::N,ріг,անկյուն
317,Spitze::N,кінчик,ծայր
318,Ende::N,кінець,ծայր
319,Loch::N,діра,անցք
