,Concept_ID,de,te
0,Auge::N,Auge,కన్ను
1,Ohr::N,Ohr,చెవి
2,Nase::N,Nase,ముక్కు
3,Mund::N,Mund,నోరు
4,Zahn::N,Zahn,పల్లు
5,Zunge::N,Zunge,నాలుక
6,Lippe::N,Lippe,పెదవి
7,Wange::N,Wange,చెంప
8,Gesicht::N,Gesicht,ముఖము
9,Stirn::N,Stirn,నుదురు
10,Haar::N,Haar,వెండ్రుక
11,Schnurrbart::N,Schnurrbart,మీసము
12,Bart::N,Bart,గడ్డము
13,Kinn::N,Kinn,గడ్డము
14,Kiefer[Anatomie]::N,Kiefer,దౌడ
15,Kehle::N,Kehle,గొంతు
16,Hals::N,Hals,మెడ
17,Genick::N,Genick,మూపు
18,Kopf::N,Kopf,తల
19,Rücken::N,Rücken,వెన్ను
20,Bauch::N,Bauch,కడుపు
21,Nabel::N,Nabel,బొడ్డు
22,Busen::N,Busen,స్తనము
23,Brust::N,Brust,ఱొమ్ము
24,Schulter::N,Schulter,భుజము
25,Arm::N,Arm,చేయి
26,Ellenbogen::N,Ellenbogen,మోచేయి
27,Hand::N,Hand,చేయి
28,Handfläche::N,Handfläche,అరచేయు
29,Finger::N,Finger,చేతిప్రేలు
30,Fingernagel::N,Fingernagel,గోరు
31,Nagel[Anatomie]::N,Nagel,గోరు
32,Zeh::N,Zeh,కాలిప్రేలు
33,Fuß::N,Fuß,అడుగు
34,Ferse::N,Ferse,మడమ
35,Knie::N,Knie,మోకాలు
36,Oberschenkel::N,Oberschenkel,తొడ
37,Bein::N,Bein,కాలు
38,Körper::N,Körper,కాయము
39,Haut::N,Haut,చర్మము
40,Blut::N,Blut,రక్తము
41,Ader::N,Ader,సిర
42,Sehne::N,Sehne,స్నాయువు
43,Knochen::N,Knochen,ఎముక
44,Gehirn::N,Gehirn,మెదడు
45,Herz::N,Herz,హృదయము
46,Magen::N,Magen,కడుపు
47,Leber::N,Leber,కాలేయము
48,Atem::N,Atem,ఉపిరి
49,Hunger::N,Hunger,ఆకలి
50,Träne::N,Träne,కన్నీటిచుక్క
51,Geschmack::N,Geschmack,రుచి
52,Geruch::N,Geruch,వాసన
53,Schlaf::N,Schlaf,నిద్ర
54,Traum::N,Traum,కల
55,Himmel::N,Himmel,ఆకాశము
56,Sonne::N,Sonne,సూర్యుడు
57,Mond::N,Mond,చంద్రుడు
58,Stern::N,Stern,నక్షత్రము
59,Luft::N,Luft,గాలి
60,Wind::N,Wind,వీచుచున్నగాలి
61,Welle::N,Welle,అల
62,Wasser::N,Wasser,నీరు
63,Stein::N,Stein,ఱాయి
64,Boden::N,Boden,నేల
65,Erde::N,Erde,మన్ను
66,Staub::N,Staub,దుమ్ము
67,Rauch::N,Rauch,పొగ
68,Funke::N,Funke,అగ్నికణము
69,Feuer::N,Feuer,అగ్ని
70,Licht::N,Licht,కాంతి
71,Schatten::N,Schatten,నీడ
72,Wetter::N,Wetter,వాతావరణ స్థితి
73,Nebel::N,Nebel,పొగమంచు
74,Wolke::N,Wolke,మేఘము
75,Regen::N,Regen,వాన
76,Schnee::N,Schnee,హిమము
77,Eis::N,Eis,మంచుగడ్డ
78,Frost::N,Frost,పేరిన మంచు
79,Kälte::N,Kälte,చలి
80,Hitze::N,Hitze,వేడిమి
81,Raureif::N,Raureif,మంచు
82,Regenbogen::N,Regenbogen,ఇంద్రధనుస్సు
83,Donner::N,Donner,ఉరుము
84,Strömung::N,Strömung,ప్రవాహము
85,Tropfen::N,Tropfen,చుక్క
86,Schaum::N,Schaum,నురుగు
87,Schmutz::N,Schmutz,మైల
88,See::N,See,సరస్సు
89,Sumpf::N,Sumpf,చిత్తడినేల
90,Moor::N,Moor,చిత్తడినేల
91,Wiese::N,Wiese,పచ్చిక బయలు
92,Wald::N,Wald,అడవి
93,Hügel::N,Hügel,చివ్నకొండ
94,Anhöhe::N,Anhöhe,కొండ
95,Berg::N,Berg,పర్వతము
96,Gipfel::N,Gipfel,శిఖరము
97,Höhle::N,Höhle,గుహ
98,Abhang::N,Abhang,ఏటవాలు
99,Quelle::N,Quelle,మూలము
100,Bach::N,Bach,కాలువ
101,Fluss::N,Fluss,నది
102,Ufer::N,Ufer,తీరము
103,Küste::N,Küste,తీరము
104,Festland::N,Festland,భూమి
105,Meer::N,Meer,సముద్రము
106,Bucht::N,Bucht,మరుగు
107,Insel::N,Insel,దీవి
108,Blume::N,Blume,పుష్పము
109,Gras::N,Gras,పచ్చగడ్డి
110,Wurzel::N,Wurzel,వేరు
111,Baum::N,Baum,చెట్టు
112,Stamm::N,Stamm,చెట్టుబోదె
113,Rinde::N,Rinde,చెట్టుపట్ట
114,Ast::N,Ast,కొమ్మ
115,Zweig::N,Zweig,చివుకు
116,Blatt::N,Blatt,ఆకు
117,Birke::N,Birke,తరహా చెట్టు
118,Kiefer[Baum]::N,Kiefer,దేవదారు చెట్టు
119,Weide[Baum]::N,Weide,జాతిచెట్టు
120,Tanne::N,Tanne,దేవదారుచెట్టు
121,Horn::N,Horn,కొమ్ము
122,Feder::N,Feder,ఈక
123,Fell::N,Fell,తోలు
124,Flügel::N,Flügel,ఱెక్క
125,Klaue::N,Klaue,వంకరగోరు
126,Kralle::N,Kralle,వంకరగోరు
127,Schwanz::N,Schwanz,తోక
128,Ei::N,Ei,గ్రుడ్డు
129,Nest::N,Nest,పక్షిగూడు
130,Bau::N,Bau,గుహ
131,Tier::N,Tier,జంతువు
132,Herde::N,Herde,మంద
133,Kuh::N,Kuh,ఆవు
134,Bulle::N,Bulle,గిత్త
135,Pferd::N,Pferd,గుఱ్ఱము
136,Schaf::N,Schaf,గొఱ్ఱె
137,Schwein::N,Schwein,పంది
138,Hund::N,Hund,కుక్క
139,Katze::N,Katze,పిల్లి
140,Bär::N,Bär,ఎలుగుబంటి
141,Eichhörnchen::N,Eichhörnchen,ఉడుత
142,Elch::N,Elch,కణంజు
143,Fuchs::N,Fuchs,గుంటనక్క
144,Hase::N,Hase,కుందేలు
145,Maus::N,Maus,చిట్టెలుక
146,Wolf::N,Wolf,తోడేలు
147,Vogel::N,Vogel,పక్షి
148,Schwarm::N,Schwarm,గుంపు
149,Huhn::N,Huhn,కోడిపిల్ల
150,Hahn::N,Hahn,కోడివుంజు
151,Gans::N,Gans,ఆడుబాతు
152,Adler::N,Adler,గ్రద్ద
153,Ente::N,Ente,పాట్టిబాతు
154,Eule::N,Eule,గ్రుడ్లగూబ
155,Kranich::N,Kranich,కొంగ
156,Krähe::N,Krähe,కాకి
157,Kuckuck::N,Kuckuck,కోయల
158,Schwan::N,Schwan,హంస
159,Fisch::N,Fisch,చేప
160,Barsch::N,Barsch,ఒకచేఁప
161,Hecht::N,Hecht,గండుమీను
162,Schlange[Tier]::N,Schlange,పాము
163,Wurm::N,Wurm,పురుగు
164,Spinne::N,Spinne,సాలె పురుగు
165,Ameise::N,Ameise,చీమ
166,Laus::N,Laus,పేను
167,Mücke::N,Mücke,చీకటీగ
168,Fliege::N,Fliege,ఈగ
169,Schmetterling::N,Schmetterling,సీతాకోకచిలుక
170,Beere::N,Beere,కాయ
171,Apfel::N,Apfel,ఆపిల్ పండు
172,Pilz::N,Pilz,కుక్కగొడుగు
173,Zwiebel::N,Zwiebel,నీరుల్లి
174,Saat::N,Saat,విత్తనము
175,Korn::N,Korn,గింజ
176,Heu::N,Heu,ఎండుగడ్డి
177,Schale::N,Schale,పొట్టు
178,Grube::N,Grube,గొయ్యి
179,Falle::N,Falle,బోను
180,Schlinge::N,Schlinge,ఉరి
181,Spur::N,Spur,జాడ
182,Asche::N,Asche,బూడిద
183,Dreck::N,Dreck,ముఱికి
184,Eisen::N,Eisen,ఇనుము
185,Gold::N,Gold,బంగారము
186,Silber::N,Silber,వెండి
187,Kohle::N,Kohle,నేలబొగ్గు
188,Glas::N,Glas,గాజు
189,Lehm::N,Lehm,బంకమన్ను
190,Sand::N,Sand,ఇసుక
191,Mensch::N,Mensch,నరుడు
192,Mann::N,Mann,పురుమడు
193,Frau::N,Frau,ఆడుది
194,Kind::N,Kind,బిడ్డ
195,Junge::N,Junge,బాలుడు
196,Mädchen::N,Mädchen,బాలిక
197,Familie::N,Familie,కుటుంబము
198,Großvater::N,Großvater,తాత
199,Großmutter::N,Großmutter,అయ్యమ్మ
200,Eltern::N,Eltern,తల్లితండ్రులు
201,Vater::N,Vater,తండ్రి
202,Mutter::N,Mutter,తల్లి
203,Sohn::N,Sohn,కొడుకు
204,Tochter::N,Tochter,కూతురు
205,Bruder::N,Bruder,పోదరుడు
206,Schwester::N,Schwester,సోదరి
207,Onkel::N,Onkel,మేనమామ
208,Tante::N,Tante,మేనత్త
209,Tante::N,Tante,పినతల్లి
210,Ehemann::N,Ehemann,భర్త
