,Concept_ID,mn,kn
0,Auge::N,нүд,ಕಣ್ಣು
1,Ohr::N,чих,ಕಿವಿ
2,Nase::N,хамар,ಮೂಗು
3,Mund::N,ам,ಬಾಯಿ
4,Zahn::N,шүд,ಹಲ್ಲು
5,Zunge::N,хэл,ನಾಲಿಗೆ
6,Lippe::N,уруул,ತುಟಿ
7,Wange::N,хацар,ಗಲ್ಲ
8,Gesicht::N,царай,ಮುಖ
9,Gesicht::N,нүүр,ಮುಖ
10,Stirn::N,дух,ಹಣೆ
11,Haar::N,үс,ಕೂದಲು
12,Schnurrbart::N,дээд сахал,ಮೀಸೆ
13,Schnurrbart::N,живэр сахал,ಮೀಸೆ
14,Bart::N,сахал,ಗಡ್ಡ
15,Kinn::N,эрүү,ಗದ್ದ
16,Kiefer[Anatomie]::N,эрүү,ದವಡೆ
17,Kehle::N,хоолой,ಗಂಟಲು
18,Hals::N,хүзүү,ಕೊರಳು
19,Genick::N,шил,ಹಿಂಗತ್ತು
20,Genick::N,хүзүү,ಹಿಂಗತ್ತು
21,Kopf::N,толгой,ತಲೆ
22,Rücken::N,ар,ಬೆನ್ನು
23,Rücken::N,нуруу,ಬೆನ್ನು
24,Bauch::N,хэвлий,ಹೊಟ್ಟೆ
25,Bauch::N,гэдэс,ಹೊಟ್ಟೆ
26,Nabel::N,хүйс,ಹೊಕ್ಕುಳು
27,Busen::N,хөх,ಸ್ತನ
28,Brust::N,цээж,ಎದೆ
29,Schulter::N,мөр,ಭುಜ
30,Schulter::N,бугалга,ಭುಜ
31,Arm::N,гар,ತೋಳು
32,Ellenbogen::N,тохой,ಮೊಣಕೈ
33,Hand::N,гар,ಕೈ
34,Hand::N,алга,ಕೈ
35,Handfläche::N,алга,ಅಂಗೈ
36,Finger::N,хуруу,ಕೈಬೆರಳು
37,Fingernagel::N,хурууны хумс,ಉಗುರು
38,Nagel[Anatomie]::N,хумс,ಉಗುರು
39,Zeh::N,хуруу,ಕಾಲ್ಬೆರಳು
40,Fuß::N,хөл,ಪಾದ
41,Ferse::N,өсгий,ಹಿಮ್ಮಡಿ
42,Knie::N,өвдөг,ಮಂಡಿ
43,Oberschenkel::N,гуя,ತೊಡೆ
44,Bein::N,хөл,ಕಾಲು
45,Körper::N,бие,ದೇಹ
46,Haut::N,арьс,ಚರ್ಮ
47,Blut::N,цус,ರಕ್ತ
48,Ader::N,судас,ನರ
49,Sehne::N,бүлх,ನರ
50,Sehne::N,шандас,ನರ
51,Knochen::N,яс,ಮೂಳೆ
52,Gehirn::N,тархи,ಮಿದುಳು
53,Herz::N,зүрх,ಹೃದಯ
54,Magen::N,ходоод,ಉದರ
55,Leber::N,элэг,ಯಕೃತ್ತು
56,Atem::N,амьсгаа,ಉಸಿರು
57,Hunger::N,өлсгөлөн,ಹಸಿವು
58,Träne::N,нулимс,ಕಣ್ಣೀರು
59,Geschmack::N,амт,ರುಚಿ
60,Geruch::N,үнэр,ವಾಸನೆ
61,Schlaf::N,нойр,ನಿದ್ರೆ
62,Traum::N,зүүд,ಕನಸು
63,Himmel::N,тэнгэр,ಬಾನು
64,Himmel::N,огторгуй,ಬಾನು
65,Sonne::N,нар,ಸೂರ್ಯ
66,Mond::N,сар,ಚಂದ್ರ
67,Stern::N,од,ಚುಕ್ಕಿ
68,Luft::N,агаар,ವಾಯು
69,Wind::N,салхи,ಗಾಳಿ
70,Welle::N,долгио,ಅಲೆ
71,Welle::N,давалгаа,ಅಲೆ
72,Wasser::N,ус,ನೀರು
73,Stein::N,чулуу,ಕಲ್ಲು
74,Boden::N,хөрс,ನೆಲ
75,Erde::N,газар,ಭೂಮಿ
76,Erde::N,шороо,ಭೂಮಿ
77,Staub::N,тоос,ದೂಳು
78,Rauch::N,утаа,ಹೊಗೆ
79,Funke::N,оч,ಕಿಡಿ
80,Feuer::N,гал,ಬೆಂಕಿ
81,Licht::N,гэрэл,ಬೆಳಕು
82,Licht::N,гэгээ,ಬೆಳಕು
83,Schatten::N,сүүдэр,ನೆರಳು
84,Wetter::N,тэнгэр,ಹವ
85,Wetter::N,цаг уур,ಹವ
86,Nebel::N,будан,ಮಂಜು
87,Wolke::N,үүл,ಮೋಡ
88,Regen::N,бороо,ಮಳೆ
89,Schnee::N,цас,ಹಿಮ
90,Eis::N,мөс,ಮಂಜುಗಡ್ಡೆ
91,Frost::N,хүйт,ಮಂಜು
92,Kälte::N,хүйт,ಹಿಮ
93,Hitze::N,халуун,ಉಷ್ಣ
94,Raureif::N,цан,ಇಬ್ಬನಿ
95,Raureif::N,хяруу,ಇಬ್ಬನಿ
96,Regenbogen::N,солонго,ಇಂದ್ರಚಾಪ
97,Donner::N,тэнгэрийн дуу,ಗುಡುಗು
98,Strömung::N,урсгал,ಪ್ರವಾಹ
99,Tropfen::N,дусал,ತೊಟ್ಟು
100,Schaum::N,хөөс,ನೊರೆ
101,Schmutz::N,хир,ಕಸ
102,Schmutz::N,шавхай,ಕಸ
103,See::N,нуур,ಸರೋವರ
104,Sumpf::N,намаг,ಜೌಗುಸ್ಥಳ
105,Sumpf::N,балчиг,ಜೌಗುಸ್ಥಳ
106,Moor::N,хүлрийн намаг,ಬಂಜರು ಭೂಮಿ
107,Wiese::N,нуга,ಹುಲ್ಲುಗಾವಲು
108,Wald::N,ой,ಕಾಡು
109,Hügel::N,болдог,ಗುಡ್ಡೆ
110,Anhöhe::N,гүвээ,ದಿಬ್ಬ
111,Berg::N,уул,ಮಲೆ
112,Berg::N,уул,ಪರ್ವತ
113,Gipfel::N,орой,ಶೃಂಗ
114,Gipfel::N,оргил,ಶೃಂಗ
115,Höhle::N,агуй,ಗುಹೆ
116,Abhang::N,хүр,ಇಳಿಜಾರು
117,Quelle::N,булаг,ಮೂಲ
118,Bach::N,горхи,ತೊರೆ
119,Fluss::N,гол,ನದಿ
120,Fluss::N,мөрөн,ನದಿ
121,Ufer::N,эрэг,ತೀರ
122,Küste::N,эрэг,ದಂಡೆ
123,Festland::N,хуурай газар,ಭೂಮಿ
124,Meer::N,далай,ಕಡಲು
125,Meer::N,тэнгис,ಕಡಲು
126,Bucht::N,булан,ಖಾರಿ
127,Bucht::N,далайн тохой,ಖಾರಿ
128,Insel::N,арал,ದ್ವೀಪ
129,Blume::N,цэцэг,ಸುಮ
130,Gras::N,өвс,ಹುಲ್ಲು
131,Gras::N,ногоо,ಹುಲ್ಲು
132,Wurzel::N,үндэс,ಬೇರು
133,Baum::N,мод,ಮರ
134,Stamm::N,иш,ಕಾಂಡ
135,Stamm::N,гуалин,ಕಾಂಡ
136,Rinde::N,холтос,ತೂಗಟಿ
137,Ast::N,гишүү,ಶಾಖೆ
138,Zweig::N,салаа,ರೆಂಬೆ
139,Blatt::N,навч,ಎಲೆ
140,Birke::N,хус,ಬರ್ಚ್ ಮರ
141,Kiefer[Baum]::N,нарс,ದೇವದಾರು ಮರ
142,Weide[Baum]::N,уд,ವಿಲೋಮರ
143,Weide[Baum]::N,бургас,ವಿಲೋಮರ
144,Tanne::N,гачуур,ಭದ್ರದಾರು
145,Horn::N,эвэр,ಕೊಂಬು
146,Feder::N,өд,ಪುಕ್ಕ
147,Fell::N,арьс,ರೋಮ
148,Flügel::N,жигүүр,ರೆಕ್ಕೆ
149,Flügel::N,далавч,ರೆಕ್ಕೆ
150,Klaue::N,савар,ಪಂಜ
151,Klaue::N,хумс,ಪಂಜ
152,Kralle::N,савар,ಉಗುರು
153,Schwanz::N,сүүл,ಬಾಲ
154,Ei::N,өндөг,ಮೊಟ್ಟೆ
155,Nest::N,үүр,ಗೂಡು
156,Bau::N,нүх,ಅಡಗುದಾಣ
