,Concept_ID,ca,ko
0,Auge::N,ull,눈
1,Ohr::N,orella,귀
2,Nase::N,nas,코
3,Mund::N,boca,입
4,Zahn::N,dent,이
5,Zunge::N,llēngua,혀
6,Lippe::N,llavi,입술
7,Wange::N,galta,뺨
8,Gesicht::N,cara,얼굴
9,Stirn::N,front,이마
10,Haar::N,cabēll,털
11,Schnurrbart::N,bigoti,윗수몀
12,Schnurrbart::N,bigoti,코밑수염
13,Bart::N,barba,수엄
14,Kinn::N,mentó,아래턱
15,Kinn::N,barbeta,아래턱
16,Kiefer[Anatomie]::N,queix,턱
17,Kiefer[Anatomie]::N,mandíbula,턱
18,Kehle::N,gola,인후
19,Kehle::N,gorja,인후
20,Hals::N,coll,목
21,Genick::N,nuca,먹덜이
22,Kopf::N,cap,머리
23,Rücken::N,esquena,든
24,Bauch::N,panxa,배
25,Nabel::N,llombrígol,배꼽
26,Busen::N,pit,가슴속
27,Busen::N,mama,가슴속
28,Brust::N,pit,가슴
29,Schulter::N,espatlla,어깨
30,Arm::N,braç,팔
31,Ellenbogen::N,colze,팔쿰치
32,Hand::N,mà,손
33,Handfläche::N,palma,손바닥
34,Finger::N,dit,속가락
35,Fingernagel::N,ungla,손톱
36,Nagel[Anatomie]::N,ungla,손톱
37,Zeh::N,dit del peu,발가락
38,Fuß::N,peu,발
39,Ferse::N,taló,발꿈치
40,Knie::N,genoll,무릎
41,Oberschenkel::N,cuixa,허벅다리
42,Bein::N,cama,다리
43,Körper::N,cos,구간
44,Haut::N,pell,살갗
45,Blut::N,sang,피
46,Ader::N,vena,정맥
47,Sehne::N,tendó,현
48,Knochen::N,os,뼈
49,Gehirn::N,cervell,뇌
50,Gehirn::N,cervell,뇌수
51,Herz::N,cor,염통
52,Magen::N,estómac,위
53,Leber::N,fetge,간
54,Atem::N,alè,기식
55,Atem::N,hàlit,기식
56,Hunger::N,fam,공복
57,Hunger::N,gana,공복
58,Träne::N,llàgrima,눈물
59,Geschmack::N,gust,기호
60,Geschmack::N,sabor,기호
61,Geruch::N,olor,냄새
62,Schlaf::N,son,수면
63,Traum::N,somni,쿰
64,Himmel::N,celm,하늘
65,Sonne::N,sol,해
66,Mond::N,lluna,달
67,Stern::N,estel,별
68,Stern::N,estrella,별
69,Luft::N,aire,동준
70,Luft::N,aire,가스채
71,Wind::N,vent,바람
