,Concept_ID,zh,pl
0,Auge::N,眼睛,oko
1,Ohr::N,耳朵,ucho
2,Nase::N,鼻子,nos
3,Mund::N,嘴,usta
4,Zahn::N,牙齿,ząb
5,Zunge::N,舌头,język
6,Lippe::N,嘴唇,warga
7,Wange::N,面颊,policzek
8,Gesicht::N,脸,twarz
9,Stirn::N,额,czoło
10,Haar::N,头发,włos
11,Haar::N,头发,włosy
12,Schnurrbart::N,髭须,wąsy
13,Bart::N,胡子,broda
14,Kinn::N,下巴,podbródek
15,Kiefer[Anatomie]::N,颌,czeluść
16,Kehle::N,嗓子,gardło
17,Hals::N,颈,szyja
18,Genick::N,后颈,kark
19,Kopf::N,头,głowa
20,Rücken::N,背,plecy
21,Rücken::N,背,grzbiet
22,Bauch::N,肚子,brzuch
23,Nabel::N,肚脐,pępek
24,Busen::N,胸脯,biust
25,Brust::N,胸,pierś
26,Schulter::N,肩膀,bark
27,Schulter::N,肩膀,ramię
28,Arm::N,臂膀,ręka
29,Arm::N,臂膀,ramię
30,Ellenbogen::N,肘,łokieć
31,Hand::N,手,dłoń
32,Handfläche::N,手掌,dłoń
33,Finger::N,手指,palec
34,Fingernagel::N,指甲,paznokieć
35,Nagel[Anatomie]::N,指甲,paznokieć
36,Zeh::N,脚趾,palec
37,Fuß::N,脚,stopa
38,Ferse::N,后跟,pięta
39,Knie::N,膝,kolano
40,Oberschenkel::N,大腿,udo
41,Bein::N,腿,noga
42,Körper::N,身体,ciało
43,Haut::N,皮肤,skóra
44,Blut::N,血,krew
45,Ader::N,血管,żyła
46,Sehne::N,腱,ścięgno
47,Knochen::N,骨,kość
48,Gehirn::N,脑,mózg
49,Herz::N,心,serce
50,Magen::N,胃,żołądek
51,Leber::N,肝,wątroba
52,Atem::N,呼吸,dech
53,Atem::N,呼吸,oddech
54,Hunger::N,饿,głód
55,Träne::N,眼泪,łza
56,Geschmack::N,味道,smak
57,Geruch::N,气味,woń
58,Geruch::N,气味,zapach
59,Schlaf::N,睡眠,sen
60,Traum::N,梦,sen
61,Himmel::N,天空,niebo
62,Sonne::N,太阳,słońce
63,Mond::N,月亮,księżyc
64,Stern::N,星,gwiazda
65,Luft::N,空气,powietrze
66,Wind::N,风,wiatr
67,Welle::N,波,fala
68,Wasser::N,水,woda
69,Stein::N,石头,kamień
70,Boden::N,地面,grunt
71,Erde::N,地,ziemia
72,Staub::N,灰尘,pył
73,Staub::N,灰尘,kurz
74,Rauch::N,烟,dym
75,Funke::N,火花,iskra
76,Feuer::N,火,ogień
77,Licht::N,光,światło
78,Schatten::N,影子,cień
79,Wetter::N,天气,pogoda
80,Nebel::N,雾,mgła
81,Wolke::N,云,obłok
82,Wolke::N,云,chmura
83,Regen::N,雨,deszcz
84,Schnee::N,雪,śnieg
85,Eis::N,冰,lód
86,Frost::N,霜冻,mróz
87,Kälte::N,寒冷,chłód
88,Hitze::N,炎热,gorąco
89,Raureif::N,霜,szron
90,Regenbogen::N,虹,tęcza
91,Donner::N,雷,grzmot
92,Strömung::N,水流,nurt
93,Tropfen::N,滴,kropla
94,Schaum::N,泡沫,piana
95,Schmutz::N,赃物,brud
96,See::N,湖,jezioro
97,Sumpf::N,沼泽,bagno
98,Moor::N,沼泽,bagno
99,Wiese::N,草地,łąka
100,Wald::N,森林,las
101,Hügel::N,丘陵,pagórek
102,Anhöhe::N,山丘,wzgórze
103,Berg::N,山,góra
104,Gipfel::N,峰,szczyt
105,Gipfel::N,峰,wierzchołek
106,Höhle::N,洞穴,pieczara
107,Abhang::N,斜坡,stok
108,Abhang::N,斜坡,zbocze
109,Quelle::N,泉,zdrój
110,Quelle::N,泉,źródło
111,Bach::N,溪,potok
112,Bach::N,溪,strumień
113,Fluss::N,河流,rzeka
114,Ufer::N,岸,brzeg
115,Küste::N,海岸,wybrzeże
116,Festland::N,大陆,ląd
117,Meer::N,海,morze
118,Bucht::N,海湾,zatoka
119,Insel::N,岛,wyspa
120,Blume::N,花,kwiat
121,Gras::N,草,trawa
122,Wurzel::N,根,korzeń
123,Baum::N,树,drzewo
124,Stamm::N,树干,pień
125,Rinde::N,树皮,kora
126,Ast::N,树枝,gałąź
127,Zweig::N,树枝,gałąź
128,Blatt::N,叶子,liść
129,Birke::N,桦木,brzoza
130,Kiefer[Baum]::N,松树,sosna
