,Concept_ID,kk,br
0,Auge::N,көз,lagad
1,Ohr::N,құлақ,skouarn
2,Nase::N,мұрын,fri
3,Mund::N,ауыз,genoù
4,Zahn::N,тіс,dant
5,Zunge::N,тіл,teod
6,Lippe::N,ерін,muzell
7,Wange::N,ұрт,chot
8,Gesicht::N,бет-аузы,dremm
9,Stirn::N,маңдай,tal
10,Haar::N,қыл,blev
11,Schnurrbart::N,мұрт,mourenn
12,Bart::N,сақал,barv
13,Kinn::N,иек,groñj
14,Kiefer[Anatomie]::N,жақ,javed
15,Kehle::N,алқым,gouzoug
16,Hals::N,мойын,gouzoug
17,Genick::N,желке,choug
18,Kopf::N,кәллә,penn
19,Rücken::N,арқа,kein
20,Bauch::N,қарын,kof
21,Nabel::N,кіндік,begel
22,Busen::N,омырау,bronn
23,Brust::N,кеуде,bruched
24,Schulter::N,иық,skoaz
25,Arm::N,қол,brec'h
26,Ellenbogen::N,шынтақ,ilin
27,Hand::N,қол,dorn
28,Handfläche::N,алақан,palv
29,Finger::N,саусақ,biz
30,Fingernagel::N,тырнақ,ivin
31,Nagel[Anatomie]::N,тырнақ,ivin
32,Zeh::N,тырнақ,biz-troad
33,Zeh::N,тұяқ,biz-troad
34,Fuß::N,аяқ-басы,troad
35,Ferse::N,өкше,seul
36,Ferse::N,өкшелік,seul
37,Knie::N,тізе,glin
38,Oberschenkel::N,жамбас,morzhed
39,Bein::N,аяқ,gar
40,Körper::N,дене,korf
41,Haut::N,тері,kroc'hen
42,Blut::N,қан,gwad
43,Ader::N,көктамыр,gwazhi
44,Ader::N,күретамыр,gwazhi
45,Sehne::N,сіңір,stir
46,Knochen::N,жілік,askorn
47,Gehirn::N,ми,empenn
48,Herz::N,жүрек,kalon
49,Magen::N,асқазан,stomog
50,Leber::N,бауыр,avu
51,Atem::N,леп,anal
52,Hunger::N,ашаршылық,naon
53,Träne::N,жас,daer
54,Geschmack::N,дәм,blaz
55,Geschmack::N,татым,blaz
56,Geschmack::N,талғам,blaz
57,Geruch::N,иіс,c'hwezh
58,Schlaf::N,ұйқы,kousked
59,Schlaf::N,ұйықтау,kousked
60,Traum::N,түс,hune
61,Himmel::N,аспан,oabl
62,Himmel::N,көқ,oabl
63,Himmel::N,таңдай,oabl
64,Sonne::N,күн,heol
65,Mond::N,ай,loar
66,Stern::N,жұлдыз,steredenn
67,Luft::N,әуе,aer
68,Wind::N,жел,avel
69,Welle::N,толқын,houlenn
70,Wasser::N,су,dour
71,Stein::N,тас,maen
72,Boden::N,қыртыс,tachenn
73,Erde::N,топырақ,douar
74,Staub::N,шаң,poultr
75,Rauch::N,түтін,moged
76,Funke::N,ұшқын,ful
77,Feuer::N,алау,tan
78,Licht::N,шұғыла,gouloù
79,Schatten::N,көлеңке,disheol
80,Wetter::N,ауа райы,amzer
