,Concept_ID,da,hu
0,Auge::N,øje,szem
1,Ohr::N,øre,fül
2,Nase::N,næse,orr
3,Mund::N,mund,száj
4,Zahn::N,tand,fog
5,Zunge::N,tunge,nyelv
6,Lippe::N,læbe,ajak
7,Wange::N,kind,orca
8,Gesicht::N,ansigt,arc
9,Stirn::N,pande,homlok
10,Haar::N,hår,haj
11,Schnurrbart::N,overskæg,bajusz
12,Bart::N,skæg,szakáll
13,Kinn::N,hage,áll
14,Kiefer[Anatomie]::N,kæbe,állkapocs
15,Kehle::N,strube,gége
16,Kehle::N,strube,torok
17,Hals::N,hals,nyak
18,Genick::N,nakke,tarkó
19,Kopf::N,hoved,fő
20,Kopf::N,hoved,fej
21,Rücken::N,ryg,hát
22,Bauch::N,mave,has
23,Nabel::N,navle,köldök
24,Busen::N,barm,mell
25,Busen::N,barm,kebel
26,Brust::N,bryst,mell
27,Schulter::N,skulder,váll
28,Arm::N,arm,kar
29,Ellenbogen::N,albue,könyök
30,Hand::N,hånd,kéz
31,Handfläche::N,håndflade,tenyér
32,Finger::N,finger,ujj
33,Fingernagel::N,fingernegl,köröm
34,Nagel[Anatomie]::N,negl,köröm
35,Zeh::N,tå,lábujj
36,Fuß::N,fod,láb
37,Ferse::N,hæl,sarok
38,Knie::N,knæ,térd
39,Oberschenkel::N,lår,comb
40,Bein::N,ben,láb
41,Bein::N,ben,lábszár
42,Körper::N,krop,test
43,Körper::N,legeme,test
44,Haut::N,hud,bőr
45,Blut::N,blod,vér
46,Ader::N,åre,ér
47,Sehne::N,sene,ín
48,Knochen::N,ben,csont
49,Gehirn::N,hjerne,agy
50,Gehirn::N,hjerne,agyvelő
51,Herz::N,hjerte,szív
52,Magen::N,mave,gyomor
53,Leber::N,lever,máj
54,Atem::N,ånde,lehelet
55,Atem::N,ånde,lélegzet
56,Hunger::N,sult,éhség
57,Träne::N,tåre,könny
58,Geschmack::N,smag,íz
59,Geruch::N,lugt,szag
60,Schlaf::N,søvn,álom
61,Schlaf::N,søvn,alvás
62,Traum::N,drøm,álom
63,Himmel::N,himmel,ég
64,Himmel::N,himmel,menny
65,Sonne::N,sol,nap
66,Mond::N,måne,hold
67,Stern::N,stjerne,csillag
68,Luft::N,luft,levegő
69,Wind::N,vind,szél
70,Welle::N,bølge,hullám
71,Wasser::N,vand,víz
72,Stein::N,sten,kő
73,Boden::N,jord,föld
74,Boden::N,jord,talaj
75,Erde::N,jord,föld
76,Staub::N,støv,por
77,Rauch::N,røg,füst
78,Funke::N,gnist,szikra
79,Feuer::N,ild,tűz
80,Licht::N,lys,fény
81,Schatten::N,skygge,árnyék
82,Wetter::N,vejr,idő
83,Wetter::N,vejr,időjárás
84,Nebel::N,tåge,köd
85,Wolke::N,sky,felhő
86,Regen::N,regn,eső
87,Schnee::N,sne,hó
88,Eis::N,is,jég
89,Frost::N,frost,fagy
90,Kälte::N,kulde,hideg
91,Hitze::N,hede,hő
92,Hitze::N,hede,hőség
93,Raureif::N,rimfrost,zúzmara
94,Regenbogen::N,regnbue,szivárvány
95,Donner::N,torden,dörgés
96,Donner::N,torden,mennydörgés
97,Strömung::N,strømning,áramlat
98,Tropfen::N,dråbe,csepp
99,Schaum::N,skum,hab
100,Schaum::N,skum,tajték
101,Schmutz::N,snavs,piszok
102,See::N,sø,tó
103,Sumpf::N,sump,mocsár
104,Moor::N,mose,láp
105,Wiese::N,eng,rét
106,Wiese::N,eng,mező
107,Wald::N,skov,erdő
108,Hügel::N,høj,domb
109,Hügel::N,bakke,domb
110,Anhöhe::N,høj,magaslat
111,Anhöhe::N,bakke,magaslat
112,Berg::N,bjerg,hegy
113,Gipfel::N,top,csúcs
114,Höhle::N,hule,barlang
115,Abhang::N,skrænt,lejtő
116,Abhang::N,skråning,lejtő
117,Quelle::N,kilde,forrás
118,Bach::N,bæk,patak
119,Fluss::N,flod,folyó
120,Ufer::N,bred,part
121,Küste::N,kyst,tengerpart
122,Festland::N,fastland,szárazföld
123,Meer::N,hav,tenger
124,Bucht::N,bugt,öböl
125,Insel::N,ø,sziget
126,Blume::N,blomst,virág
127,Gras::N,græs,fű
128,Wurzel::N,rod,gyökér
129,Baum::N,træ,fa
130,Stamm::N,stamme,tő
131,Stamm::N,stamme,törzs
132,Rinde::N,bark,kéreg
133,Ast::N,gren,ág
134,Zweig::N,kvist,gally
135,Blatt::N,blad,levél
136,Birke::N,birk,nyír
137,Kiefer[Baum]::N,fyrretræ,fenyő
138,Weide[Baum]::N,piletræ,fűz
139,Tanne::N,gran,fenyő
140,Horn::N,horn,szarv
141,Feder::N,fjer,toll
142,Fell::N,skind,szőr
143,Fell::N,skind,bunda
144,Flügel::N,vinge,szárny
145,Klaue::N,klov,köröm
146,Kralle::N,klo,karom
147,Schwanz::N,hale,farok
148,Ei::N,æg,tojás
149,Nest::N,rede,fészek
150,Bau::N,bo,odú
151,Tier::N,dyr,állat
152,Herde::N,flok,nyáj
153,Herde::N,flok,csorda
154,Kuh::N,ko,tehén
155,Bulle::N,tyr,bika
156,Pferd::N,hest,ló
157,Schaf::N,får,juh
158,Schaf::N,får,birka
159,Schwein::N,gris,sertés
160,Hund::N,hund,eb
161,Hund::N,hund,kutya
162,Katze::N,kat,macska
163,Bär::N,bjørn,medve
164,Eichhörnchen::N,egern,mókus
165,Elch::N,elg,jávorszarvas
166,Fuchs::N,ræv,róka
167,Hase::N,hare,nyúl
168,Maus::N,mus,egér
169,Wolf::N,ulv,farkas
170,Vogel::N,fugl,madár
171,Schwarm::N,sværm,raj
172,Huhn::N,høne,tyúk
173,Hahn::N,hane,kakas
174,Gans::N,gås,lúd
175,Gans::N,gås,liba
176,Adler::N,ørn,sas
177,Ente::N,and,kacsa
178,Eule::N,ugle,bagoly
179,Kranich::N,trane,daru
180,Krähe::N,krage,varjú
181,Kuckuck::N,gøg,kakukk
182,Schwan::N,svane,hattyú
183,Fisch::N,fisk,hal
184,Barsch::N,aborre,sügér
185,Hecht::N,gedde,csuka
186,Schlange[Tier]::N,slange,kígyó
187,Wurm::N,orm,kukac
188,Spinne::N,edderkop,pók
189,Ameise::N,myre,hangya
190,Laus::N,lus,tetű
191,Mücke::N,myg,szúnyog
192,Fliege::N,flue,légy
193,Schmetterling::N,sommerfugl,lepke
194,Schmetterling::N,sommerfugl,pillangó
195,Beere::N,bær,bogyó
196,Apfel::N,æble,alma
197,Pilz::N,svamp,gomba
198,Zwiebel::N,løg,hagyma
199,Saat::N,sæd,vetőmag
200,Korn::N,korn,mag
201,Korn::N,korn,szem
202,Heu::N,hø,széna
203,Schale::N,skræl,héj
204,Grube::N,grav,verem
205,Falle::N,fælde,csapda
206,Schlinge::N,snare,tőr
207,Spur::N,spor,nyom
208,Asche::N,aske,hamu
209,Dreck::N,snavs,sár
210,Dreck::N,snavs,piszok
211,Eisen::N,jern,vas
212,Gold::N,guld,arany
213,Silber::N,sølv,ezüst
214,Kohle::N,kul,szén
215,Glas::N,glas,üveg
216,Lehm::N,ler,agyag
217,Lehm::N,ler,vályog
218,Sand::N,sand,homok
219,Mensch::N,mennesge,ember
220,Mann::N,mand,úr
221,Mann::N,mand,férfi
222,Frau::N,kvinde,nő
223,Frau::N,kvinde,asszony
224,Kind::N,barn,gyerek
225,Kind::N,barn,gyermek
226,Junge::N,dreng,fiú
227,Mädchen::N,pige,lány
228,Familie::N,familie,család
229,Großvater::N,bedstefar,nagyapa
