,Concept_ID,br,az
0,Auge::N,lagad,göz
1,Ohr::N,skouarn,qulaq
2,Nase::N,fri,burun
3,Mund::N,genoù,ağız
4,Zahn::N,dant,diş
5,Zunge::N,teod,dil
6,Lippe::N,muzell,dodaq
7,Wange::N,chot,yanaq
8,Gesicht::N,dremm,üz
9,Stirn::N,tal,alın
10,Haar::N,blev,saç
11,Schnurrbart::N,mourenn,bığ
12,Bart::N,barv,saqqal
13,Kinn::N,groñj,çənə
14,Kiefer[Anatomie]::N,javed,çənə
15,Kehle::N,gouzoug,boğaz
16,Hals::N,gouzoug,boyun
17,Genick::N,choug,ənsə
18,Kopf::N,penn,baş
19,Rücken::N,kein,bel
20,Bauch::N,kof,qarın
21,Nabel::N,begel,göbək
22,Busen::N,bronn,məmə
23,Brust::N,bruched,döş
24,Schulter::N,skoaz,çiyin
25,Arm::N,brec'h,qol
26,Ellenbogen::N,ilin,dirsək
27,Hand::N,dorn,əl
28,Handfläche::N,palv,ovuc
29,Finger::N,biz,barmaq
30,Fingernagel::N,ivin,barmaq dırnağı
31,Nagel[Anatomie]::N,ivin,dırnak
32,Zeh::N,biz-troad,ayaq barmağı
33,Fuß::N,troad,ayaq
34,Ferse::N,seul,daban
35,Knie::N,glin,diz
36,Oberschenkel::N,morzhed,bud
37,Bein::N,gar,qıç
38,Körper::N,korf,əndam
39,Haut::N,kroc'hen,dəri
40,Blut::N,gwad,qan
41,Ader::N,gwazhi,damar
42,Sehne::N,stir,vətər
43,Knochen::N,askorn,sümük
44,Gehirn::N,empenn,beyin
45,Herz::N,kalon,ürək
46,Magen::N,stomog,mədə
47,Leber::N,avu,qara ciyər
48,Atem::N,anal,nəfəs
49,Hunger::N,naon,aclıq
50,Träne::N,daer,göz yaşı
51,Geschmack::N,blaz,tam
52,Geschmack::N,blaz,ləzzət
53,Geruch::N,c'hwezh,qoxu
54,Schlaf::N,kousked,yuxu
55,Traum::N,hune,röya
56,Himmel::N,oabl,göy
57,Himmel::N,oabl,səma
58,Sonne::N,heol,günəş
59,Mond::N,loar,ay
60,Stern::N,steredenn,ulduz
61,Luft::N,aer,hava
62,Wind::N,avel,yel
63,Wind::N,avel,külək
64,Welle::N,houlenn,dalğa
65,Wasser::N,dour,su
66,Stein::N,maen,daş
67,Boden::N,tachenn,yer
68,Boden::N,tachenn,zəmin
69,Erde::N,douar,yer torpaq
70,Staub::N,poultr,toz
71,Rauch::N,moged,tüstü
72,Funke::N,ful,qığılcım
73,Feuer::N,tan,od
74,Licht::N,gouloù,işıq
75,Schatten::N,disheol,kölgə
76,Wetter::N,amzer,hava
77,Nebel::N,brumenn,duman
78,Wolke::N,koumoulenn,bulud
79,Regen::N,glav,yağış
80,Regen::N,glav,yağmur
81,Schnee::N,erc'h,qar
82,Eis::N,skorn,buz
83,Frost::N,rev,ayaz
84,Kälte::N,yen,soyuq
85,Hitze::N,tommder,coşğunluq
86,Raureif::N,frim,qırov
87,Regenbogen::N,gwareg-ar-glav,göy qurşağı
88,Donner::N,kurun,göy gurultusu
89,Strömung::N,red,axın
90,Tropfen::N,bannac'h,damcı
91,Tropfen::N,takenn,damcı
92,Schaum::N,spoum,köpük
93,Schmutz::N,fank,çamır
94,See::N,lenn,göl
95,Sumpf::N,gwern,bataqlıq
96,Moor::N,taouarc'heg,bataqlıq
97,Wiese::N,prad,çəmən
98,Wald::N,koad,meşə
99,Hügel::N,torgenn,təpə
100,Anhöhe::N,run,təpə
101,Berg::N,menez,dağ
102,Gipfel::N,barr,zirvə
103,Höhle::N,kav,mağara
104,Abhang::N,naou,yamac
105,Quelle::N,feunteun,bulaq
106,Bach::N,gwazh,kiçik çay
107,Fluss::N,stêr,çay
108,Ufer::N,ribl,kənar
109,Küste::N,aod,sahil
110,Festland::N,douar,materik
111,Meer::N,mor,dəniz
112,Bucht::N,mor-bihan,körfəz
113,Insel::N,enez,ada
114,Blume::N,bleunienn,çiçək
115,Gras::N,geot,ot
116,Wurzel::N,gwrizienn,kök
117,Baum::N,gwezenn,ağac
118,Stamm::N,kef,gövdə
119,Rinde::N,rusk,qabıq
120,Ast::N,barr,şax
121,Zweig::N,bod,budaq
122,Blatt::N,delienn,yarpaq
123,Birke::N,bezvenn,tozağacı
124,Kiefer[Baum]::N,pinenn,şam
125,Weide[Baum]::N,halegenn,söyüd
126,Tanne::N,sapenn,küknar
127,Horn::N,korn,buynuz
128,Feder::N,pluñv,tük
129,Feder::N,pluñv,lələk
130,Fell::N,kreoñ,xəz
131,Flügel::N,askell,qanad
132,Klaue::N,skilf,pəncə
133,Kralle::N,skilf,dırnaq
134,Schwanz::N,lost,quyruq
135,Ei::N,vi,yumurta
136,Nest::N,neizh,yuva
137,Bau::N,douarenn,yuva
138,Tier::N,loen,heyvan
139,Herde::N,tropell,sürü
140,Kuh::N,buoc'h,inək
141,Bulle::N,tarv,öküz
142,Pferd::N,marc'h,at
143,Schaf::N,dañvad,qoyun
144,Schwein::N,pemoc'h,donuz
145,Hund::N,ki,it
146,Hund::N,ki,köpək
147,Katze::N,kazh,pişik
148,Bär::N,arzh,ayı
149,Eichhörnchen::N,gwiñver,dələ
150,Elch::N,karv-dour,sığın
151,Fuchs::N,louarn,tülkü
152,Hase::N,gad,dovşan
153,Maus::N,logodenn,siçan
154,Wolf::N,bleiz,qurd
155,Vogel::N,labous,quş
156,Schwarm::N,nijad,sürü
157,Huhn::N,yar,toyuq
158,Hahn::N,kilhog,xoruz
159,Gans::N,gwazenn,qaz
160,Adler::N,erer,qartal
161,Adler::N,erer,qaraquş
162,Ente::N,houad,ördək
163,Eule::N,toud,bayquş
164,Kranich::N,garan,durna
165,Krähe::N,bran,qarğa
166,Kuckuck::N,koukoug,ququ
167,Schwan::N,alarc'h,qu quşu
168,Fisch::N,pesk,balıq
169,Barsch::N,brell,tar
170,Hecht::N,beked,durnabalığı
171,Schlange[Tier]::N,naer,ilan
172,Wurm::N,preñv,qurd
173,Spinne::N,kevnidenn,hörümçək
174,Ameise::N,merion,qarışqa
175,Laus::N,laouenn,bit
176,Mücke::N,moustik,ağcaqanad
177,Fliege::N,kelienenn,milçək
178,Schmetterling::N,balafenn,kəpənək
179,Beere::N,hog,gilə
180,Apfel::N,aval,alma
181,Pilz::N,kabell-touseg,göbələk
182,Zwiebel::N,ognonenn,soğan
183,Saat::N,had,əkin
184,Korn::N,ed,taxıl
185,Heu::N,foenn,quru ot
186,Schale::N,peliadur,qabıq
187,Falle::N,pech,tələ
188,Falle::N,pech,duzaq
189,Schlinge::N,krouglas,ilmək
190,Asche::N,ludu,kül
191,Dreck::N,fank,kir
192,Eisen::N,houarn,dəmir
193,Gold::N,aour,altun
194,Silber::N,arc'hant,gümüş
195,Kohle::N,glaou,kömür
196,Glas::N,gwer,şüşə
197,Sand::N,traezh,qum
198,Mensch::N,den,adam
199,Mensch::N,den,insan
200,Mann::N,den,kişi
201,Frau::N,maouez,qadın
202,Kind::N,bugel,uşaq
203,Junge::N,paotr,oğlan
204,Mädchen::N,plac'h,qız
205,Familie::N,familh,ailə
206,Großvater::N,tad-kozh,baba
207,Großmutter::N,mamm-gozh,nənə
208,Eltern::N,kerent,valideyn
209,Vater::N,tad,ata
210,Mutter::N,mamm,ana
211,Sohn::N,mab,oğul
212,Tochter::N,merc'h,qız
213,Bruder::N,breur,qardaş
214,Schwester::N,c'hoar,bacı
215,Onkel::N,eontr,əmi
216,Onkel::N,eontr,dayı
217,Tante::N,moereb,bibi
218,Ehemann::N,gwaz,ər
219,Ehefrau::N,gwreg,arvad
220,Freude::N,levenez,nəşə
221,Freude::N,levenez,sevinc
222,Gelächter::N,c'hoarzherezh,gülüş
223,Gelächter::N,c'hoarzherezh,qəhqəhə
224,Glück::N,chañs,səadət
225,Glück::N,chañs,xoşbəxtlik
226,Kummer::N,doan,qəm
227,Kummer::N,doan,kədər
228,Wunsch::N,c'hoant,arzu
229,Lust::N,c'hoant,həvəs
230,Geist::N,spered,ruh
231,Gedanke::N,soñj,fikir
232,Gedanke::N,soñj,düşüncə
233,Gedächtnis::N,eñvor,xatir
234,Gedächtnis::N,eñvor,hafizə
235,Verstand::N,skiant,ağıl
236,Sinn::N,ster,məna
237,Grund::N,kaoz,səbəb
238,Wahrheit::N,gwirionez,haqq
239,Wahrheit::N,gwirionez,doğruluq
240,Gespräch::N,kaozeadenn,söhbət
241,Gespräch::N,kaozeadenn,qonuşma
242,Märchen::N,kaoz korriganez,nağıl
243,Erzählung::N,kontadenn,hekayə
244,Nachricht::N,keloù,xəbər
245,Neuigkeit::N,kelaouenn,xəbər
246,Neuigkeit::N,kelaouenn,yenilik
247,Name::N,anv,ad
248,Rätsel::N,divinatez,tapmaca
249,Rede::N,diskour,nitq
250,Sprache::N,yezh,dil
251,Stimme::N,mouezh,səs
252,Wort::N,ger,söz
253,Wort::N,ger,kəlmə
254,Zeichen::N,sin,nişan
255,Ruf::N,galv,çığırtı
256,Lärm::N,trouz,gurultu
257,Ton::N,ton,ton
258,Lied::N,kanaouenn,mahnı
259,Ruhe::N,sioulded,sakitlik
260,Leute::N,tud,xalq
261,Volk::N,pobl,millət
262,Arbeit::N,labour,iş
263,Arbeit::N,labour,əmək
264,Gast::N,kouviad,qonaq
265,Gast::N,kouviad,müsafir
266,Geschenk::N,prof,hədiyyə
267,Spiel::N,c'hoari,oyun
268,Spiel::N,c'hoari,tamaşa
269,Gesellschaft::N,kompagnunezh,cəmiyyet
270,Gesellschaft::N,kavandad,cəmiyyet
271,Hilfe::N,sikour,kömək
272,Hilfe::N,sikour,yardım
273,Freund::N,mignon,dost
274,Kamerad::N,kamarad,yoldaş
275,Angelegenheit::N,afer,iş
276,Anzahl::N,niver,say
277,Art::N,sort,çeşid
278,Stück::N,tamm,dənə
279,Stück::N,tamm,parça
280,Teil::N,pezh,qisim
281,Hälfte::N,hanterenn,yarım
282,Kreis::N,kelc'h,dairə
283,Kreuz::N,kroaz,xaç
284,Linie::N,linenn,xətt
285,Strich::N,tenn,cızıq
286,Abstand::N,distok,məsafə
287,Entfernung::N,keid,məsafə
288,Entfernung::N,keid,uzaqlıq
289,Entfernung::N,kehid,məsafə
290,Entfernung::N,kehid,uzaqlıq
291,Gegend::N,korn-bro,bölgə
292,Platz::N,plasenn,yer
293,Ort::N,lec'h,yer
294,Seite::N,tu,yan
295,Seite::N,tu,tərəf
296,Mitte::N,kreiz,orta
297,Gegenstand::N,tra,şey
298,Sache::N,tra,şey
299,Rand::N,kantenn,kənar
300,Kante::N,kantenn,tiyə
301,Kante::N,kantenn,kənar
302,Ecke::N,korn,bucaq
303,Spitze::N,begell,uc
304,Ende::N,dibenn,son
305,Ende::N,dibenn,axır
306,Loch::N,toull,deşik
307,Muster::N,tresadenn,ülgü
308,Größe::N,ment,böyüklük
309,Länge::N,hirder,uzunluq
310,Höhe::N,uhelder,yüksəklik
311,Gewicht::N,pouez,çəki
312,Gewicht::N,pouez,ağırlıq
313,Menge::N,bern,miqdar
314,Haufen::N,bern,yığın
315,Reihe::N,steud,səf
316,Reihe::N,steud,sıra
317,Boot::N,bag,qayıq
318,Ruder::N,roeñv,kürək
319,Schlitten::N,trainell,kirşə
320,Ski::N,ski,xizək
321,Last::N,karg,yük
322,Gang::N,kerzh,yeriş
323,Schritt::N,paz,addım
324,Norden::N,norzh,şimal
325,Norden::N,hanternoz,şimal
326,Süden::N,su,cənub
327,Süden::N,kreisteiz,cənub
328,Westen::N,kuzh-heol,qərb
329,Osten::N,reter,şərq
330,Osten::N,sav-heol,şərq
331,Holz::N,koad,ağac
332,Holz::N,koad,taxta
333,Brett::N,plankenn,taxta
334,Platte::N,plakenn,lövhə
335,Stütze::N,harp,dayaq
336,Stütze::N,harp,dəstək
337,Stange::N,sparl,şüvül
338,Stock::N,bazh,dəyənək
339,Stab::N,bazh,əsa
340,Stab::N,bazh,şüvül
341,Rohr::N,tub,boru
342,Rohr::N,tub,truba
343,Rohr::N,korz,boru
344,Rohr::N,korz,truba
345,Haus::N,ti,ev
346,Heim::N,kêr,ev
347,Ofen::N,forn,peç
348,Ofen::N,forn,soba
349,Fußboden::N,plañchod,döşəmə
350,Tisch::N,taol,masa
351,Stuhl::N,kador,stul
352,Wiege::N,kavell,beşik
353,Bett::N,gwele,yataq
354,Regal::N,estajerenn,rəf
355,Kiste::N,kased,yeşik
356,Kiste::N,kased,sandıq
357,Fenster::N,prenestr,pəncərə
358,Tür::N,dor,qapı
359,Tor::N,portal,darvaza
360,Zaun::N,sklotur,çəpər
361,Dach::N,toenn,dam
362,Leiter::N,skeul,nərdivan
363,Besen::N,skubell,süpürgə
364,Spaten::N,pal,kürək
365,Schaufel::N,pal,kürək
366,Gabel::N,fourchetez,çəngəl
367,Löffel::N,loa,qaşıq
368,Messer::N,kontell,bıçaq
369,Nagel::N,tach,mıx
370,Netz::N,roued,tor
371,Haken::N,krog,çəngəl
372,Griff::N,kemer,qulp
373,Griff::N,kemer,tutacaq
374,Schloss::N,potenn,qıfıl
375,Bild::N,skeudenn,rəsm
376,Figur::N,skeud,şəkil
377,Figur::N,skeud,heykəl
378,Figur::N,figur,şəkil
379,Figur::N,figur,heykəl
380,Puppe::N,merc'hodenn,kukla
381,Puppe::N,merc'hodenn,gəlincik
382,Beutel::N,sac'h,kisə
383,Beutel::N,sac'h,torba
384,Bündel::N,feskenn,bağlama
385,Tasche::N,sac'h,çanta
386,Eimer::N,sailh,vedrə
387,Eimer::N,sailh,çəllək
388,Deckel::N,pallenn,qapaq
389,Geschirr::N,listriaj,qab-qazan
390,Sack::N,sac'h,çuval
391,Tasse::N,tas,fincan
392,Topf::N,pod,qazan
393,Kessel::N,chaodouron,qazan
394,Essen::N,pred,yemək
395,Nahrung::N,boued,qida
396,Speise::N,meuz,xörək
397,Fleisch::N,kig,ət
398,Getreide::N,ed,taxıl
399,Brei::N,yod,aş
400,Brei::N,yod,sıyıq
401,Brot::N,bara,çörək
402,Scheibe::N,tailhenn,dilim
403,Fett::N,lard,yağ
404,Butter::N,amann,kərə yağı
405,Öl::N,eoul,yağ
406,Salz::N,holen,duz
407,Suppe::N,soubenn,şorba
408,Honig::N,mel,bal
409,Milch::N,laezh,süd
410,Tee::N,te,çay
411,Leder::N,lêr,dəri
412,Wolle::N,gloan,yun
413,Stoff::N,danvez,qumaş
414,Nadel::N,nadoz,iynə
415,Faden::N,neudenn,sap
416,Knopf::N,bouton,düymə
417,Knoten::N,skoulm,düyün
418,Farbe::N,liv,boya
419,Kleidung::N,dilhad,geyim
420,Hemd::N,roc'hed,köynək
421,Kragen::N,gouzoug,yaxa
422,Ärmel::N,milgin,qol
423,Hose::N,bragoù,şalvar
424,Gürtel::N,gouriz,kəmər
425,Mütze::N,boned,şapka
426,Schuh::N,botez,tufli
427,Schuh::N,botez,ayaqqabı
428,Stiefel::N,botez,çəkmə
429,Ring::N,gwalenn,üzük
430,Band::N,bagad,lent
431,Kamm::N,krib,daraq
432,Spiegel::N,melezour,güzgü
433,Riemen::N,lerenn,qayış
434,Schnur::N,kordenn,ip
435,Leine::N,roll,kəmsik
436,Decke::N,golo,ədyal
437,Decke::N,golo,yorğan
438,Kissen::N,goubenner,yastıq
439,Tuch::N,mezher,şarf
440,Tuch::N,mezher,kaşne
441,Handtuch::N,toailhon,dəsmal
442,Kraft::N,nerzh,güc
443,Stärke::N,nerzhder,qüvvət
444,Gesundheit::N,yec'hed,sağlamlıq
445,Krankheit::N,klañved,xəstəlik
446,Schmerz::N,poan,ağrı
447,Schmerz::N,poan,sancı
448,Schmerz::N,droug,ağrı
449,Schmerz::N,droug,sancı
450,Wunde::N,gloazadenn,yara
451,Fieber::N,terzhienn,isitmə
452,Fieber::N,terzhienn,qızdırma
453,Arznei::N,louzoù,ilaç
454,Arznei::N,louzoù,dərman
455,Brücke::N,pont,körpü
456,Brunnen::N,puñs,quyu
457,Weide::N,prad,otlaq
458,Pfad::N,gwenodenn,cığır
459,Weg::N,hent,yol
460,Straße::N,ru,küçə
461,Straße::N,hent,küçə
462,Dorf::N,kêr,kənd
463,Dorf::N,kêriadenn,kənd
464,Stadt::N,kêr,şəhər
465,Brief::N,lizher,məktub
466,Buch::N,levr,kitab
467,Buchstabe::N,lizherenn,hərf
468,Zeitung::N,kazetenn,qəzet
469,Leben::N,buhez,həyat
470,Tod::N,marv,ölüm
471,Grab::N,bez,qəbir
472,Kirche::N,iliz,kilsə
473,Sünde::N,pec'hed,günah
474,Gott::N,doue,tanrı
475,Arbeiter::N,labourer,işçi
476,Arbeiter::N,micherour,işçi
477,Chef::N,penn,şef
478,Chef::N,penn,rəis
479,Meister::N,mestr,usta
480,Arzt::N,mezeg,həkim
481,Arzt::N,mezeg,doktor
482,Arzt::N,medisin,həkim
483,Arzt::N,medisin,doktor
484,Lehrer::N,skolaer,müəllim
485,Lehrer::N,kelenner,müəllim
486,Geld::N,arc'hant,pul
487,Geschäft::N,stal,ticarət
488,Laden::N,stal,dükan
489,Preis::N,priz,qiymət
490,Ware::N,marc'hadourezh,mal
491,Nutzen::N,gounidegezh,fayda
492,Nutzen::N,lañs,fayda
493,Nutzen::N,profit,fayda
494,Nutzen::N,spleit,fayda
495,Reichtum::N,pinvidigezh,zənginlik
496,Welt::N,douar,aləm
497,Welt::N,douar,dünya
498,Land::N,bro,ölkə
499,Staat::N,stad,dövlət
500,König::N,roue,kral
501,König::N,roue,məlik
502,Macht::N,galloud,qüdrət
503,Grenze::N,harzoù,hüdud
504,Grenze::N,harzoù,sərhət
505,Krieg::N,brezel,hərb
506,Krieg::N,brezel,müharibə
507,Feind::N,eneber,düşmən
508,Gewalt::N,tâerder,cəbr
509,Kampf::N,kann,savaş
510,Bogen[Waffe]::N,gwareg,yay
511,Pfeil::N,saezh,ox
512,Gewehr::N,fuzuilh,tüfəng
513,Fehler::N,fazi,xəta
514,Lüge::N,gaou,yalan
515,Schaden::N,gwall,ziyan
516,Unglück::N,gwalleur,bəla
517,Schuld::N,kablusted,təqsir
518,Schuld::N,pec'hedigezh,təqsir
519,Alter::N,oad,yaş
520,Schluss::N,diwezh,son
521,Zeit::N,amzer,vaxt
522,Zeit::N,amzer,zaman
523,Tag::N,deizh,gün
524,Morgen::N,beure,sabah
525,Morgen::N,mintin,sabah
526,Mittag::N,kreisteiz,günorta
527,Abend::N,abardaez,axşam
528,Nacht::N,noz,gecə
529,Woche::N,sizhun,həftə
530,Monat::N,miz,ay
531,Jahr::N,bloaz,il
532,Frühling::N,nevezamzer,yaz
533,Frühling::N,nevezamzer,bahar
534,Sommer::N,hañv,yay
535,Herbst::N,diskaramzer,payız
536,Winter::N,goañv,qış
537,Januar::N,Genver,Janvar
538,Februar::N,C'hwevrer,Fevral
539,März::N,Meurzh,Mart
540,April::N,Ebrel,Aprel
541,Mai::N,Mae,May
542,Juni::N,Mezheven,İyun
543,Juli::N,Gouhere,İyul
