,Concept_ID,ady,sl
0,Auge::N,нэ,okó
1,Ohr::N,тхьакӏу́м,uhó
2,Nase::N,пэ,nós
3,Mund::N,жэ,ústa
4,Zahn::N,цэ,zób
5,Zunge::N,бзэгу,jêzik
6,Lippe::N,ӏупшӏэ́,ústnica
7,Wange::N,нэкӏу́шъу,líce
8,Gesicht::N,нэ́гу,oblíčje
9,Stirn::N,натӏэ́,čêlo
10,Haar::N,шъхьацы́,lás
11,Bart::N,жакӏэ́,bráda
12,Kinn::N,жэкӏэпэпкъ,bráda
13,Kiefer[Anatomie]::N,жэпкъы́,čeljúst
14,Kehle::N,чый,gŕlo
15,Hals::N,пшъэ,vrát
16,Genick::N,шъхьэпхэтыку,zatílnik
17,Kopf::N,шъхьэ́,gláva
18,Rücken::N,кӏыбы́,hrbèt
19,Bauch::N,ныбэ́,trébuh
20,Busen::N,бгъэ́,nédrja
21,Brust::N,бгъэ́,pŕsi
22,Schulter::N,блыпкъ,ráma
23,Schulter::N,блыпкъ,plêče
24,Arm::N,ӏэ,rôka
25,Ellenbogen::N,ӏэнтэ́гъу,komólec
26,Hand::N,ӏэтхьэцу,rôka
27,Handfläche::N,ӏэ́гу,dlán
28,Finger::N,ӏэхъуа́мб,pŕst
29,Fingernagel::N,ӏэбжъа́н,nóht na rôki
30,Nagel[Anatomie]::N,ӏэбжъа́н,nóht
31,Zeh::N,ӏэхъуа́мб,pŕst na nôgi
32,Fuß::N,лъэгу,nôga
33,Ferse::N,лъэдакъэ,pêta
34,Knie::N,лъагуа́ндж,koléno
35,Oberschenkel::N,ко,stêgno
36,Bein::N,лъакъо́,nôga
37,Körper::N,пкъышъол,teló
38,Haut::N,кӏы́шъу,kóža
39,Blut::N,лъы,krí
40,Ader::N,льытф,žíla
41,Sehne::N,фэ,kíta
42,Knochen::N,къупшъхьэ́,kóst
43,Gehirn::N,куцӏы,možgáni
44,Herz::N,гу,srcé
45,Magen::N,мышкӏу,želódec
46,Leber::N,шӏу,jétra
47,Atem::N,къэщэныр,díh
48,Hunger::N,гъаблэ́,glád
49,Träne::N,нэпсы,sólza
50,Geschmack::N,ӏэшӏугъа́кӏ,okús
51,Geruch::N,мэ,vónj
52,Schlaf::N,пчыхьы́пӏ,sèn
53,Schlaf::N,пчыхьы́пӏ,spánec
54,Traum::N,пчыхьы́пӏ,sánje
55,Himmel::N,уашъо́,nebó
56,Sonne::N,тыгъэ,sónce
57,Mond::N,мазэ,lúna
58,Mond::N,мазэ,mésec
59,Stern::N,жъуагъо́,zvézda
60,Luft::N,жьы,zràk
61,Wind::N,жьыбгъэ́,véter
62,Welle::N,ор,vál
63,Welle::N,оры,vál
64,Wasser::N,псы,vôda
