,Concept_ID,ab,br
0,Auge::N,ала,lagad
1,Ohr::N,алымҳа,skouarn
2,Nase::N,аҧынҵа,fri
3,Mund::N,аҧышə,genoù
4,Zahn::N,ахаҧыц,dant
5,Zunge::N,абз,teod
6,Lippe::N,ақьышə,muzell
7,Wange::N,аӡамҩа,chot
8,Gesicht::N,аҿы,dremm
9,Stirn::N,алахь,tal
10,Haar::N,ахəыц,blev
11,Schnurrbart::N,аҧаҵа,mourenn
12,Bart::N,ажакьа,barv
13,Kinn::N,ацламкəыгə,groñj
14,Kiefer[Anatomie]::N,ацламҳəа,javed
15,Kehle::N,ахəда,gouzoug
16,Hals::N,ахəда,gouzoug
17,Genick::N,ахəдаџьал,choug
18,Kopf::N,ахы,penn
19,Rücken::N,азқəа,kein
20,Bauch::N,амгəа,kof
21,Nabel::N,аҷапан,begel
22,Busen::N,агəыҧҳəы,bronn
23,Brust::N,агəышҧы,bruched
24,Schulter::N,ажəҩахыр,skoaz
25,Arm::N,амахəар,brec'h
26,Ellenbogen::N,амашьхəылҵ,ilin
27,Hand::N,анапы,dorn
28,Handfläche::N,анапсаргəыҵа,palv
29,Finger::N,анацəа,biz
30,Fingernagel::N,анапхыц,ivin
31,Nagel[Anatomie]::N,ашьапхыц,ivin
32,Zeh::N,ашьацəа,biz-troad
33,Fuß::N,ашьапсыргəыҵа,troad
34,Ferse::N,ашьхəа,seul
35,Knie::N,ашьамхы,glin
36,Oberschenkel::N,ауаҭəа,morzhed
37,Bein::N,ашьапы,gar
38,Körper::N,ацəеижь,korf
39,Haut::N,ацəа,kroc'hen
40,Blut::N,ашьа,gwad
41,Ader::N,ада,gwazhi
42,Sehne::N,адаш,stir
43,Knochen::N,абаҩ,askorn
44,Gehirn::N,ахшлыбаҩ,empenn
45,Gehirn::N,ахшыбаҩ,empenn
46,Herz::N,агəы,kalon
47,Magen::N,аца,stomog
48,Magen::N,ацар,stomog
49,Leber::N,агəаҵəа,avu
50,Atem::N,аҧсыҧлагаҩгара,anal
