,Concept_ID,hr,sk
0,Auge::N,oko,oko
1,Ohr::N,uho,ucho
2,Nase::N,nos,nos
3,Mund::N,usta,ústa
4,Zahn::N,zub,zub
5,Zunge::N,jezik,jazyk
6,Lippe::N,usna,pera
7,Wange::N,obraz,líce
8,Gesicht::N,lice,tvár
9,Gesicht::N,lice,obličaj
10,Stirn::N,čelo,čelo
11,Haar::N,kosa,vlas
12,Schnurrbart::N,brkovi,fúzy
13,Bart::N,brada,brada
14,Kinn::N,brada,brada
15,Kinn::N,podbradak,brada
16,Kiefer[Anatomie]::N,čeljust,čeľusť
17,Kehle::N,grlo,hrdlo
18,Hals::N,vrat,krk
19,Genick::N,zatiljak,väzy
20,Kopf::N,glava,hlava
21,Rücken::N,leđa,chrbát
22,Rücken::N,hrbat,chrbát
23,Bauch::N,trbuh,brucho
24,Nabel::N,pupak,pupok
25,Busen::N,sisa,prsia
26,Busen::N,njedra,prsia
27,Brust::N,prsa,hruď
28,Schulter::N,rame,plece
29,Schulter::N,pleći,plece
30,Arm::N,ruka,rameno
31,Ellenbogen::N,lakat,lakeť
32,Hand::N,ruka,ruka
33,Handfläche::N,dlan,dlaň
34,Finger::N,prst,prst
35,Fingernagel::N,nokat,necht
36,Nagel[Anatomie]::N,nokat,necht
37,Zeh::N,nozni prst,prst na nohe
38,Fuß::N,noga,noha
39,Fuß::N,stopalo,noha
40,Ferse::N,peta,päta
41,Knie::N,koljeno,koleno
42,Oberschenkel::N,bedro,stehno
43,Bein::N,noga,noha
44,Körper::N,tijelo,telo
45,Haut::N,put,koža
46,Haut::N,koža,koža
47,Blut::N,krv,krv
48,Ader::N,žila,žila
49,Sehne::N,tetiva,šľacha
50,Knochen::N,kost,kosť
51,Herz::N,srce,srdce
52,Magen::N,stomak,žalúdok
53,Magen::N,želudac,žalúdok
54,Leber::N,jetra,pečeň
55,Atem::N,dah,dych
56,Hunger::N,glad,hlad
57,Träne::N,suza,slza
58,Geschmack::N,ukus,chuť
59,Geruch::N,njuh,pach
60,Geruch::N,miris,pach
61,Schlaf::N,san,spánok
62,Traum::N,san,sen
63,Himmel::N,nebo,nebo
64,Sonne::N,sunce,slnko
65,Mond::N,mjesec,mesiac
66,Stern::N,zvijezda,hviezda
67,Luft::N,zrak,vzduch
68,Wind::N,vjetar,vietor
69,Welle::N,val,vlna
70,Welle::N,talas,vlna
71,Wasser::N,voda,voda
72,Stein::N,kamen,kameň
73,Boden::N,tlo,zem
74,Boden::N,tlo,pôda
75,Boden::N,zemlja,zem
76,Boden::N,zemlja,pôda
77,Erde::N,zemlja,zem
78,Staub::N,prah,prach
79,Staub::N,prašina,prach
80,Rauch::N,dim,dym
81,Funke::N,iskra,iskra
82,Funke::N,varnica,iskra
83,Feuer::N,vatra,oheň
84,Licht::N,svjetlo,svetlo
85,Schatten::N,hlad,tieň
86,Schatten::N,sjena,tieň
87,Wetter::N,vrijeme,počasie
88,Nebel::N,magla,hmla
89,Wolke::N,oblak,oblak
90,Wolke::N,oblak,mračno
91,Regen::N,kiša,dážď
92,Schnee::N,snijeg,sneh
93,Eis::N,led,ľad
94,Frost::N,mraz,mráz
95,Kälte::N,studen,zima
96,Kälte::N,studen,chlad
97,Kälte::N,hladnoća,zima
98,Kälte::N,hladnoća,chlad
99,Hitze::N,vrućina,horúčava
100,Raureif::N,inje,srieň
101,Raureif::N,inje,inovať
102,Regenbogen::N,duga,dúha
103,Donner::N,grom,hrom
104,Donner::N,grmljavina,hrom
105,Strömung::N,struja,prúdenie
106,Strömung::N,strujanje,prúdenie
107,Tropfen::N,kap,kvapka
108,Tropfen::N,kaplja,kvapka
109,Schaum::N,pjena,pena
110,Schmutz::N,nečistoća,špina
111,Schmutz::N,nečistoća,nečistota
112,Schmutz::N,prljavština,špina
113,Schmutz::N,prljavština,nečistota
114,See::N,jezero,jazero
115,Sumpf::N,bara,bahno
116,Moor::N,močvara,močiar
117,Wiese::N,livada,lúka
118,Wald::N,šuma,les
119,Wald::N,šuma,hora
120,Hügel::N,brijeg,vŕšok
121,Hügel::N,brežuljak,vŕšok
122,Anhöhe::N,uzvišica,výšina
123,Anhöhe::N,uzvišica,vyvýšenina
124,Berg::N,brdo,hora
125,Gipfel::N,vrh,vrchol
126,Höhle::N,pećina,jaskyňa
127,Höhle::N,spilja,jaskyňa
128,Abhang::N,obronak,úbočie
129,Abhang::N,nizbrdica,úbočie
130,Quelle::N,izvor,prameň
131,Quelle::N,vrelo,prameň
132,Bach::N,potok,potok
133,Fluss::N,rijeka,rieka
134,Ufer::N,obala,breh
135,Küste::N,obala,pobrežie
136,Küste::N,morska obala,pobrežie
137,Festland::N,kopno,pevnina
138,Meer::N,more,more
139,Bucht::N,zaliv,záliv
140,Bucht::N,zaliv,zátoka
141,Insel::N,ada,ostrov
142,Insel::N,otok,ostrov
143,Blume::N,cvijet,kvet
144,Blume::N,cvijet,kvetina
145,Gras::N,trava,tráva
146,Wurzel::N,korijen,koreň
147,Baum::N,drvo,strom
148,Baum::N,stablo,strom
149,Stamm::N,deblo,kmeň
150,Stamm::N,stablo,kmeň
151,Rinde::N,kora,kôra
152,Ast::N,grana,konár
153,Zweig::N,grana,vetva
154,Blatt::N,list,list
155,Birke::N,breza,breza
156,Kiefer[Baum]::N,bor,sosna
157,Kiefer[Baum]::N,bor,borovica
158,Weide[Baum]::N,iva,vŕba
159,Weide[Baum]::N,vŕba,vŕba
160,Tanne::N,jela,jedľa
161,Horn::N,rog,roh
162,Feder::N,pero,pero
163,Fell::N,koža,koža
164,Fell::N,koža,kožušina
165,Flügel::N,krilo,krídlo
166,Klaue::N,papak,paznecht
167,Kralle::N,pandža,pazúr
168,Schwanz::N,rep,chvost
169,Ei::N,jaje,vajce
170,Ei::N,jaje,vajíčko
171,Nest::N,gnijezdo,hniezdo
172,Bau::N,jazbina,nora
173,Tier::N,životinja,zviera
174,Herde::N,krdo,stádo
175,Herde::N,stado,stádo
176,Kuh::N,krava,krava
177,Bulle::N,bik,býk
178,Pferd::N,konj,kôň
179,Schaf::N,ovca,ovca
180,Schwein::N,svinja,sviňa
181,Hund::N,pas,pes
182,Hund::N,pseto,pes
183,Katze::N,mačka,mačka
184,Bär::N,medvjed,medveď
185,Eichhörnchen::N,vjeverica,veverička
186,Elch::N,los,los
187,Fuchs::N,lisica,líška
188,Hase::N,zec,zajac
189,Maus::N,miš,myš
190,Wolf::N,vuk,vlk
191,Wolf::N,kurjak,vlk
192,Vogel::N,ptica,vták
193,Schwarm::N,roj,roj
194,Schwarm::N,jato,roj
195,Huhn::N,kokoš,kurča
196,Huhn::N,kokoš,sliepka
197,Hahn::N,kokot,kohút
198,Hahn::N,pijevac,kohút
199,Gans::N,guska,hus
200,Adler::N,orao,orol
201,Ente::N,patka,kačka
202,Ente::N,patka,kačica
203,Eule::N,sova,sova
204,Kranich::N,ždral,žeriav
205,Krähe::N,vrana,vrana
206,Kuckuck::N,kukavica,kukučka
207,Schwan::N,labud,labuť
208,Fisch::N,riba,ryba
209,Barsch::N,grgeč,ostriež
210,Hecht::N,štuka,šťuka
211,Schlange[Tier]::N,guja,had
212,Schlange[Tier]::N,zmija,had
213,Wurm::N,crv,červ
214,Spinne::N,pauk,pavúk
215,Ameise::N,mrav,mravec
216,Laus::N,uš,voš
217,Mücke::N,komarac,komár
218,Fliege::N,muha,mucha
219,Schmetterling::N,leptir,motýľ
220,Beere::N,boba,bobuľa
221,Beere::N,bobica,bobuľa
222,Apfel::N,jabuka,jablko
223,Pilz::N,pečurka,hríb
224,Zwiebel::N,luk,cibuľa
225,Zwiebel::N,kapula,cibuľa
226,Saat::N,sjemenje,osivo
227,Korn::N,zrno,zrno
228,Heu::N,sijeno,seno
229,Schale::N,kora,šupa
230,Schale::N,kora,škrupina
231,Schale::N,ljuska,šupa
232,Schale::N,ljuska,škrupina
