,Concept_ID,sl,da
0,Auge::N,okó,øje
1,Ohr::N,uhó,øre
2,Nase::N,nós,næse
3,Mund::N,ústa,mund
4,Zahn::N,zób,tand
5,Zunge::N,jêzik,tunge
6,Lippe::N,ústnica,læbe
7,Wange::N,líce,kind
8,Gesicht::N,oblíčje,ansigt
9,Stirn::N,čêlo,pande
10,Haar::N,lás,hår
11,Schnurrbart::N,bŕki,overskæg
12,Bart::N,bráda,skæg
13,Kinn::N,bráda,hage
14,Kiefer[Anatomie]::N,čeljúst,kæbe
15,Kehle::N,gŕlo,strube
16,Hals::N,vrát,hals
17,Genick::N,zatílnik,nakke
18,Kopf::N,gláva,hoved
19,Rücken::N,hrbèt,ryg
20,Bauch::N,trébuh,mave
21,Nabel::N,pópek,navle
22,Busen::N,nédrja,barm
23,Brust::N,pŕsi,bryst
24,Schulter::N,ráma,skulder
25,Schulter::N,plêče,skulder
26,Arm::N,rôka,arm
27,Ellenbogen::N,komólec,albue
28,Hand::N,rôka,hånd
29,Handfläche::N,dlán,håndflade
30,Finger::N,pŕst,finger
31,Fingernagel::N,nóht na rôki,fingernegl
32,Nagel[Anatomie]::N,nóht,negl
33,Zeh::N,pŕst na nôgi,tå
34,Fuß::N,nôga,fod
35,Ferse::N,pêta,hæl
36,Knie::N,koléno,knæ
37,Oberschenkel::N,stêgno,lår
38,Bein::N,nôga,ben
39,Körper::N,teló,krop
40,Körper::N,teló,legeme
41,Haut::N,kóža,hud
42,Blut::N,krí,blod
43,Ader::N,žíla,åre
44,Sehne::N,kíta,sene
45,Knochen::N,kóst,ben
46,Gehirn::N,možgáni,hjerne
47,Herz::N,srcé,hjerte
48,Magen::N,želódec,mave
49,Leber::N,jétra,lever
50,Atem::N,díh,ånde
51,Hunger::N,glád,sult
52,Träne::N,sólza,tåre
53,Geschmack::N,okús,smag
54,Geruch::N,vónj,lugt
55,Schlaf::N,sèn,søvn
56,Schlaf::N,spánec,søvn
57,Traum::N,sánje,drøm
