,Concept_ID,ca,ba
0,Auge::N,ull,күҙ
1,Ohr::N,orella,ҡолаҡ
2,Nase::N,nas,танау
3,Mund::N,boca,ауыҙ
4,Zahn::N,dent,теш
5,Zunge::N,llēngua,тел
6,Lippe::N,llavi,ирен
7,Wange::N,galta,яцаҡтар
8,Gesicht::N,cara,бит
9,Stirn::N,front,маңлай
10,Haar::N,cabēll,сәс
11,Schnurrbart::N,bigoti,мылтыҡ
12,Bart::N,barba,һаҡал
13,Kinn::N,mentó,эйэк
14,Kinn::N,barbeta,эйэк
15,Kiefer[Anatomie]::N,queix,яңаҡ һөйәге
16,Kiefer[Anatomie]::N,mandíbula,яңаҡ һөйәге
17,Kehle::N,gola,тамаҡ
18,Kehle::N,gorja,тамаҡ
19,Hals::N,coll,муйын
20,Genick::N,nuca,соңҡа
21,Kopf::N,cap,баш
22,Rücken::N,esquena,арҡа
23,Bauch::N,panxa,ҡорһаҡ
24,Nabel::N,llombrígol,кендек
25,Busen::N,pit,күкрәк
26,Busen::N,mama,күкрәк
27,Brust::N,pit,түш
28,Schulter::N,espatlla,яурын
29,Arm::N,braç,ҡул
30,Ellenbogen::N,colze,терһәк
31,Hand::N,mà,ҡул
32,Hand::N,mà,ҡул суғы
33,Handfläche::N,palma,ус төбө
34,Finger::N,dit,бармаҡ
35,Fingernagel::N,ungla,тырнаҡ
36,Nagel[Anatomie]::N,ungla,тырнаҡ
37,Zeh::N,dit del peu,бармаҡ
38,Fuß::N,peu,табан
39,Ferse::N,taló,үксә
40,Knie::N,genoll,тубыҡ
41,Oberschenkel::N,cuixa,сандыр
42,Bein::N,cama,аяҡ
43,Körper::N,cos,тән
44,Haut::N,pell,тире
45,Blut::N,sang,ҡан
46,Ader::N,vena,тамыр
47,Sehne::N,tendó,һеңер
48,Sehne::N,tendó,тарамыш
49,Knochen::N,os,һойәк
50,Gehirn::N,cervell,мейе
51,Herz::N,cor,йорәк
52,Magen::N,estómac,ашҡаҙан
53,Leber::N,fetge,бауыр
54,Atem::N,alè,һулыш
55,Atem::N,hàlit,һулыш
56,Hunger::N,fam,аслыҡ
57,Hunger::N,gana,аслыҡ
58,Träne::N,llàgrima,күҙ иәше
59,Geschmack::N,gust,тәм
60,Geschmack::N,sabor,тәм
61,Geruch::N,olor,еҫ
62,Schlaf::N,son,йоҡлау
63,Traum::N,somni,төш
64,Himmel::N,celm,күк
65,Sonne::N,sol,ҡояш
66,Mond::N,lluna,ай
67,Stern::N,estel,йондоҙ
68,Stern::N,estrella,йондоҙ
69,Luft::N,aire,һауа
70,Wind::N,vent,ел
71,Welle::N,ona,тулҡын
72,Wasser::N,āigua,һыу
73,Stein::N,pedra,таш
74,Boden::N,sòl,тупраҡ
75,Erde::N,terra,балсҡ
76,Staub::N,pols,туҙан
77,Rauch::N,fum,төтөн
78,Funke::N,guspira,осҡон
79,Funke::N,centella,осҡон
80,Feuer::N,foc,ут
81,Licht::N,llum,яҡтылыҡ
82,Schatten::N,ombra,күләгә
83,Wetter::N,temps,һауа торошо
84,Nebel::N,boira,төман
85,Wolke::N,núvol,болот
86,Regen::N,pluja,ямғыр
87,Schnee::N,neu,ҡар
88,Eis::N,gel,боҙ
89,Eis::N,glaç,боҙ
90,Frost::N,glaçada,һалҡын
91,Kälte::N,fred,һыуыҡ
92,Hitze::N,calor,томра
93,Hitze::N,calor,эҫелек
94,Raureif::N,gebre,ҡырау
95,Regenbogen::N,arc iris,йәйғор
96,Donner::N,tro,күк күкрәү
97,Strömung::N,corrent,ағым
98,Tropfen::N,gota,тамсы
99,Schaum::N,escuma,күбек
100,Schmutz::N,brutícia,батҡаҡ
101,See::N,llac,күл
102,Sumpf::N,pantà,һаҙлык
103,Moor::N,pantà,һаҙ
104,Wiese::N,prat,болон
105,Wiese::N,prada,болон
106,Wald::N,bosc,урман
107,Hügel::N,puig,түбә
108,Hügel::N,pujol,түбә
109,Anhöhe::N,turó,түбә
110,Anhöhe::N,turó,ҡалҡыулыҡ
111,Berg::N,muntanya,тау
112,Gipfel::N,cim,түбә
113,Höhle::N,cova,мәмерйә
114,Abhang::N,coster,ипкен
115,Quelle::N,font,шишмә
116,Bach::N,riera,шишмә
117,Fluss::N,riu,йылға
118,Ufer::N,riba,яр
119,Küste::N,costa,яр буйы
120,Festland::N,terra ferma,ҡоро ер
121,Meer::N,mar,диңгез
122,Bucht::N,cala,бухта
123,Bucht::N,badia,бухта
124,Insel::N,illa,үтрау
125,Blume::N,flor,сәскә
126,Gras::N,herba,үлән
127,Wurzel::N,rel,тамыр
128,Wurzel::N,arrel,тамыр
129,Baum::N,arbre,ағас
130,Stamm::N,tronc,олон
131,Stamm::N,tronc,көбәк
132,Rinde::N,escorça,ҡабыҡ
133,Ast::N,branca,ботаҡ
134,Zweig::N,ram,ботаҡ
135,Zweig::N,ram,тармаҡ
136,Blatt::N,fulla,япраҡ
137,Birke::N,bedoll,ҡайын
138,Kiefer[Baum]::N,pi,ҡарғай
139,Weide[Baum]::N,salze,тал
140,Tanne::N,avet,шыршы
141,Horn::N,corn,мөғөҙ
142,Horn::N,banya,мөғөҙ
143,Feder::N,ploma,ҡауырһын
144,Fell::N,pell,тире
145,Flügel::N,ala,ҡанат
146,Klaue::N,urpa,тырнаҡ
147,Kralle::N,grapa,аяҡ
148,Schwanz::N,cua,ҡойроҡ
149,Ei::N,ou,йомортҡа
150,Nest::N,niu,оя
151,Bau::N,cau,оң
152,Tier::N,animāl,жайуан
153,Tier::N,animāl,йыртҡыс
154,Herde::N,ramat,көтөү
155,Kuh::N,vaca,һыйыр
156,Bulle::N,toro,үгеҙ
157,Pferd::N,cavāll,ат
158,Schaf::N,be,һарыҡ
159,Schaf::N,ovella,һарыҡ
160,Schwein::N,bacó,сусҡа
161,Hund::N,ca,эт
162,Hund::N,gos,эт
163,Katze::N,gat,бесәй
164,Bär::N,ós,айыу
165,Eichhörnchen::N,esquirol,тейен
166,Elch::N,ant,мышы
167,Fuchs::N,guilla,төлкө
168,Hase::N,llebre,ҡуян
169,Maus::N,ratolí,сысҡан
170,Wolf::N,llop,бүре
171,Vogel::N,au,ҡош
172,Vogel::N,ocēll,ҡош
173,Schwarm::N,bandada,көтөү
174,Huhn::N,gallina,тауыҡ
175,Hahn::N,gall,әтәс
176,Gans::N,oca,ҡаҙ
177,Adler::N,àguila,бөркөт
178,Ente::N,ànec,өйрәк
179,Eule::N,òliba,өкө
180,Eule::N,òliba,ябалаҡ
181,Eule::N,mussol,өкө
182,Eule::N,mussol,ябалаҡ
183,Kranich::N,grua,торна
184,Krähe::N,cornella,ҡарға
185,Kuckuck::N,cucut,кәкүк
186,Schwan::N,cigne,аҡҡош
187,Fisch::N,peix,балыҡ
188,Barsch::N,perca,алабуға
189,Hecht::N,lluç,суртан
190,Schlange[Tier]::N,serp,йылан
191,Wurm::N,cuc,селяүсен
192,Spinne::N,aranya,үрмәксе
193,Ameise::N,formiga,ҡырмыҫҡа
194,Laus::N,poll,бет
195,Mücke::N,mosquit,серәкәй
196,Fliege::N,mosca,себен
197,Schmetterling::N,papallona,күбәләк
198,Beere::N,baia,еләк
199,Apfel::N,poma,алма
200,Pilz::N,bolet,бәшмәк
201,Zwiebel::N,ceba,һуган
202,Saat::N,sembra,орлоҡ
203,Korn::N,gra,иген
204,Heu::N,fenc,бесән
205,Schale::N,closca,ҡабыҡ
206,Grube::N,sot,соҡор
207,Grube::N,clot,соҡор
208,Falle::N,trampa,тоҙак
209,Falle::N,trampa,ҡапҡан
210,Schlinge::N,baga,тоҙак
211,Spur::N,traça,әҫер
212,Asche::N,cendra,көл
213,Dreck::N,llot,батҡаҡ
214,Eisen::N,ferro,тимер
215,Gold::N,or,алтын
216,Silber::N,plata,көмөш
217,Kohle::N,carbó,күмер
218,Glas::N,vidre,быяла
219,Lehm::N,fang,балсыҡ
220,Lehm::N,argila,балсыҡ
221,Sand::N,arena,ҡом
222,Mensch::N,humà,кеше
223,Mensch::N,persona,кеше
224,Mann::N,home,ир
225,Frau::N,dona,ҡатын
226,Kind::N,nen,бала
227,Junge::N,noi,малай
228,Mädchen::N,noia,ҡыҙ
229,Mädchen::N,noia,ҡыҙыҡай
230,Familie::N,família,ғаилә
231,Großvater::N,avi,олатай
232,Großmutter::N,àvia,әбәй
233,Eltern::N,pares,ата-әсә
234,Vater::N,pare,атай
235,Mutter::N,mare,әсә
236,Sohn::N,fill,ул
237,Tochter::N,filla,ҡыҙ
238,Bruder::N,germà,агай
239,Schwester::N,germana,алай
240,Schwester::N,germana,һеңле
241,Onkel::N,oncle,ағай
242,Tante::N,tia,апай
243,Ehemann::N,espòs,ир
244,Ehefrau::N,muller,ҡатын
245,Freude::N,goig,шатлыҡ
246,Freude::N,goig,ҡыуаныс
247,Freude::N,alegria,шатлыҡ
248,Freude::N,alegria,ҡыуаныс
249,Gelächter::N,riallada,көлөү
250,Glück::N,felicitat,бәхет
251,Kummer::N,pena,ҡайғы
252,Wunsch::N,desig,теләк
253,Lust::N,ganes,әүәҫлек
254,Geist::N,ment,аң
255,Geist::N,ment,рух
256,Geist::N,esperit,аң
257,Geist::N,esperit,рух
258,Gedanke::N,pensament,уй
259,Gedanke::N,pensament,фекер
260,Gedächtnis::N,memòria,хәтер
261,Verstand::N,raó,аҡыл
262,Verstand::N,seny,аҡыл
263,Sinn::N,solta,мәғәня
264,Sinn::N,sentit,мәғәня
265,Grund::N,raó,сәбәп
266,Grund::N,causa,сәбәп
267,Wahrheit::N,veritāt,дөрөҫлөк
268,Gespräch::N,conversa,әңгәмә
269,Märchen::N,conte,әкиәт
270,Erzählung::N,narració,хикәйә
271,Nachricht::N,missatge,хәбәр
272,Neuigkeit::N,novetat,яңылыҡ
273,Name::N,nom,исем
274,Rätsel::N,endevinalla,йомаҡ
275,Rede::N,discurs,телмәр
276,Sprache::N,llēngua,тел
277,Sprache::N,llēngua,телмәр
278,Stimme::N,veu,тауыш
279,Wort::N,mot,һүҙ
280,Wort::N,paraula,һүҙ
281,Zeichen::N,signe,билдә
282,Zeichen::N,senyal,билдә
283,Ruf::N,crida,саҡырыу
284,Lärm::N,sorōll,шаулау
285,Laut::N,so,тауыш
286,Ton::N,to,яңғырау
287,Lied::N,cançó,йыр
288,Ruhe::N,calma,ял
289,Ruhe::N,calma,тыныслыҡ
290,Ruhe::N,silenci,ял
291,Ruhe::N,silenci,тыныслыҡ
292,Leute::N,gent,кешеләр
293,Volk::N,poble,халҡ
294,Arbeit::N,labor,эш
295,Arbeit::N,treball,эш
296,Gast::N,hoste,ҡунаҡ
297,Geschenk::N,regal,бүләк
298,Geschenk::N,obsequi,бүләк
299,Spiel::N,joc,уйын
300,Gesellschaft::N,companyia,йәмғиәт
301,Hilfe::N,ajut,ярҙам
302,Freund::N,amīc,дуҫ
303,Kamerad::N,company,иптәш
304,Kamerad::N,camarada,иптәш
305,Angelegenheit::N,afer,әш
306,Angelegenheit::N,assumpte,әш
307,Anzahl::N,nombre,һан
308,Anzahl::N,quantitat,һан
309,Art::N,tipus,төр
310,Art::N,classe,төр
311,Stück::N,peça,киҫәк
312,Teil::N,part,өлөш
313,Hälfte::N,meitat,ярты
314,Kreis::N,cercle,түңәрәк
315,Kreuz::N,creu,тәре
316,Linie::N,línia,һыҙыҡ
317,Strich::N,traç,һыҙат
