,Concept_ID,pl,kv
0,Auge::N,oko,син
1,Ohr::N,ucho,пель
2,Nase::N,nos,ныр
3,Mund::N,usta,ӧм
4,Zahn::N,ząb,пинь
5,Zunge::N,język,кыв
6,Lippe::N,warga,тырп
7,Wange::N,policzek,рожабан
8,Gesicht::N,twarz,бан
9,Stirn::N,czoło,кымӧс
10,Haar::N,włos,юрси
11,Haar::N,włosy,юрси
12,Schnurrbart::N,wąsy,уссэз
13,Bart::N,broda,тош
14,Kinn::N,podbródek,тшӧка
15,Kiefer[Anatomie]::N,czeluść,ан
16,Kehle::N,gardło,юан
17,Hals::N,szyja,юан
18,Genick::N,kark,юр бӧр
19,Kopf::N,głowa,юр
20,Rücken::N,plecy,мышк
21,Rücken::N,grzbiet,мышк
22,Bauch::N,brzuch,кынӧм
23,Nabel::N,pępek,гӧг
24,Busen::N,biust,морос
25,Brust::N,pierś,морос
26,Schulter::N,bark,пельпон
27,Schulter::N,ramię,пельпон
28,Arm::N,ręka,ки
29,Arm::N,ramię,ки
30,Ellenbogen::N,łokieć,гырдзза
31,Hand::N,dłoń,кикар
32,Handfläche::N,dłoń,ки пыдӧс
33,Finger::N,palec,чунь
34,Fingernagel::N,paznokieć,гыж
35,Nagel[Anatomie]::N,paznokieć,гыж
36,Zeh::N,palec,чунь
37,Fuß::N,stopa,кокпыдӧс
38,Ferse::N,pięta,кокдзир
39,Knie::N,kolano,пидзӧс
40,Oberschenkel::N,udo,лядьбей
41,Bein::N,noga,кок
42,Körper::N,ciało,вывтыр
43,Haut::N,skóra,кучик
44,Blut::N,krew,вир
45,Ader::N,żyła,сӧн
46,Sehne::N,ścięgno,жила
47,Knochen::N,kość,коска
48,Gehirn::N,mózg,вем
49,Herz::N,serce,сьӧлӧм
50,Magen::N,żołądek,жӧвдӧк
51,Leber::N,wątroba,мус
52,Atem::N,dech,лолалӧм
53,Atem::N,oddech,лолалӧм
54,Hunger::N,głód,тшыг
55,Träne::N,łza,синва
56,Geschmack::N,smak,кӧр
57,Geruch::N,woń,дук
58,Geruch::N,zapach,дук
59,Schlaf::N,sen,он
60,Traum::N,sen,вӧт
61,Himmel::N,niebo,небо
62,Sonne::N,słońce,шондi
63,Mond::N,księżyc,тӧлiсь
64,Stern::N,gwiazda,кӧдзыв
65,Luft::N,powietrze,ру
66,Wind::N,wiatr,тӧв
67,Welle::N,fala,гы
68,Wasser::N,woda,ва
69,Stein::N,kamień,из
70,Boden::N,grunt,му
71,Erde::N,ziemia,му
72,Staub::N,pył,бус
73,Staub::N,kurz,бус
74,Rauch::N,dym,тшын
75,Funke::N,iskra,бичир
76,Feuer::N,ogień,би
77,Licht::N,światło,би
78,Schatten::N,cień,вуджӧр
79,Wetter::N,pogoda,погоддя
80,Nebel::N,mgła,туман
81,Wolke::N,obłok,кымӧр
82,Wolke::N,chmura,кымӧр
83,Regen::N,deszcz,зэр
84,Schnee::N,śnieg,лым
85,Eis::N,lód,йы
86,Frost::N,mróz,мороз
87,Kälte::N,chłód,кӧдзыт
88,Hitze::N,gorąco,ӧд
89,Raureif::N,szron,кижа
90,Regenbogen::N,tęcza,енӧшка
91,Donner::N,grzmot,гым
