,Concept_ID,da,ab
0,Auge::N,øje,ала
1,Ohr::N,øre,алымҳа
2,Nase::N,næse,аҧынҵа
3,Mund::N,mund,аҧышə
4,Zahn::N,tand,ахаҧыц
5,Zunge::N,tunge,абз
6,Lippe::N,læbe,ақьышə
7,Wange::N,kind,аӡамҩа
8,Gesicht::N,ansigt,аҿы
9,Stirn::N,pande,алахь
10,Haar::N,hår,ахəыц
11,Schnurrbart::N,overskæg,аҧаҵа
12,Bart::N,skæg,ажакьа
13,Kinn::N,hage,ацламкəыгə
14,Kiefer[Anatomie]::N,kæbe,ацламҳəа
15,Kehle::N,strube,ахəда
16,Hals::N,hals,ахəда
17,Genick::N,nakke,ахəдаџьал
18,Kopf::N,hoved,ахы
19,Rücken::N,ryg,азқəа
20,Bauch::N,mave,амгəа
21,Nabel::N,navle,аҷапан
22,Busen::N,barm,агəыҧҳəы
23,Brust::N,bryst,агəышҧы
24,Schulter::N,skulder,ажəҩахыр
25,Arm::N,arm,амахəар
26,Ellenbogen::N,albue,амашьхəылҵ
27,Hand::N,hånd,анапы
28,Handfläche::N,håndflade,анапсаргəыҵа
29,Finger::N,finger,анацəа
30,Fingernagel::N,fingernegl,анапхыц
31,Nagel[Anatomie]::N,negl,ашьапхыц
32,Zeh::N,tå,ашьацəа
33,Fuß::N,fod,ашьапсыргəыҵа
34,Ferse::N,hæl,ашьхəа
35,Knie::N,knæ,ашьамхы
36,Oberschenkel::N,lår,ауаҭəа
37,Bein::N,ben,ашьапы
38,Körper::N,krop,ацəеижь
39,Körper::N,legeme,ацəеижь
40,Haut::N,hud,ацəа
41,Blut::N,blod,ашьа
42,Ader::N,åre,ада
43,Sehne::N,sene,адаш
44,Knochen::N,ben,абаҩ
45,Gehirn::N,hjerne,ахшлыбаҩ
46,Gehirn::N,hjerne,ахшыбаҩ
47,Herz::N,hjerte,агəы
48,Magen::N,mave,аца
49,Magen::N,mave,ацар
50,Leber::N,lever,агəаҵəа
51,Atem::N,ånde,аҧсыҧлагаҩгара
52,Hunger::N,sult,амла
53,Träne::N,tåre,алабжыш
54,Geschmack::N,smag,агьама
55,Geruch::N,lugt,афҩы
56,Schlaf::N,søvn,ацəа
57,Traum::N,drøm,аҧхыӡ
58,Himmel::N,himmel,ажəҩан
59,Sonne::N,sol,амра
60,Mond::N,måne,амза
61,Stern::N,stjerne,аеҵəа
62,Luft::N,luft,аҳаир
63,Wind::N,vind,аҧша
64,Welle::N,bølge,ацəқəырҧа
65,Wasser::N,vand,аӡы
66,Stein::N,sten,ахаҳə
67,Boden::N,jord,адгьыл
68,Erde::N,jord,адгьыл
69,Staub::N,støv,асаба
70,Rauch::N,røg,алҩа
71,Funke::N,gnist,акəиц
72,Funke::N,gnist,ацҧхь
73,Feuer::N,ild,амца
74,Licht::N,lys,алашара
75,Schatten::N,skygge,ашəшьыра
76,Wetter::N,vejr,амш
77,Nebel::N,tåge,анаҟəа
78,Wolke::N,sky,аҧсҭҳəа
79,Regen::N,regn,ақəа
80,Schnee::N,sne,асы
81,Eis::N,is,аҵаа
82,Frost::N,frost,аҵаа
83,Kälte::N,kulde,ахьҭа
84,Hitze::N,hede,ашоура
85,Raureif::N,rimfrost,аҵааҧшқа
86,Regenbogen::N,regnbue,ацəаҟəа
87,Donner::N,torden,адыд
88,Strömung::N,strømning,аиасра
89,Strömung::N,strømning,амҩасра
90,Tropfen::N,dråbe,ацəыкəбар
91,Schaum::N,skum,ашəах
92,Schmutz::N,snavs,алымт
93,See::N,sø,аӡиа
94,Sumpf::N,sump,аӡмах
95,Moor::N,mose,
96,Wiese::N,eng,адəы
97,Wald::N,skov,абна
98,Hügel::N,høj,ахəы
99,Hügel::N,bakke,ахəы
100,Anhöhe::N,høj,аҳаракыра
101,Anhöhe::N,bakke,аҳаракыра
102,Berg::N,bjerg,ашьха
103,Gipfel::N,top,ацəқəа
104,Höhle::N,hule,аҳаҧы
105,Abhang::N,skrænt,анаара
106,Abhang::N,skråning,анаара
107,Quelle::N,kilde,аҵҵырҭа
108,Bach::N,bæk,акəараҷҷа
109,Fluss::N,flod,аӡиас
110,Ufer::N,bred,ахықə
111,Küste::N,kyst,ахықə
112,Festland::N,fastland,абарра
113,Meer::N,hav,амшын
114,Bucht::N,bugt,аӡбжьахала
115,Insel::N,ø,адгьылбжьаха
116,Blume::N,blomst,ашəҭ
117,Gras::N,græs,аҳасакьын
118,Wurzel::N,rod,адац
119,Baum::N,træ,аҵла
120,Stamm::N,stamme,ашьапы
121,Rinde::N,bark,ацəа
122,Ast::N,gren,амахə
