,Concept_ID,mhr,zh
0,Auge::N,шинча́,眼睛
1,Ohr::N,пы́лыш,耳朵
2,Nase::N,нер,鼻子
3,Mund::N,умша́,嘴
4,Zahn::N,пӱй,牙齿
5,Zunge::N,йы́лме,舌头
6,Lippe::N,тӱ́рвӧ,嘴唇
7,Wange::N,шӱ́ргӧ,面颊
8,Gesicht::N,чури́й,脸
9,Stirn::N,саҥга́,额
10,Haar::N,ӱп,头发
11,Schnurrbart::N,ӧ́рыш,髭须
12,Bart::N,понда́ш,胡子
13,Kinn::N,оҥыла́ш,下巴
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,颌
15,Kiefer[Anatomie]::N,пӱйората́,颌
16,Kehle::N,лога́р,嗓子
17,Hals::N,шӱй,颈
18,Genick::N,шӱйло́дыш,后颈
19,Kopf::N,вуй,头
20,Rücken::N,туп,背
21,Bauch::N,мӱ́шкыр,肚子
22,Nabel::N,кы́лымде,肚脐
23,Busen::N,чы́зе,胸脯
24,Brust::N,оҥ,胸
25,Schulter::N,ва́че,肩膀
26,Arm::N,кид,臂膀
27,Ellenbogen::N,кынерву́й,肘
28,Hand::N,кид,手
29,Hand::N,копа́,手
30,Handfläche::N,со́во,手掌
31,Finger::N,парня́,手指
32,Fingernagel::N,кидкӱ́ч,指甲
33,Fingernagel::N,парнягӱ́ч,指甲
34,Nagel[Anatomie]::N,кӱч,指甲
35,Zeh::N,йолварня́,脚趾
36,Fuß::N,йол,脚
37,Fuß::N,йолкопа́,脚
38,Ferse::N,тага́н,后跟
39,Knie::N,пулву́й,膝
40,Oberschenkel::N,э́рде,大腿
41,Bein::N,йол,腿
42,Körper::N,кап,身体
43,Haut::N,кова́ште,皮肤
44,Blut::N,вӱр,血
45,Ader::N,шӧн,血管
46,Sehne::N,шӧн,腱
47,Sehne::N,кӱсе́н,腱
48,Knochen::N,лу,骨
49,Gehirn::N,вем,脑
50,Gehirn::N,вуйве́м,脑
51,Herz::N,шӱм,心
52,Magen::N,пага́р,胃
53,Leber::N,мокш,肝
54,Atem::N,шӱ́лыш,呼吸
55,Hunger::N,шужыма́ш,饿
56,Träne::N,шинчавӱ́д,眼泪
57,Geschmack::N,там,味道
58,Geruch::N,пуш,气味
