,Concept_ID,et,hr
0,Auge::N,silm,oko
1,Ohr::N,kõrv,uho
2,Nase::N,nina,nos
3,Mund::N,suu,usta
4,Zahn::N,hammas,zub
5,Zunge::N,keel,jezik
6,Lippe::N,huul,usna
7,Wange::N,põsk,obraz
8,Gesicht::N,nägu,lice
9,Stirn::N,otsmik,čelo
10,Haar::N,juus,kosa
11,Schnurrbart::N,vurrud,brkovi
12,Schnurrbart::N,vuntsid,brkovi
13,Bart::N,habe,brada
14,Kinn::N,lõug,brada
15,Kinn::N,lõug,podbradak
16,Kiefer[Anatomie]::N,lõualuu,čeljust
17,Kehle::N,kõri,grlo
18,Hals::N,kael,vrat
19,Genick::N,kukal,zatiljak
20,Kopf::N,pea,glava
21,Rücken::N,selg,leđa
22,Rücken::N,selg,hrbat
23,Bauch::N,kõht,trbuh
24,Nabel::N,naba,pupak
25,Busen::N,rind,sisa
26,Busen::N,rind,njedra
27,Brust::N,rind,prsa
28,Schulter::N,õlg,rame
29,Schulter::N,õlg,pleći
30,Arm::N,käsivars,ruka
31,Ellenbogen::N,küünarnukk,lakat
32,Hand::N,käsi,ruka
33,Handfläche::N,pihk,dlan
34,Finger::N,sõrm,prst
35,Fingernagel::N,küüs,nokat
36,Nagel[Anatomie]::N,küüs,nokat
37,Zeh::N,varvas,nozni prst
38,Fuß::N,jalg,noga
39,Fuß::N,jalg,stopalo
40,Ferse::N,kand,peta
41,Knie::N,põlv,koljeno
42,Oberschenkel::N,reis,bedro
43,Bein::N,jalg,noga
44,Körper::N,ihu,tijelo
45,Körper::N,keha,tijelo
46,Haut::N,nahk,put
47,Haut::N,nahk,koža
48,Blut::N,veri,krv
49,Ader::N,veen,žila
50,Sehne::N,kõõlus,tetiva
51,Knochen::N,luu,kost
52,Gehirn::N,aju,
53,Herz::N,süda,srce
54,Magen::N,magu,stomak
55,Magen::N,magu,želudac
56,Leber::N,maks,jetra
57,Atem::N,hingeõhk,dah
58,Atem::N,hingamine,dah
59,Hunger::N,nälg,glad
60,Träne::N,pisar,suza
61,Geschmack::N,maitse,ukus
62,Geruch::N,lõhn,njuh
63,Geruch::N,lõhn,miris
64,Schlaf::N,uni,san
65,Traum::N,unenägu,san
66,Himmel::N,taevas,nebo
67,Sonne::N,päike,sunce
68,Mond::N,kuu,mjesec
69,Stern::N,täht,zvijezda
70,Luft::N,õhk,zrak
71,Wind::N,tuul,vjetar
72,Welle::N,laine,val
73,Welle::N,laine,talas
74,Wasser::N,vesi,voda
75,Stein::N,kivi,kamen
76,Boden::N,maa,tlo
77,Boden::N,maa,zemlja
78,Boden::N,pinnas,tlo
79,Boden::N,pinnas,zemlja
80,Erde::N,maa,zemlja
81,Staub::N,põrm,prah
82,Staub::N,põrm,prašina
83,Rauch::N,suits,dim
84,Funke::N,säde,iskra
85,Funke::N,säde,varnica
86,Feuer::N,tuli,vatra
87,Licht::N,valgus,svjetlo
88,Schatten::N,vari,hlad
89,Schatten::N,vari,sjena
90,Wetter::N,ilm,vrijeme
91,Nebel::N,udu,magla
92,Wolke::N,pilv,oblak
93,Regen::N,sadu,kiša
94,Schnee::N,lumi,snijeg
95,Eis::N,jää,led
96,Frost::N,pakane,mraz
97,Kälte::N,külm,studen
98,Kälte::N,külm,hladnoća
99,Kälte::N,külmus,studen
100,Kälte::N,külmus,hladnoća
101,Hitze::N,kuumus,vrućina
102,Hitze::N,palavus,vrućina
103,Raureif::N,härmatis,inje
104,Regenbogen::N,vikerkaar,duga
105,Donner::N,kõu,grom
106,Donner::N,kõu,grmljavina
107,Donner::N,müristamine,grom
108,Donner::N,müristamine,grmljavina
109,Strömung::N,voolus,struja
110,Strömung::N,voolus,strujanje
111,Strömung::N,jõevool,struja
112,Strömung::N,jõevool,strujanje
113,Tropfen::N,tilk,kap
114,Tropfen::N,tilk,kaplja
115,Schaum::N,vaht,pjena
116,Schmutz::N,pori,nečistoća
117,Schmutz::N,pori,prljavština
118,Schmutz::N,mustus,nečistoća
119,Schmutz::N,mustus,prljavština
120,See::N,järv,jezero
121,Sumpf::N,soo,bara
122,Moor::N,raba,močvara
123,Wiese::N,aas,livada
124,Wiese::N,nurm,livada
125,Wald::N,mets,šuma
126,Hügel::N,küngas,brijeg
