,Concept_ID,is,sk
0,Auge::N,auga,oko
1,Ohr::N,eyra,ucho
2,Nase::N,nef,nos
3,Mund::N,munnur,ústa
4,Zahn::N,tönn,zub
5,Zunge::N,tunga,jazyk
6,Lippe::N,vör,pera
7,Wange::N,kinn,líce
8,Wange::N,vangi,líce
9,Gesicht::N,andlit,tvár
10,Gesicht::N,andlit,obličaj
11,Stirn::N,enni,čelo
12,Haar::N,hár,vlas
13,Schnurrbart::N,yfirskegg,fúzy
14,Bart::N,skegg,brada
15,Kinn::N,haka,brada
16,Kiefer[Anatomie]::N,kjálki,čeľusť
17,Kiefer[Anatomie]::N,skoltur,čeľusť
18,Kehle::N,kverk,hrdlo
19,Hals::N,háls,krk
20,Genick::N,hnakki,väzy
21,Kopf::N,höfuð,hlava
22,Rücken::N,hryggur,chrbát
23,Bauch::N,kviður,brucho
24,Nabel::N,nafli,pupok
25,Busen::N,barmur,prsia
26,Brust::N,brjóst,hruď
27,Schulter::N,öxl,plece
28,Arm::N,armur,rameno
29,Ellenbogen::N,olnbogi,lakeť
30,Hand::N,hönd,ruka
31,Handfläche::N,lófi,dlaň
32,Finger::N,fingur,prst
33,Fingernagel::N,fingurnögl,necht
34,Nagel[Anatomie]::N,nögl,necht
35,Zeh::N,tá,prst na nohe
36,Fuß::N,fótur,noha
37,Ferse::N,hæll,päta
38,Knie::N,kné,koleno
39,Oberschenkel::N,læri,stehno
40,Bein::N,fótleggur,noha
41,Körper::N,búkur,telo
42,Körper::N,líkami,telo
43,Haut::N,húð,koža
44,Haut::N,skinn,koža
45,Blut::N,blóð,krv
46,Ader::N,æð,žila
47,Sehne::N,sin,šľacha
48,Knochen::N,bein,kosť
49,Gehirn::N,heili,mozog
50,Herz::N,hjarta,srdce
51,Magen::N,magi,žalúdok
52,Leber::N,lifur,pečeň
53,Atem::N,andi,dych
54,Atem::N,andardráttur,dych
55,Hunger::N,hungur,hlad
56,Träne::N,tár,slza
57,Geschmack::N,smekkur,chuť
58,Geruch::N,lykt,pach
59,Schlaf::N,svefn,spánok
60,Traum::N,draumur,sen
61,Himmel::N,himinn,nebo
62,Sonne::N,sól,slnko
63,Mond::N,tungl,mesiac
64,Stern::N,stjarna,hviezda
65,Luft::N,loft,vzduch
66,Wind::N,vindur,vietor
67,Welle::N,alda,vlna
68,Welle::N,bylgja,vlna
