,Concept_ID,ca,sah
0,Auge::N,ull,харах
1,Ohr::N,orella,кулгаах
2,Nase::N,nas,мурун
3,Mund::N,boca,айах
4,Zahn::N,dent,тиис
5,Zunge::N,llēngua,тыл
6,Lippe::N,llavi,уос
7,Wange::N,galta,иэдэс
8,Gesicht::N,cara,сирэй
9,Stirn::N,front,сүүс
10,Haar::N,cabēll,баттах
11,Schnurrbart::N,bigoti,уос бытыга
12,Bart::N,barba,сэҥийэ бытыга
13,Kinn::N,mentó,сэҥийэ
14,Kinn::N,barbeta,сэҥийэ
15,Kiefer[Anatomie]::N,queix,сыҥаах
16,Kiefer[Anatomie]::N,mandíbula,сыҥаах
17,Kehle::N,gola,тамах
18,Kehle::N,gola,күөмэй
19,Kehle::N,gorja,тамах
20,Kehle::N,gorja,күөмэй
21,Hals::N,coll,моой
22,Genick::N,nuca,кэтэх
23,Kopf::N,cap,бас
24,Rücken::N,esquena,көҕүс
25,Bauch::N,panxa,ис
26,Nabel::N,llombrígol,киин
27,Busen::N,pit,эмиий
28,Busen::N,mama,эмиий
29,Brust::N,pit,түөс
30,Schulter::N,espatlla,сарын
31,Arm::N,braç,илии
32,Ellenbogen::N,colze,тоҕонох
33,Hand::N,mà,илии
34,Handfläche::N,palma,ытыс
35,Finger::N,dit,тарбах
36,Fingernagel::N,ungla,тыҥырах
37,Nagel[Anatomie]::N,ungla,тыҥырах
38,Zeh::N,dit del peu,тарбах
39,Fuß::N,peu,уллуҥах
40,Ferse::N,taló,тилэх
41,Knie::N,genoll,тобук
42,Knie::N,genoll,дьилбэк
43,Oberschenkel::N,cuixa,уллук
44,Oberschenkel::N,cuixa,өттүк
45,Bein::N,cama,атах
46,Körper::N,cos,бэйэ
47,Haut::N,pell,тирии
48,Blut::N,sang,хаан
49,Ader::N,vena,вена
50,Ader::N,vena,күөх_тымыр
51,Sehne::N,tendó,иҥиир
52,Knochen::N,os,уҥуох
53,Knochen::N,os,уҥгуох
54,Gehirn::N,cervell,мэйии
55,Herz::N,cor,сүрэх
56,Magen::N,estómac,куртах
57,Leber::N,fetge,быар
58,Atem::N,alè,тыын
59,Atem::N,hàlit,тыын
60,Hunger::N,fam,аас
61,Hunger::N,gana,аас
62,Träne::N,llàgrima,харах уута
63,Geschmack::N,gust,амтан
64,Geschmack::N,sabor,амтан
65,Geruch::N,olor,сыт
66,Schlaf::N,son,утуйуу
67,Traum::N,somni,түүл
68,Himmel::N,celm,халлаан
69,Sonne::N,sol,күн
70,Mond::N,lluna,ый
71,Stern::N,estel,сулус
72,Stern::N,estrella,сулус
73,Luft::N,aire,салгын
74,Wind::N,vent,тыал
75,Welle::N,ona,долгун
76,Welle::N,ona,балхаан
77,Wasser::N,āigua,уу
78,Stein::N,pedra,таас
79,Boden::N,sòl,сир
80,Erde::N,terra,буор
81,Staub::N,pols,быыл
82,Rauch::N,fum,буруо
83,Funke::N,guspira,кыым
84,Funke::N,centella,кыым
85,Feuer::N,foc,уот
86,Licht::N,llum,уот
87,Schatten::N,ombra,күлүк
88,Wetter::N,temps,күн-дьыл
89,Nebel::N,boira,туман
90,Wolke::N,núvol,былыт
91,Regen::N,pluja,самыыр
92,Schnee::N,neu,хаар
93,Eis::N,gel,муус
94,Eis::N,glaç,муус
95,Frost::N,glaçada,тымныы
96,Kälte::N,fred,тымныы
97,Hitze::N,calor,куйаас
98,Raureif::N,gebre,кырыа
99,Regenbogen::N,arc iris,кустук
100,Donner::N,tro,этиҥ
101,Strömung::N,corrent,сүүрүк
102,Tropfen::N,gota,таммах
103,Tropfen::N,gota,хааппыла
104,Schaum::N,escuma,күүгэн
105,Schmutz::N,brutícia,кир
106,See::N,llac,күөл
107,Sumpf::N,pantà,бадараан
108,Moor::N,pantà,дьэбэрэ
109,Wiese::N,prat,ходуһа
110,Wiese::N,prada,ходуһа
111,Wald::N,bosc,ойуур
112,Hügel::N,puig,булгунньах
113,Hügel::N,pujol,булгунньах
114,Anhöhe::N,turó,үрдэл
115,Berg::N,muntanya,хайа
116,Gipfel::N,cim,чыпчаал
117,Höhle::N,cova,хайа_хаспаҕа
118,Höhle::N,cova,көҥүс
119,Abhang::N,coster,эниэ
120,Quelle::N,font,дьүүктэ
121,Bach::N,riera,үрүйэ
122,Fluss::N,riu,өрүс
123,Ufer::N,riba,биэрэк
