,Concept_ID,ru,cv
0,Auge::N,глаз,куҫ
1,Ohr::N,ухо,хӑлха
2,Nase::N,нос,сӑмса
3,Mund::N,рот,ҫӑвар
4,Zahn::N,зуб,шӑл
5,Zunge::N,язык,чӗлхе
6,Lippe::N,губа,тута
7,Wange::N,щека,пит ҫӑмарти
8,Gesicht::N,лицо,пит
9,Gesicht::N,лицо,пит-куҫ
10,Stirn::N,лоб,ҫамка
11,Haar::N,волос,ҫӳҫ
12,Haar::N,волосы,ҫӳҫ
13,Schnurrbart::N,ус,усси
14,Schnurrbart::N,усы,усси
15,Bart::N,борода,сухал
16,Kinn::N,подбородок,янах
17,Kiefer[Anatomie]::N,челюсть,янах
18,Kehle::N,горло,пыр
19,Kehle::N,горло,карланкӑ
20,Hals::N,шея,пыр
21,Genick::N,затылок,ӗнсе
22,Kopf::N,голова,пуҫ
23,Rücken::N,спина,ҫурӑм
24,Bauch::N,живот,
25,Nabel::N,пупок,кӑвапа
26,Busen::N,женская грудь,кӑкӑр
27,Brust::N,грудь,умӗ
28,Schulter::N,плечо,хул пуҫҫи
29,Arm::N,рука,алӑ
30,Ellenbogen::N,локоть,чавса
31,Hand::N,кисть,алӑ сыппи
32,Handfläche::N,ладонь,ал лаппи
33,Finger::N,палец,пӳрне
34,Fingernagel::N,ноготь,чӗрне
35,Nagel[Anatomie]::N,ноготь,чӗрне
36,Zeh::N,палец,пӳрне
37,Fuß::N,ступня,ура лаппи
38,Ferse::N,пята,кӗле
39,Ferse::N,пятка,кӗле
40,Knie::N,колено,чӗркуҫҫи
41,Oberschenkel::N,бедро,пӗҫӗ
42,Bein::N,нога,ура
43,Körper::N,тело,ӳт
44,Körper::N,тело,ӳт-пӳ
45,Haut::N,кожа,тир
46,Blut::N,кровь,юн
47,Ader::N,вена,вена
48,Ader::N,сосуд,вена
49,Sehne::N,жила,шӑнӑр
50,Sehne::N,тетива,шӑнӑр
51,Sehne::N,сухожилие,шӑнӑр
52,Knochen::N,кость,шӑмӑ
53,Gehirn::N,мозг,миме
54,Herz::N,сердце,чӗре
55,Magen::N,желудок,хырӑмлӑх
56,Leber::N,печень,пӗвер
57,Atem::N,дух,сывлав
58,Atem::N,дыхание,сывлав
59,Hunger::N,голод,выҫлӑх
60,Träne::N,слеза,куҫҫуль
61,Geschmack::N,вкус,техӗм
62,Geruch::N,запах,шӑршӑ
63,Schlaf::N,сон,ыйхӑ
64,Traum::N,сновидение,тӗлӗк
65,Himmel::N,небо,пӗлӗт
66,Sonne::N,солнце,хӗвел
67,Mond::N,луна,уйӑх
68,Stern::N,звезда,ҫӑлтӑр
69,Luft::N,воздух,сывлӑш
70,Wind::N,ветер,ҫил
71,Welle::N,волна,хум
72,Wasser::N,вода,шыв
73,Wasser::N,вода,шыв-шур
74,Stein::N,камень,чул
75,Boden::N,почва,тӑпра
76,Erde::N,земля,ҫӗр
77,Staub::N,пыль,тусан
78,Rauch::N,дым,тӗтӗм
79,Funke::N,искра,хӗм
80,Feuer::N,огонь,вут
81,Feuer::N,огонь,ҫулӑм
82,Licht::N,свет,ҫутӑ
83,Schatten::N,тень,сулхӑн
84,Wetter::N,погода,ҫанталӑк
85,Nebel::N,туман,тӗтре
86,Wolke::N,облако,пӗлӗт
87,Regen::N,дождь,ҫумӑр
88,Schnee::N,снег,юр
89,Eis::N,лед,пӑр
90,Frost::N,мороз,сивӗ
91,Kälte::N,холод,сивӗ
92,Hitze::N,жара,вӗри
93,Hitze::N,жара,шӑрӑх
94,Raureif::N,иней,пас
95,Regenbogen::N,радуга,асамат кӗперӗ
96,Donner::N,гром,аслати
97,Strömung::N,течение,юхӑ
98,Tropfen::N,капля,тумлам
99,Schaum::N,пена,кӑпӑк
100,Schmutz::N,грязь,пылчӑк
101,See::N,озеро,кӳлӗ
102,Sumpf::N,топь,шур
103,Sumpf::N,топь,шурлӑх
104,Moor::N,болото,торфлӑ шурлӑх
105,Wiese::N,луг,улӑх
106,Wiese::N,луг,ҫаран
107,Wald::N,лес,вӑрман
