,Concept_ID,tt,kl
0,Auge::N,күз,isi
1,Ohr::N,колак,siut
2,Nase::N,борын,
3,Mund::N,авыз,paaq
4,Mund::N,авыз,qaneq
5,Mund::N,тамак,paaq
6,Mund::N,тамак,qaneq
7,Zahn::N,теш,kigut
8,Zunge::N,тел,oqaq
9,Lippe::N,ирен,qarloq
10,Wange::N,яңак,ersaq
11,Gesicht::N,йөз,kiinaq
12,Stirn::N,маңгай,qaaq
13,Haar::N,чәч,meqqoq
14,Schnurrbart::N,мыек,
15,Bart::N,сакал,umik
16,Kinn::N,ияк,talloq
17,Kiefer[Anatomie]::N,казналык,alleroq
18,Kehle::N,тамак,malaq
19,Hals::N,бугаз,qungaseq
20,Genick::N,җилкә,pukusuk
21,Kopf::N,баш,niaqoq
22,Rücken::N,сырт,qimerlut
23,Bauch::N,корсак,naaq
24,Nabel::N,кендек,qalaseq
25,Busen::N,түш,iviangeq
26,Brust::N,имчәк,iviangeq
27,Brust::N,күкрәк,iviangeq
28,Schulter::N,иңбаш,ersik
29,Schulter::N,иңбаш,assaqqoq
30,Schulter::N,кулбаш,ersik
31,Schulter::N,кулбаш,assaqqoq
32,Arm::N,кул,taleq
33,Ellenbogen::N,терсәк,ikusik
34,Hand::N,кул,assak
35,Handfläche::N,уч,itumak
36,Finger::N,бармак,inuak
37,Fingernagel::N,тырнак,kikiak
38,Nagel[Anatomie]::N,тырнак,kukik
39,Zeh::N,бармак,isigak
40,Fuß::N,табан,
41,Ferse::N,үкчә,kimmik
42,Knie::N,тез,seeqqoq
43,Oberschenkel::N,бот,uppat
44,Oberschenkel::N,бот,quttoraq
45,Bein::N,аяк,isigak
46,Körper::N,тән,timi
47,Körper::N,җисем,timi
48,Haut::N,тире,mattak
49,Blut::N,кан,aak
50,Ader::N,тамыр,taqaq
51,Sehne::N,сеңер,ujalu
52,Sehne::N,сеңер,ujaloq
53,Knochen::N,сөяк,saanikut
54,Gehirn::N,ми,qarasaq
55,Herz::N,йөрәк,uummat
56,Magen::N,ашказаны,aqajaroq
57,Leber::N,бавыр,tinguk
58,Atem::N,сулыш,anerneq
59,Hunger::N,ачлык,kaanneq
60,Träne::N,яшь,qia
61,Träne::N,яшь,qiak
62,Geschmack::N,тәм,qilanaartuut
63,Geschmack::N,зәвык,qilanaartuut
64,Geruch::N,ис,tipi
65,Geruch::N,ис,tipik
66,Schlaf::N,йокы,
67,Traum::N,төш,sinnattoq
68,Traum::N,төш,sinnattugaq
69,Himmel::N,күк,qilak
70,Sonne::N,кояш,seqineq
71,Mond::N,ай,qaammat
72,Stern::N,йолдыз,ulloriaq
73,Luft::N,һава,silaannaq
74,Wind::N,җил,anori
75,Wind::N,җил,anorsarik
76,Welle::N,дулкын,aalappaa
77,Wasser::N,су,imeq
78,Stein::N,таш,ujarak
79,Boden::N,туфрак,nateq
80,Erde::N,җир,issoq
81,Staub::N,тузан,pujualanerit
82,Staub::N,тузан,pujoralanerit
83,Rauch::N,төтен,iseq
84,Rauch::N,төтен,pujoq
85,Funke::N,очкын,illoorneq
86,Feuer::N,ут,inneq
87,Licht::N,якты,qaamaneq
88,Schatten::N,күләгә,tarraq
89,Wetter::N,һава,sila
90,Nebel::N,томан,pujoq
91,Wolke::N,болыт,nuia
92,Regen::N,яңгыр,sialuk
93,Schnee::N,кар,aput
94,Eis::N,боз,siku
95,Frost::N,суык,issi
96,Frost::N,суык,issik
97,Frost::N,салкын,issi
98,Frost::N,салкын,issik
99,Kälte::N,суык,issi
100,Kälte::N,салкын,issi
101,Hitze::N,эсселек,kianneq
