,Concept_ID,mrj,be
0,Auge::N,сӹнзӓ,вока
1,Ohr::N,пӹлӹш,вуха
2,Nase::N,нер,нос
3,Mund::N,ышма,рот
4,Zahn::N,пӱ,зуб
5,Zunge::N,йӹлмӹ,язык
6,Lippe::N,тӹрвӹ,губа
7,Wange::N,шӹргӹ,шчака
8,Gesicht::N,лицӓ,твар
9,Stirn::N,лепкӓ,лоб
10,Haar::N,ӱп,волас
11,Haar::N,ӱп,валасы
12,Schnurrbart::N,öрш,вус
13,Schnurrbart::N,öрш,вусы
14,Bart::N,пандаш,барада
15,Kinn::N,онгылаш,падбародак
16,Kiefer[Anatomie]::N,пӱ арата,сківіца
17,Kehle::N,логер,горла
18,Hals::N,шӱ,шыя
19,Genick::N,ланга,патыліца
20,Kopf::N,вуй,галава
21,Rücken::N,туп,спіна
22,Bauch::N,мӹшкӹр,жывот
23,Nabel::N,кӹлӹмдӹ,пупок
24,Busen::N,цӹзӹ,грудзі
25,Brust::N,мел,грудзі
26,Schulter::N,ӹнгӹжӓ,плячо
27,Arm::N,кид,рука
28,Ellenbogen::N,кӹнервуй,локаць
29,Hand::N,лапа,кісць
30,Handfläche::N,кид лапа,далонь
31,Finger::N,парня,палец
32,Fingernagel::N,кӹч,ногаць
33,Nagel[Anatomie]::N,кӹч,ногаць
34,Zeh::N,парня,палец
35,Fuß::N,ял лапа,нага
36,Ferse::N,ялгавал,пята
37,Ferse::N,ялгавал,пятка
38,Ferse::N,ял кавал,пята
39,Ferse::N,ял кавал,пятка
40,Knie::N,пылвуй,калена
41,Oberschenkel::N,ӓрдӹ,бядро
42,Oberschenkel::N,ӓрдӹ,сцягно
43,Bein::N,ял,нага
44,Körper::N,монгыр,цела
45,Haut::N,кавашты,скура
46,Blut::N,вӹр,кроў
47,Ader::N,вӹршӓр,вена
48,Ader::N,вӹршӓр,сасуд
49,Sehne::N,кукшышӱн,жыла
50,Sehne::N,кукшышӱн,цеціва
51,Sehne::N,кукшышӱн,сухажылле
52,Knochen::N,лу,косць
53,Gehirn::N,вим,мозг
54,Herz::N,шӱм,сэрца
55,Magen::N,шӱм,страўнік
56,Leber::N,мокш,печань
57,Atem::N,шӱлӹш,дыханне
58,Hunger::N,шужымаш,голад
59,Träne::N,сӹнзӓвӹд,сляза
60,Geschmack::N,тот,смак
61,Geruch::N,пыш,пах
62,Schlaf::N,ом,сон
63,Traum::N,ом,сон
64,Himmel::N,пӹлгом,неба
65,Sonne::N,кечӹ,сонца
66,Mond::N,тӹлзӹ,месяц
67,Stern::N,шӹдӹр,зорка
68,Luft::N,юж,паветра
69,Luft::N,воздух,паветра
70,Wind::N,мардеж,вецер
71,Welle::N,ко,хваля
72,Welle::N,коэ,хваля
73,Wasser::N,вӹд,вада
74,Stein::N,кӱ,камень
75,Boden::N,рок,глеба
76,Erde::N,свет,зямля
77,Staub::N,пырак,пыл
78,Rauch::N,шӹкш,дым
79,Funke::N,ип,іскра
80,Funke::N,тылип,іскра
81,Feuer::N,тыл,агонь
82,Licht::N,соты,святло
83,Licht::N,валгыды,святло
84,Schatten::N,ӹмӹл,цень
85,Wetter::N,игечӹ,пагода
86,Wetter::N,игечӹ,надворʼе
87,Nebel::N,тӹтӹрӓ,туман
88,Wolke::N,пӹл,воблака
89,Regen::N,юр,дождж
90,Schnee::N,лым,снег
91,Eis::N,и,лёд
92,Frost::N,ӱштӹ,мароз
93,Kälte::N,ӱштӹ,холад
94,Hitze::N,шокшы,спёка
95,Raureif::N,пöрш,іней
96,Regenbogen::N,шанавӹл,вясёлка
97,Donner::N,хӹдӹртӹш,гром
98,Strömung::N,йогы,цячэнне
99,Tropfen::N,капльы,кропля
100,Tropfen::N,капльык,кропля
101,Schaum::N,шонг,пена
102,Schmutz::N,лявӹрӓ,гразь
103,See::N,йӓр,возера
104,Sumpf::N,лӱкӹ,багна
105,Moor::N,куп,балота
106,Wiese::N,алык,луг
107,Wald::N,шӹргӹ,лес
108,Hügel::N,пӱгӹрикӓ,узгорак
109,Anhöhe::N,кӱкшикӓ,узвышша
110,Berg::N,кырык,гара
111,Gipfel::N,неркӓ,вяршыня
112,Höhle::N,ы́раж,пячора
113,Abhang::N,полом,схіл
114,Quelle::N,вӹдсӹнзӓ,крыніца
115,Bach::N,ӓнгӹр,ручай
116,Fluss::N,вӹд,рака
117,Ufer::N,сир,бераг
118,Küste::N,сир,узбярэжжа
119,Festland::N,мӱлӓндӹ,суша
120,Meer::N,тангыж,мора
121,Bucht::N,вӹдъял,бухта
122,Insel::N,острок,востраў
123,Blume::N,пеледӹш,кветка
124,Gras::N,шуды,трава
125,Wurzel::N,важ,корань
126,Baum::N,пушӓнгӹ,дрэва
127,Stamm::N,пушӓнгӹ тӹнг,ствол
128,Rinde::N,каргыж,кара
129,Ast::N,укш,сук
130,Zweig::N,укш,галіна
131,Blatt::N,листӹ,ліст
132,Birke::N,куги,бяроза
133,Kiefer[Baum]::N,йӓктӹ,хвоя
134,Kiefer[Baum]::N,йӓктӹ,сасна
135,Weide[Baum]::N,уа,вярба
136,Tanne::N,кож,яліна
137,Horn::N,шур,рог
138,Feder::N,пын,пяро
139,Fell::N,кавашты,шкура
140,Flügel::N,шылдыр,крыло
141,Klaue::N,кӹч,кіпцюр
142,Kralle::N,лапа,лапа
143,Schwanz::N,пач,хвост
144,Ei::N,мыны,яйка
145,Nest::N,пӹжӓш,гняздо
146,Bau::N,ыраж,нара
147,Tier::N,во́льык,жывёла
148,Herde::N,кӹтö,статак
149,Kuh::N,ышкал,карова
150,Bulle::N,ӱшкӱж,бык
151,Pferd::N,имни,конь
152,Schaf::N,шарык,авечка
153,Schwein::N,сасна,свіння
154,Hund::N,пи,сабака
155,Katze::N,коти,кошка
156,Bär::N,мöскӓ,мядзведзь
157,Eichhörnchen::N,ур,вавёрка
158,Elch::N,шарды,лось
159,Fuchs::N,рӹвӹж,ліса
160,Hase::N,морен,заяц
161,Maus::N,каля,мыш
162,Wolf::N,пирӹ,воўк
163,Vogel::N,кек,птах
164,Vogel::N,кек,птушка
165,Schwarm::N,цуца,чарада
166,Huhn::N,цӹвӹ,курыца
167,Hahn::N,ӓптӓн,певень
168,Gans::N,комбы,гусь
169,Adler::N,кучкыж,арол
170,Ente::N,лыды,качка
171,Eule::N,тымана,сава
172,Kranich::N,тырня,жораў
173,Kranich::N,тырня,журавель
174,Kranich::N,тыртня,жораў
175,Kranich::N,тыртня,журавель
176,Krähe::N,лудыгарак,варона
177,Kuckuck::N,куку,зязюля
178,Schwan::N,йӱксӹ,лебедзь
179,Fisch::N,кол,рыба
180,Barsch::N,алангы,акунь
181,Hecht::N,нуж,шчупак
182,Hecht::N,нужгол,шчупак
183,Schlange[Tier]::N,кӹшкы,змяя
184,Wurm::N,шукш,чарвяк
185,Spinne::N,ӓнгӹремшӹ,павук
186,Ameise::N,кыткы,мурашка
187,Laus::N,ти,вош
188,Mücke::N,кужнер,камар
189,Mücke::N,кужынер,камар
190,Fliege::N,шӹнгӓ,муха
191,Schmetterling::N,лӹпӹ,матыль
192,Beere::N,мöр,ягада
193,Apfel::N,олма,яблык
194,Pilz::N,понгы,грыб
195,Zwiebel::N,охыра,цыбуля
196,Saat::N,нӱшмӹ,семя
197,Saat::N,нӱшмӱ,семя
198,Korn::N,пӹрцӹ,зерне
199,Heu::N,шуды,сена
200,Schale::N,аваха,шалупінне
201,Schale::N,карлангы,шалупінне
202,Grube::N,йӓм,яма
203,Falle::N,лӱдӹ,пастка
204,Falle::N,лӱдӹш,пастка
205,Schlinge::N,онгы,сіло
206,Spur::N,кишӓ,след
207,Asche::N,ломых,попел
208,Asche::N,ломпыж,попел
209,Dreck::N,лявӹрӓ,бруд
210,Eisen::N,кӹртни,жалеза
211,Gold::N,шöртни,золата
212,Gold::N,шöртньӹ,золата
213,Silber::N,ши,сребра
214,Kohle::N,шӱ,вугаль
215,Glas::N,охоница,шкло
216,Lehm::N,шун,гліна
217,Sand::N,ошма,пясок
218,Mensch::N,эдем,чалавек
219,Mann::N,пӱэргӹ,мужчына
220,Frau::N,ӹдӹрӓмӓш,жанчына
221,Kind::N,ӓзӓ,дзіця
222,Kind::N,шачшы,дзіця
223,Junge::N,рвезӹ,хлопчык
224,Junge::N,ӹрвезӹ,хлопчык
225,Mädchen::N,ӹдӹрӓш,дзяўчынка
226,Familie::N,йиш,сямʼя
227,Familie::N,семня,сямʼя
228,Großvater::N,тьоти,дзядуля
229,Großmutter::N,папа,бабуля
230,Eltern::N,ӓтя-ӓвӓ,бацькі
231,Vater::N,ӓтя,бацька
232,Mutter::N,ӓвӓ,маці
233,Sohn::N,эргӹ,сын
234,Tochter::N,ӹдӹр,дачка
235,Bruder::N,ӹза,брат
236,Schwester::N,ӓкӓ,сястра
237,Onkel::N,кугуза,дзядзька
238,Tante::N,куака,цётка
239,Ehemann::N,мары,муж
240,Ehefrau::N,вӓтӹ,жонка
241,Freude::N,ӹвӹртӹмӓш,радасць
242,Gelächter::N,ваштылмаш,смех
243,Glück::N,пиӓл,шчасце
244,Kummer::N,ясы,гора
245,Wunsch::N,охата,жаданне
246,Wunsch::N,шанымаш,жаданне
247,Lust::N,шӓр,цяга
248,Lust::N,охата,цяга
249,Lust::N,шанымаш,цяга
250,Geist::N,тух,дух
251,Gedanke::N,шанымаш,думка
252,Gedächtnis::N,ӓш,памяць
253,Verstand::N,ыш,розум
254,Sinn::N,кын,сэнс
255,Grund::N,вир,зачэпка
256,Wahrheit::N,тöр,праўда
257,Gespräch::N,хытырымаш,размова
258,Märchen::N,ямак,казка
259,Erzählung::N,шайыштмаш,расказ
260,Erzählung::N,шайыштмаш,апавяданне
