,Concept_ID,no,hu
0,Auge::N,øye,szem
1,Ohr::N,øre,fül
2,Nase::N,nese,orr
3,Mund::N,munn,száj
4,Zahn::N,tann,fog
5,Zunge::N,tunge,nyelv
6,Lippe::N,leppe,ajak
7,Wange::N,kinn,orca
8,Gesicht::N,fjes,arc
9,Gesicht::N,ansikt,arc
10,Stirn::N,panne,homlok
11,Haar::N,hår,haj
12,Schnurrbart::N,bart,bajusz
13,Bart::N,skjegg,szakáll
14,Kinn::N,hake,áll
15,Kiefer[Anatomie]::N,kjeve,állkapocs
16,Kehle::N,strupe,gége
17,Kehle::N,strupe,torok
18,Hals::N,hals,nyak
19,Genick::N,nakke,tarkó
20,Kopf::N,hode,fő
21,Kopf::N,hode,fej
22,Rücken::N,rygg,hát
23,Bauch::N,buk,has
24,Bauch::N,mage,has
25,Nabel::N,navle,köldök
26,Busen::N,barm,mell
27,Busen::N,barm,kebel
28,Brust::N,bryst,mell
29,Schulter::N,skulder,váll
30,Arm::N,arm,kar
31,Ellenbogen::N,albue,könyök
32,Hand::N,hånd,kéz
33,Handfläche::N,håndflate,tenyér
34,Finger::N,finger,ujj
35,Fingernagel::N,fingernegl,köröm
36,Nagel[Anatomie]::N,negl,köröm
37,Zeh::N,tå,lábujj
38,Fuß::N,fot,láb
39,Ferse::N,hæl,sarok
40,Knie::N,kne,térd
41,Oberschenkel::N,lår,comb
42,Bein::N,bein,láb
43,Bein::N,bein,lábszár
44,Körper::N,kropp,test
45,Körper::N,legeme,test
46,Haut::N,hud,bőr
47,Haut::N,skinn,bőr
48,Blut::N,blod,vér
49,Ader::N,åre,ér
50,Sehne::N,sene,ín
51,Knochen::N,bein,csont
52,Knochen::N,knokkel,csont
53,Gehirn::N,hjerne,agy
54,Gehirn::N,hjerne,agyvelő
55,Herz::N,hjerte,szív
56,Magen::N,mage,gyomor
57,Leber::N,lever,máj
58,Atem::N,pust,lehelet
59,Atem::N,pust,lélegzet
60,Hunger::N,sult,éhség
61,Träne::N,tåre,könny
62,Geschmack::N,smak,íz
63,Geruch::N,lukt,szag
64,Schlaf::N,søvn,álom
65,Schlaf::N,søvn,alvás
66,Traum::N,drøm,álom
67,Himmel::N,himmel,ég
68,Himmel::N,himmel,menny
69,Sonne::N,sol,nap
70,Mond::N,måne,hold
71,Stern::N,stjerne,csillag
72,Luft::N,luft,levegő
73,Wind::N,vind,szél
74,Welle::N,bølge,hullám
75,Wasser::N,vann,víz
76,Stein::N,stein,kő
77,Boden::N,bakke,föld
78,Boden::N,bakke,talaj
79,Erde::N,jord,föld
80,Staub::N,støv,por
81,Rauch::N,røyk,füst
82,Funke::N,gnist,szikra
83,Feuer::N,ild,tűz
84,Licht::N,lys,fény
85,Schatten::N,skygge,árnyék
86,Wetter::N,vær,idő
87,Wetter::N,vær,időjárás
88,Nebel::N,tåke,köd
89,Wolke::N,sky,felhő
90,Regen::N,regn,eső
91,Schnee::N,snø,hó
92,Eis::N,is,jég
93,Frost::N,frost,fagy
94,Kälte::N,kulde,hideg
95,Hitze::N,hete,hő
96,Hitze::N,hete,hőség
97,Raureif::N,rimfrost,zúzmara
98,Regenbogen::N,regnbue,szivárvány
99,Donner::N,torden,dörgés
100,Donner::N,torden,mennydörgés
101,Strömung::N,strømning,áramlat
102,Tropfen::N,dråpe,csepp
103,Schaum::N,skum,hab
104,Schaum::N,skum,tajték
105,Schmutz::N,søl,piszok
106,Schmutz::N,skitt,piszok
107,See::N,sjø,tó
108,Sumpf::N,sump,mocsár
109,Sumpf::N,myrlende,mocsár
110,Moor::N,myr,láp
111,Moor::N,myrhei,láp
112,Wiese::N,eng,rét
113,Wiese::N,eng,mező
