,Concept_ID,ps,ab
0,Auge::N,سترګه,ала
1,Ohr::N,غوږ,алымҳа
2,Nase::N,پوزه,аҧынҵа
3,Mund::N,خوله,аҧышə
4,Zahn::N,غاښ,ахаҧыц
5,Zunge::N,جبه,абз
6,Lippe::N,شونډه,ақьышə
7,Wange::N,باړخو,аӡамҩа
8,Gesicht::N,مخ,аҿы
9,Stirn::N,تندی,алахь
10,Stirn::N,وچولی,алахь
11,Haar::N,وېښته,ахəыц
12,Schnurrbart::N,برېت,аҧаҵа
13,Bart::N,ږیره,ажакьа
14,Kinn::N,زنه,ацламкəыгə
15,Kiefer[Anatomie]::N,جامه,ацламҳəа
16,Kehle::N,غاړه,ахəда
17,Hals::N,غاړه,ахəда
18,Genick::N,ورمېږ,ахəдаџьал
19,Kopf::N,سر,ахы
20,Rücken::N,شا,азқəа
21,Bauch::N,نس,амгəа
22,Bauch::N,ګېډه,амгəа
23,Nabel::N,نوم,аҷапан
24,Busen::N,تی,агəыҧҳəы
25,Brust::N,سینه,агəышҧы
26,Schulter::N,اوږه,ажəҩахыр
27,Arm::N,لاس,амахəар
28,Ellenbogen::N,څنګل,амашьхəылҵ
29,Hand::N,لاس,анапы
30,Handfläche::N,ورغوی,анапсаргəыҵа
31,Finger::N,ګوته,анацəа
32,Fingernagel::N,نوک,анапхыц
33,Nagel[Anatomie]::N,نوک,ашьапхыц
34,Zeh::N,ګوته,ашьацəа
35,Fuß::N,پښه,ашьапсыргəыҵа
36,Ferse::N,پونده,ашьхəа
37,Knie::N,زنګون,ашьамхы
38,Oberschenkel::N,پتون,ауаҭəа
39,Bein::N,پښه,ашьапы
40,Körper::N,ځان,ацəеижь
41,Haut::N,پوټکی,ацəа
42,Blut::N,وینه,ашьа
43,Ader::N,رګ,ада
44,Sehne::N,پله,адаш
45,Knochen::N,هډوکی,абаҩ
46,Gehirn::N,ماغزه,ахшлыбаҩ
47,Gehirn::N,ماغزه,ахшыбаҩ
48,Herz::N,زړه,агəы
49,Magen::N,معده,аца
50,Magen::N,معده,ацар
51,Leber::N,ينه,агəаҵəа
52,Leber::N,ځیګر,агəаҵəа
53,Atem::N,نفس,аҧсыҧлагаҩгара
54,Hunger::N,ولږه,амла
55,Träne::N,اوښکه,алабжыш
56,Geschmack::N,مزه,агьама
57,Geschmack::N,خوند,агьама
58,Geruch::N,بوی,афҩы
59,Schlaf::N,خوب,ацəа
60,Traum::N,خوب,аҧхыӡ
61,Himmel::N,اسمان,ажəҩан
62,Sonne::N,لمر,амра
63,Mond::N,سپوږمۍ,амза
64,Stern::N,ستوری,аеҵəа
65,Luft::N,هوا,аҳаир
66,Wind::N,ورښ,аҧша
67,Welle::N,موج,ацəқəырҧа
68,Wasser::N,اوبه,аӡы
69,Stein::N,ډبره,ахаҳə
70,Boden::N,مځکه,адгьыл
71,Erde::N,خاوره,адгьыл
72,Staub::N,ګرد,асаба
73,Staub::N,خاوره,асаба
74,Rauch::N,دود,алҩа
75,Rauch::N,لوګی,алҩа
76,Funke::N,سپرغۍ,акəиц
77,Funke::N,سپرغۍ,ацҧхь
78,Feuer::N,اور,амца
79,Licht::N,رڼا,алашара
80,Schatten::N,سیوری,ашəшьыра
81,Wetter::N,هوا,амш
82,Nebel::N,لړه,анаҟəа
83,Wolke::N,ورېځ,аҧсҭҳəа
84,Regen::N,وریا,ақəа
85,Regen::N,باران,ақəа
86,Schnee::N,واوره,асы
87,Eis::N,یخ,аҵаа
88,Eis::N,کنګل,аҵаа
89,Frost::N,یخ,аҵаа
90,Kälte::N,ساړه,ахьҭа
91,Hitze::N,تودوخي,ашоура
92,Raureif::N,سپینه پرخه,аҵааҧшқа
93,Regenbogen::N,بوډۍ ټال,ацəаҟəа
94,Regenbogen::N,سره زرغونه,ацəаҟəа
95,Donner::N,تالنده,адыд
96,Strömung::N,بهېدنه,аиасра
97,Strömung::N,بهېدنه,амҩасра
98,Tropfen::N,قطره,ацəыкəбар
99,Tropfen::N,څاڅکی,ацəыкəбар
100,Schaum::N,ځګ,ашəах
101,Schmutz::N,ناپاکي,алымт
102,See::N,جهیل,аӡиа
103,Sumpf::N,جبه,аӡмах
104,Moor::N,جبه,
105,Wiese::N,چمن,адəы
106,Wiese::N,شنېلی,адəы
107,Wald::N,ځنګل,абна
108,Hügel::N,تپه,ахəы
109,Anhöhe::N,غونډۍ,аҳаракыра
110,Berg::N,غ‍‍‍‍‍ر,ашьха
111,Gipfel::N,څوکه,ацəқəа
112,Höhle::N,کاز,аҳаҧы
113,Abhang::N,لمن,анаара
114,Quelle::N,چینه,аҵҵырҭа
115,Bach::N,واله,акəараҷҷа
116,Fluss::N,سیند,аӡиас
117,Ufer::N,غاړه,ахықə
118,Küste::N,ساحل,ахықə
119,Festland::N,وچه,абарра
120,Meer::N,بحر,амшын
121,Meer::N,سمندر,амшын
122,Bucht::N,کارۍ,аӡбжьахала
123,Insel::N,ټاپو,адгьылбжьаха
124,Insel::N,جزيره,адгьылбжьаха
125,Blume::N,ګل,ашəҭ
126,Gras::N,واښه,аҳасакьын
127,Wurzel::N,ریښه,адац
128,Baum::N,ونه,аҵла
129,Stamm::N,ډډ,ашьапы
130,Rinde::N,پوستکی,ацəа
131,Ast::N,ښاخ,амахə
132,Ast::N,ښاخ,амахəҭа
133,Zweig::N,څانګه,амахə
134,Zweig::N,څانګه,амахəҭа
135,Blatt::N,پاڼه,абҕьы
136,Birke::N,توس,аҵааҵла
137,Kiefer[Baum]::N,نښتر,амза
138,Weide[Baum]::N,وله,аҧслыш
139,Tanne::N,ناجو,аҧсаӡ
140,Horn::N,ښکر,атəыҩа
141,Feder::N,بڼکه,ахӡы
142,Fell::N,پوستکی,ацəа
143,Flügel::N,وزر,амҵəыжəа
144,Klaue::N,پنجه,ашьапхыц
145,Klaue::N,منګول,ашьапхыц
146,Kralle::N,پنجه,
147,Kralle::N,منګول,
148,Schwanz::N,لکۍ,аҵыхəа
149,Ei::N,وۍ,акəтаӷь
150,Ei::N,هګۍ,акəтаӷь
151,Nest::N,جاله,аҭра
152,Nest::N,جاله,аҵысҭра
153,Bau::N,کاز,аҭыҩра
154,Tier::N,ژوی,аҧстəы
155,Tier::N,ژوی,агыгшəыг
156,Tier::N,حیوان,аҧстəы
157,Tier::N,حیوان,агыгшəыг
158,Herde::N,رمه,агəарҭа
159,Herde::N,غېله,агəарҭа
160,Kuh::N,غوا,ажə
161,Bulle::N,غوئی,ацə
162,Pferd::N,آس,аҽы
163,Schaf::N,پسه,ауаса
164,Schwein::N,سرکوزی,аҳəа
165,Hund::N,سپی,ала
166,Katze::N,پشه,ацгəы
167,Bär::N,خرس,амшə
168,Eichhörnchen::N,خړ لمی,аеш
169,Elch::N,ګوزن,аҽаҩа
170,Fuchs::N,سپلم,абгахəыҷы
171,Hase::N,سوی,ажьа
172,Maus::N,مږک,аҳəынаҧ
173,Wolf::N,لېوه,абгаду
174,Vogel::N,مرغه,аҧсаатə
175,Schwarm::N,سېل,
176,Huhn::N,چرګه,акəты
177,Hahn::N,چرګ,арбаҕь
178,Gans::N,بته,аҟыз
179,Adler::N,عقاب,ауарба
180,Ente::N,ایلۍ,акəата
181,Eule::N,ګونګی,аты
182,Kranich::N,کلنګ,апҟа
183,Krähe::N,کارغه,аҟəараан
184,Kuckuck::N,فاخته,акəыкəу
185,Schwan::N,قو,агьад
186,Fisch::N,کب,аҧсыӡ
187,Fisch::N,ماهی,аҧсыӡ
188,Schlange[Tier]::N,مار,амаҭ
189,Wurm::N,چینجی,ахəа
190,Wurm::N,چینجی,ахəац
191,Spinne::N,غڼه,абызкаҭаҳа
192,Spinne::N,تارکښ,абызкаҭаҳа
193,Ameise::N,مېږی,ашышкамс
194,Laus::N,سپږه,аҵа
195,Mücke::N,ماشی,акəыбры
196,Fliege::N,مچ,амҵ
197,Schmetterling::N,پتنګ,аҧарҧалыкь
198,Beere::N,مېوۍ,аргуц
199,Apfel::N,مڼه,аҵəа
200,Pilz::N,خرېړی,акəкəбаа
201,Zwiebel::N,پیاز,аџьымшьы
202,Zwiebel::N,پیاز,аџьымшьхы
203,Saat::N,تخم,ажəла
204,Korn::N,تخم,арыц
205,Korn::N,دانه,арыц
206,Heu::N,بوس,аҭəа
207,Heu::N,پروړه,аҭəа
208,Schale::N,پوستکی,ацəа
209,Grube::N,کنده,ажра
210,Grube::N,کنده,атыша
211,Falle::N,دام,арыҧҟьа
212,Falle::N,لومه,арыҧҟьа
213,Schlinge::N,کړۍ,аҟəараҟəантə
214,Spur::N,نښه,ашьҭа
215,Asche::N,آس,ахəа
216,Asche::N,ایره,ахəа
217,Dreck::N,ناپاکي,аҳəынҵəа
218,Dreck::N,ناپاکي,аҟьамсар
219,Eisen::N,اوسپنه,аиха
220,Gold::N,سره زر,ахьы
221,Silber::N,نقره,аразны
222,Silber::N,سپین زر,аразны
223,Kohle::N,سکور,арацəа
224,Kohle::N,سکاره,арацəа
225,Glas::N,ښيښه,асаркьа
226,Lehm::N,خټه,анышəаҧшь
227,Sand::N,شګه,аҧслымӡ
228,Mensch::N,انسان,ауаҩы
229,Mann::N,سړی,ахаҵа
230,Mann::N,نارینه,ахаҵа
231,Frau::N,ښځه,аҧҳəыс
232,Kind::N,بچی,ахəыҷы
233,Kind::N,ماشوم,ахəыҷы
234,Junge::N,هلک,аҷкəын
235,Junge::N,هلک,ахаҵарҧыс
236,Mädchen::N,نجلۍ,аӡӷаб
237,Familie::N,کورنۍ,аҭаацəа
238,Großvater::N,بابا,абду
239,Großmutter::N,انا,анду
240,Eltern::N,مور او پلار,ани аби
241,Vater::N,پلار,аб
242,Mutter::N,مور,ан
243,Sohn::N,زوی,аҧа
244,Tochter::N,لور,аҧҳа
245,Bruder::N,ورور,аиашьа
246,Schwester::N,خور,Аҳəшьа
247,Onkel::N,تره,абиашьа
248,Onkel::N,تره,аншьа
249,Onkel::N,ماما,абиашьа
250,Onkel::N,ماما,аншьа
251,Tante::N,خاله,абиаҳəшьа
252,Ehemann::N,مېړه,ахаҵа
253,Ehemann::N,مېړه,аҧшəма
254,Ehefrau::N,مېرمن,аҧҳəыс
255,Freude::N,خوشحالي,агəырӷьара
256,Gelächter::N,خندا,ачча
257,Gelächter::N,خندا,аччара
258,Glück::N,بخت,аразҟы
259,Kummer::N,غم,агəырҩа
260,Wunsch::N,هيله,агəхəтəы
261,Wunsch::N,هيله,аҭахра
262,Wunsch::N,غوښتنه,агəхəтəы
263,Wunsch::N,غوښتنه,аҭахра
264,Lust::N,شوق,агəазыҳəара
265,Lust::N,مینه,агəазыҳəара
266,Geist::N,روح,аҧсы
267,Gedanke::N,فکر,ахəыцырҭа
268,Gedächtnis::N,یاد,агəынкылара
269,Gedächtnis::N,حافظه,агəынкылара
270,Verstand::N,عقل,ахшыҩ
271,Verstand::N,شعور,ахшыҩ
272,Sinn::N,معنی,аҵакы
273,Grund::N,علت,амзыз
274,Grund::N,اساس,амзыз
275,Wahrheit::N,حقیقت,аиаша
276,Gespräch::N,مرکه,аиҿцәажәара
277,Gespräch::N,خبرې اترې,аиҿцәажәара
278,Märchen::N,افسانه,алакə
279,Erzählung::N,قصه,ажәабжь
280,Erzählung::N,کیسه,ажәабжь
281,Nachricht::N,خبر,адырраҭара
282,Neuigkeit::N,نوی خبر,ажәабжь ҿыц
283,Name::N,نوم,ахьӡ
284,Rätsel::N,کیسۍ,ацуфара
285,Rätsel::N,چیستان,ацуфара
286,Rede::N,وینا,ажәа
287,Sprache::N,ژبه,абызшəа
288,Stimme::N,غږ,абжьы
289,Stimme::N,اواز,абжьы
290,Wort::N,لغت,ажәа
291,Wort::N,کلمه,ажәа
292,Zeichen::N,نښه,адырга
293,Zeichen::N,اشاره,адырга
294,Ruf::N,ږغ,аҿҭы
295,Ruf::N,بلنه,аҿҭы
296,Lärm::N,غالمغال,ашьҭыбжь
