,Concept_ID,kv,lbe
0,Auge::N,син,я
1,Ohr::N,пель,вичӏи
2,Nase::N,ныр,май
3,Mund::N,ӧм,кьацӏ
4,Zahn::N,пинь,ккарччи
5,Zunge::N,кыв,маз
6,Lippe::N,тырп,мурччи
7,Wange::N,рожабан,чӏав
8,Gesicht::N,бан,лажин
9,Stirn::N,кымӧс,ненттабакӏ
10,Haar::N,юрси,чӏара
11,Schnurrbart::N,уссэз,ссирссилтту
12,Bart::N,тош,чӏири
13,Kinn::N,тшӧка,лунттубакӏ
14,Kiefer[Anatomie]::N,ан,ххинчулул
15,Kehle::N,юан,кьакьари
16,Hals::N,юан,ссурссу
17,Genick::N,юр бӧр,махъабакӏ
18,Kopf::N,юр,бакӏ
19,Rücken::N,мышк,ттиликӏ
20,Bauch::N,кынӧм,лякьа
21,Nabel::N,гӧг,цӏумуккутӏ
22,Busen::N,морос,ккукку
23,Brust::N,морос,хъазам
24,Schulter::N,пельпон,хъачӏ
25,Arm::N,ки,ка
26,Ellenbogen::N,гырдзза,ссюрхъ
27,Hand::N,кикар,бартка
28,Handfläche::N,ки пыдӧс,хъат
29,Handfläche::N,ки пыдӧс,битӏянхъ
30,Finger::N,чунь,кӏисса
31,Fingernagel::N,гыж,михь
32,Nagel[Anatomie]::N,гыж,михь
33,Zeh::N,чунь,кӏисса
34,Fuß::N,кокпыдӧс,чӏанччан
35,Ferse::N,кокдзир,никъа
36,Knie::N,пидзӧс,ник
37,Oberschenkel::N,лядьбей,жира
38,Bein::N,кок,ччан
39,Körper::N,вывтыр,чурх
40,Haut::N,кучик,бурчу
41,Blut::N,вир,оь
42,Ader::N,сӧн,тунну
43,Sehne::N,жила,хьхьа
44,Knochen::N,коска,ттаркӏ
45,Gehirn::N,вем,ня
46,Herz::N,сьӧлӧм,дакӏ
47,Herz::N,сьӧлӧм,къюкӏ
48,Magen::N,жӧвдӧк,лякьа
49,Leber::N,мус,
50,Atem::N,лолалӧм,ссихӏ ласаву
51,Atem::N,лолалӧм,ссихӏ бигьаву
52,Hunger::N,тшыг,ккаши
53,Träne::N,синва,макь
54,Geschmack::N,кӧр,тӏин
55,Geschmack::N,кӧр,тӏааьн
56,Geruch::N,дук,кьанкь
57,Schlaf::N,он,шану
58,Traum::N,вӧт,макӏру
59,Himmel::N,небо,ссав
60,Sonne::N,шондi,баргъ
61,Mond::N,тӧлiсь,барз
62,Stern::N,кӧдзыв,цӏуку
63,Luft::N,ру,гьава
64,Wind::N,тӧв,марч
65,Welle::N,гы,щатӏи
66,Wasser::N,ва,щин
67,Stein::N,из,чару
68,Boden::N,му,аьрщи
69,Erde::N,му,аьрщи
70,Staub::N,бус,ххит
71,Rauch::N,тшын,пуркӏу
72,Funke::N,бичир,пиягь
73,Feuer::N,би,цӏу
74,Licht::N,би,чани
75,Schatten::N,вуджӧр,ххют
76,Wetter::N,погоддя,гьава
77,Nebel::N,туман,шархь ттурлу
78,Wolke::N,кымӧр,ттурлу
79,Regen::N,зэр,гъарал
80,Schnee::N,лым,марххала
81,Eis::N,йы,микӏ
82,Frost::N,мороз,дяркъу
83,Frost::N,мороз,замгьар
84,Kälte::N,кӧдзыт,дяркъу
85,Hitze::N,ӧд,кӏиришиву
86,Raureif::N,кижа,сил
87,Raureif::N,кижа,бурса
88,Regenbogen::N,енӧшка,ссурул ккуртта
89,Donner::N,гым,къув
90,Strömung::N,визывтӧм,экьинанаву
91,Tropfen::N,тёп,кӏунтӏ
92,Schaum::N,быг,хьама
93,Schmutz::N,нять,кьяркьи
94,See::N,ты,бяр
95,Sumpf::N,арай,кунцӏа
96,Moor::N,нюр,
97,Wiese::N,видз,кьан
98,Wald::N,вӧр,вацӏа
99,Hügel::N,мыльк,бакӏу
100,Anhöhe::N,вывтас,
101,Anhöhe::N,вылынін,
102,Berg::N,керӧс,зунтту
103,Gipfel::N,йыв,мицӏ
104,Höhle::N,нора,нух
105,Abhang::N,покат,сун
106,Quelle::N,больган,дайдихьу
107,Quelle::N,больган,бакӏ
108,Bach::N,шор,чӏрир нех
109,Fluss::N,ю,нех
110,Ufer::N,берег,зума
111,Küste::N,берег,зумаинхалу
112,Küste::N,берег,зуманицӏалу
113,Festland::N,му,кьири
114,Meer::N,море,хьхьири
115,Bucht::N,курья,
116,Blume::N,цветок,тӏутӏи
117,Gras::N,турун,уртту
118,Wurzel::N,вуж,мархха
119,Baum::N,пу,мурхь
120,Stamm::N,мыр,ттарцӏ
121,Stamm::N,кер,ттарцӏ
122,Rinde::N,кач,ккамара
123,Ast::N,ув,матӏи
124,Zweig::N,ув,къяртта
125,Blatt::N,лист,чӏапӏи
126,Birke::N,кыдз,кӏялахӏи
127,Birke::N,кыдз,кӏялахӏилул мурхь
128,Kiefer[Baum]::N,пожум,ттар
129,Kiefer[Baum]::N,пожум,ттарлил мурхь
130,Weide[Baum]::N,бадь,щавщи
131,Tanne::N,кӧз,ттарлил мурхь
132,Horn::N,сюр,хъи
133,Feder::N,гӧн,лелуххул тӏиму
134,Fell::N,кучик,бурчу
135,Flügel::N,борд,хъа
136,Flügel::N,борд,ххурупӏайрал тӏиму
137,Klaue::N,гыж,михь
138,Kralle::N,кабыр,ххяппа
139,Schwanz::N,бӧж,магъ
140,Ei::N,кольть,ккунук
141,Nest::N,поз,кюру
142,Bau::N,осьта,цукъуккутӏ
143,Bau::N,нора,цукъуккутӏ
144,Tier::N,зверь,хӏайван
145,Herde::N,гурт,газу
146,Kuh::N,мӧс,оьл
147,Bulle::N,ӧшка,ниц
148,Pferd::N,вӧв,чу
149,Schaf::N,баля,тта
150,Schwein::N,порсь,дунгъуз
151,Hund::N,пон,ккаччи
152,Katze::N,кань,ччиту
153,Bär::N,ош,цуша
154,Eichhörnchen::N,ур,бюрхттукку
155,Elch::N,вӧр мӧс,ниц-бюрин
156,Fuchs::N,руч,цулчӏа
157,Fuchs::N,руч,куча цулчӏа
158,Hase::N,кӧч,бюрх
159,Maus::N,шыр,кӏулу
160,Wolf::N,кӧин,барцӏ
161,Vogel::N,кай,лелуххи
162,Schwarm::N,стая,гьухъала
163,Schwarm::N,чукӧр,гьухъала
164,Huhn::N,курӧг,аьнакӏи
165,Hahn::N,петух,ажари
166,Hahn::N,ай курӧг,ажари
167,Gans::N,дзодзог,къаз
168,Adler::N,куч,барзу
169,Adler::N,кутш,барзу
170,Ente::N,утка,урдак
171,Eule::N,тупка,ису
172,Eule::N,тупка,ччиккумяв
173,Kranich::N,тури,кьурукь
174,Krähe::N,рака,хъатӏу
175,Kuckuck::N,кӧк,ччикку
176,Schwan::N,юсь,урттил къаз
177,Fisch::N,чери,чавахъ
178,Barsch::N,ёкыш,
179,Hecht::N,сирпинь,
180,Schlange[Tier]::N,змей,шатта
181,Wurm::N,номыр,кьюнукьай шатта
182,Spinne::N,черань,ххялцу
183,Ameise::N,кӧдзывкар,митӏикьукьу
184,Laus::N,ляпа той,
185,Mücke::N,ном,мичӏак
186,Fliege::N,гут,зимиз
187,Schmetterling::N,бабыв,чӏимучӏали
188,Beere::N,ягӧд,хӏаллил ахъулсса
189,Apfel::N,яблоко,гьивч
190,Pilz::N,тшак,ттуккул иис
191,Zwiebel::N,грез,лаччул чсмусул бакӏ
192,Saat::N,кӧдзыс,гьанна
193,Korn::N,сю,къама
194,Heu::N,турун,ххулув
195,Schale::N,кыш,ккиртту
196,Schale::N,киль,ккиртту
197,Grube::N,яма,кӏаланг
198,Falle::N,нальк,къатӏа
199,Falle::N,кляпча,къатӏа
200,Schlinge::N,лӧч,хӏатӏ
201,Spur::N,туй,ша
202,Asche::N,пӧим,лах
203,Dreck::N,нять,кьяркьи
204,Dreck::N,нять,венп
205,Eisen::N,кӧрт,мах
206,Gold::N,зарни,муси
207,Silber::N,язісь,арцу
208,Kohle::N,шом,кӏалаш
209,Kohle::N,шом,хъуручӏ
210,Kohle::N,уголь,кӏалаш
211,Kohle::N,уголь,хъуручӏ
212,Glas::N,стекло,пюрун
213,Lehm::N,сёй,сина аьрщи
214,Sand::N,лыа,къун
215,Mensch::N,морт,инсан
216,Mann::N,мужик,чув
217,Mann::N,мужик,адимина
218,Frau::N,инька,щарсса
219,Frau::N,инька,хъамитайпа
220,Kind::N,кага,чӏиви оьрчӏ
221,Junge::N,зонка,оьрчӏ
222,Junge::N,зонка,бурхьин оьрчӏ
223,Mädchen::N,нывкаок,душ
224,Familie::N,семья,кулпат
225,Großvater::N,дед,ттатта
226,Großvater::N,дед,ниттил ппу
227,Großmutter::N,баб,буттал нину
228,Eltern::N,ай-мам,нину-ппу
229,Vater::N,ай,ппу
230,Mutter::N,мам,нину
231,Sohn::N,зон,арс
232,Tochter::N,ныв,душ
233,Bruder::N,вон,уссу
234,Schwester::N,сой,ссу
235,Onkel::N,дядь,буттауссу
236,Tante::N,айӧлӧн сой,буттал ссу
237,Tante::N,ичинь,буттал ссу
238,Ehemann::N,жӧник,лас
239,Ehefrau::N,инь,щар
240,Ehefrau::N,инь,щарсса
241,Freude::N,гаж,шадшиву
242,Freude::N,гаж,ххаришиву
243,Freude::N,радъялӧм,шадшиву
244,Freude::N,радъялӧм,ххаришиву
245,Gelächter::N,сералӧм,хъяхъаву
246,Glück::N,мичлун,талихӏ
247,Kummer::N,шог,дард
248,Wunsch::N,мӧдӧм,мурад
249,Wunsch::N,охотитӧм,мурад
250,Lust::N,охота,гьавас
251,Lust::N,охота,ччаву
252,Geist::N,лов,рухӏ
253,Gedanke::N,дума,пикри
254,Gedächtnis::N,тӧдвыв,дакӏний личӏаву
255,Verstand::N,вежӧр,аькьлу
256,Sinn::N,ылӧс,мяъна
257,Grund::N,мог,багьана
258,Wahrheit::N,правда,тӏайламур
259,Wahrheit::N,правда,хӏакьмур
260,Gespräch::N,сёрни,ихтилат
261,Märchen::N,сказка,магьа
262,Erzählung::N,висьт,хавар
263,Nachricht::N,юӧр,хавар
264,Nachricht::N,висьталӧм,хавар
265,Neuigkeit::N,новость,хавар
266,Name::N,ним,цӏа
267,Rätsel::N,загадка,ссигьа
268,Rede::N,сёрни,гъалгъа
269,Sprache::N,кыв,маз
270,Stimme::N,голос,чӏу
271,Stimme::N,голос,чӏукӏа
272,Wort::N,кыв,махъ
273,Zeichen::N,пас,лишан
274,Ruf::N,чуксӧм,
275,Ruf::N,чукӧстӧм,
