,Concept_ID,es,et
0,Auge::N,ojo,silm
1,Ohr::N,oreja,kõrv
2,Nase::N,nariz,nina
3,Mund::N,boca,suu
4,Zahn::N,diente,hammas
5,Zunge::N,lengua,keel
6,Lippe::N,labio,huul
7,Wange::N,mejilla,põsk
8,Gesicht::N,cara,nägu
9,Stirn::N,frente,otsmik
10,Haar::N,cabello,juus
11,Schnurrbart::N,bigote,vurrud
12,Schnurrbart::N,bigote,vuntsid
13,Bart::N,barba,habe
14,Kinn::N,barbilla,lõug
15,Kiefer[Anatomie]::N,mandíbula,lõualuu
16,Kehle::N,garganta,kõri
17,Hals::N,cuello,kael
18,Genick::N,nuca,kukal
19,Genick::N,cerviz,kukal
20,Kopf::N,cabeza,pea
21,Rücken::N,espalda,selg
22,Bauch::N,vientre,kõht
23,Nabel::N,ombligo,naba
24,Busen::N,pecho,rind
25,Brust::N,pecho,rind
26,Schulter::N,hombro,õlg
27,Arm::N,brazo,käsivars
28,Ellenbogen::N,codo,küünarnukk
29,Hand::N,mano,käsi
30,Handfläche::N,palma,pihk
31,Finger::N,dedo,sõrm
32,Fingernagel::N,uña,küüs
33,Nagel[Anatomie]::N,uña,küüs
34,Zeh::N,dedo del pie,varvas
35,Fuß::N,pie,jalg
36,Ferse::N,talón,kand
37,Knie::N,rodilla,põlv
38,Oberschenkel::N,muslo,reis
39,Bein::N,pierna,jalg
40,Körper::N,cuerpo,ihu
41,Körper::N,cuerpo,keha
42,Haut::N,piel,nahk
43,Blut::N,sangre,veri
44,Ader::N,vena,veen
45,Sehne::N,tendón,kõõlus
46,Knochen::N,hueso,luu
47,Gehirn::N,cerebro,aju
48,Gehirn::N,encéfalo,aju
49,Herz::N,corazón,süda
50,Magen::N,estómago,magu
51,Leber::N,hígado,maks
52,Atem::N,aliento,hingeõhk
53,Atem::N,aliento,hingamine
54,Hunger::N,hambre,nälg
55,Träne::N,lágrima,pisar
56,Geschmack::N,gusto,maitse
57,Geruch::N,olor,lõhn
58,Schlaf::N,sueño,uni
59,Traum::N,sueño,unenägu
60,Traum::N,ensueño,unenägu
61,Himmel::N,cielo,taevas
62,Sonne::N,sol,päike
63,Mond::N,luna,kuu
64,Stern::N,estrella,täht
65,Luft::N,aire,õhk
66,Wind::N,viento,tuul
67,Welle::N,ola,laine
68,Welle::N,onda,laine
69,Wasser::N,agua,vesi
70,Stein::N,piedra,kivi
71,Boden::N,suelo,maa
72,Boden::N,suelo,pinnas
73,Erde::N,tierra,maa
74,Staub::N,polvo,põrm
75,Rauch::N,humo,suits
76,Funke::N,chispa,säde
77,Feuer::N,fuego,tuli
78,Licht::N,luz,valgus
79,Schatten::N,sombra,vari
80,Wetter::N,tiempo,ilm
81,Nebel::N,niebla,udu
82,Wolke::N,nube,pilv
83,Regen::N,lluvia,sadu
84,Schnee::N,nieve,lumi
85,Eis::N,hielo,jää
86,Frost::N,helada,pakane
87,Kälte::N,frío,külm
88,Kälte::N,frío,külmus
89,Hitze::N,calor,kuumus
90,Hitze::N,calor,palavus
91,Raureif::N,escarcha,härmatis
92,Regenbogen::N,arco iris,vikerkaar
93,Donner::N,trueno,kõu
94,Donner::N,trueno,müristamine
95,Strömung::N,corriente,voolus
96,Strömung::N,corriente,jõevool
97,Tropfen::N,gota,tilk
98,Schaum::N,espuma,vaht
99,Schmutz::N,suciedad,pori
100,Schmutz::N,suciedad,mustus
101,See::N,lago,järv
102,Sumpf::N,pantano,soo
103,Moor::N,turbera,raba
104,Wiese::N,prado,aas
105,Wiese::N,prado,nurm
106,Wiese::N,pradera,aas
107,Wiese::N,pradera,nurm
108,Wald::N,bosque,mets
109,Hügel::N,colina,küngas
110,Anhöhe::N,cerro,küngas
111,Berg::N,monte,mägi
112,Berg::N,montaña,mägi
113,Gipfel::N,cima,mäetipp
114,Gipfel::N,cumbre,mäetipp
115,Höhle::N,cueva,koobas
116,Höhle::N,caverna,koobas
117,Abhang::N,cuesta,nõlvak
118,Abhang::N,declive,nõlvak
119,Quelle::N,fuente,allikas
120,Quelle::N,manantial,allikas
121,Bach::N,arroyo,oja
122,Fluss::N,río,jõgi
123,Ufer::N,orilla,kallas
124,Küste::N,costa,rannik
125,Festland::N,tierra firme,mander
126,Festland::N,tierra firme,maismaa
127,Meer::N,mar,meri
128,Bucht::N,cala,laht
129,Bucht::N,bahía,laht
130,Insel::N,isla,saar
131,Blume::N,flor,lill
132,Gras::N,hierba,rohi
133,Wurzel::N,raíz,juur
134,Baum::N,árbol,puu
135,Stamm::N,tronco,tüvi
136,Rinde::N,corteza,koor
137,Ast::N,rama,oks
138,Zweig::N,ramo,oks
139,Blatt::N,hoja,leht
140,Birke::N,abedul,kask
141,Kiefer[Baum]::N,pino,mänd
142,Weide[Baum]::N,sauce,paju
143,Tanne::N,abeto,nulg
144,Horn::N,asta,sarv
145,Horn::N,cuerno,sarv
146,Feder::N,pluma,sulg
147,Fell::N,piel,karvkate
148,Fell::N,piel,karusnahk
149,Flügel::N,ala,tiib
150,Flügel::N,ala,tiivik
151,Klaue::N,garra,küüs
152,Kralle::N,uña,küünis
153,Kralle::N,garra,küünis
154,Schwanz::N,cola,saba
155,Ei::N,huevo,muna
156,Nest::N,nido,pesa
157,Bau::N,madriguera,urg
158,Tier::N,animal,loom
159,Herde::N,rebaño,kari
160,Kuh::N,vaca,lehm
161,Bulle::N,toro,pull
162,Pferd::N,caballo,hobune
163,Schaf::N,oveja,lammas
164,Schwein::N,cerdo,siga
165,Hund::N,perro,koer
166,Katze::N,gato,kass
167,Bär::N,oso,karu
168,Eichhörnchen::N,ardilla,orav
169,Elch::N,alce,põder
170,Fuchs::N,zorro,rebane
171,Hase::N,liebre,jänes
172,Maus::N,ratón,hiir
173,Wolf::N,lobo,hunt
174,Vogel::N,ave,lind
175,Vogel::N,pájaro,lind
176,Schwarm::N,bandada,parv
177,Huhn::N,gallina,kana
178,Hahn::N,gallo,kukk
179,Gans::N,oca,hani
180,Gans::N,ganso,hani
181,Adler::N,águila,kotkas
182,Ente::N,pato,part
183,Eule::N,lechuza,kakk
184,Eule::N,lechuza,öökull
185,Kranich::N,grulla,kurg
186,Krähe::N,corneja,vares
187,Kuckuck::N,cuco,kägu
188,Schwan::N,cisne,luik
189,Fisch::N,pez,kala
190,Barsch::N,perca,ahven
191,Hecht::N,lucio,haug
192,Schlange[Tier]::N,serpiente,uss
193,Wurm::N,gusano,uss
194,Wurm::N,gusano,vagel
195,Spinne::N,araña,ämblik
196,Ameise::N,hormiga,sipelgas
197,Laus::N,piojo,täi
198,Mücke::N,mosquito,sääsk
199,Fliege::N,mosca,kärbes
200,Schmetterling::N,mariposa,liblikas
201,Beere::N,baya,mari
202,Apfel::N,manzana,õun
203,Pilz::N,seta,seen
204,Pilz::N,hongo,seen
205,Zwiebel::N,cebolla,sibul
206,Saat::N,siembra,seeme
207,Korn::N,grano,iva
208,Korn::N,grano,tera
209,Heu::N,heno,hein
210,Schale::N,cáscara,koor
211,Grube::N,foso,kaevand
212,Falle::N,trampa,lõks
213,Falle::N,trampa,püünis
214,Schlinge::N,lazo,aas
215,Spur::N,huella,jälg
216,Asche::N,ceniza,tuhk
217,Dreck::N,suciedad,saast
218,Dreck::N,suciedad,mustus
219,Eisen::N,hierro,raud
220,Gold::N,oro,kuld
221,Silber::N,plata,hõbe
222,Kohle::N,carbón,süsi
223,Glas::N,vidrio,klaas
224,Glas::N,cristal,klaas
225,Lehm::N,barro,savi
226,Sand::N,arena,liiv
227,Mensch::N,hombre,inimene
228,Mensch::N,ser humano,inimene
229,Mann::N,hombre,mees
230,Frau::N,mujer,naine
231,Kind::N,niño,laps
232,Junge::N,chico,poiss
233,Junge::N,muchacho,poiss
234,Mädchen::N,chica,tüdruk
235,Mädchen::N,muchacha,tüdruk
236,Familie::N,familia,perekond
237,Großvater::N,abuelo,vanaisa
238,Großmutter::N,abuela,vanaema
239,Eltern::N,padres,vanemad
240,Vater::N,padre,isa
241,Mutter::N,madre,ema
242,Sohn::N,hijo,poeg
243,Tochter::N,hija,tütar
244,Bruder::N,hermano,vend
245,Schwester::N,hermana,õde
246,Onkel::N,tío,onu
247,Tante::N,tía,tädi
248,Ehemann::N,esposo,mees
249,Ehemann::N,esposo,abikaasa
250,Ehefrau::N,esposa,naine
251,Ehefrau::N,esposa,abikaasa
252,Freude::N,placer,rõõm
253,Freude::N,alegría,rõõm
254,Gelächter::N,risa,naer
255,Gelächter::N,carcajada,naer
256,Glück::N,felicidad,õnn
257,Kummer::N,pena,mure
258,Kummer::N,pena,kurbus
259,Wunsch::N,deseo,soov
260,Lust::N,ganas,himu
261,Geist::N,mente,vaim
262,Geist::N,espíritu,vaim
263,Gedanke::N,idea,mõte
264,Gedanke::N,pensamiento,mõte
265,Gedächtnis::N,memoria,mälu
266,Verstand::N,razón,aru
267,Verstand::N,razón,mõistus
268,Verstand::N,entendimiento,aru
269,Verstand::N,entendimiento,mõistus
