,Concept_ID,lez,pl
0,Auge::N,вил,oko
1,Ohr::N,яб,ucho
2,Nase::N,нер,nos
3,Mund::N,сив,usta
4,Zahn::N,сас,ząb
5,Zahn::N,свах,ząb
6,Zunge::N,мез,język
7,Lippe::N,пӏуз,warga
8,Wange::N,хъвехъ,policzek
9,Gesicht::N,ччин,twarz
10,Stirn::N,пел,czoło
11,Haar::N,чӏар,włos
12,Haar::N,чӏар,włosy
13,Schnurrbart::N,спел,wąsy
14,Schnurrbart::N,спелар,wąsy
15,Bart::N,ччуру,broda
16,Kinn::N,чене,podbródek
17,Kiefer[Anatomie]::N,чене,czeluść
18,Kehle::N,туьд,gardło
19,Hals::N,гардан,szyja
20,Genick::N,кьам,kark
21,Kopf::N,кьил,głowa
22,Rücken::N,далу,plecy
23,Rücken::N,далу,grzbiet
24,Bauch::N,руфун,brzuch
25,Nabel::N,пицӏ,pępek
26,Busen::N,мам,biust
27,Brust::N,хур,pierś
28,Schulter::N,къуьн,bark
29,Schulter::N,къуьн,ramię
30,Arm::N,гъил,ręka
31,Arm::N,гъил,ramię
32,Ellenbogen::N,кьуьнт,łokieć
33,Hand::N,капаш,dłoń
34,Handfläche::N,капан юкь,dłoń
35,Finger::N,тӏуб,palec
36,Fingernagel::N,кек,paznokieć
37,Nagel[Anatomie]::N,кек,paznokieć
38,Zeh::N,кул,palec
39,Fuß::N,кӏвач,stopa
40,Ferse::N,дабан,pięta
41,Knie::N,мет,kolano
42,Bein::N,кӏвач,noga
43,Körper::N,беден,ciało
44,Haut::N,хам,skóra
45,Blut::N,иви,krew
46,Ader::N,дамар,żyła
47,Sehne::N,кьуру дамар,ścięgno
48,Knochen::N,кӏараб,kość
49,Gehirn::N,мефт,mózg
50,Herz::N,рикӏ,serce
51,Magen::N,хук,żołądek
52,Leber::N,лекь,wątroba
53,Atem::N,ял,dech
54,Atem::N,ял,oddech
55,Atem::N,нефес,dech
56,Atem::N,нефес,oddech
57,Hunger::N,каш,głód
58,Träne::N,вилин нагъв,łza
59,Geschmack::N,дад,smak
60,Geschmack::N,тӏям,smak
61,Geruch::N,ни,woń
62,Geruch::N,ни,zapach
63,Schlaf::N,ахвар,sen
64,Traum::N,ахвар,sen
65,Himmel::N,цав,niebo
66,Sonne::N,рагъ,słońce
67,Mond::N,варз,księżyc
68,Stern::N,гъед,gwiazda
69,Luft::N,гьава,powietrze
70,Wind::N,гар,wiatr
71,Welle::N,лепе,fala
72,Wasser::N,яд,woda
73,Stein::N,къван,kamień
74,Boden::N,накьв,grunt
75,Erde::N,ччил,ziemia
76,Staub::N,руг,pył
77,Staub::N,руг,kurz
78,Rauch::N,гум,dym
79,Funke::N,цӏелхем,iskra
