,Concept_ID,cv,xal
0,Auge::N,куҫ,нүдн
1,Ohr::N,хӑлха,чикн
2,Nase::N,сӑмса,хамр
3,Mund::N,ҫӑвар,амн
4,Zahn::N,шӑл,шүдн
5,Zunge::N,чӗлхе,келн
6,Lippe::N,тута,урл
7,Wange::N,пит ҫӑмарти,халх
8,Gesicht::N,пит,нүр
9,Gesicht::N,пит-куҫ,нүр
10,Stirn::N,ҫамка,маңна
11,Haar::N,ҫӳҫ,үсн
12,Schnurrbart::N,усси,сахл
13,Bart::N,сухал,сахл
14,Bart::N,сухал,өргнә сахл
15,Kinn::N,янах,өргн
16,Kiefer[Anatomie]::N,янах,өргн
17,Kehle::N,пыр,хол
18,Kehle::N,карланкӑ,хол
19,Hals::N,пыр,күзүн
20,Genick::N,ӗнсе,гиҗг
21,Kopf::N,пуҫ,толһа
22,Rücken::N,ҫурӑм,нурһн
23,Nabel::N,кӑвапа,киисн
24,Busen::N,кӑкӑр,көкн
25,Brust::N,умӗ,чееҗ
26,Schulter::N,хул пуҫҫи,ээм
27,Arm::N,алӑ,һар
28,Ellenbogen::N,чавса,тоха
29,Hand::N,алӑ сыппи,баһлцг
30,Handfläche::N,ал лаппи,альхн
31,Finger::N,пӳрне,хурһн
32,Finger::N,пӳрне,һарин хурһн
33,Fingernagel::N,чӗрне,хумсн
34,Nagel[Anatomie]::N,чӗрне,хумсн
35,Zeh::N,пӳрне,хурһн
36,Zeh::N,пӳрне,көлин хурһн
37,Fuß::N,ура лаппи,тавг
38,Ferse::N,кӗле,өскә
39,Knie::N,чӗркуҫҫи,өвдг
40,Oberschenkel::N,пӗҫӗ,һуй
41,Bein::N,ура,көл
42,Körper::N,ӳт,махмуд
43,Körper::N,ӳт-пӳ,махмуд
44,Haut::N,тир,арсн
45,Blut::N,юн,цусн
46,Ader::N,вена,судцн
47,Sehne::N,шӑнӑр,шүрүсн
48,Knochen::N,шӑмӑ,ясн
49,Gehirn::N,миме,экн
50,Herz::N,чӗре,зүркн
51,Magen::N,хырӑмлӑх,гесн
52,Leber::N,пӗвер,элкн
53,Atem::N,сывлав,әмсхл
54,Hunger::N,выҫлӑх,харһнлһн
55,Träne::N,куҫҫуль,нульмсн
56,Geschmack::N,техӗм,амтн
57,Geruch::N,шӑршӑ,үнр
58,Schlaf::N,ыйхӑ,нөр
59,Traum::N,тӗлӗк,зүүдн
60,Himmel::N,пӗлӗт,теңгр
61,Sonne::N,хӗвел,нарн
62,Mond::N,уйӑх,сар
63,Stern::N,ҫӑлтӑр,одн
