,Concept_ID,et,ba
0,Auge::N,silm,күҙ
1,Ohr::N,kõrv,ҡолаҡ
2,Nase::N,nina,танау
3,Mund::N,suu,ауыҙ
4,Zahn::N,hammas,теш
5,Zunge::N,keel,тел
6,Lippe::N,huul,ирен
7,Wange::N,põsk,яцаҡтар
8,Gesicht::N,nägu,бит
9,Stirn::N,otsmik,маңлай
10,Haar::N,juus,сәс
11,Schnurrbart::N,vurrud,мылтыҡ
12,Schnurrbart::N,vuntsid,мылтыҡ
13,Bart::N,habe,һаҡал
14,Kinn::N,lõug,эйэк
15,Kiefer[Anatomie]::N,lõualuu,яңаҡ һөйәге
16,Kehle::N,kõri,тамаҡ
17,Hals::N,kael,муйын
18,Genick::N,kukal,соңҡа
19,Kopf::N,pea,баш
20,Rücken::N,selg,арҡа
21,Bauch::N,kõht,ҡорһаҡ
22,Nabel::N,naba,кендек
23,Busen::N,rind,күкрәк
24,Brust::N,rind,түш
25,Schulter::N,õlg,яурын
26,Arm::N,käsivars,ҡул
27,Ellenbogen::N,küünarnukk,терһәк
28,Hand::N,käsi,ҡул
29,Hand::N,käsi,ҡул суғы
30,Handfläche::N,pihk,ус төбө
31,Finger::N,sõrm,бармаҡ
32,Fingernagel::N,küüs,тырнаҡ
33,Nagel[Anatomie]::N,küüs,тырнаҡ
34,Zeh::N,varvas,бармаҡ
35,Fuß::N,jalg,табан
36,Ferse::N,kand,үксә
37,Knie::N,põlv,тубыҡ
38,Oberschenkel::N,reis,сандыр
39,Bein::N,jalg,аяҡ
40,Körper::N,ihu,тән
41,Körper::N,keha,тән
42,Haut::N,nahk,тире
43,Blut::N,veri,ҡан
44,Ader::N,veen,тамыр
45,Sehne::N,kõõlus,һеңер
46,Sehne::N,kõõlus,тарамыш
47,Knochen::N,luu,һойәк
48,Gehirn::N,aju,мейе
49,Herz::N,süda,йорәк
50,Magen::N,magu,ашҡаҙан
51,Leber::N,maks,бауыр
52,Atem::N,hingeõhk,һулыш
53,Atem::N,hingamine,һулыш
54,Hunger::N,nälg,аслыҡ
55,Träne::N,pisar,күҙ иәше
56,Geschmack::N,maitse,тәм
57,Geruch::N,lõhn,еҫ
58,Schlaf::N,uni,йоҡлау
59,Traum::N,unenägu,төш
60,Himmel::N,taevas,күк
61,Sonne::N,päike,ҡояш
62,Mond::N,kuu,ай
63,Stern::N,täht,йондоҙ
64,Luft::N,õhk,һауа
65,Wind::N,tuul,ел
66,Welle::N,laine,тулҡын
67,Wasser::N,vesi,һыу
68,Stein::N,kivi,таш
69,Boden::N,maa,тупраҡ
70,Boden::N,pinnas,тупраҡ
71,Erde::N,maa,балсҡ
72,Staub::N,põrm,туҙан
73,Rauch::N,suits,төтөн
74,Funke::N,säde,осҡон
75,Feuer::N,tuli,ут
76,Licht::N,valgus,яҡтылыҡ
77,Schatten::N,vari,күләгә
78,Wetter::N,ilm,һауа торошо
79,Nebel::N,udu,төман
80,Wolke::N,pilv,болот
81,Regen::N,sadu,ямғыр
82,Schnee::N,lumi,ҡар
83,Eis::N,jää,боҙ
84,Frost::N,pakane,һалҡын
85,Kälte::N,külm,һыуыҡ
86,Kälte::N,külmus,һыуыҡ
87,Hitze::N,kuumus,томра
88,Hitze::N,kuumus,эҫелек
89,Hitze::N,palavus,томра
90,Hitze::N,palavus,эҫелек
91,Raureif::N,härmatis,ҡырау
92,Regenbogen::N,vikerkaar,йәйғор
93,Donner::N,kõu,күк күкрәү
94,Donner::N,müristamine,күк күкрәү
95,Strömung::N,voolus,ағым
96,Strömung::N,jõevool,ағым
97,Tropfen::N,tilk,тамсы
98,Schaum::N,vaht,күбек
99,Schmutz::N,pori,батҡаҡ
100,Schmutz::N,mustus,батҡаҡ
101,See::N,järv,күл
