,Concept_ID,pl,lt
0,Auge::N,oko,akis
1,Ohr::N,ucho,ausis
2,Nase::N,nos,nosis
3,Mund::N,usta,burna
4,Zahn::N,ząb,dantis
5,Zunge::N,język,liežuvis
6,Lippe::N,warga,lūpa
7,Wange::N,policzek,žandas
8,Wange::N,policzek,skruostas
9,Gesicht::N,twarz,veidas
10,Stirn::N,czoło,kakta
11,Haar::N,włos,plaukai
12,Haar::N,włosy,plaukai
13,Schnurrbart::N,wąsy,ūsai
14,Bart::N,broda,barzda
15,Kinn::N,podbródek,smakras
16,Kiefer[Anatomie]::N,czeluść,žandikaulis
17,Kehle::N,gardło,gerklė
18,Hals::N,szyja,kaklas
19,Genick::N,kark,sprandas
20,Kopf::N,głowa,galva
21,Rücken::N,plecy,nugara
22,Rücken::N,grzbiet,nugara
23,Bauch::N,brzuch,pilvas
24,Nabel::N,pępek,bamba
25,Busen::N,biust,krūtinė
26,Brust::N,pierś,krūtis
27,Schulter::N,bark,petys
28,Schulter::N,ramię,petys
29,Arm::N,ręka,ranka
30,Arm::N,ramię,ranka
31,Ellenbogen::N,łokieć,alkūnė
32,Hand::N,dłoń,ranka
33,Hand::N,dłoń,plaštaka
34,Handfläche::N,dłoń,delnas
35,Handfläche::N,dłoń,plaštaka
36,Finger::N,palec,pirštas
37,Fingernagel::N,paznokieć,nagas
38,Nagel[Anatomie]::N,paznokieć,nagas
39,Zeh::N,palec,pirštas
40,Fuß::N,stopa,pėda
41,Ferse::N,pięta,kulnas
42,Knie::N,kolano,kelis
43,Oberschenkel::N,udo,kulšis
44,Oberschenkel::N,udo,šlaunis
45,Bein::N,noga,koja
46,Körper::N,ciało,kūnas
47,Haut::N,skóra,oda
48,Blut::N,krew,kraujas
49,Ader::N,żyła,kraujagyslė
50,Sehne::N,ścięgno,sausgyslė
51,Knochen::N,kość,kaulas
52,Gehirn::N,mózg,smegenys
53,Herz::N,serce,širdis
54,Magen::N,żołądek,skrandis
55,Leber::N,wątroba,kepenys
56,Atem::N,dech,kvapas
57,Atem::N,oddech,kvapas
58,Hunger::N,głód,badas
59,Hunger::N,głód,alkis
60,Träne::N,łza,ašara
61,Geschmack::N,smak,skonis
62,Geruch::N,woń,kvapas
63,Geruch::N,zapach,kvapas
64,Schlaf::N,sen,miegas
65,Traum::N,sen,sapnas
66,Himmel::N,niebo,dangus
67,Sonne::N,słońce,saulė
68,Mond::N,księżyc,mėnulis
69,Stern::N,gwiazda,žvaigždė
70,Luft::N,powietrze,oras
71,Wind::N,wiatr,vėjas
72,Welle::N,fala,banga
73,Welle::N,fala,vilnis
74,Wasser::N,woda,vanduo
75,Stein::N,kamień,akmuo
76,Boden::N,grunt,žemė
77,Boden::N,grunt,dugnas
78,Erde::N,ziemia,žemė
79,Staub::N,pył,dulkės
80,Staub::N,kurz,dulkės
81,Rauch::N,dym,dūmai
82,Funke::N,iskra,kibirkštis
83,Feuer::N,ogień,ugnis
84,Licht::N,światło,šviesa
85,Schatten::N,cień,paūksmė
86,Wetter::N,pogoda,oras
87,Nebel::N,mgła,migla
88,Nebel::N,mgła,rūkas
89,Wolke::N,obłok,debesis
90,Wolke::N,chmura,debesis
91,Regen::N,deszcz,lietus
92,Schnee::N,śnieg,sniegas
93,Eis::N,lód,ledas
94,Frost::N,mróz,šalna
95,Kälte::N,chłód,šaltis
96,Hitze::N,gorąco,karštis
97,Raureif::N,szron,šerkšnas
98,Regenbogen::N,tęcza,vaivorykštė
99,Donner::N,grzmot,perkūnas
100,Donner::N,grzmot,griaustinis
101,Strömung::N,nurt,tėkmė
102,Tropfen::N,kropla,lašas
103,Schaum::N,piana,putos
104,Schmutz::N,brud,purvas
105,See::N,jezioro,ežeras
106,Sumpf::N,bagno,klampynė
107,Sumpf::N,bagno,liūnas
108,Moor::N,bagno,pelkė
109,Wiese::N,łąka,pieva
110,Wald::N,las,miškas
111,Hügel::N,pagórek,kalva
112,Anhöhe::N,wzgórze,kauburys
113,Berg::N,góra,kalnas
114,Gipfel::N,szczyt,viršūnė
115,Gipfel::N,wierzchołek,viršūnė
116,Höhle::N,pieczara,ola
117,Abhang::N,stok,šlaitas
