,Concept_ID,sv,ro
0,Auge::N,öga,ochi
1,Ohr::N,öra,ureche
2,Nase::N,näsa,nas
3,Mund::N,mun,gură
4,Zahn::N,tand,dinte
5,Zunge::N,tunga,limbă
6,Lippe::N,läpp,buză
7,Wange::N,kind,bucă
8,Wange::N,kind,obraz
9,Gesicht::N,syn,față
10,Gesicht::N,syn,figură
11,Gesicht::N,ansikte,față
12,Gesicht::N,ansikte,figură
13,Stirn::N,panna,frunte
14,Haar::N,hår,păr
15,Schnurrbart::N,mustasch,mustață
16,Bart::N,skägg,barbă
17,Kinn::N,haka,bărbie
18,Kiefer[Anatomie]::N,käke,falcă
19,Kehle::N,strupe,beregată
20,Hals::N,hals,gât
21,Genick::N,nacke,ceafă
22,Kopf::N,huvud,cap
23,Rücken::N,rygg,dos
24,Rücken::N,rygg,spate
25,Rücken::N,rygg,spinare
26,Bauch::N,buk,burtă
27,Bauch::N,buk,pântece
28,Bauch::N,mage,burtă
29,Bauch::N,mage,pântece
30,Nabel::N,navel,buric
31,Busen::N,barm,sân
32,Brust::N,bröst,piept
33,Schulter::N,skuldra,umăr
34,Schulter::N,skuldra,spate
35,Arm::N,arm,braț
36,Ellenbogen::N,armbåge,cot
37,Hand::N,hand,mână
38,Handfläche::N,handflata,palmă
39,Finger::N,finger,deget
40,Fingernagel::N,fingernagel,unghie
41,Nagel[Anatomie]::N,nagel,unghie
42,Zeh::N,tå,deget de la picior
43,Fuß::N,fot,picior
44,Ferse::N,häl,călcâi
45,Knie::N,knä,genunchi
46,Oberschenkel::N,lår,coapsă
47,Bein::N,ben,picior
48,Körper::N,kropp,corp
49,Haut::N,hud,piele
50,Haut::N,skinn,piele
51,Blut::N,blod,sânge
52,Ader::N,åder,vână
53,Ader::N,åder,arteră
54,Sehne::N,sena,tendon
55,Knochen::N,ben,os
56,Gehirn::N,hjärna,creier
57,Herz::N,hjärta,inimă
58,Magen::N,mage,stomac
59,Leber::N,lever,ficat
60,Atem::N,anda,răsuflare
61,Atem::N,anda,respirație
62,Atem::N,andedräkt,răsuflare
63,Atem::N,andedräkt,respirație
64,Hunger::N,svält,foame
65,Hunger::N,hunger,foame
66,Träne::N,tår,lacrimă
67,Geschmack::N,smak,gust
68,Geruch::N,lukt,miros
69,Schlaf::N,sömn,somn
70,Traum::N,dröm,vis
71,Himmel::N,himmel,cer
72,Sonne::N,sol,soare
73,Mond::N,måne,lună
74,Stern::N,stjärna,stea
75,Luft::N,luft,aer
76,Wind::N,vind,vânt
77,Welle::N,våg,val
78,Welle::N,våg,undă
79,Welle::N,bölja,val
80,Welle::N,bölja,undă
81,Wasser::N,vatten,apă
82,Stein::N,sten,piatră
83,Boden::N,mark,sol
84,Boden::N,mark,pământ
85,Erde::N,jord,pământ
86,Staub::N,damm,praf
87,Rauch::N,rök,fum
88,Funke::N,gnista,scânteie
89,Feuer::N,eld,foc
90,Licht::N,ljus,lumină
91,Schatten::N,skugga,umbră
92,Wetter::N,väder,timp
93,Wetter::N,väder,vreme
94,Nebel::N,dimma,ceață
95,Nebel::N,dimma,negură
96,Nebel::N,töcken,ceață
97,Nebel::N,töcken,negură
98,Wolke::N,sky,nor
99,Wolke::N,moln,nor
100,Regen::N,regn,ploaie
101,Schnee::N,snö,zăpadă
102,Eis::N,is,gheață
103,Frost::N,frost,ger
104,Kälte::N,köld,frig
105,Hitze::N,hetta,arșiță
106,Hitze::N,hetta,căldură
107,Raureif::N,rimfrost,chiciură
108,Regenbogen::N,regnbåge,curcubeu
109,Donner::N,åska,tunet
110,Donner::N,dunder,tunet
111,Strömung::N,strömning,curent
112,Tropfen::N,dropper,picătură
113,Schaum::N,skum,spumă
114,Schmutz::N,lort,murdărie
115,Schmutz::N,smuts,murdărie
116,See::N,sjö,lac
117,Sumpf::N,träsk,mlaștină
118,Moor::N,myr,bărăgan
119,Moor::N,mosse,bărăgan
120,Wiese::N,äng,fânaț
121,Wiese::N,äng,livadă
122,Wald::N,skog,codru
123,Wald::N,skog,pădure
124,Hügel::N,höjd,deal
125,Hügel::N,höjd,movilă
126,Hügel::N,kulle,deal
127,Hügel::N,kulle,movilă
128,Anhöhe::N,höjd,deal
129,Anhöhe::N,höjd,ridicătură
130,Anhöhe::N,backe,deal
131,Anhöhe::N,backe,ridicătură
132,Berg::N,berg,munte
133,Berg::N,fjäll,munte
134,Gipfel::N,topp,pisc
135,Höhle::N,håla,peșteră
136,Höhle::N,grotta,peșteră
137,Abhang::N,slänt,pantă
138,Abhang::N,slänt,versant
139,Abhang::N,sluttning,pantă
140,Abhang::N,sluttning,versant
141,Quelle::N,källa,izvor
142,Bach::N,bäck,gârlă
143,Fluss::N,älv,râu
144,Fluss::N,älv,fluviu
145,Fluss::N,flod,râu
146,Fluss::N,flod,fluviu
147,Ufer::N,strand,mal
148,Ufer::N,strand,țărm
149,Küste::N,kust,coastă
150,Festland::N,fastland,uscat
151,Meer::N,hav,mare
152,Bucht::N,vik,golf
153,Bucht::N,bukt,golf
154,Insel::N,ö,insulă
155,Blume::N,blomma,floare
156,Blume::N,blomster,floare
157,Gras::N,gräs,iarbă
158,Wurzel::N,rot,rădăcină
159,Baum::N,träd,copac
160,Baum::N,träd,arbore
161,Stamm::N,stam,tulpină
162,Rinde::N,bark,scoarță
163,Ast::N,gren,cracă
164,Ast::N,gren,creangă
165,Zweig::N,kvist,ramură
166,Zweig::N,kvist,creangă
167,Blatt::N,löv,frunză
168,Blatt::N,blad,frunză
169,Birke::N,björk,mesteacăn
170,Kiefer[Baum]::N,tall,pin
171,Weide[Baum]::N,pil,salcie
172,Weide[Baum]::N,pil,răchită
173,Weide[Baum]::N,vide,salcie
174,Weide[Baum]::N,vide,răchită
175,Tanne::N,gran,brad
176,Horn::N,horn,corn
177,Feder::N,fjäder,pană
178,Fell::N,fäll,piele
179,Fell::N,skinn,piele
180,Flügel::N,vinge,aripă
181,Klaue::N,klöv,gheară
182,Kralle::N,klo,labă
183,Kralle::N,klo,gheară
184,Schwanz::N,svans,coadă
185,Schwanz::N,stjärt,coadă
186,Ei::N,ägg,ou
187,Nest::N,rede,cuib
188,Nest::N,näste,cuib
189,Bau::N,bo,bârlog
190,Bau::N,bo,vizuină
191,Tier::N,djur,animal
192,Herde::N,flock,turmă
193,Herde::N,flock,cireadă
194,Kuh::N,ko,vacă
195,Bulle::N,tjur,taur
196,Pferd::N,häst,cal
197,Schaf::N,får,oaie
198,Schwein::N,svin,porc
199,Hund::N,hund,câine
200,Katze::N,katt,pisică
201,Bär::N,björn,urs
202,Eichhörnchen::N,ekorre,veveriță
203,Elch::N,älg,elan
204,Fuchs::N,räv,vulpe
205,Hase::N,hare,iepure
206,Maus::N,mus,șoarece
207,Wolf::N,varg,lup
208,Vogel::N,fågel,pasăre
209,Schwarm::N,svärm,cârd
210,Huhn::N,höns,găină
211,Hahn::N,tupp,cocoș
212,Gans::N,gås,gâscă
213,Adler::N,örn,vultur
214,Ente::N,anka,rață
215,Eule::N,uggla,bufniță
216,Kranich::N,trana,cocor
217,Krähe::N,kråka,cioară
218,Kuckuck::N,gök,cuc
219,Schwan::N,svan,lebădă
220,Fisch::N,fisk,pește
221,Barsch::N,abborre,biban
222,Hecht::N,gädda,știucă
223,Schlange[Tier]::N,orm,șarpe
224,Wurm::N,mask,vierme
225,Spinne::N,spindel,păianjen
226,Ameise::N,myra,furnică
227,Laus::N,lus,păduche
228,Mücke::N,mygga,țânțar
229,Fliege::N,fluga,muscă
230,Schmetterling::N,fjäril,fluture
231,Beere::N,bär,boabă
232,Apfel::N,äpple,măr
233,Pilz::N,svamp,burete
234,Pilz::N,svamp,ciupercă
235,Zwiebel::N,lök,ceapă
236,Saat::N,sådd,semănătură
237,Korn::N,korn,grâu
238,Heu::N,hö,fân
239,Schale::N,skal,coajă
240,Grube::N,grop,groapă
241,Falle::N,fälla,cursă
242,Falle::N,fälla,capcană
243,Schlinge::N,snara,laț
244,Spur::N,spår,dâră
245,Asche::N,aska,cenușă
246,Dreck::N,lort,noroi
247,Dreck::N,lort,murdărie
248,Eisen::N,järn,fier
249,Gold::N,guld,aur
250,Silber::N,silver,argint
251,Kohle::N,kol,cărbune
252,Glas::N,glas,sticlă
253,Lehm::N,lera,lut
254,Lehm::N,lera,humă
255,Sand::N,sand,nisip
256,Mensch::N,människa,om
257,Mensch::N,människa,persoană
258,Mann::N,man,om
259,Mann::N,man,bărbat
260,Frau::N,kvinna,femeie
261,Kind::N,barn,copil
262,Junge::N,pojke,băiat
263,Junge::N,pojke,flăcău
264,Mädchen::N,flicka,fată
265,Familie::N,familj,familie
266,Großvater::N,morfar,bunic
267,Großvater::N,morfar,tată mare
268,Großmutter::N,farmor,bunică
269,Großmutter::N,farmor,mamă mare
270,Eltern::N,föräldrar,părinți
271,Vater::N,far,tată
272,Vater::N,far,părinte
273,Mutter::N,mor,mamă
274,Sohn::N,son,fiu
275,Sohn::N,son,fecior
276,Tochter::N,dotter,fiică
277,Bruder::N,bror,frate
278,Schwester::N,syster,soră
279,Onkel::N,morbror,unchi
280,Tante::N,tant,mătușă
281,Ehemann::N,äkta man,soț
282,Ehemann::N,äkta man,bărbat
283,Ehefrau::N,hustru,soție
284,Freude::N,fröjd,bucurie
285,Freude::N,glädje,bucurie
286,Gelächter::N,åtlöje,râset
287,Glück::N,lycka,fericire
288,Kummer::N,sorg,mâhnire
289,Wunsch::N,önskan,dorință
290,Wunsch::N,önskan,deziderat
291,Lust::N,lust,poftă
292,Lust::N,lust,înclinare
293,Geist::N,ande,duh
294,Geist::N,ande,minte
295,Geist::N,ande,suflet
296,Gedanke::N,tanke,gând
297,Gedanke::N,tanke,cuget
298,Gedächtnis::N,minne,memorie
299,Verstand::N,förstånd,minte
300,Verstand::N,förstånd,intelect
301,Sinn::N,mening,sens
302,Sinn::N,mening,înțeles
303,Sinn::N,betydelse,sens
304,Sinn::N,betydelse,înțeles
305,Grund::N,skäl,cauză
306,Grund::N,skäl,pricină
307,Grund::N,grund,cauză
308,Grund::N,grund,pricină
309,Wahrheit::N,sanning,adevăr
310,Gespräch::N,samtal,convorbire
311,Gespräch::N,samtal,conversație
312,Märchen::N,saga,basm
313,Märchen::N,saga,poveste
314,Erzählung::N,berättelse,poveste
315,Nachricht::N,meddelande,veste
316,Neuigkeit::N,nyhet,noutate
317,Neuigkeit::N,nyhet,actualitate
318,Name::N,namn,nume
319,Rätsel::N,gåta,ghicitoare
320,Rede::N,tal,discurs
321,Sprache::N,språk,limbă
322,Sprache::N,språk,limbaj
323,Stimme::N,stämma,glas
324,Wort::N,ord,cuvânt
325,Zeichen::N,tecken,semn
326,Zeichen::N,tecken,semnal
327,Ruf::N,rop,chemare
328,Lärm::N,bråk,zgomot
329,Lärm::N,bråk,tărăboi
330,Lärm::N,oväsen,zgomot
331,Lärm::N,oväsen,tărăboi
332,Laut::N,ljud,sunet
333,Ton::N,ton,ton
334,Lied::N,sång,cântec
335,Ruhe::N,ro,odihnă
336,Ruhe::N,ro,liniște
337,Ruhe::N,lugn,odihnă
338,Ruhe::N,lugn,liniște
339,Leute::N,folk,lume
340,Leute::N,folk,oameni
341,Volk::N,folk,popor
342,Volk::N,folk,națiune
343,Arbeit::N,arbete,lucru
344,Gast::N,gäst,musafir
345,Geschenk::N,gåva,dar
346,Geschenk::N,gåva,cadou
347,Geschenk::N,present,dar
348,Geschenk::N,present,cadou
349,Spiel::N,lek,joc
350,Spiel::N,spel,joc
351,Gesellschaft::N,sällskap,societate
352,Hilfe::N,hjälp,ajutor
353,Freund::N,vän,amic
354,Freund::N,vän,prieten
355,Kamerad::N,kamrat,tovarăș
356,Angelegenheit::N,ärende,afacere
357,Angelegenheit::N,angelägenhet,afacere
358,Anzahl::N,antal,număr
359,Anzahl::N,antal,cantitate
360,Art::N,art,fel
361,Art::N,art,specie
362,Art::N,slag,fel
363,Art::N,slag,specie
364,Stück::N,stycke,bucată
365,Teil::N,del,parte
366,Teil::N,del,porție
367,Hälfte::N,halva,jumătate
368,Kreis::N,krets,cerc
369,Kreis::N,cirkel,cerc
370,Kreuz::N,kors,cruce
371,Kreuz::N,kryss,cruce
372,Linie::N,linje,linie
373,Strich::N,streck,linie
374,Strich::N,streck,trăsătură
375,Abstand::N,avstånd,distanță
376,Abstand::N,avstånd,depărtare
377,Entfernung::N,avstånd,distanță
378,Entfernung::N,avstånd,depărtare
379,Gegend::N,trakt,regiune
380,Platz::N,plats,loc
381,Ort::N,plats,loc
382,Ort::N,ställe,loc
383,Seite::N,sida,latură
384,Mitte::N,mitt,centru
385,Gegenstand::N,föremål,obiect
386,Sache::N,sak,lucru
387,Sache::N,sak,chestie
388,Rand::N,rand,bordură
389,Kante::N,kant,muchie
390,Kante::N,kant,bordură
391,Ecke::N,vrå,colț
392,Ecke::N,hörn,colț
393,Spitze::N,spets,vârf
394,Spitze::N,spets,creștet
395,Ende::N,ända,capăt
