,Concept_ID,sk,ja
0,Auge::N,oko,目
1,Ohr::N,ucho,耳
2,Nase::N,nos,鼻
3,Mund::N,ústa,口
4,Zahn::N,zub,歯
5,Zunge::N,jazyk,舌
6,Lippe::N,pera,唇
7,Wange::N,líce,頬
8,Gesicht::N,tvár,顔
9,Gesicht::N,obličaj,顔
10,Stirn::N,čelo,額
11,Haar::N,vlas,髪
12,Schnurrbart::N,fúzy,口髭
13,Bart::N,brada,髭
14,Kinn::N,brada,顎
15,Kiefer[Anatomie]::N,čeľusť,顎
16,Kehle::N,hrdlo,喉
17,Hals::N,krk,首
18,Genick::N,väzy,首
19,Kopf::N,hlava,頭
20,Rücken::N,chrbát,背中
21,Bauch::N,brucho,腹
22,Bauch::N,brucho,お腹
23,Nabel::N,pupok,へそ
24,Busen::N,prsia,乳房
25,Brust::N,hruď,胸
26,Schulter::N,plece,肩
27,Arm::N,rameno,腕
28,Ellenbogen::N,lakeť,肘
29,Hand::N,ruka,手
30,Handfläche::N,dlaň,手のひら
31,Finger::N,prst,指
32,Fingernagel::N,necht,爪
33,Nagel[Anatomie]::N,necht,爪
34,Zeh::N,prst na nohe,足の指
35,Fuß::N,noha,足
36,Ferse::N,päta,かかと
37,Knie::N,koleno,膝
38,Oberschenkel::N,stehno,上腿
39,Bein::N,noha,足
40,Körper::N,telo,体
41,Haut::N,koža,皮膚
42,Blut::N,krv,血
43,Ader::N,žila,血管
44,Sehne::N,šľacha,腱
45,Knochen::N,kosť,骨
46,Gehirn::N,mozog,脳
47,Herz::N,srdce,心
48,Herz::N,srdce,心臓
49,Magen::N,žalúdok,胃
50,Leber::N,pečeň,肝臓
51,Atem::N,dych,息
52,Atem::N,dych,呼吸
53,Hunger::N,hlad,空腹
54,Träne::N,slza,涙
55,Geschmack::N,chuť,味
56,Geruch::N,pach,匂い
57,Schlaf::N,spánok,睡眠
58,Traum::N,sen,夢
59,Himmel::N,nebo,空
60,Sonne::N,slnko,太陽
61,Mond::N,mesiac,月
62,Stern::N,hviezda,星
63,Luft::N,vzduch,空気
64,Wind::N,vietor,風
65,Welle::N,vlna,波
66,Wasser::N,voda,水
67,Stein::N,kameň,石
68,Boden::N,zem,土地
69,Boden::N,pôda,土地
70,Erde::N,zem,土
71,Staub::N,prach,埃
72,Rauch::N,dym,煙
73,Funke::N,iskra,火花
74,Feuer::N,oheň,火
75,Licht::N,svetlo,光
76,Schatten::N,tieň,陰
77,Wetter::N,počasie,天気
78,Nebel::N,hmla,霧
79,Wolke::N,oblak,雲
80,Wolke::N,mračno,雲
81,Regen::N,dážď,雨
82,Schnee::N,sneh,雪
83,Eis::N,ľad,氷
84,Frost::N,mráz,霜
85,Kälte::N,zima,寒さ
86,Kälte::N,chlad,寒さ
87,Hitze::N,horúčava,暑さ
88,Raureif::N,srieň,霧氷
89,Raureif::N,inovať,霧氷
90,Regenbogen::N,dúha,虹
91,Donner::N,hrom,雷
92,Strömung::N,prúdenie,流れ
93,Tropfen::N,kvapka,滴
94,Schaum::N,pena,泡
95,Schmutz::N,špina,汚れ
96,Schmutz::N,nečistota,汚れ
97,See::N,jazero,湖
98,Sumpf::N,bahno,沼
99,Moor::N,močiar,湿原
100,Wiese::N,lúka,草原
101,Wald::N,les,森
102,Wald::N,hora,森
103,Hügel::N,vŕšok,丘
104,Anhöhe::N,výšina,高み
105,Anhöhe::N,vyvýšenina,高み
106,Berg::N,hora,山
107,Gipfel::N,vrchol,頂上
108,Höhle::N,jaskyňa,洞窟
109,Abhang::N,úbočie,斜面
110,Quelle::N,prameň,泉
111,Bach::N,potok,小川
112,Fluss::N,rieka,川
113,Ufer::N,breh,岸
114,Küste::N,pobrežie,海岸
115,Festland::N,pevnina,陸
116,Meer::N,more,海
117,Bucht::N,záliv,湾
118,Bucht::N,zátoka,湾
119,Insel::N,ostrov,島
120,Blume::N,kvet,花
121,Blume::N,kvetina,花
122,Gras::N,tráva,草
123,Wurzel::N,koreň,根
124,Baum::N,strom,木
125,Stamm::N,kmeň,幹
126,Rinde::N,kôra,皮層
127,Ast::N,konár,枝
128,Zweig::N,vetva,小枝
129,Blatt::N,list,葉
130,Birke::N,breza,樺
131,Kiefer[Baum]::N,sosna,松
132,Kiefer[Baum]::N,borovica,松
133,Weide[Baum]::N,vŕba,柳
134,Tanne::N,jedľa,樅
135,Horn::N,roh,角
136,Feder::N,pero,羽根
137,Fell::N,koža,毛皮
138,Fell::N,kožušina,毛皮
139,Flügel::N,krídlo,羽
140,Klaue::N,paznecht,鉤爪
141,Kralle::N,pazúr,爪
142,Schwanz::N,chvost,尻尾
143,Ei::N,vajce,卵
144,Ei::N,vajíčko,卵
145,Nest::N,hniezdo,巣
146,Bau::N,nora,穴
147,Tier::N,zviera,動物
148,Herde::N,stádo,群れ
149,Kuh::N,krava,牛
150,Bulle::N,býk,雄牛
151,Pferd::N,kôň,馬
152,Schaf::N,ovca,羊
153,Schwein::N,sviňa,豚
154,Hund::N,pes,犬
155,Katze::N,mačka,猫
156,Bär::N,medveď,熊
157,Eichhörnchen::N,veverička,栗鼠
158,Elch::N,los,ヘラジカ
159,Fuchs::N,líška,狐
160,Hase::N,zajac,兎
161,Maus::N,myš,鼠
162,Wolf::N,vlk,狼
163,Vogel::N,vták,鳥
164,Schwarm::N,roj,群れ
165,Huhn::N,kurča,鶏
166,Huhn::N,sliepka,鶏
167,Hahn::N,kohút,雄鶏
168,Gans::N,hus,ガチョウ
169,Adler::N,orol,鷲
170,Ente::N,kačka,鴨
171,Ente::N,kačica,鴨
172,Eule::N,sova,フクロウ
173,Kranich::N,žeriav,鶴
174,Krähe::N,vrana,烏
175,Kuckuck::N,kukučka,郭公
176,Schwan::N,labuť,白鳥
177,Fisch::N,ryba,魚
178,Barsch::N,ostriež,鱸
179,Hecht::N,šťuka,川魳
180,Schlange[Tier]::N,had,蛇
181,Wurm::N,červ,虫
182,Spinne::N,pavúk,蜘蛛
183,Ameise::N,mravec,蟻
184,Laus::N,voš,虱
185,Mücke::N,komár,蚊
186,Fliege::N,mucha,蝿
187,Schmetterling::N,motýľ,蝶
188,Beere::N,bobuľa,漿果
189,Apfel::N,jablko,林檎
190,Pilz::N,hríb,茸
191,Zwiebel::N,cibuľa,玉葱
192,Saat::N,osivo,種
193,Korn::N,zrno,粒
194,Heu::N,seno,干し草
195,Schale::N,šupa,皮
196,Schale::N,škrupina,皮
197,Grube::N,jama,穴
198,Falle::N,pasca,わな
199,Falle::N,klepec,わな
200,Schlinge::N,slučka,輪
201,Spur::N,stopa,跡
202,Asche::N,popol,灰
203,Dreck::N,kal,泥
204,Dreck::N,blato,泥
205,Eisen::N,železo,鉄
