,Concept_ID,uz,ga
0,Auge::N,ko'z,súil
1,Ohr::N,quloq,cluas
2,Nase::N,burun,soc
3,Mund::N,og'iz,béal
4,Zahn::N,tish,fiacail
5,Zunge::N,til,teanga
6,Lippe::N,dudoq,liopa
7,Wange::N,bet,grua
8,Wange::N,bet,leiceann
9,Gesicht::N,yuz,éadan
10,Gesicht::N,yuz,aghaidh
11,Stirn::N,manglay,baithis
12,Stirn::N,manglay,clár éadain
13,Haar::N,soch,gruaig
14,Schnurrbart::N,mo'ylov,croiméal
15,Bart::N,soqol,féasóg
16,Kinn::N,ängak,smig
17,Kiefer[Anatomie]::N,iyak,giall
18,Kehle::N,bo'g'iz,scornach
19,Hals::N,bo'yin,muinéal
20,Genick::N,gardan,baic
21,Kopf::N,bosh,ceann
22,Rücken::N,orqa,droim
23,Bauch::N,qorin,bolg
24,Nabel::N,kindik,imleacán
25,Busen::N,ämchak,cíoch
26,Brust::N,ko'krak,brollach
27,Schulter::N,elka,gualainn
28,Arm::N,bilak,lámh
29,Ellenbogen::N,tirsak,uillinn
30,Hand::N,qo'l,lámh
31,Handfläche::N,kaft,bos
32,Finger::N,barmoq,méar
33,Fingernagel::N,tirnoq,ionga
34,Nagel[Anatomie]::N,tirnoq,ionga
35,Zeh::N,oyoq barmog'i,ladhar
36,Fuß::N,oyoq,cos
37,Fuß::N,oyoq,troigh
38,Ferse::N,tovon,sáil
39,Knie::N,tiz,glúin
40,Oberschenkel::N,son,ceathrú
41,Bein::N,oyoq,cos
42,Körper::N,badna,corp
43,Körper::N,badna,colainn
44,Haut::N,teri,cneas
45,Haut::N,teri,craiceann
46,Blut::N,qon,fuil
47,Ader::N,qon tomir,
48,Sehne::N,tomir,teannán
49,Sehne::N,tomir,féitheog
50,Knochen::N,suyak,cnámh
51,Gehirn::N,miya,inchinn
52,Herz::N,qalb,croí
53,Magen::N,oshqozon,bolg
54,Magen::N,oshqozon,goile
55,Leber::N,bag'ir,ae
56,Atem::N,dam,anáil
57,Hunger::N,ochlik,ocras
58,Träne::N,yosh,deoir
59,Geschmack::N,tam,blas
60,Geruch::N,jid,boladh
61,Schlaf::N,uyqu,suan
62,Schlaf::N,uyqu,codladh
63,Traum::N,tush,taibhreamh
64,Himmel::N,osmon,spéir
65,Sonne::N,quyosh,grian
66,Mond::N,oy,ré
67,Mond::N,oy,gealach
