,Concept_ID,sk,nl
0,Auge::N,oko,oog
1,Ohr::N,ucho,oor
2,Nase::N,nos,neus
3,Mund::N,ústa,mond
4,Zahn::N,zub,tand
5,Zunge::N,jazyk,tong
6,Lippe::N,pera,lip
7,Wange::N,líce,wang
8,Gesicht::N,tvár,gelaat
9,Gesicht::N,tvár,gezicht
10,Gesicht::N,obličaj,gelaat
11,Gesicht::N,obličaj,gezicht
12,Stirn::N,čelo,voorhoofd
13,Haar::N,vlas,haar
14,Schnurrbart::N,fúzy,snor
15,Bart::N,brada,baard
16,Kinn::N,brada,kin
17,Kiefer[Anatomie]::N,čeľusť,kaak
18,Kehle::N,hrdlo,keel
19,Kehle::N,hrdlo,strot
20,Hals::N,krk,hals
21,Genick::N,väzy,nek
22,Kopf::N,hlava,hoofd
23,Rücken::N,chrbát,rug
24,Bauch::N,brucho,buik
25,Nabel::N,pupok,navel
26,Busen::N,prsia,boezem
27,Brust::N,hruď,borst
28,Schulter::N,plece,schouder
29,Arm::N,rameno,arm
30,Ellenbogen::N,lakeť,elleboog
31,Hand::N,ruka,hand
32,Handfläche::N,dlaň,handpalm
33,Finger::N,prst,vinger
34,Fingernagel::N,necht,nagel
35,Nagel[Anatomie]::N,necht,nagel
36,Zeh::N,prst na nohe,teen
37,Fuß::N,noha,voet
38,Ferse::N,päta,hak
39,Ferse::N,päta,hiel
40,Knie::N,koleno,knie
41,Oberschenkel::N,stehno,dij
42,Bein::N,noha,been
43,Körper::N,telo,lichaam
44,Haut::N,koža,huid
45,Blut::N,krv,bloed
46,Ader::N,žila,ader
47,Sehne::N,šľacha,pees
48,Knochen::N,kosť,bot
49,Knochen::N,kosť,been
50,Knochen::N,kosť,knook
51,Gehirn::N,mozog,hersenen
52,Herz::N,srdce,hart
53,Magen::N,žalúdok,maag
54,Leber::N,pečeň,lever
55,Atem::N,dych,adem
56,Hunger::N,hlad,honger
57,Träne::N,slza,traan
58,Geschmack::N,chuť,smaak
59,Geruch::N,pach,geur
60,Schlaf::N,spánok,slaap
61,Traum::N,sen,droom
62,Himmel::N,nebo,hemel
63,Sonne::N,slnko,zon
64,Mond::N,mesiac,maan
65,Stern::N,hviezda,ster
66,Luft::N,vzduch,lucht
67,Wind::N,vietor,wind
68,Welle::N,vlna,golf
69,Wasser::N,voda,water
70,Stein::N,kameň,steen
71,Boden::N,zem,grond
72,Boden::N,pôda,grond
73,Erde::N,zem,aarde
74,Staub::N,prach,stof
75,Rauch::N,dym,rook
76,Funke::N,iskra,vonk
77,Feuer::N,oheň,vuur
78,Licht::N,svetlo,licht
79,Schatten::N,tieň,schaduw
80,Wetter::N,počasie,weer
81,Nebel::N,hmla,mist
82,Nebel::N,hmla,nevel
83,Wolke::N,oblak,wolk
84,Wolke::N,mračno,wolk
85,Regen::N,dážď,regen
86,Schnee::N,sneh,sneeuw
87,Eis::N,ľad,ijs
88,Frost::N,mráz,vorst
89,Kälte::N,zima,kou
90,Kälte::N,zima,koude
91,Kälte::N,chlad,kou
92,Kälte::N,chlad,koude
93,Hitze::N,horúčava,hitte
94,Raureif::N,srieň,rijp
95,Raureif::N,inovať,rijp
96,Regenbogen::N,dúha,regenboog
97,Donner::N,hrom,donder
98,Strömung::N,prúdenie,stroming
99,Tropfen::N,kvapka,druppel
100,Schaum::N,pena,schuim
101,Schmutz::N,špina,vuil
102,Schmutz::N,nečistota,vuil
103,See::N,jazero,meer
104,Sumpf::N,bahno,moeras
105,Moor::N,močiar,veen
106,Wiese::N,lúka,wei
107,Wiese::N,lúka,weide
108,Wald::N,les,bos
109,Wald::N,hora,bos
110,Hügel::N,vŕšok,heuvel
111,Anhöhe::N,výšina,hoogte
112,Anhöhe::N,vyvýšenina,hoogte
113,Berg::N,hora,berg
114,Gipfel::N,vrchol,top
115,Höhle::N,jaskyňa,hol
116,Abhang::N,úbočie,helling
117,Quelle::N,prameň,bron
118,Bach::N,potok,beek
119,Fluss::N,rieka,stroom
120,Ufer::N,breh,wal
121,Ufer::N,breh,oever
122,Küste::N,pobrežie,kust
123,Festland::N,pevnina,vasteland
124,Meer::N,more,zee
125,Bucht::N,záliv,baai
126,Bucht::N,záliv,inham
127,Bucht::N,zátoka,baai
128,Bucht::N,zátoka,inham
129,Insel::N,ostrov,eiland
130,Blume::N,kvet,bloem
131,Blume::N,kvetina,bloem
132,Gras::N,tráva,gras
133,Wurzel::N,koreň,wortel
134,Baum::N,strom,boom
135,Stamm::N,kmeň,stam
136,Rinde::N,kôra,schors
137,Ast::N,konár,tak
138,Zweig::N,vetva,twijg
139,Blatt::N,list,blad
140,Birke::N,breza,berk
141,Kiefer[Baum]::N,sosna,den
142,Kiefer[Baum]::N,borovica,den
143,Weide[Baum]::N,vŕba,wilg
144,Tanne::N,jedľa,spar
145,Horn::N,roh,hoorn
146,Feder::N,pero,veer
147,Feder::N,pero,pluim
148,Fell::N,koža,vel
149,Fell::N,kožušina,vel
150,Flügel::N,krídlo,vleugel
151,Klaue::N,paznecht,klauw
152,Kralle::N,pazúr,klauw
153,Schwanz::N,chvost,staart
154,Ei::N,vajce,ei
155,Ei::N,vajíčko,ei
156,Nest::N,hniezdo,nest
157,Bau::N,nora,hol
158,Tier::N,zviera,dier
159,Herde::N,stádo,kudde
160,Kuh::N,krava,koe
161,Bulle::N,býk,stier
162,Pferd::N,kôň,paard
163,Schaf::N,ovca,schaap
164,Schwein::N,sviňa,varken
165,Hund::N,pes,hond
166,Katze::N,mačka,kat
167,Bär::N,medveď,beer
168,Eichhörnchen::N,veverička,eekhoorntje
169,Elch::N,los,eland
170,Fuchs::N,líška,vos
171,Hase::N,zajac,haas
172,Maus::N,myš,muis
173,Wolf::N,vlk,wolf
174,Vogel::N,vták,vogel
175,Schwarm::N,roj,zwerm
176,Huhn::N,kurča,kip
177,Huhn::N,kurča,hoen
178,Huhn::N,sliepka,kip
