,Concept_ID,bn,mdf
0,Auge::N,চক্ষু,сельме
1,Ohr::N,কর্ণ,пиле
2,Nase::N,নাক,шалхка
3,Mund::N,মুখ,курга
4,Zahn::N,দাঁত,пей
5,Zunge::N,জিহবা,кяль
6,Lippe::N,অধর,търва́
7,Wange::N,গণ্ড,щёка
8,Gesicht::N,মুখমণ্ডল,шама
9,Stirn::N,কপাল,коня
10,Haar::N,চুল,шя́ярь
11,Schnurrbart::N,গোঁফ,уса́
12,Bart::N,শ্মশ্রু,сакал
13,Kinn::N,চিবুক,ула
14,Kiefer[Anatomie]::N,চোয়াল,саласка
15,Kehle::N,কণ্ঠ,кълдома
16,Kehle::N,কণ্ঠ,кърга́парь
17,Hals::N,গল,сялдаз
18,Genick::N,ঘাড়,шовонь
19,Kopf::N,মাথা,пря
20,Rücken::N,পৃষ্ঠ,копорь
21,Bauch::N,উদর,пеке
22,Nabel::N,নাভি,по́кон
23,Busen::N,স্তন,потя
24,Brust::N,বুক,мяште
25,Schulter::N,স্কন্ধ,лафту
26,Arm::N,বাহু,кядь
27,Ellenbogen::N,কনুই,кенерьба́карь
28,Hand::N,হাত,кядь
29,Handfläche::N,করতল,кядьлапш
30,Finger::N,আঙ্গুল,сур
31,Fingernagel::N,হাতের নখ,кенже
32,Nagel[Anatomie]::N,নখ,кенже
33,Zeh::N,আঙ্গুল,пильгосу́р
34,Fuß::N,পা,пильге
35,Fuß::N,পা,пильгелапа
36,Ferse::N,গোড়ালি,кочкяря
37,Knie::N,হাঁটু,эль
38,Knie::N,হাঁটু,пълма́нжа
39,Oberschenkel::N,ঊরু,пильгепукша
40,Bein::N,পা,пильге
41,Körper::N,দেহ,ро́нга
42,Körper::N,দেহ,по́нда
43,Haut::N,ত্বক,киське
44,Blut::N,রক্ত,вер
45,Ader::N,শিরা,сан
46,Ader::N,শিরা,верза́н
47,Sehne::N,কণ্ডরা,коське сан
48,Knochen::N,অস্থি,пакарь
49,Gehirn::N,মস্তিষ্ক,уй
50,Herz::N,হৃৎপিণ্ড,седи
51,Magen::N,পাকস্থলী,коткърдазь
52,Leber::N,যকৃৎ,макса
53,Atem::N,শ্বাস,лекома
54,Atem::N,শ্বাস,ваймонь тарксема
55,Hunger::N,ক্ষুধা,вачеши
56,Träne::N,অশ্রু,сельмове́дь
57,Geschmack::N,স্বাদ,таньф
58,Geruch::N,গন্ধ,шине
59,Schlaf::N,ঘুম,удома́
60,Traum::N,স্বপ্ন,он
61,Himmel::N,আকাশ,менель
62,Sonne::N,সূর্য,ши
63,Mond::N,চন্দ্র,ков
64,Stern::N,নক্ষত্র,тяште
65,Luft::N,বায়ু,кожф
66,Wind::N,বাতাস,варма
67,Welle::N,ঢেউ,тавла
68,Welle::N,তরঙ্গ,тавла
69,Wasser::N,জল,ведь
70,Stein::N,ঢিল,кев
71,Stein::N,প্রস্তর,кев
72,Boden::N,ভূতল,мода
73,Boden::N,ভূতল,потмакс
74,Erde::N,ভূমি,мода
75,Erde::N,ভূমি,мастор
76,Staub::N,ধুলা,пуль
77,Rauch::N,ধোঁয়া,качам
78,Funke::N,স্ফুলিঙ্গ,ця́тка
79,Feuer::N,অগ্নি,тол
80,Licht::N,আলো,ва́лда
81,Schatten::N,ছায়া,цильф
82,Wetter::N,আবহাওয়া,уша
83,Nebel::N,কুহেলিকা,тума́н
84,Wolke::N,মেঘ,ковол
85,Regen::N,বৃষ্টি,пизем
86,Schnee::N,তুষার,лов
87,Eis::N,বরফ,эй
88,Frost::N,তুষার,ке́льме
89,Kälte::N,শৈত্য,якшама
90,Hitze::N,তাপ,пси
91,Raureif::N,তুহিন,леш
92,Regenbogen::N,রামধনু,а́тямъёнга
93,Donner::N,বজ্রধ্বনি,атям
94,Strömung::N,স্রোত,шудема́
95,Tropfen::N,ফোঁটা,путькс
96,Tropfen::N,ফোঁটা,пътняфкс
97,Schaum::N,ফেনা,шов
98,Schmutz::N,ধুলা,ърда́з
99,See::N,হ্রদ,эрьхке
100,Sumpf::N,জলা,шяй
101,Moor::N,মাঠ,шяй
102,Wiese::N,তৃণভূমি,луга
103,Wald::N,বন,вирь
104,Hügel::N,পাহাড়,губо́р
105,Hügel::N,পাহাড়,пандоня
106,Anhöhe::N,টিলা,губо́р
107,Berg::N,পর্বত,панда
108,Gipfel::N,শীর্ষ,пря
109,Höhle::N,গুহা,у́нда
110,Abhang::N,ঢাল,па́нда ша́ма
111,Quelle::N,উৎস,эшиня
112,Bach::N,ক্ষুদ্র নদী,шудерькс
113,Fluss::N,নদী,ляй
114,Ufer::N,উপকূল,търва́
115,Küste::N,তীর,ляйтърва́
116,Festland::N,ভূমি,мода
117,Meer::N,সমুদ্র,моря
118,Bucht::N,উপসাগর,ведьуське
119,Insel::N,দ্বীপ,цёнга
120,Blume::N,ফুল,панчф
121,Gras::N,ঘাস,тише
122,Wurzel::N,শিকড়,юр
123,Wurzel::N,শিকড়,ункс
124,Baum::N,গাছ,шуфта
125,Stamm::N,স্কন্ধ,ро́нга
126,Rinde::N,বল্কল,кер
