,Concept_ID,hi,fi
0,Auge::N,आँख,silmä
1,Auge::N,चक्षु,silmä
2,Ohr::N,कान,korva
3,Ohr::N,कर्ण,korva
4,Nase::N,नाक,nenä
5,Nase::N,नासा,nenä
6,Mund::N,मुख,suu
7,Mund::N,मुँह,suu
8,Zahn::N,दंत,hammas
9,Zahn::N,दाँत,hammas
10,Zunge::N,जीभ,kieli
11,Zunge::N,ज़बान,kieli
12,Zunge::N,जिह्वा,kieli
13,Lippe::N,ओंठ,huuli
14,Lippe::N,होंठ,huuli
15,Wange::N,गाल,poski
16,Wange::N,कपोल,poski
17,Gesicht::N,मुँह,naama
18,Gesicht::N,मुँह,kasvot
19,Gesicht::N,चेहरा,naama
20,Gesicht::N,चेहरा,kasvot
21,Stirn::N,माथा,otsa
22,Stirn::N,मस्तक,otsa
23,Haar::N,बाल,hius
24,Haar::N,बाल,tukka
25,Schnurrbart::N,मूँछें,viikset
26,Bart::N,दाढ़ी,parta
27,Kinn::N,चिबुक,leuka
28,Kiefer[Anatomie]::N,जबड़ा,leukaluu
29,Kehle::N,गला,kurkku
30,Hals::N,गला,kaula
31,Hals::N,गरदन,kaula
32,Genick::N,गरदन,niska
33,Genick::N,ग्रीवा,niska
34,Kopf::N,सिर,pää
35,Kopf::N,शीर्ष,pää
36,Rücken::N,पीठ,selkä
37,Bauch::N,उदर,maha
38,Bauch::N,उदर,vatsa
39,Nabel::N,नाभि,napa
40,Nabel::N,ढोंढी,napa
41,Busen::N,कुच,rinta
42,Busen::N,स्तन,rinta
43,Brust::N,वक्ष,rinta
44,Schulter::N,कंधा,olka
45,Schulter::N,कंधा,hartia
46,Schulter::N,कंधा,olkapää
47,Schulter::N,स्कंध,olka
48,Schulter::N,स्कंध,hartia
49,Schulter::N,स्कंध,olkapää
50,Arm::N,बाँह,käsivarsi
51,Arm::N,बाज़ू,käsivarsi
52,Ellenbogen::N,कुहनी,kyynärpää
53,Hand::N,हाथ,käsi
54,Hand::N,हस्त,käsi
55,Handfläche::N,हथेली,kämmen
56,Finger::N,उँगली,sormi
57,Finger::N,अँगुली,sormi
58,Fingernagel::N,नख,kynsi
59,Fingernagel::N,नाख़ून,kynsi
60,Nagel[Anatomie]::N,नख,kynsi
61,Nagel[Anatomie]::N,नाख़ून,kynsi
62,Zeh::N,उँगली,varvas
63,Zeh::N,पाँव की उँगली,varvas
64,Fuß::N,चरण,jalka
65,Fuß::N,पाँव,jalka
66,Ferse::N,एड़ी,kantapää
67,Knie::N,जानु,polvi
68,Knie::N,घुटना,polvi
69,Oberschenkel::N,उरु,reisi
70,Bein::N,टाँग,jalka
71,Körper::N,तन,keho
72,Körper::N,तन,ruumis
73,Körper::N,देह,keho
74,Körper::N,देह,ruumis
75,Körper::N,शरीर,keho
76,Körper::N,शरीर,ruumis
77,Haut::N,चर्म,iho
78,Haut::N,त्वचा,iho
79,Blut::N,लहू,veri
80,Blut::N,ख़ून,veri
81,Ader::N,रग,suoni
82,Ader::N,शिरा,suoni
83,Sehne::N,कंडरा,jänne
84,Sehne::N,स्नायु,jänne
85,Knochen::N,अस्थि,luu
86,Gehirn::N,दिमाग़,aivot
87,Gehirn::N,मस्तिष्क,aivot
88,Herz::N,दिल,sydän
89,Herz::N,हृदय,sydän
90,Magen::N,मेदा,maha
91,Magen::N,मेदा,vatsa
92,Magen::N,अमाशय,maha
93,Magen::N,अमाशय,vatsa
94,Leber::N,जिगर,maksa
95,Leber::N,यकृत्,maksa
96,Atem::N,दम,henki
97,Atem::N,दम,hengitys
98,Atem::N,साँस,henki
99,Atem::N,साँस,hengitys
100,Atem::N,श्वास,henki
101,Atem::N,श्वास,hengitys
102,Hunger::N,भूख,nälkä
103,Hunger::N,क्षुधा,nälkä
104,Träne::N,आँसू,kyynel
105,Träne::N,अश्रु,kyynel
106,Geschmack::N,स्वाद,maku
107,Geschmack::N,ज़ायक़ा,maku
108,Geruch::N,बू,haju
109,Geruch::N,गंध,haju
110,Schlaf::N,नींद,uni
111,Schlaf::N,निद्रा,uni
112,Traum::N,सपना,uni
113,Traum::N,स्वप्न,uni
114,Himmel::N,आकाश,taivas
115,Himmel::N,आसमान,taivas
116,Sonne::N,रवि,aurinko
117,Sonne::N,सूरज,aurinko
118,Sonne::N,सूर्य,aurinko
119,Mond::N,चाँद,kuu
120,Mond::N,चंद्र,kuu
121,Stern::N,तारा,tähti
122,Stern::N,सितारा,tähti
123,Luft::N,हवा,ilma
124,Luft::N,वायु,ilma
