,Concept_ID,vep,en
0,Auge::N,sil'm,eye
1,Ohr::N,korv,ear
2,Nase::N,nena,nose
3,Mund::N,su,mouth
4,Zahn::N,pi,tooth
5,Zahn::N,hambaz,tooth
6,Zunge::N,kel',tongue
7,Lippe::N,hul',lip
8,Wange::N,modpolišk,cheek
9,Gesicht::N,mod,face
10,Stirn::N,oc,forehead
11,Haar::N,tuk,hair
12,Haar::N,hibuz,hair
13,Schnurrbart::N,habinod,moustache
14,Bart::N,bard,beard
15,Kinn::N,löug,chin
16,Kiefer[Anatomie]::N,hambazlu,jaw
17,Kehle::N,kurk,throat
18,Hals::N,kagl,neck
19,Genick::N,tagarai,nape
20,Kopf::N,pä,head
21,Rücken::N,sel'g,back
22,Rücken::N,sel'g,spine
23,Bauch::N,vac,belly
24,Bauch::N,koht,belly
25,Nabel::N,naba,navel
26,Busen::N,niža,bosom
27,Brust::N,rind,chest
28,Brust::N,rind,breast
29,Schulter::N,oug,shoulder
30,Arm::N,käzi,arm
31,Ellenbogen::N,künambruz,elbow
32,Hand::N,käzi,hand
33,Hand::N,käzitera,hand
34,Handfläche::N,kämen,palm
35,Finger::N,sor'm,finger
36,Fingernagel::N,künz',fingernail
37,Nagel[Anatomie]::N,künz',nail
38,Zeh::N,barbaz,toe
39,Fuß::N,jaug,foot
40,Ferse::N,kand,heel
41,Knie::N,komb,knee
42,Knie::N,pol'v,knee
43,Oberschenkel::N,riiže,thigh
44,Bein::N,jaug,leg
45,Körper::N,hibj,body
46,Haut::N,nahk,skin
47,Blut::N,čak,blood
48,Blut::N,veri,blood
49,Ader::N,son',vein
50,Sehne::N,jände,sinew
51,Knochen::N,lu,bone
52,Gehirn::N,aivod,brain
53,Herz::N,südäin,heart
54,Magen::N,südäikoht,stomach
55,Leber::N,maks,liver
56,Atem::N,hengaiduz,breath
57,Hunger::N,näl'g,hunger
58,Träne::N,kündal',tear
59,Geschmack::N,magu,flavour
60,Geschmack::N,magu,flavor
61,Geruch::N,haju,odour
62,Geruch::N,haju,odor
63,Schlaf::N,uni,sleep
64,Traum::N,unikuva,dream
65,Himmel::N,taivaz,sky
