,Concept_ID,de,tt
0,Auge::N,Auge,күз
1,Ohr::N,Ohr,колак
2,Nase::N,Nase,борын
3,Mund::N,Mund,авыз
4,Mund::N,Mund,тамак
5,Zahn::N,Zahn,теш
6,Zunge::N,Zunge,тел
7,Lippe::N,Lippe,ирен
8,Wange::N,Wange,яңак
9,Gesicht::N,Gesicht,йөз
10,Stirn::N,Stirn,маңгай
11,Haar::N,Haar,чәч
12,Schnurrbart::N,Schnurrbart,мыек
13,Bart::N,Bart,сакал
14,Kinn::N,Kinn,ияк
15,Kiefer[Anatomie]::N,Kiefer,казналык
16,Kehle::N,Kehle,тамак
17,Hals::N,Hals,бугаз
18,Genick::N,Genick,җилкә
19,Kopf::N,Kopf,баш
20,Rücken::N,Rücken,сырт
21,Bauch::N,Bauch,корсак
22,Nabel::N,Nabel,кендек
23,Busen::N,Busen,түш
24,Brust::N,Brust,имчәк
25,Brust::N,Brust,күкрәк
26,Schulter::N,Schulter,иңбаш
27,Schulter::N,Schulter,кулбаш
28,Arm::N,Arm,кул
29,Ellenbogen::N,Ellenbogen,терсәк
30,Hand::N,Hand,кул
31,Handfläche::N,Handfläche,уч
32,Finger::N,Finger,бармак
33,Fingernagel::N,Fingernagel,тырнак
34,Nagel[Anatomie]::N,Nagel,тырнак
35,Zeh::N,Zeh,бармак
36,Fuß::N,Fuß,табан
37,Ferse::N,Ferse,үкчә
38,Knie::N,Knie,тез
39,Oberschenkel::N,Oberschenkel,бот
40,Bein::N,Bein,аяк
41,Körper::N,Körper,тән
42,Körper::N,Körper,җисем
43,Haut::N,Haut,тире
44,Blut::N,Blut,кан
45,Ader::N,Ader,тамыр
46,Sehne::N,Sehne,сеңер
47,Knochen::N,Knochen,сөяк
48,Gehirn::N,Gehirn,ми
49,Herz::N,Herz,йөрәк
50,Magen::N,Magen,ашказаны
51,Leber::N,Leber,бавыр
52,Atem::N,Atem,сулыш
53,Hunger::N,Hunger,ачлык
54,Träne::N,Träne,яшь
55,Geschmack::N,Geschmack,тәм
56,Geschmack::N,Geschmack,зәвык
57,Geruch::N,Geruch,ис
58,Schlaf::N,Schlaf,йокы
59,Traum::N,Traum,төш
60,Himmel::N,Himmel,күк
61,Sonne::N,Sonne,кояш
62,Mond::N,Mond,ай
63,Stern::N,Stern,йолдыз
64,Luft::N,Luft,һава
65,Wind::N,Wind,җил
66,Welle::N,Welle,дулкын
67,Wasser::N,Wasser,су
68,Stein::N,Stein,таш
69,Boden::N,Boden,туфрак
70,Erde::N,Erde,җир
71,Staub::N,Staub,тузан
72,Rauch::N,Rauch,төтен
73,Funke::N,Funke,очкын
74,Feuer::N,Feuer,ут
75,Licht::N,Licht,якты
76,Schatten::N,Schatten,күләгә
77,Wetter::N,Wetter,һава
78,Nebel::N,Nebel,томан
79,Wolke::N,Wolke,болыт
80,Regen::N,Regen,яңгыр
81,Schnee::N,Schnee,кар
82,Eis::N,Eis,боз
83,Frost::N,Frost,суык
84,Frost::N,Frost,салкын
85,Kälte::N,Kälte,суык
86,Kälte::N,Kälte,салкын
87,Hitze::N,Hitze,эсселек
88,Raureif::N,Raureif,бәс
89,Raureif::N,Raureif,сыкы
90,Regenbogen::N,Regenbogen,салават күпере
91,Donner::N,Donner,күкрәү
92,Strömung::N,Strömung,агыш'агым
93,Tropfen::N,Tropfen,тамчы
94,Schaum::N,Schaum,күбек
95,Schmutz::N,Schmutz,пычрак
96,See::N,See,күл
97,Sumpf::N,Sumpf,саз
98,Moor::N,Moor,торфлык
99,Wiese::N,Wiese,болын
100,Wald::N,Wald,урман
101,Hügel::N,Hügel,калку
102,Anhöhe::N,Anhöhe,үр
103,Berg::N,Berg,тау
104,Gipfel::N,Gipfel,оч
105,Höhle::N,Höhle,мәгарә
106,Abhang::N,Abhang,кабырга
107,Quelle::N,Quelle,чишмә
108,Bach::N,Bach,елга
109,Fluss::N,Fluss,дәрья
110,Ufer::N,Ufer,су кырые
111,Küste::N,Küste,яр буе
112,Festland::N,Festland,коры җир
113,Meer::N,Meer,диңгез
114,Bucht::N,Bucht,бухта
115,Bucht::N,Bucht,култык
116,Insel::N,Insel,атау
117,Insel::N,Insel,утрау
118,Blume::N,Blume,чәчкә
119,Gras::N,Gras,үлән
120,Wurzel::N,Wurzel,тамыр
121,Baum::N,Baum,агач
122,Stamm::N,Stamm,кәүсә
123,Rinde::N,Rinde,кабык
124,Ast::N,Ast,ботак
125,Zweig::N,Zweig,ботак
126,Zweig::N,Zweig,тармак
127,Blatt::N,Blatt,яфрак
128,Birke::N,Birke,каен
129,Kiefer[Baum]::N,Kiefer,нарат
130,Weide[Baum]::N,Weide,тал
131,Tanne::N,Tanne,чыршы
132,Horn::N,Horn,мөгез
133,Feder::N,Feder,йон
134,Fell::N,Fell,тире
135,Flügel::N,Flügel,канат
136,Klaue::N,Klaue,тырнак
137,Kralle::N,Kralle,тырнак
138,Schwanz::N,Schwanz,койрык
139,Ei::N,Ei,күкәй
140,Ei::N,Ei,йомырка
141,Nest::N,Nest,оя
142,Bau::N,Bau,өн
143,Tier::N,Tier,хайван
144,Herde::N,Herde,көтү
145,Kuh::N,Kuh,сыер
146,Bulle::N,Bulle,үгез
147,Pferd::N,Pferd,ат
148,Schaf::N,Schaf,сарык
149,Schwein::N,Schwein,дуңгыз
150,Hund::N,Hund,эт
151,Katze::N,Katze,песи
152,Bär::N,Bär,аю
153,Eichhörnchen::N,Eichhörnchen,тиен
154,Elch::N,Elch,поши
155,Fuchs::N,Fuchs,төлке
156,Hase::N,Hase,куян
157,Maus::N,Maus,тычкан
158,Wolf::N,Wolf,бүре
159,Vogel::N,Vogel,кош
160,Schwarm::N,Schwarm,көтү
161,Huhn::N,Huhn,тавык
162,Hahn::N,Hahn,әтәч
163,Gans::N,Gans,каз
164,Adler::N,Adler,каракош
165,Ente::N,Ente,үрдәк
166,Eule::N,Eule,ябалак
167,Kranich::N,Kranich,торна
168,Krähe::N,Krähe,карга
169,Kuckuck::N,Kuckuck,күке
170,Kuckuck::N,Kuckuck,кәккүк
171,Schwan::N,Schwan,аккош
172,Fisch::N,Fisch,балык
173,Barsch::N,Barsch,алабуга
174,Hecht::N,Hecht,чуртан
175,Schlange[Tier]::N,Schlange,елан
176,Wurm::N,Wurm,корт
177,Spinne::N,Spinne,үрмәкүч
178,Ameise::N,Ameise,кырмыска
179,Laus::N,Laus,бет
180,Mücke::N,Mücke,черки
181,Mücke::N,Mücke,озынборын
182,Fliege::N,Fliege,чебен
183,Schmetterling::N,Schmetterling,күбәләк
184,Beere::N,Beere,җиләк
185,Apfel::N,Apfel,алма
186,Pilz::N,Pilz,гөмбә
187,Zwiebel::N,Zwiebel,суган
188,Zwiebel::N,Zwiebel,суганбаш
189,Saat::N,Saat,орлык
190,Korn::N,Korn,иген
191,Korn::N,Korn,орлык
192,Heu::N,Heu,печән
193,Schale::N,Schale,кабык
194,Grube::N,Grube,баз
195,Grube::N,Grube,чокыр
196,Falle::N,Falle,тозак
197,Falle::N,Falle,капкын
198,Schlinge::N,Schlinge,элмәк
199,Spur::N,Spur,эз
200,Asche::N,Asche,көл
201,Dreck::N,Dreck,пычрак
202,Eisen::N,Eisen,тимер
203,Gold::N,Gold,алтын
204,Silber::N,Silber,көмеш
205,Kohle::N,Kohle,күмер
206,Glas::N,Glas,пыяла
207,Lehm::N,Lehm,балчык
208,Sand::N,Sand,ком
209,Mensch::N,Mensch,адәм
210,Mensch::N,Mensch,инсан
211,Mann::N,Mann,ир
212,Frau::N,Frau,хатын
213,Kind::N,Kind,бала
214,Junge::N,Junge,малай
215,Mädchen::N,Mädchen,кыз
216,Familie::N,Familie,гаилә
217,Großvater::N,Großvater,бабай
218,Großmutter::N,Großmutter,әби
219,Eltern::N,Eltern,ата-ана
220,Vater::N,Vater,ата
221,Mutter::N,Mutter,ана
222,Sohn::N,Sohn,ул
223,Tochter::N,Tochter,кыз
224,Bruder::N,Bruder,кардәш
225,Schwester::N,Schwester,апа
226,Schwester::N,Schwester,сеңел
227,Onkel::N,Onkel,дәдә
228,Onkel::N,Onkel,дәдәй
229,Tante::N,Tante,түти
230,Tante::N,Tante,тәтәй
231,Ehemann::N,Ehemann,ир
232,Ehefrau::N,Ehefrau,хатын
233,Freude::N,Freude,сөенеч
234,Gelächter::N,Gelächter,көлү
235,Gelächter::N,Gelächter,көлеш
236,Glück::N,Glück,бәхет
237,Kummer::N,Kummer,хәсрәт
238,Wunsch::N,Wunsch,теләк
239,Lust::N,Lust,теләк
240,Lust::N,Lust,теләү
241,Geist::N,Geist,рух
242,Gedanke::N,Gedanke,уй
243,Gedanke::N,Gedanke,фикер
244,Gedächtnis::N,Gedächtnis,хәтер
245,Verstand::N,Verstand,акыл
246,Sinn::N,Sinn,мәгънә
247,Grund::N,Grund,сәбәп
248,Wahrheit::N,Wahrheit,хак
249,Gespräch::N,Gespräch,әңгәмә
250,Märchen::N,Märchen,әкият
251,Erzählung::N,Erzählung,хикәя
252,Nachricht::N,Nachricht,хәбәр
253,Neuigkeit::N,Neuigkeit,яңалык
254,Name::N,Name,исем
255,Rätsel::N,Rätsel,табышмак
256,Rede::N,Rede,нотык
257,Sprache::N,Sprache,тел
258,Stimme::N,Stimme,тавыш
259,Wort::N,Wort,сүз
260,Zeichen::N,Zeichen,ишарә
261,Ruf::N,Ruf,дәшү
262,Lärm::N,Lärm,шау
263,Laut::N,Laut,аваз
264,Ton::N,Ton,шалтырату
265,Lied::N,Lied,җыр
266,Ruhe::N,Ruhe,тынлык
267,Leute::N,Leute,халык
268,Volk::N,Volk,халык
269,Arbeit::N,Arbeit,эш
270,Arbeit::N,Arbeit,хезмәт
271,Gast::N,Gast,кунак
272,Geschenk::N,Geschenk,бүләк
273,Spiel::N,Spiel,уен
274,Gesellschaft::N,Gesellschaft,җәмгыять
275,Hilfe::N,Hilfe,ярдәм
276,Hilfe::N,Hilfe,булышлык
277,Freund::N,Freund,дус
278,Kamerad::N,Kamerad,иптәш
279,Angelegenheit::N,Angelegenheit,эш
280,Anzahl::N,Anzahl,микъдар
281,Art::N,Art,төр
282,Stück::N,Stück,кисәк
283,Teil::N,Teil,өлеш
284,Hälfte::N,Hälfte,ярым
285,Kreis::N,Kreis,түгәрәк
286,Kreuz::N,Kreuz,хач
287,Kreuz::N,Kreuz,тәре
288,Linie::N,Linie,сызык
289,Strich::N,Strich,сызык
290,Abstand::N,Abstand,ара
291,Entfernung::N,Entfernung,ераклык
292,Gegend::N,Gegend,урын
293,Platz::N,Platz,бушлык
294,Ort::N,Ort,урын
295,Seite::N,Seite,як
296,Mitte::N,Mitte,урта
297,Gegenstand::N,Gegenstand,нәрсә
298,Sache::N,Sache,нәрсә
299,Rand::N,Rand,чит
300,Kante::N,Kante,кырый
301,Ecke::N,Ecke,почмак
302,Spitze::N,Spitze,оч
303,Ende::N,Ende,азак
304,Loch::N,Loch,тишек
305,Winkel::N,Winkel,почмак
306,Muster::N,Muster,парча
307,Größe::N,Größe,зурлык
308,Länge::N,Länge,озынлык
309,Höhe::N,Höhe,биеклек
310,Gewicht::N,Gewicht,авырлык
311,Menge::N,Menge,микъдар
312,Haufen::N,Haufen,өем
313,Reihe::N,Reihe,рәт
314,Boot::N,Boot,каек
315,Boot::N,Boot,көймә
316,Ruder::N,Ruder,ишкәк
317,Schlitten::N,Schlitten,чана
318,Ski::N,Ski,чаңгы
319,Lagerfeuer::N,Lagerfeuer,костёр
320,Last::N,Last,йөк
321,Gang::N,Gang,йөреш
322,Schritt::N,Schritt,адым
323,Norden::N,Norden,төньяк
324,Süden::N,Süden,көньяк
325,Westen::N,Westen,көнбатыш
326,Osten::N,Osten,шәрык
327,Osten::N,Osten,көнчыгыш
328,Holz::N,Holz,агач
329,Brett::N,Brett,такта
330,Platte::N,Platte,плитә
331,Stütze::N,Stütze,таяу
332,Stange::N,Stange,колга
333,Stock::N,Stock,таяк
334,Stab::N,Stab,таяк
335,Rohr::N,Rohr,торба
336,Haus::N,Haus,өй
337,Haus::N,Haus,йорт
338,Heim::N,Heim,гаилә
339,Heim::N,Heim,нәсел
340,Ofen::N,Ofen,мич
341,Fußboden::N,Fußboden,идән
342,Tisch::N,Tisch,өстәл
343,Stuhl::N,Stuhl,утыргыч
344,Wiege::N,Wiege,бишек
345,Bett::N,Bett,ятак
346,Bett::N,Bett,урын-җир
347,Regal::N,Regal,киштә
348,Regal::N,Regal,шүрлек
349,Kiste::N,Kiste,әрҗә
350,Fenster::N,Fenster,тәрәзә
351,Tür::N,Tür,ишек
352,Tor::N,Tor,капка
353,Zaun::N,Zaun,койма
354,Dach::N,Dach,түбә
355,Leiter::N,Leiter,баскыч
356,Besen::N,Besen,себерке
357,Spaten::N,Spaten,көрәк
358,Schaufel::N,Schaufel,көрәк
359,Gabel::N,Gabel,чәннечке
360,Löffel::N,Löffel,кашык
361,Messer::N,Messer,пычак
362,Nagel::N,Nagel,кадак
363,Netz::N,Netz,челтәр
364,Haken::N,Haken,ыргак
365,Griff::N,Griff,тотка
366,Schloss::N,Schloss,йозак
367,Bild::N,Bild,рәсем
368,Bild::N,Bild,картина
369,Figur::N,Figur,сын
370,Figur::N,Figur,фигура
371,Puppe::N,Puppe,курчак
372,Beutel::N,Beutel,луза
373,Bündel::N,Bündel,бәйләм
374,Tasche::N,Tasche,букча
375,Eimer::N,Eimer,чиләк
376,Deckel::N,Deckel,капкач
377,Geschirr::N,Geschirr,савыт-саба
378,Geschirr::N,Geschirr,кашык-аяк
379,Sack::N,Sack,капчык
380,Tasse::N,Tasse,чынаяк
381,Topf::N,Topf,чүлмәк
382,Kessel::N,Kessel,казан
383,Essen::N,Essen,ашау
384,Nahrung::N,Nahrung,азык
385,Nahrung::N,Nahrung,тәгам
386,Nahrung::N,Nahrung,ашамлык
387,Speise::N,Speise,ризык
388,Fleisch::N,Fleisch,ит
389,Getreide::N,Getreide,ашлык
390,Brei::N,Brei,ботка
391,Brot::N,Brot,ипи
392,Brot::N,Brot,икмәк
393,Scheibe::N,Scheibe,телем
394,Fett::N,Fett,май
395,Butter::N,Butter,май
396,Öl::N,Öl,май
397,Salz::N,Salz,тоз
398,Suppe::N,Suppe,шулпа
399,Honig::N,Honig,бал
400,Milch::N,Milch,сөт
401,Tee::N,Tee,чәй
402,Leder::N,Leder,күн
403,Wolle::N,Wolle,йон
404,Stoff::N,Stoff,тукыма
405,Nadel::N,Nadel,энә
406,Faden::N,Faden,җеп
407,Knopf::N,Knopf,төймә
408,Knoten::N,Knoten,төен
409,Farbe::N,Farbe,буяу
410,Kleidung::N,Kleidung,кием
411,Hemd::N,Hemd,күлмәк
412,Kragen::N,Kragen,яка
413,Ärmel::N,Ärmel,җиң
414,Hose::N,Hose,чалбар
415,Gürtel::N,Gürtel,билбау
416,Mütze::N,Mütze,бүрек
417,Schuh::N,Schuh,башмак
418,Stiefel::N,Stiefel,итек
419,Ring::N,Ring,балдак
420,Band::N,Band,тасма
421,Kamm::N,Kamm,тарак
422,Spiegel::N,Spiegel,көзге
423,Riemen::N,Riemen,каеш
424,Schnur::N,Schnur,бау
425,Leine::N,Leine,тезген
426,Decke::N,Decke,юрган
427,Kissen::N,Kissen,мендәр
428,Tuch::N,Tuch,яулык
429,Handtuch::N,Handtuch,сөлгә
430,Kraft::N,Kraft,егәр
431,Kraft::N,Kraft,дәрман
432,Stärke::N,Stärke,көч
433,Stärke::N,Stärke,дәрман
434,Gesundheit::N,Gesundheit,саулык
435,Krankheit::N,Krankheit,чир
436,Krankheit::N,Krankheit,хаста
437,Krankheit::N,Krankheit,сырхау
438,Schmerz::N,Schmerz,авырту
439,Wunde::N,Wunde,яра
440,Wunde::N,Wunde,җәрәхәт
441,Fieber::N,Fieber,бизгәк
442,Arznei::N,Arznei,дару
443,Brücke::N,Brücke,күпер
444,Brunnen::N,Brunnen,кое
445,Weide::N,Weide,утлавык
446,Pfad::N,Pfad,сукмак
447,Weg::N,Weg,юл
448,Straße::N,Straße,урам
449,Dorf::N,Dorf,авыл
450,Stadt::N,Stadt,шәһәр
451,Brief::N,Brief,хат
452,Buch::N,Buch,китап
453,Buchstabe::N,Buchstabe,хәреф
454,Zeitung::N,Zeitung,газет
455,Zeitung::N,Zeitung,газета
456,Leben::N,Leben,гомер
457,Leben::N,Leben,тормыш
458,Leben::N,Leben,тереклек
459,Tod::N,Tod,үлем
460,Grab::N,Grab,гүр
461,Grab::N,Grab,кабер
462,Kirche::N,Kirche,чиркәү
463,Sünde::N,Sünde,язык
464,Sünde::N,Sünde,гөнаһ
465,Gott::N,Gott,алла
466,Gott::N,Gott,ходай
467,Arbeiter::N,Arbeiter,эшче
468,Chef::N,Chef,башлык
469,Meister::N,Meister,оста
470,Arzt::N,Arzt,врач
471,Arzt::N,Arzt,табиб
472,Lehrer::N,Lehrer,укытучы
473,Lehrer::N,Lehrer,мөгаллим
474,Geld::N,Geld,акча
475,Geschäft::N,Geschäft,эш
476,Laden::N,Laden,кибет
477,Laden::N,Laden,магазин
478,Preis::N,Preis,бәя
479,Preis::N,Preis,бәһа
480,Ware::N,Ware,товар
481,Nutzen::N,Nutzen,файда
482,Reichtum::N,Reichtum,байлык
483,Welt::N,Welt,дөнья
484,Land::N,Land,ил
485,Staat::N,Staat,дәүләт
486,König::N,König,патша
487,Macht::N,Macht,хакимият
488,Grenze::N,Grenze,чик
489,Krieg::N,Krieg,сугыш
490,Feind::N,Feind,дошман
491,Gewalt::N,Gewalt,көчләү
492,Kampf::N,Kampf,көрәш
493,Bogen[Waffe]::N,Bogen,җәя
494,Pfeil::N,Pfeil,ук
495,Gewehr::N,Gewehr,мылтык
496,Fehler::N,Fehler,хата
497,Lüge::N,Lüge,ялган
498,Schaden::N,Schaden,зыян
499,Schaden::N,Schaden,зарар
500,Unglück::N,Unglück,бәла
501,Schuld::N,Schuld,гаеп
502,Alter::N,Alter,яшь
503,Schluss::N,Schluss,ахыр
504,Zeit::N,Zeit,заман
505,Tag::N,Tag,көн
506,Morgen::N,Morgen,иртә
507,Mittag::N,Mittag,өйлә
508,Abend::N,Abend,кич
509,Nacht::N,Nacht,төн
510,Woche::N,Woche,атна
511,Monat::N,Monat,ай
512,Jahr::N,Jahr,ел
513,Frühling::N,Frühling,яз
514,Sommer::N,Sommer,җәй
515,Herbst::N,Herbst,көз
516,Winter::N,Winter,кыш
517,Januar::N,Januar,гыйнвар
518,Februar::N,Februar,февраль
519,März::N,März,март
