,Concept_ID,kl,kv
0,Auge::N,isi,син
1,Ohr::N,siut,пель
2,Mund::N,paaq,ӧм
3,Mund::N,qaneq,ӧм
4,Zahn::N,kigut,пинь
5,Zunge::N,oqaq,кыв
6,Lippe::N,qarloq,тырп
7,Wange::N,ersaq,рожабан
8,Gesicht::N,kiinaq,бан
9,Stirn::N,qaaq,кымӧс
10,Haar::N,meqqoq,юрси
11,Bart::N,umik,тош
12,Kinn::N,talloq,тшӧка
13,Kiefer[Anatomie]::N,alleroq,ан
14,Kehle::N,malaq,юан
15,Hals::N,qungaseq,юан
16,Genick::N,pukusuk,юр бӧр
17,Kopf::N,niaqoq,юр
18,Rücken::N,qimerlut,мышк
19,Bauch::N,naaq,кынӧм
20,Nabel::N,qalaseq,гӧг
21,Busen::N,iviangeq,морос
22,Brust::N,iviangeq,морос
23,Schulter::N,ersik,пельпон
24,Schulter::N,assaqqoq,пельпон
25,Arm::N,taleq,ки
26,Ellenbogen::N,ikusik,гырдзза
27,Hand::N,assak,кикар
28,Handfläche::N,itumak,ки пыдӧс
29,Finger::N,inuak,чунь
30,Fingernagel::N,kikiak,гыж
31,Nagel[Anatomie]::N,kukik,гыж
32,Zeh::N,isigak,чунь
33,Ferse::N,kimmik,кокдзир
34,Knie::N,seeqqoq,пидзӧс
35,Oberschenkel::N,uppat,лядьбей
36,Oberschenkel::N,quttoraq,лядьбей
37,Bein::N,isigak,кок
38,Körper::N,timi,вывтыр
39,Haut::N,mattak,кучик
40,Blut::N,aak,вир
41,Ader::N,taqaq,сӧн
42,Sehne::N,ujalu,жила
43,Sehne::N,ujaloq,жила
44,Knochen::N,saanikut,коска
45,Gehirn::N,qarasaq,вем
46,Herz::N,uummat,сьӧлӧм
47,Magen::N,aqajaroq,жӧвдӧк
48,Leber::N,tinguk,мус
49,Atem::N,anerneq,лолалӧм
50,Hunger::N,kaanneq,тшыг
51,Träne::N,qia,синва
52,Träne::N,qiak,синва
53,Geschmack::N,qilanaartuut,кӧр
54,Geruch::N,tipi,дук
55,Geruch::N,tipik,дук
56,Traum::N,sinnattoq,вӧт
57,Traum::N,sinnattugaq,вӧт
58,Himmel::N,qilak,небо
59,Sonne::N,seqineq,шондi
60,Mond::N,qaammat,тӧлiсь
61,Stern::N,ulloriaq,кӧдзыв
62,Luft::N,silaannaq,ру
63,Wind::N,anori,тӧв
64,Wind::N,anorsarik,тӧв
65,Welle::N,aalappaa,гы
66,Wasser::N,imeq,ва
67,Stein::N,ujarak,из
68,Boden::N,nateq,му
69,Erde::N,issoq,му
70,Staub::N,pujualanerit,бус
71,Staub::N,pujoralanerit,бус
72,Rauch::N,iseq,тшын
73,Rauch::N,pujoq,тшын
74,Funke::N,illoorneq,бичир
75,Feuer::N,inneq,би
76,Licht::N,qaamaneq,би
77,Schatten::N,tarraq,вуджӧр
78,Wetter::N,sila,погоддя
79,Nebel::N,pujoq,туман
80,Wolke::N,nuia,кымӧр
81,Regen::N,sialuk,зэр
82,Schnee::N,aput,лым
83,Eis::N,siku,йы
84,Frost::N,issi,мороз
85,Frost::N,issik,мороз
86,Kälte::N,issi,кӧдзыт
87,Hitze::N,kianneq,ӧд
88,Hitze::N,kiassuseq,ӧд
89,Raureif::N,kaneq,кижа
90,Regenbogen::N,neriusaaq,енӧшка
91,Donner::N,kalleq,гым
92,Tropfen::N,kuseriarneq,тёп
93,Schaum::N,qapuk,быг
94,Schmutz::N,minguk,нять
95,See::N,taseq,ты
96,Sumpf::N,maqulluk,арай
97,Wiese::N,masarsuk,видз
98,Hügel::N,qattuneq,мыльк
99,Hügel::N,majuariaq,мыльк
100,Hügel::N,majorajaaq,мыльк
101,Hügel::N,qaqqannguaq,мыльк
102,Berg::N,qaqqaq,керӧс
103,Höhle::N,qaarusuk,нора
104,Abhang::N,ippik,покат
105,Abhang::N,sivinganeq,покат
106,Abhang::N,sivingajaaq,покат
107,Abhang::N,kussangajaaq,покат
108,Bach::N,kuunnguaq,шор
109,Fluss::N,kuuk,ю
110,Ufer::N,sissap sinaa,берег
111,Küste::N,sineriak,берег
112,Meer::N,imaq,море
113,Bucht::N,ikeq,курья
114,Bucht::N,kangerluk,курья
115,Bucht::N,kangerliumaneq,курья
116,Insel::N,qeqertaq,
117,Blume::N,naasoq,цветок
118,Gras::N,ivigaq,турун
119,Wurzel::N,niulutaq,вуж
120,Baum::N,orpik,пу
121,Stamm::N,kanaartaq,мыр
122,Stamm::N,kanaartaq,кер
123,Rinde::N,ameraq,кач
124,Ast::N,avalequt,ув
125,Zweig::N,avalequt,ув
126,Blatt::N,pilutaq,лист
127,Birke::N,patitsit,кыдз
128,Weide[Baum]::N,palleq,бадь
129,Tanne::N,orsuerneq,кӧз
130,Horn::N,nassuk,сюр
131,Feder::N,suluk,гӧн
132,Fell::N,ameq,кучик
133,Flügel::N,suluk,борд
134,Flügel::N,isaroq,борд
135,Klaue::N,kukik,гыж
136,Kralle::N,kukik,кабыр
137,Schwanz::N,pamioq,бӧж
138,Schwanz::N,paperuusaq,бӧж
139,Ei::N,mannik,кольть
140,Nest::N,ullut,поз
141,Bau::N,ini,осьта
142,Bau::N,ini,нора
143,Tier::N,uumasoq,зверь
144,Herde::N,unguukkat,гурт
145,Kuh::N,ussik,мӧс
146,Bulle::N,angukulak,ӧшка
147,Bulle::N,anguteralak,ӧшка
148,Bulle::N,angutikulooq,ӧшка
149,Schaf::N,sava,баля
150,Schwein::N,puuluki,порсь
151,Hund::N,qimmeq,пон
152,Katze::N,puisaaq,кань
153,Bär::N,allaq,ош
154,Eichhörnchen::N,sissinnguaq,ур
155,Fuchs::N,terianniaq,руч
156,Hase::N,ukaleq,кӧч
157,Maus::N,teriannguaq,шыр
158,Wolf::N,amaroq,кӧин
159,Vogel::N,timmiaq,кай
160,Huhn::N,kukkukooq,курӧг
161,Huhn::N,marloraaqaaq,курӧг
162,Hahn::N,kiasiusaq,петух
163,Hahn::N,kiasiusaq,ай курӧг
164,Gans::N,nerleq,дзодзог
165,Adler::N,nattoralik,куч
166,Adler::N,nattoralik,кутш
167,Eule::N,uppik,тупка
168,Kranich::N,qorlorfik,тури
169,Krähe::N,tuluatsiaq,рака
170,Kuckuck::N,kukkooq,кӧк
171,Schwan::N,qussuk,юсь
172,Fisch::N,aalisagaq,чери
173,Schlange[Tier]::N,pulateriarsuk,змей
174,Schlange[Tier]::N,pulateriaarsuk,змей
175,Spinne::N,aasiaq,черань
176,Spinne::N,nissavaarsuk,черань
177,Ameise::N,uniaaluk,кӧдзывкар
178,Laus::N,kumak,ляпа той
179,Mücke::N,ippernaq,ном
180,Fliege::N,ippernaq,гут
181,Schmetterling::N,paluaq,бабыв
182,Schmetterling::N,pakkaluaq,бабыв
183,Schmetterling::N,utsuppaluaq,бабыв
184,Schmetterling::N,taqaleqisaaq,бабыв
185,Beere::N,paarmaq,ягӧд
186,Beere::N,paarngaq,ягӧд
187,Apfel::N,iipili,яблоко
188,Pilz::N,anngiusaq,тшак
189,Zwiebel::N,uanitsoq,грез
190,Saat::N,naatsiiassaq,кӧдзыс
191,Korn::N,maannineq,сю
192,Schale::N,niutsivik,кыш
193,Schale::N,niutsivik,киль
194,Schale::N,ilulissaq qaartussaq,кыш
195,Schale::N,ilulissaq qaartussaq,киль
196,Grube::N,itersaq,яма
197,Falle::N,pualavoq,нальк
198,Falle::N,pualavoq,кляпча
199,Schlinge::N,orseq,лӧч
200,Schlinge::N,norloq,лӧч
201,Spur::N,tumaa,туй
202,Asche::N,arsat,пӧим
203,Dreck::N,minguk,нять
204,Eisen::N,savimineq,кӧрт
205,Eisen::N,saffiugassaq,кӧрт
206,Gold::N,kuulti,зарни
207,Silber::N,siilviuvoq,язісь
208,Kohle::N,aamarsuit aamaruutissat,шом
209,Kohle::N,aamarsuit aamaruutissat,уголь
210,Glas::N,igalaaq,стекло
211,Glas::N,imertarfik,стекло
212,Glas::N,igalaamineq,стекло
213,Lehm::N,marraq,сёй
214,Sand::N,sioqqat,лыа
215,Mensch::N,inuk,морт
216,Mensch::N,silamiu,морт
217,Mann::N,angut,мужик
218,Frau::N,arnaq,инька
219,Kind::N,meeraq,кага
220,Junge::N,nukappiaraq,зонка
221,Mädchen::N,arnannguaq,нывкаок
222,Familie::N,ilaqutakka,семья
223,Familie::N,ilaqutariit,семья
224,Großvater::N,aatak,дед
225,Großmutter::N,aanaq,баб
226,Eltern::N,angajoqqaat,ай-мам
227,Vater::N,ataata,ай
228,Vater::N,ataataq,ай
229,Mutter::N,anaana,мам
230,Sohn::N,erneq,зон
231,Tochter::N,panik,ныв
232,Bruder::N,ani,вон
233,Bruder::N,aqqaluk,вон
234,Bruder::N,qatanngut,вон
235,Schwester::N,naja,сой
236,Schwester::N,aleqa,сой
237,Schwester::N,qatanngut,сой
238,Onkel::N,akkak,дядь
239,Tante::N,aja,айӧлӧн сой
240,Tante::N,aja,ичинь
241,Tante::N,ajak,айӧлӧн сой
242,Tante::N,ajak,ичинь
243,Tante::N,atsak,айӧлӧн сой
244,Tante::N,atsak,ичинь
245,Ehemann::N,ui,жӧник
246,Ehefrau::N,nuliaq,инь
247,Freude::N,tipaatsussuseq,гаж
248,Freude::N,tipaatsussuseq,радъялӧм
249,Gelächter::N,illaq,сералӧм
250,Glück::N,usornaat,мичлун
251,Glück::N,usornarsuseq,мичлун
252,Wunsch::N,kissaat,мӧдӧм
253,Wunsch::N,kissaat,охотитӧм
254,Lust::N,illigussuseq,охота
255,Lust::N,piummaseq,охота
256,Geist::N,anerneq,лов
257,Geist::N,toornaq,лов
258,Gedanke::N,isumassaq,дума
259,Gedächtnis::N,eqqaamannissuseq,тӧдвыв
260,Verstand::N,isuma,вежӧр
261,Verstand::N,sianissut,вежӧр
262,Verstand::N,misigissut,вежӧр
263,Verstand::N,sianissuseq,вежӧр
264,Verstand::N,silaqassuseq,вежӧр
265,Sinn::N,isuma,ылӧс
266,Grund::N,patsit,мог
267,Wahrheit::N,sallusuissut,правда
