,Concept_ID,sv,pl
0,Auge::N,öga,oko
1,Ohr::N,öra,ucho
2,Nase::N,näsa,nos
3,Mund::N,mun,usta
4,Zahn::N,tand,ząb
5,Zunge::N,tunga,język
6,Lippe::N,läpp,warga
7,Wange::N,kind,policzek
8,Gesicht::N,syn,twarz
9,Gesicht::N,ansikte,twarz
10,Stirn::N,panna,czoło
11,Haar::N,hår,włos
12,Haar::N,hår,włosy
13,Schnurrbart::N,mustasch,wąsy
14,Bart::N,skägg,broda
15,Kinn::N,haka,podbródek
16,Kiefer[Anatomie]::N,käke,czeluść
17,Kehle::N,strupe,gardło
18,Hals::N,hals,szyja
19,Genick::N,nacke,kark
20,Kopf::N,huvud,głowa
21,Rücken::N,rygg,plecy
22,Rücken::N,rygg,grzbiet
23,Bauch::N,buk,brzuch
24,Bauch::N,mage,brzuch
25,Nabel::N,navel,pępek
26,Busen::N,barm,biust
27,Brust::N,bröst,pierś
28,Schulter::N,skuldra,bark
29,Schulter::N,skuldra,ramię
30,Arm::N,arm,ręka
31,Arm::N,arm,ramię
32,Ellenbogen::N,armbåge,łokieć
33,Hand::N,hand,dłoń
34,Handfläche::N,handflata,dłoń
35,Finger::N,finger,palec
36,Fingernagel::N,fingernagel,paznokieć
37,Nagel[Anatomie]::N,nagel,paznokieć
38,Zeh::N,tå,palec
39,Fuß::N,fot,stopa
40,Ferse::N,häl,pięta
41,Knie::N,knä,kolano
42,Oberschenkel::N,lår,udo
43,Bein::N,ben,noga
44,Körper::N,kropp,ciało
45,Haut::N,hud,skóra
46,Haut::N,skinn,skóra
47,Blut::N,blod,krew
48,Ader::N,åder,żyła
49,Sehne::N,sena,ścięgno
50,Knochen::N,ben,kość
51,Gehirn::N,hjärna,mózg
52,Herz::N,hjärta,serce
53,Magen::N,mage,żołądek
54,Leber::N,lever,wątroba
55,Atem::N,anda,dech
56,Atem::N,anda,oddech
57,Atem::N,andedräkt,dech
58,Atem::N,andedräkt,oddech
59,Hunger::N,svält,głód
60,Hunger::N,hunger,głód
61,Träne::N,tår,łza
62,Geschmack::N,smak,smak
63,Geruch::N,lukt,woń
64,Geruch::N,lukt,zapach
65,Schlaf::N,sömn,sen
66,Traum::N,dröm,sen
67,Himmel::N,himmel,niebo
68,Sonne::N,sol,słońce
69,Mond::N,måne,księżyc
70,Stern::N,stjärna,gwiazda
71,Luft::N,luft,powietrze
72,Wind::N,vind,wiatr
73,Welle::N,våg,fala
74,Welle::N,bölja,fala
75,Wasser::N,vatten,woda
76,Stein::N,sten,kamień
77,Boden::N,mark,grunt
78,Erde::N,jord,ziemia
79,Staub::N,damm,pył
80,Staub::N,damm,kurz
81,Rauch::N,rök,dym
82,Funke::N,gnista,iskra
83,Feuer::N,eld,ogień
84,Licht::N,ljus,światło
85,Schatten::N,skugga,cień
86,Wetter::N,väder,pogoda
87,Nebel::N,dimma,mgła
88,Nebel::N,töcken,mgła
89,Wolke::N,sky,obłok
90,Wolke::N,sky,chmura
91,Wolke::N,moln,obłok
92,Wolke::N,moln,chmura
93,Regen::N,regn,deszcz
94,Schnee::N,snö,śnieg
95,Eis::N,is,lód
96,Frost::N,frost,mróz
97,Kälte::N,köld,chłód
98,Hitze::N,hetta,gorąco
99,Raureif::N,rimfrost,szron
100,Regenbogen::N,regnbåge,tęcza
101,Donner::N,åska,grzmot
102,Donner::N,dunder,grzmot
103,Strömung::N,strömning,nurt
104,Tropfen::N,dropper,kropla
105,Schaum::N,skum,piana
106,Schmutz::N,lort,brud
107,Schmutz::N,smuts,brud
108,See::N,sjö,jezioro
109,Sumpf::N,träsk,bagno
110,Moor::N,myr,bagno
111,Moor::N,mosse,bagno
112,Wiese::N,äng,łąka
113,Wald::N,skog,las
114,Hügel::N,höjd,pagórek
115,Hügel::N,kulle,pagórek
116,Anhöhe::N,höjd,wzgórze
117,Anhöhe::N,backe,wzgórze
118,Berg::N,berg,góra
119,Berg::N,fjäll,góra
120,Gipfel::N,topp,szczyt
121,Gipfel::N,topp,wierzchołek
122,Höhle::N,håla,pieczara
123,Höhle::N,grotta,pieczara
124,Abhang::N,slänt,stok
125,Abhang::N,slänt,zbocze
126,Abhang::N,sluttning,stok
127,Abhang::N,sluttning,zbocze
128,Quelle::N,källa,zdrój
129,Quelle::N,källa,źródło
130,Bach::N,bäck,potok
131,Bach::N,bäck,strumień
132,Fluss::N,älv,rzeka
133,Fluss::N,flod,rzeka
134,Ufer::N,strand,brzeg
135,Küste::N,kust,wybrzeże
136,Festland::N,fastland,ląd
137,Meer::N,hav,morze
138,Bucht::N,vik,zatoka
139,Bucht::N,bukt,zatoka
140,Insel::N,ö,wyspa
141,Blume::N,blomma,kwiat
142,Blume::N,blomster,kwiat
143,Gras::N,gräs,trawa
144,Wurzel::N,rot,korzeń
145,Baum::N,träd,drzewo
146,Stamm::N,stam,pień
147,Rinde::N,bark,kora
148,Ast::N,gren,gałąź
149,Zweig::N,kvist,gałąź
150,Blatt::N,löv,liść
151,Blatt::N,blad,liść
152,Birke::N,björk,brzoza
153,Kiefer[Baum]::N,tall,sosna
154,Weide[Baum]::N,pil,wierzba
155,Weide[Baum]::N,vide,wierzba
156,Tanne::N,gran,jodła
157,Horn::N,horn,róg
158,Feder::N,fjäder,pióro
159,Fell::N,fäll,futro
160,Fell::N,skinn,futro
161,Flügel::N,vinge,skrzydło
162,Klaue::N,klöv,szpon
163,Kralle::N,klo,pazur
164,Schwanz::N,svans,ogon
165,Schwanz::N,stjärt,ogon
166,Ei::N,ägg,jajko
167,Nest::N,rede,gniazdo
168,Nest::N,näste,gniazdo
169,Bau::N,bo,nora
170,Tier::N,djur,zwierzę
171,Herde::N,flock,stado
172,Herde::N,flock,trzoda
173,Kuh::N,ko,krowa
174,Bulle::N,tjur,byk
175,Pferd::N,häst,koń
176,Schaf::N,får,owca
177,Schwein::N,svin,świnia
178,Hund::N,hund,pies
179,Katze::N,katt,kot
180,Katze::N,katt,kotka
181,Bär::N,björn,niedźwiedż
182,Eichhörnchen::N,ekorre,wiewiórka
183,Elch::N,älg,łóś
184,Fuchs::N,räv,lis
185,Hase::N,hare,zając
186,Maus::N,mus,mysz
187,Wolf::N,varg,wilk
188,Vogel::N,fågel,ptak
189,Schwarm::N,svärm,stado
190,Huhn::N,höns,kura
191,Hahn::N,tupp,kogut
192,Gans::N,gås,gęś
193,Adler::N,örn,orzeł
194,Ente::N,anka,kaczka
195,Eule::N,uggla,sowa
196,Kranich::N,trana,żuraw
197,Krähe::N,kråka,wrona
198,Kuckuck::N,gök,kukułka
199,Schwan::N,svan,łabędż
200,Fisch::N,fisk,ryba
201,Barsch::N,abborre,okoń
202,Hecht::N,gädda,szczupak
203,Schlange[Tier]::N,orm,wąż
204,Schlange[Tier]::N,orm,żmija
205,Wurm::N,mask,robak
206,Spinne::N,spindel,pająk
207,Ameise::N,myra,mrówka
208,Laus::N,lus,wesz
209,Mücke::N,mygga,komar
210,Fliege::N,fluga,mucha
211,Schmetterling::N,fjäril,motyl
212,Beere::N,bär,jagoda
213,Apfel::N,äpple,jabłko
