,Concept_ID,sl,vep
0,Auge::N,okó,sil'm
1,Ohr::N,uhó,korv
2,Nase::N,nós,nena
3,Mund::N,ústa,su
4,Zahn::N,zób,pi
5,Zahn::N,zób,hambaz
6,Zunge::N,jêzik,kel'
7,Lippe::N,ústnica,hul'
8,Wange::N,líce,modpolišk
9,Gesicht::N,oblíčje,mod
10,Stirn::N,čêlo,oc
11,Haar::N,lás,tuk
12,Haar::N,lás,hibuz
13,Schnurrbart::N,bŕki,habinod
14,Bart::N,bráda,bard
15,Kinn::N,bráda,löug
16,Kiefer[Anatomie]::N,čeljúst,hambazlu
17,Kehle::N,gŕlo,kurk
18,Hals::N,vrát,kagl
19,Genick::N,zatílnik,tagarai
20,Kopf::N,gláva,pä
21,Rücken::N,hrbèt,sel'g
22,Bauch::N,trébuh,vac
23,Bauch::N,trébuh,koht
24,Nabel::N,pópek,naba
25,Busen::N,nédrja,niža
26,Brust::N,pŕsi,rind
27,Schulter::N,ráma,oug
28,Schulter::N,plêče,oug
29,Arm::N,rôka,käzi
30,Ellenbogen::N,komólec,künambruz
31,Hand::N,rôka,käzi
32,Hand::N,rôka,käzitera
33,Handfläche::N,dlán,kämen
34,Finger::N,pŕst,sor'm
35,Fingernagel::N,nóht na rôki,künz'
36,Nagel[Anatomie]::N,nóht,künz'
37,Zeh::N,pŕst na nôgi,barbaz
38,Fuß::N,nôga,jaug
39,Ferse::N,pêta,kand
40,Knie::N,koléno,komb
41,Knie::N,koléno,pol'v
42,Oberschenkel::N,stêgno,riiže
43,Bein::N,nôga,jaug
44,Körper::N,teló,hibj
45,Haut::N,kóža,nahk
46,Blut::N,krí,čak
47,Blut::N,krí,veri
48,Ader::N,žíla,son'
49,Sehne::N,kíta,jände
50,Knochen::N,kóst,lu
51,Gehirn::N,možgáni,aivod
52,Herz::N,srcé,südäin
53,Magen::N,želódec,südäikoht
54,Leber::N,jétra,maks
55,Atem::N,díh,hengaiduz
56,Hunger::N,glád,näl'g
57,Träne::N,sólza,kündal'
58,Geschmack::N,okús,magu
59,Geruch::N,vónj,haju
60,Schlaf::N,sèn,uni
61,Schlaf::N,spánec,uni
62,Traum::N,sánje,unikuva
63,Himmel::N,nebó,taivaz
64,Sonne::N,sónce,päiväine
65,Mond::N,lúna,kudmaine
66,Mond::N,mésec,kudmaine
67,Stern::N,zvézda,tähtaz
68,Luft::N,zràk,il'm
69,Wind::N,véter,döl
70,Wind::N,véter,tullei
71,Welle::N,vál,ald
72,Welle::N,vál,laineh
73,Wasser::N,vôda,vezi
74,Stein::N,kámen,kivi
75,Boden::N,tlà,ma
76,Boden::N,tlà,pohj
77,Erde::N,pŕst,ma
78,Erde::N,zêmlja,ma
79,Staub::N,práh,pölü
80,Rauch::N,dìm,savu
81,Funke::N,ískra,kibin
82,Feuer::N,ôgenj,lämoi
83,Licht::N,lúč,vauktuz
84,Schatten::N,sénca,pil'vez
85,Schatten::N,sénca,kuvahaine
86,Wetter::N,vrême,sä
87,Nebel::N,meglà,sumeg
88,Wolke::N,oblák,pil'v
89,Regen::N,dèž,vihm
90,Schnee::N,snég,lumi
91,Eis::N,léd,jä
92,Frost::N,zmrzál,hala
93,Frost::N,zmrzál,pakaine
94,Kälte::N,mràz,vilu
95,Hitze::N,pripéka,räk
96,Raureif::N,ívje,hüde
97,Raureif::N,slána,hüde
98,Regenbogen::N,mávrica,jumalanbembel'
99,Donner::N,gròm,juru
100,Donner::N,gròm,jumalanjuru
101,Strömung::N,strúja,joksmuz
102,Tropfen::N,káplja,tilkuine
103,Schaum::N,péna,vaht
104,Schmutz::N,nesnága,redu
105,Schmutz::N,nesnága,pačak
106,See::N,jézero,järv
107,Sumpf::N,močvírje,so
108,Moor::N,bárje,so
109,Wiese::N,trávnik,nit
110,Wald::N,lés,mec
111,Wald::N,gòzd,mec
112,Hügel::N,brég,kukaz
113,Hügel::N,goríca,kukaz
114,Anhöhe::N,gríč,kukaz
115,Anhöhe::N,višína,kukaz
116,Berg::N,gôra,mägi
117,Berg::N,planína,mägi
118,Gipfel::N,vŕh,ladv
119,Höhle::N,jáma,mägionduz
120,Höhle::N,votlína,mägionduz
121,Abhang::N,pobóčje,paute
122,Quelle::N,izvír,lähte
123,Bach::N,pôtok,oja
124,Fluss::N,réka,jogi
125,Ufer::N,brég,rand
