,Concept_ID,ml,ka
0,Auge::N,കണ്ണ്,თვალი
1,Ohr::N,ചെവി,ყური
2,Nase::N,മൂക്ക്,ცხვირი
3,Mund::N,വായ,პირი
4,Zahn::N,പല്ല്,კბილი
5,Zunge::N,നാക്ക്,ენა
6,Lippe::N,ചുണ്ട്,ბაგე
7,Wange::N,കവിൾത്തടം,ლოყა
8,Gesicht::N,മുഖം,სახე
9,Stirn::N,നെറ്റി,შუბლი
10,Haar::N,തലമുടി,თმა
11,Schnurrbart::N,മീശ,ულვაში
12,Bart::N,താടിരോമം,წვერი
13,Kinn::N,താടി,ნიკაპი
14,Kiefer[Anatomie]::N,താടിയെല്ല്,ყბა
15,Kehle::N,കണ്ഠനാളം,ყელი
16,Hals::N,കഴുത്ത്,ყელი
17,Hals::N,കഴുത്ത്,კისერი
18,Genick::N,പിടലി,კეფა
19,Kopf::N,തല,თავი
20,Rücken::N,മുതുക്,ზურგი
21,Bauch::N,നയറ്,მუცელი
22,Nabel::N,നാഭി,ჭიპი
23,Busen::N,സ്തനം,ძუძუ
24,Brust::N,സ്തനം,მკერდი
25,Schulter::N,തോൾ,მხარი
26,Schulter::N,തോൾ,მკლავი
27,Arm::N,കൈ,ხელი
28,Ellenbogen::N,കൈമുട്ട്,იდაყვი
29,Hand::N,കൈ,ხელი
30,Handfläche::N,ഉള്ളം കൈ,ნები
31,Handfläche::N,ഉള്ളം കൈ,ხელისგული
32,Finger::N,വിരൽ,თითი
33,Fingernagel::N,നഖം,ფრჩხილი
34,Nagel[Anatomie]::N,നഖം,ფრჩხილი
35,Zeh::N,കാൽവിരൽ,ფეხის თითი
36,Fuß::N,കാൽപ്പാദം,ტერფი
37,Fuß::N,കാൽപ്പാദം,ფეხისგული
38,Ferse::N,ഉപ്പൂറ്റി,ქუსლი
39,Knie::N,കാൽമുട്ട്,მუხლი
40,Oberschenkel::N,തുട,ბარძაყი
41,Bein::N,കാൽ,ფეხი
42,Körper::N,ശരീരം,ტანი
43,Körper::N,ശരീരം,სხეული
44,Haut::N,ചർമ്മം,კანი
45,Blut::N,രക്തം,სისხლი
46,Ader::N,ഞരമ്പ്,ძარღვი
47,Sehne::N,സ്നായു,მყესი
48,Knochen::N,അസ്ഥി,ძვალი
