,Concept_ID,tt,is
0,Auge::N,күз,auga
1,Ohr::N,колак,eyra
2,Nase::N,борын,nef
3,Mund::N,авыз,munnur
4,Mund::N,тамак,munnur
5,Zahn::N,теш,tönn
6,Zunge::N,тел,tunga
7,Lippe::N,ирен,vör
8,Wange::N,яңак,kinn
9,Wange::N,яңак,vangi
10,Gesicht::N,йөз,andlit
11,Stirn::N,маңгай,enni
12,Haar::N,чәч,hár
13,Schnurrbart::N,мыек,yfirskegg
14,Bart::N,сакал,skegg
15,Kinn::N,ияк,haka
16,Kiefer[Anatomie]::N,казналык,kjálki
17,Kiefer[Anatomie]::N,казналык,skoltur
18,Kehle::N,тамак,kverk
19,Hals::N,бугаз,háls
20,Genick::N,җилкә,hnakki
21,Kopf::N,баш,höfuð
22,Rücken::N,сырт,hryggur
23,Bauch::N,корсак,kviður
24,Nabel::N,кендек,nafli
25,Busen::N,түш,barmur
26,Brust::N,имчәк,brjóst
27,Brust::N,күкрәк,brjóst
28,Schulter::N,иңбаш,öxl
29,Schulter::N,кулбаш,öxl
30,Arm::N,кул,armur
31,Ellenbogen::N,терсәк,olnbogi
32,Hand::N,кул,hönd
33,Handfläche::N,уч,lófi
34,Finger::N,бармак,fingur
35,Fingernagel::N,тырнак,fingurnögl
36,Nagel[Anatomie]::N,тырнак,nögl
37,Zeh::N,бармак,tá
38,Fuß::N,табан,fótur
39,Ferse::N,үкчә,hæll
40,Knie::N,тез,kné
41,Oberschenkel::N,бот,læri
42,Bein::N,аяк,fótleggur
43,Körper::N,тән,búkur
44,Körper::N,тән,líkami
45,Körper::N,җисем,búkur
46,Körper::N,җисем,líkami
47,Haut::N,тире,húð
48,Haut::N,тире,skinn
49,Blut::N,кан,blóð
50,Ader::N,тамыр,æð
51,Sehne::N,сеңер,sin
52,Knochen::N,сөяк,bein
53,Gehirn::N,ми,heili
54,Herz::N,йөрәк,hjarta
55,Magen::N,ашказаны,magi
56,Leber::N,бавыр,lifur
57,Atem::N,сулыш,andi
58,Atem::N,сулыш,andardráttur
59,Hunger::N,ачлык,hungur
60,Träne::N,яшь,tár
61,Geschmack::N,тәм,smekkur
62,Geschmack::N,зәвык,smekkur
