,Concept_ID,br,bg
0,Auge::N,lagad,око
1,Ohr::N,skouarn,ухо
2,Nase::N,fri,нос
3,Mund::N,genoù,уста
4,Zahn::N,dant,зъб
5,Zunge::N,teod,език
6,Lippe::N,muzell,устна
7,Wange::N,chot,буза
8,Gesicht::N,dremm,лице
9,Gesicht::N,dremm,образ
10,Stirn::N,tal,чело
11,Haar::N,blev,коса
12,Haar::N,blev,косъм
13,Schnurrbart::N,mourenn,мустаци
14,Bart::N,barv,брада
15,Kinn::N,groñj,брада
16,Kinn::N,groñj,брадичка
17,Kiefer[Anatomie]::N,javed,челюст
18,Kehle::N,gouzoug,гърло
19,Hals::N,gouzoug,врат
20,Genick::N,choug,тил
21,Kopf::N,penn,глава
22,Rücken::N,kein,гръб
23,Bauch::N,kof,корем
24,Nabel::N,begel,пъп
25,Busen::N,bronn,бозка
26,Brust::N,bruched,гръд
27,Schulter::N,skoaz,рамо
28,Schulter::N,skoaz,плещи
29,Arm::N,brec'h,ръка
30,Ellenbogen::N,ilin,лакът
31,Hand::N,dorn,ръка
32,Hand::N,dorn,китка
33,Handfläche::N,palv,длан
34,Finger::N,biz,пръст
35,Fingernagel::N,ivin,нокът
36,Nagel[Anatomie]::N,ivin,нокът
37,Zeh::N,biz-troad,пръст на крак
38,Fuß::N,troad,крак
39,Fuß::N,troad,нога
40,Ferse::N,seul,пета
41,Knie::N,glin,коляно
42,Oberschenkel::N,morzhed,бедро
43,Bein::N,gar,крак
44,Bein::N,gar,нога
45,Körper::N,korf,тяло
46,Haut::N,kroc'hen,кожа
47,Blut::N,gwad,кръв
48,Ader::N,gwazhi,вена
49,Ader::N,gwazhi,артерия
50,Sehne::N,stir,жила
51,Sehne::N,stir,сухожилие
52,Knochen::N,askorn,кост
53,Gehirn::N,empenn,мозък
54,Herz::N,kalon,сърце
55,Magen::N,stomog,стомах
56,Leber::N,avu,черен дроб
57,Atem::N,anal,дишане
58,Hunger::N,naon,глад
59,Träne::N,daer,сълза
60,Geschmack::N,blaz,вкус
61,Geruch::N,c'hwezh,миризма
62,Schlaf::N,kousked,сън
63,Traum::N,hune,сън
64,Himmel::N,oabl,небе
65,Sonne::N,heol,слънце
66,Mond::N,loar,луна
67,Mond::N,loar,месец
68,Stern::N,steredenn,звезда
69,Luft::N,aer,въздух
70,Wind::N,avel,вятър
71,Welle::N,houlenn,вълна
72,Wasser::N,dour,вода
73,Stein::N,maen,камък
74,Boden::N,tachenn,земя
75,Boden::N,tachenn,почва
76,Erde::N,douar,земя
77,Erde::N,douar,почва
78,Staub::N,poultr,прах
79,Rauch::N,moged,дим
80,Rauch::N,moged,пушек
81,Funke::N,ful,искра
82,Feuer::N,tan,огън
83,Licht::N,gouloù,светлина
84,Schatten::N,disheol,сянка
85,Wetter::N,amzer,време
86,Nebel::N,brumenn,мъгла
87,Wolke::N,koumoulenn,облак
88,Regen::N,glav,дъжд
89,Schnee::N,erc'h,сняг
90,Eis::N,skorn,лед
91,Frost::N,rev,мраз
92,Kälte::N,yen,студ
93,Hitze::N,tommder,жега
94,Hitze::N,tommder,горещина
95,Raureif::N,frim,скреж
96,Raureif::N,frim,слана
97,Regenbogen::N,gwareg-ar-glav,дъга
98,Donner::N,kurun,гръм
99,Strömung::N,red,течение
100,Tropfen::N,bannac'h,капка
101,Tropfen::N,takenn,капка
102,Schaum::N,spoum,пяна
103,Schmutz::N,fank,кал
104,Schmutz::N,fank,мръсотия
105,See::N,lenn,езеро
106,Sumpf::N,gwern,блато
107,Moor::N,taouarc'heg,мочурище
108,Wiese::N,prad,ливада
109,Wald::N,koad,гора
110,Hügel::N,torgenn,рид
111,Hügel::N,torgenn,хълм
112,Anhöhe::N,run,могила
113,Anhöhe::N,run,възвишение
114,Berg::N,menez,планина
115,Gipfel::N,barr,връх
116,Höhle::N,kav,пещера
117,Abhang::N,naou,склон
118,Abhang::N,naou,стръмнина
119,Quelle::N,feunteun,извор
120,Bach::N,gwazh,поток
121,Fluss::N,stêr,река
122,Ufer::N,ribl,бряг
123,Küste::N,aod,бряг
124,Küste::N,aod,крайбрежие
125,Festland::N,douar,суша
126,Meer::N,mor,море
127,Bucht::N,mor-bihan,залив
128,Insel::N,enez,остров
129,Blume::N,bleunienn,цвете
130,Gras::N,geot,трева
131,Wurzel::N,gwrizienn,корен
132,Baum::N,gwezenn,дърво
133,Stamm::N,kef,стъбло
134,Rinde::N,rusk,кора
135,Ast::N,barr,клон
136,Zweig::N,bod,клон
137,Blatt::N,delienn,лист
138,Birke::N,bezvenn,бреза
139,Kiefer[Baum]::N,pinenn,бор
140,Weide[Baum]::N,halegenn,върба
141,Tanne::N,sapenn,ела
142,Horn::N,korn,рог
143,Feder::N,pluñv,перо
144,Fell::N,kreoñ,кожа
145,Flügel::N,askell,крило
146,Klaue::N,skilf,нокът
147,Kralle::N,skilf,нокът
148,Schwanz::N,lost,опашка
149,Ei::N,vi,яйце
150,Nest::N,neizh,гнездо
151,Bau::N,douarenn,дупка
152,Tier::N,loen,животно
153,Herde::N,tropell,стадо
154,Kuh::N,buoc'h,крава
155,Bulle::N,tarv,бик
156,Pferd::N,marc'h,кон
157,Schaf::N,dañvad,овца
158,Schwein::N,pemoc'h,свиня
159,Hund::N,ki,куче
160,Katze::N,kazh,котка
161,Bär::N,arzh,мечка
162,Eichhörnchen::N,gwiñver,катерица
163,Elch::N,karv-dour,лос
164,Fuchs::N,louarn,лисица
165,Hase::N,gad,заек
166,Maus::N,logodenn,мишка
167,Wolf::N,bleiz,вълк
168,Vogel::N,labous,птица
169,Schwarm::N,nijad,рой
170,Schwarm::N,nijad,рояк
171,Huhn::N,yar,кокошка
172,Hahn::N,kilhog,петел
173,Gans::N,gwazenn,гъска
174,Adler::N,erer,орел
175,Ente::N,houad,патица
176,Eule::N,toud,сова
177,Kranich::N,garan,жерав
178,Krähe::N,bran,врана
179,Kuckuck::N,koukoug,кукувица
180,Schwan::N,alarc'h,лебед
181,Fisch::N,pesk,риба
182,Barsch::N,brell,костур
183,Hecht::N,beked,щука
184,Schlange[Tier]::N,naer,змия
