,Concept_ID,da,av
0,Auge::N,øje,
1,Ohr::N,øre,гӏин
2,Nase::N,næse,мегӏер
3,Mund::N,mund,кӏал
4,Zahn::N,tand,гӏус
5,Zunge::N,tunge,мацӏ
6,Lippe::N,læbe,кӏветӏ
7,Wange::N,kind,гӏоно
8,Gesicht::N,ansigt,гьумер
9,Stirn::N,pande,нодо
10,Haar::N,hår,рас
11,Schnurrbart::N,overskæg,михъ
12,Bart::N,skæg,мегеж
13,Kinn::N,hage,нилъу
14,Kiefer[Anatomie]::N,kæbe,чанагъ
15,Kehle::N,strube,щекъер
16,Hals::N,hals,габур
17,Genick::N,nakke,гъванща
18,Kopf::N,hoved,бетӏер
19,Rücken::N,ryg,мугъ
20,Bauch::N,mave,чехь
21,Nabel::N,navle,цӏину
22,Busen::N,barm,керен
23,Brust::N,bryst,керен
24,Schulter::N,skulder,гъажазубетӏер
25,Arm::N,arm,гъеж
26,Ellenbogen::N,albue,гӏункӏрукь
27,Hand::N,hånd,квер
28,Handfläche::N,håndflade,огъохъат
29,Handfläche::N,håndflade,жанисахъат
30,Finger::N,finger,килищ
31,Fingernagel::N,fingernegl,малъ
32,Nagel[Anatomie]::N,negl,малъ
33,Zeh::N,tå,килищ
34,Fuß::N,fod,хӏетӏ
35,Fuß::N,fod,хӏетӏе
36,Ferse::N,hæl,эгъе
37,Knie::N,knæ,наку
38,Oberschenkel::N,lår,мачӏ
39,Bein::N,ben,бох
40,Körper::N,krop,къаркъала
41,Körper::N,legeme,къаркъала
42,Haut::N,hud,тӏом
43,Blut::N,blod,би
44,Ader::N,åre,бидурихь
45,Sehne::N,sene,
46,Knochen::N,ben,ракьа
47,Gehirn::N,hjerne,гӏадалнах
48,Herz::N,hjerte,ракӏ
49,Magen::N,mave,кванирукъ
50,Leber::N,lever,тӏул
51,Atem::N,ånde,хӏухь
52,Hunger::N,sult,ракъи
53,Träne::N,tåre,магӏу
54,Geschmack::N,smag,тату
55,Geruch::N,lugt,махӏ
56,Schlaf::N,søvn,макьу
57,Traum::N,drøm,макьу
58,Himmel::N,himmel,зоб
59,Sonne::N,sol,бакъ
60,Mond::N,måne,моцӏ
61,Stern::N,stjerne,цӏва
62,Luft::N,luft,гьава
63,Wind::N,vind,гьури
64,Welle::N,bølge,карачел
65,Wasser::N,vand,лъим
66,Stein::N,sten,гьецӏо
67,Boden::N,jord,ракь
68,Erde::N,jord,ракь
69,Erde::N,jord,дуниял
70,Staub::N,støv,хӏур
71,Rauch::N,røg,кӏкӏуй
72,Funke::N,gnist,
73,Feuer::N,ild,цӏа
74,Licht::N,lys,канлъи
75,Schatten::N,skygge,рагӏад
76,Wetter::N,vejr,гьава-бакъ
77,Nebel::N,tåge,гӏодобнакӏкӏ
78,Wolke::N,sky,накӏкӏ
79,Regen::N,regn,цӏад
80,Schnee::N,sne,гӏазу
81,Eis::N,is,цӏер
82,Frost::N,frost,замгьари
83,Kälte::N,kulde,квач
84,Hitze::N,hede,багӏари
85,Raureif::N,rimfrost,мартӏ
86,Regenbogen::N,regnbue,нур
87,Regenbogen::N,regnbue,чамбара
88,Donner::N,torden,гъугъай
89,Donner::N,torden,гъугъади
90,Strömung::N,strømning,чвахи
91,Tropfen::N,dråbe,резел
92,Tropfen::N,dråbe,тӏинкӏ
93,Tropfen::N,dråbe,къатӏра
94,Tropfen::N,dråbe,тӏенкӏел
95,Schaum::N,skum,полоп
96,Schmutz::N,snavs,чороклъи
97,See::N,sø,хӏор
98,Sumpf::N,sump,хьуцӏ
99,Moor::N,mose,
100,Wiese::N,eng,мегъ
101,Wiese::N,eng,гӏурдаллъи
102,Wald::N,skov,рохь
103,Hügel::N,høj,гохӏ
104,Hügel::N,bakke,гохӏ
105,Anhöhe::N,høj,сийитма
106,Anhöhe::N,bakke,сийитма
107,Berg::N,bjerg,мегӏер
108,Gipfel::N,top,тӏогь
109,Höhle::N,hule,нохъо
110,Abhang::N,skrænt,лабаллъи
111,Abhang::N,skråning,лабаллъи
112,Quelle::N,kilde,ицц
113,Bach::N,bæk,лъар
114,Fluss::N,flod,гӏор
115,Ufer::N,bred,рагӏал
116,Küste::N,kyst,рагӏал
117,Festland::N,fastland,ракь
118,Festland::N,fastland,ракъдаллъи
119,Meer::N,hav,ралъад
120,Bucht::N,bugt,кӏветӏ
121,Insel::N,ø,чӏинкӏиллъи
122,Blume::N,blomst,тӏегь
123,Gras::N,græs,хер
124,Wurzel::N,rod,кьибил
125,Baum::N,træ,гъветӏ
126,Stamm::N,stamme,рохти
127,Rinde::N,bark,макъар
128,Ast::N,gren,ноцӏ
129,Zweig::N,kvist,гӏаркьел
130,Blatt::N,blad,тӏамах
131,Birke::N,birk,мах
132,Birke::N,birk,махигъветӏ
133,Kiefer[Baum]::N,fyrretræ,накӏкӏигъветӏ
134,Weide[Baum]::N,piletræ,рицӏцӏ
135,Weide[Baum]::N,piletræ,рицӏцӏигъветӏ
136,Tanne::N,gran,ёлка
137,Horn::N,horn,лълъар
138,Feder::N,fjer,хӏули
139,Fell::N,skind,тӏом
140,Fell::N,skind,цӏоко
141,Flügel::N,vinge,кваркьи
142,Klaue::N,klov,галъ
143,Kralle::N,klo,квачӏ
144,Kralle::N,klo,катиквачӏ
145,Schwanz::N,hale,рачӏ
146,Ei::N,æg,хоно
147,Nest::N,rede,бусен
148,Bau::N,bo,каратӏ
149,Tier::N,dyr,хӏайван
150,Herde::N,flok,рехъен
151,Herde::N,flok,рехъед
152,Kuh::N,ko,гӏака
153,Bulle::N,tyr,оц
154,Pferd::N,hest,чу
155,Schaf::N,får,чахъу
156,Schwein::N,gris,болъон
157,Hund::N,hund,гьой
158,Katze::N,kat,кету
159,Bär::N,bjørn,ци
160,Eichhörnchen::N,egern,гвангва
161,Elch::N,elg,
162,Fuchs::N,ræv,цер
163,Hase::N,hare,гӏанкӏ
164,Maus::N,mus,гӏункӏкӏ
165,Wolf::N,ulv,бацӏ
166,Vogel::N,fugl,хӏинчӏ
167,Schwarm::N,sværm,тӏел
168,Huhn::N,høne,гӏанкӏу
169,Hahn::N,hane,хӏелеко
170,Gans::N,gås,хъаз
171,Adler::N,ørn,цӏум
172,Ente::N,and,ордек
173,Eule::N,ugle,беццаруз
174,Kranich::N,trane,къункъра
175,Krähe::N,krage,гъеду
176,Kuckuck::N,gøg,гагу
177,Schwan::N,svane,хӏанкъва
178,Fisch::N,fisk,ччугӏа
179,Barsch::N,aborre,окунь
180,Hecht::N,gedde,щука
181,Schlange[Tier]::N,slange,борохь
182,Wurm::N,orm,хӏапара
183,Spinne::N,edderkop,хъанхъра
184,Ameise::N,myre,цӏунцӏра
185,Laus::N,lus,нацӏ
186,Mücke::N,myg,кӏкӏара
187,Fliege::N,flue,тӏутӏ
188,Schmetterling::N,sommerfugl,кӏалкӏучӏ
189,Beere::N,bær,
190,Apfel::N,æble,гӏеч
191,Pilz::N,svamp,гӏурдахӏан
192,Zwiebel::N,løg,кӏочӏопер
193,Saat::N,sæd,хьон
194,Korn::N,korn,мугь
195,Heu::N,hø,хер
196,Schale::N,skræl,хъал
197,Grube::N,grav,гвенд
198,Falle::N,fælde,къор
199,Falle::N,fælde,къотен
200,Schlinge::N,snare,кӏичӏ
201,Spur::N,spor,лъалкӏ
202,Asche::N,aske,рахъу
203,Dreck::N,snavs,гъиз
204,Dreck::N,snavs,хӏарщ
205,Eisen::N,jern,махх
206,Gold::N,guld,месед
207,Silber::N,sølv,гӏарац
208,Kohle::N,kul,тӏурччи
209,Glas::N,glas,цӏер
210,Lehm::N,ler,хӏатӏ
211,Sand::N,sand,сали
212,Mensch::N,mennesge,чи
213,Mann::N,mand,бихьинчи
214,Frau::N,kvinde,гӏадан
215,Kind::N,barn,лъимер
216,Junge::N,dreng,вас
217,Mädchen::N,pige,яс
218,Familie::N,familie,хъизан
219,Großvater::N,bedstefar,кӏудада
220,Großmutter::N,bedstemor,кӏодо
221,Eltern::N,forældre,эбел-эмен
222,Vater::N,far,эмен
223,Mutter::N,mor,эбел
224,Sohn::N,søn,вас
225,Tochter::N,datter,яс
226,Bruder::N,bror,вац
227,Schwester::N,søster,яц
228,Onkel::N,onkel,даци
229,Tante::N,tante,ада
230,Ehemann::N,ægtemand,рос
231,Ehefrau::N,hustru,чӏужу
232,Freude::N,glæde,ракӏбохи
233,Gelächter::N,latter,релъи
234,Glück::N,lykke,талихӏ
235,Glück::N,lykke,талихӏ-рохел
236,Kummer::N,sorg,хӏалкъай
237,Wunsch::N,ønske,къасд
238,Lust::N,lyst,гъира
239,Geist::N,ånd,чӏанкӏ
240,Geist::N,ånd,рухӏ-жан
241,Gedanke::N,tanke,пикру
242,Gedächtnis::N,hukommelse,
243,Verstand::N,forstand,лумалъи
244,Verstand::N,forstand,цӏодорлъи
245,Sinn::N,mening,магӏна
246,Sinn::N,betydning,магӏна
247,Grund::N,grund,багьана
248,Wahrheit::N,sandhed,ритӏухълъи
249,Gespräch::N,samtale,накъит
250,Märchen::N,eventyr,маргьа
251,Erzählung::N,fortælling,къиса
252,Nachricht::N,efterretning,хабар
253,Neuigkeit::N,nyhed,хабар-гӏазаб
254,Name::N,navn,цӏар
255,Rätsel::N,gåde,бицанкӏо
256,Rede::N,tale,речь
257,Rede::N,tale,калам
258,Sprache::N,sprog,мацӏ
259,Stimme::N,stemme,гьаракь
260,Wort::N,ord,рагӏи
261,Zeichen::N,tegn,ишара
262,Zeichen::N,tegn,гӏаламат
263,Ruf::N,råb,ахӏи
264,Lärm::N,larm,хъуй
265,Lärm::N,larm,хъуди
266,Laut::N,lyd,гьаракь
267,Laut::N,lyd,сас
268,Ton::N,tone,
269,Lied::N,sang,кечӏ
270,Ruhe::N,ro,рахӏат
271,Ruhe::N,hvile,рахӏат
272,Leute::N,folk,гӏадамал
273,Leute::N,mennesker,гӏадамал
274,Volk::N,folk,халкъ
275,Arbeit::N,arbejde,хӏалтӏи
276,Gast::N,gæst,гьобол
277,Geschenk::N,gave,сайигъат
278,Spiel::N,leg,хӏай
279,Spiel::N,leg,расанди
280,Gesellschaft::N,selskab,жамагӏат
281,Hilfe::N,hjælp,кумек
282,Freund::N,ven,гьудул
283,Kamerad::N,kammerat,гьалмагъ
284,Angelegenheit::N,sag,къваригӏел
285,Angelegenheit::N,anliggende,къваригӏел
286,Anzahl::N,antal,рикӏкӏен
287,Art::N,art,жинс
288,Stück::N,stykke,кесек
289,Teil::N,del,пай
290,Hälfte::N,halvdel,бащдаб
291,Kreis::N,cirkel,гор
292,Kreuz::N,kors,хъанч
293,Kreuz::N,kryds,хъанч
294,Linie::N,linie,мухъ
295,Strich::N,streg,хӏучч
296,Abstand::N,afstand,манзил
297,Entfernung::N,afstand,манзил
298,Gegend::N,egn,рахъ
299,Platz::N,plads,бакӏ
300,Ort::N,sted,бакӏ
301,Seite::N,side,рахъ
302,Mitte::N,midte,бакьулъбакӏ
303,Gegenstand::N,genstand,жо
304,Sache::N,sag,жо
305,Rand::N,rand,мицӏир
306,Kante::N,kant,рагӏал
307,Kante::N,kant,рагӏа-ракьан
308,Ecke::N,hjørne,цили
309,Spitze::N,spids,тӏогь
310,Ende::N,ende,кӏал
311,Loch::N,hul,каратӏ
312,Winkel::N,vinkel,
313,Muster::N,mønster,накъиш
314,Größe::N,størrelse,кӏодо́лъи
315,Länge::N,længde,халалъи
316,Höhe::N,højde,борхалъи
317,Gewicht::N,vægt,бакӏлъи
318,Menge::N,mængde,
319,Haufen::N,bunke,гъуни
320,Reihe::N,række,ирга́
321,Boot::N,båd,раса
322,Ruder::N,åre,раххан
323,Schlitten::N,kælk,чанагъ
324,Schlitten::N,slæde,чанагъ
325,Ski::N,ski,лыжаби
326,Lagerfeuer::N,lejrbål,цӏа
327,Last::N,last,бакӏлъи
328,Last::N,byrde,бакӏлъи
329,Gang::N,gang,хьвади
330,Gang::N,gang,хьвада-чӏвади
331,Schritt::N,skridt,гали
332,Norden::N,nord,шимал
333,Süden::N,syd,юг
334,Süden::N,syd,къибла
335,Westen::N,vest,гъарб
336,Westen::N,vest,магъриб
337,Osten::N,øst,шаркъ
338,Osten::N,øst,машрикъ
339,Holz::N,træ,цӏул
340,Brett::N,bræt,хъарщи
341,Platte::N,plade,къоно
342,Stütze::N,støtte,
343,Stange::N,stang,гӏер
344,Stock::N,stok,тӏил
345,Stab::N,stav,гӏер
346,Rohr::N,rør,турба
347,Haus::N,hus,ригь
348,Haus::N,hus,рукъзал
349,Heim::N,hjem,рукъ
350,Ofen::N,ovn,печь
351,Fußboden::N,gulv,чӏабар
352,Tisch::N,bord,стол
353,Stuhl::N,stol,бакӏу
354,Wiege::N,vugge,кини
355,Bett::N,seng,кровать
356,Regal::N,reol,хъарщи
357,Kiste::N,kasse,ящик
358,Kiste::N,kasse,тӏалагъуд
359,Fenster::N,vindue,гордо
360,Tür::N,dør,нуцӏа
361,Tor::N,port,каву
362,Zaun::N,stakit,раци
363,Dach::N,tag,тӏох
364,Leiter::N,stige,мали
365,Besen::N,kost,жул
366,Spaten::N,spade,бел
367,Schaufel::N,skovl,раххан
368,Gabel::N,gaffel,гӏучӏ
369,Löffel::N,ske,гъуд
370,Messer::N,kniv,нус
371,Nagel::N,søm,магӏ
372,Netz::N,net,гьин
373,Haken::N,krog,гъанцӏа
374,Griff::N,tag,гӏоркь
375,Griff::N,håndtag,гӏоркь
376,Schloss::N,lås,кӏулал
377,Bild::N,billede,сурат
378,Figur::N,figur,
379,Puppe::N,dukke,нани
380,Beutel::N,pose,таргьа
381,Bündel::N,bylt,къай
382,Bündel::N,bundt,къай
383,Tasche::N,taske,сумка
384,Tasche::N,taske,къвачӏа
385,Eimer::N,spand,ведро
386,Deckel::N,låg,тӏалъел
387,Deckel::N,låg,дадитӏалъел
388,Geschirr::N,husgeråd,цӏарагӏ
389,Sack::N,sæk,хъап
390,Sack::N,sæk,къандалъо
391,Tasse::N,kop,чашка
392,Topf::N,gryde,хьаг
393,Kessel::N,kedel,хьаг
