,Concept_ID,cs,kk
0,Auge::N,oko,көз
1,Ohr::N,ucho,құлақ
2,Nase::N,nos,мұрын
3,Mund::N,pusa,ауыз
4,Zahn::N,zub,тіс
5,Zunge::N,jazyk,тіл
6,Lippe::N,ret,ерін
7,Wange::N,tvář,ұрт
8,Gesicht::N,obličej,бет-аузы
9,Stirn::N,čelo,маңдай
10,Haar::N,vlas,қыл
11,Haar::N,vlasy,қыл
12,Schnurrbart::N,kníry,мұрт
13,Bart::N,vousy,сақал
14,Kinn::N,brada,иек
15,Kiefer[Anatomie]::N,čelist,жақ
16,Kehle::N,hrdlo,алқым
17,Hals::N,krk,мойын
18,Genick::N,týl,желке
19,Kopf::N,hlava,кәллә
20,Rücken::N,záda,арқа
21,Rücken::N,hřbet,арқа
22,Bauch::N,břicho,қарын
23,Nabel::N,pupek,кіндік
24,Busen::N,ňadra,омырау
25,Brust::N,prsa,кеуде
26,Schulter::N,plece,иық
27,Schulter::N,rameno,иық
28,Arm::N,ruka,қол
29,Ellenbogen::N,loket,шынтақ
30,Hand::N,ruka,қол
31,Handfläche::N,dlaň,алақан
32,Finger::N,prst,саусақ
33,Fingernagel::N,nehet,тырнақ
34,Nagel[Anatomie]::N,nehet,тырнақ
35,Zeh::N,prst u nohy,тырнақ
36,Zeh::N,prst u nohy,тұяқ
37,Fuß::N,noha,аяқ-басы
38,Ferse::N,pata,өкше
39,Ferse::N,pata,өкшелік
40,Knie::N,koleno,тізе
41,Oberschenkel::N,stehno,жамбас
42,Bein::N,noha,аяқ
43,Körper::N,tělo,дене
44,Haut::N,kůže,тері
45,Blut::N,krev,қан
46,Ader::N,céva,көктамыр
47,Ader::N,céva,күретамыр
48,Sehne::N,šlacha,сіңір
49,Knochen::N,kost,жілік
50,Gehirn::N,mozek,ми
51,Herz::N,srdce,жүрек
52,Magen::N,žaludek,асқазан
53,Leber::N,játra,бауыр
54,Atem::N,dech,леп
55,Hunger::N,hlad,ашаршылық
56,Träne::N,slza,жас
57,Geschmack::N,vkus,дәм
58,Geschmack::N,vkus,татым
59,Geschmack::N,vkus,талғам
60,Geruch::N,vůně,иіс
61,Geruch::N,zápach,иіс
62,Schlaf::N,spánek,ұйқы
63,Schlaf::N,spánek,ұйықтау
64,Traum::N,sen,түс
65,Himmel::N,nebe,аспан
66,Himmel::N,nebe,көқ
67,Himmel::N,nebe,таңдай
68,Sonne::N,slunce,күн
69,Mond::N,měsíc,ай
70,Stern::N,hvězda,жұлдыз
71,Luft::N,vzduch,әуе
72,Wind::N,vítr,жел
73,Welle::N,vlna,толқын
74,Wasser::N,voda,су
75,Stein::N,kámen,тас
76,Boden::N,půda,қыртыс
77,Erde::N,země,топырақ
78,Staub::N,prach,шаң
