,Concept_ID,ro,ar
0,Auge::N,ochi,عين
1,Ohr::N,ureche,أذن
2,Nase::N,nas,أنف
3,Mund::N,gură,فم
4,Zahn::N,dinte,سن
5,Zunge::N,limbă,لسان
6,Lippe::N,buză,شفة
7,Wange::N,bucă,خد
8,Wange::N,bucă,وجنة
9,Wange::N,obraz,خد
10,Wange::N,obraz,وجنة
11,Gesicht::N,față,وجه
12,Gesicht::N,figură,وجه
13,Stirn::N,frunte,جبين
14,Haar::N,păr,شعر
15,Schnurrbart::N,mustață,شارب
16,Bart::N,barbă,لحية
17,Kinn::N,bărbie,ذقن
18,Kiefer[Anatomie]::N,falcă,فك
19,Kehle::N,beregată,حلق
20,Hals::N,gât,عنق
21,Hals::N,gât,رقبة
22,Genick::N,ceafă,قفا
23,Kopf::N,cap,رأس
24,Rücken::N,dos,ظهر
25,Rücken::N,spate,ظهر
26,Rücken::N,spinare,ظهر
27,Bauch::N,burtă,بطن
28,Bauch::N,pântece,بطن
29,Nabel::N,buric,سرة
30,Busen::N,sân,ثدي
31,Brust::N,piept,صدر
32,Schulter::N,umăr,كتف
33,Schulter::N,spate,كتف
34,Arm::N,braț,ذراع
35,Ellenbogen::N,cot,كوع
36,Hand::N,mână,يد
37,Handfläche::N,palmă,كف
38,Finger::N,deget,إصبع
39,Fingernagel::N,unghie,ظفر
40,Nagel[Anatomie]::N,unghie,ظفر
41,Zeh::N,deget de la picior,إصبع القدم
42,Fuß::N,picior,قدم
43,Ferse::N,călcâi,كعب
44,Knie::N,genunchi,ركبة
45,Oberschenkel::N,coapsă,فخذ
46,Bein::N,picior,ساق
47,Körper::N,corp,جسم
48,Haut::N,piele,بشرة
49,Blut::N,sânge,دم
50,Ader::N,vână,عرق
51,Ader::N,arteră,عرق
52,Sehne::N,tendon,طنب
53,Knochen::N,os,عظم
54,Gehirn::N,creier,دماغ
55,Herz::N,inimă,قلب
56,Magen::N,stomac,معدة
57,Leber::N,ficat,كبد
58,Atem::N,răsuflare,نفس
59,Atem::N,respirație,نفس
60,Hunger::N,foame,جوع
61,Träne::N,lacrimă,دمعة
62,Geschmack::N,gust,طعم
