,Concept_ID,ga,udm
0,Auge::N,súil,син
1,Ohr::N,cluas,пель
2,Nase::N,soc,ныр
3,Mund::N,béal,ым
4,Zahn::N,fiacail,пинь
5,Zunge::N,teanga,кыл
6,Lippe::N,liopa,ымдур
7,Wange::N,grua,бам
8,Wange::N,leiceann,бам
9,Gesicht::N,éadan,ымныр
10,Gesicht::N,aghaidh,ымныр
11,Stirn::N,baithis,кымес
12,Stirn::N,clár éadain,кымес
13,Haar::N,gruaig,йырси
14,Schnurrbart::N,croiméal,мыйык
15,Bart::N,féasóg,туш
16,Kinn::N,smig,ангес
17,Kiefer[Anatomie]::N,giall,ан
18,Kiefer[Anatomie]::N,giall,анлы
19,Kehle::N,scornach,гульым
20,Hals::N,muinéal,чырты
21,Genick::N,baic,йырбер
22,Kopf::N,ceann,йыр
23,Rücken::N,droim,мыш
24,Bauch::N,bolg,кӧт
25,Nabel::N,imleacán,гогы
26,Busen::N,cíoch,ноны
27,Brust::N,brollach,мӧля
28,Schulter::N,gualainn,пельпум
29,Arm::N,lámh,суй
30,Ellenbogen::N,uillinn,гырпум
31,Hand::N,lámh,ки
32,Handfläche::N,bos,ки пыдэс
33,Handfläche::N,bos,кырым пыдэс
34,Finger::N,méar,чиньы
35,Fingernagel::N,ionga,гижы
36,Fingernagel::N,ionga,гиждӥнь
37,Nagel[Anatomie]::N,ionga,гижы
38,Zeh::N,ladhar,пыдчиньы
39,Fuß::N,cos,пыд
40,Fuß::N,troigh,пыд
41,Ferse::N,sáil,пыдбер
42,Knie::N,glúin,пыдес
43,Oberschenkel::N,ceathrú,макес
44,Bein::N,cos,пыд
45,Körper::N,corp,мугор
46,Körper::N,corp,вылтыр
47,Körper::N,colainn,мугор
48,Körper::N,colainn,вылтыр
49,Haut::N,cneas,ку
50,Haut::N,craiceann,ку
51,Blut::N,fuil,вир
52,Sehne::N,teannán,вуж
53,Sehne::N,féitheog,вуж
54,Knochen::N,cnámh,лы
55,Gehirn::N,inchinn,вим
56,Herz::N,croí,сюлэм
57,Magen::N,bolg,ӝуш
58,Magen::N,goile,ӝуш
59,Leber::N,ae,мус
60,Atem::N,anáil,лул
61,Atem::N,anáil,шокан
62,Hunger::N,ocras,кӧтсюман
63,Träne::N,deoir,синкыли
64,Geschmack::N,blas,шӧм
65,Geruch::N,boladh,зын
66,Schlaf::N,suan,вӧт
67,Schlaf::N,codladh,вӧт
68,Traum::N,taibhreamh,уйвӧт
69,Himmel::N,spéir,ин
70,Sonne::N,grian,шунды
71,Mond::N,ré,толэзь
72,Mond::N,gealach,толэзь
73,Stern::N,rinn,кизили
74,Stern::N,réalta,кизили
75,Luft::N,aer,омыр
76,Wind::N,gaoth,тӧл
77,Welle::N,tonn,тулкым
78,Wasser::N,uisce,ву
79,Stein::N,cloch,из
80,Boden::N,talamh,музъем
81,Erde::N,cré,му
82,Erde::N,ithir,му
83,Staub::N,dusta,пыль
84,Staub::N,deannach,пыль
85,Rauch::N,toit,ӵын
86,Rauch::N,deatach,ӵын
87,Funke::N,drithle,гизьы
88,Feuer::N,tine,тыл
89,Licht::N,solas,тыл
90,Schatten::N,scáth,вужер
91,Wetter::N,aimsir,куазь
92,Nebel::N,ceo,бус
93,Wolke::N,néal,пилем
94,Wolke::N,scamall,пилем
95,Regen::N,báisteach,зор
96,Regen::N,fearthainn,зор
97,Schnee::N,sneachta,лымы
98,Eis::N,oighear,йӧ
99,Frost::N,sioc,кезьыт
100,Kälte::N,fuacht,кезьыт
101,Hitze::N,teas,пӧсь
102,Hitze::N,teocht,пӧсь
103,Raureif::N,sioc bán,гӧр
104,Regenbogen::N,stua ceatha,вуюись
105,Regenbogen::N,bogha báistí,вуюись
106,Donner::N,toirneach,гудыри
107,Strömung::N,sruth,бызён
108,Tropfen::N,deoir,шапык
109,Schaum::N,cúr,шукы
110,Schmutz::N,salachar,нӧд
111,Schmutz::N,salachar,дэри
112,See::N,loch,ты
113,Sumpf::N,portach,нюр
114,Moor::N,caorán,нюр
115,Moor::N,móinteán,нюр
116,Wiese::N,cluain,возь
117,Wiese::N,cluain,возьвыл
118,Wiese::N,móinéar,возь
119,Wiese::N,móinéar,возьвыл
120,Wald::N,coill,сик
121,Wald::N,coill,нюлэс
122,Wald::N,foraois,сик
123,Wald::N,foraois,нюлэс
124,Hügel::N,ard,выр
125,Hügel::N,ard,вырйыл
126,Anhöhe::N,ard,выр
127,Anhöhe::N,ard,вырйыл
128,Anhöhe::N,ardán,выр
129,Anhöhe::N,ardán,вырйыл
130,Berg::N,sliabh,гурезь
131,Gipfel::N,barr,йыл
132,Gipfel::N,mullach,йыл
133,Höhle::N,uaimh,гу
134,Höhle::N,pluais,гу
135,Abhang::N,fána,бам
136,Quelle::N,foinse,ошмес
137,Bach::N,sruthán,пичи шур
138,Fluss::N,abhainn,шур
139,Ufer::N,bruach,ярдур
140,Küste::N,cósta,вудур
141,Küste::N,cladach,вудур
142,Festland::N,míntír,мувыр
143,Meer::N,muir,зарезь
144,Meer::N,farraige,зарезь
145,Bucht::N,bá,вукож
146,Bucht::N,cuan,вукож
147,Insel::N,inis,вумуӵ
148,Insel::N,inis,шормуӵ
149,Insel::N,oileán,вумуӵ
150,Insel::N,oileán,шормуӵ
151,Blume::N,bláth,сяська
152,Gras::N,féar,турын
153,Wurzel::N,rúta,выжы
154,Wurzel::N,fréamh,выжы
155,Baum::N,crann,пу
156,Stamm::N,stoc,модос
157,Stamm::N,tamhan,модос
158,Rinde::N,coirt,сул
159,Rinde::N,craiceann,сул
160,Ast::N,géag,ул
161,Zweig::N,géag,вай
162,Zweig::N,craobh,вай
163,Blatt::N,duille,куар
164,Blatt::N,duilleog,куар
165,Birke::N,beith,кызьпу
166,Birke::N,crann beithe,кызьпу
167,Kiefer[Baum]::N,péine,пужым
168,Weide[Baum]::N,saileach,бадьпу
169,Tanne::N,giúis,кыз
170,Horn::N,adharc,сюр
171,Feder::N,cleite,тылы
172,Fell::N,clúmh,ку
173,Flügel::N,eite,бурд
174,Flügel::N,sciathán,бурд
175,Klaue::N,crúb,гижы
