,Concept_ID,bg,da
0,Auge::N,око,øje
1,Ohr::N,ухо,øre
2,Nase::N,нос,næse
3,Mund::N,уста,mund
4,Zahn::N,зъб,tand
5,Zunge::N,език,tunge
6,Lippe::N,устна,læbe
7,Wange::N,буза,kind
8,Gesicht::N,лице,ansigt
9,Gesicht::N,образ,ansigt
10,Stirn::N,чело,pande
11,Haar::N,коса,hår
12,Haar::N,косъм,hår
13,Schnurrbart::N,мустаци,overskæg
14,Bart::N,брада,skæg
15,Kinn::N,брада,hage
16,Kinn::N,брадичка,hage
17,Kiefer[Anatomie]::N,челюст,kæbe
18,Kehle::N,гърло,strube
19,Hals::N,врат,hals
20,Genick::N,тил,nakke
21,Kopf::N,глава,hoved
22,Rücken::N,гръб,ryg
23,Bauch::N,корем,mave
24,Nabel::N,пъп,navle
25,Busen::N,бозка,barm
26,Brust::N,гръд,bryst
27,Schulter::N,рамо,skulder
28,Schulter::N,плещи,skulder
29,Arm::N,ръка,arm
30,Ellenbogen::N,лакът,albue
31,Hand::N,ръка,hånd
32,Hand::N,китка,hånd
33,Handfläche::N,длан,håndflade
34,Finger::N,пръст,finger
35,Fingernagel::N,нокът,fingernegl
36,Nagel[Anatomie]::N,нокът,negl
37,Zeh::N,пръст на крак,tå
38,Fuß::N,крак,fod
39,Fuß::N,нога,fod
40,Ferse::N,пета,hæl
41,Knie::N,коляно,knæ
42,Oberschenkel::N,бедро,lår
43,Bein::N,крак,ben
44,Bein::N,нога,ben
45,Körper::N,тяло,krop
46,Körper::N,тяло,legeme
47,Haut::N,кожа,hud
48,Blut::N,кръв,blod
49,Ader::N,вена,åre
50,Ader::N,артерия,åre
51,Sehne::N,жила,sene
52,Sehne::N,сухожилие,sene
53,Knochen::N,кост,ben
54,Gehirn::N,мозък,hjerne
55,Herz::N,сърце,hjerte
56,Magen::N,стомах,mave
57,Leber::N,черен дроб,lever
58,Atem::N,дишане,ånde
59,Hunger::N,глад,sult
60,Träne::N,сълза,tåre
61,Geschmack::N,вкус,smag
62,Geruch::N,миризма,lugt
63,Schlaf::N,сън,søvn
64,Traum::N,сън,drøm
65,Himmel::N,небе,himmel
66,Sonne::N,слънце,sol
67,Mond::N,луна,måne
68,Mond::N,месец,måne
69,Stern::N,звезда,stjerne
70,Luft::N,въздух,luft
71,Wind::N,вятър,vind
72,Welle::N,вълна,bølge
73,Wasser::N,вода,vand
74,Stein::N,камък,sten
75,Boden::N,земя,jord
76,Boden::N,почва,jord
77,Erde::N,земя,jord
78,Erde::N,почва,jord
79,Staub::N,прах,støv
80,Rauch::N,дим,røg
81,Rauch::N,пушек,røg
82,Funke::N,искра,gnist
83,Feuer::N,огън,ild
84,Licht::N,светлина,lys
85,Schatten::N,сянка,skygge
86,Wetter::N,време,vejr
87,Nebel::N,мъгла,tåge
88,Wolke::N,облак,sky
89,Regen::N,дъжд,regn
