,Concept_ID,sk,mn
0,Auge::N,oko,нүд
1,Ohr::N,ucho,чих
2,Nase::N,nos,хамар
3,Mund::N,ústa,ам
4,Zahn::N,zub,шүд
5,Zunge::N,jazyk,хэл
6,Lippe::N,pera,уруул
7,Wange::N,líce,хацар
8,Gesicht::N,tvár,царай
9,Gesicht::N,tvár,нүүр
10,Gesicht::N,obličaj,царай
11,Gesicht::N,obličaj,нүүр
12,Stirn::N,čelo,дух
13,Haar::N,vlas,үс
14,Schnurrbart::N,fúzy,дээд сахал
15,Schnurrbart::N,fúzy,живэр сахал
16,Bart::N,brada,сахал
17,Kinn::N,brada,эрүү
18,Kiefer[Anatomie]::N,čeľusť,эрүү
19,Kehle::N,hrdlo,хоолой
20,Hals::N,krk,хүзүү
21,Genick::N,väzy,шил
22,Genick::N,väzy,хүзүү
23,Kopf::N,hlava,толгой
24,Rücken::N,chrbát,ар
25,Rücken::N,chrbát,нуруу
26,Bauch::N,brucho,хэвлий
27,Bauch::N,brucho,гэдэс
28,Nabel::N,pupok,хүйс
29,Busen::N,prsia,хөх
30,Brust::N,hruď,цээж
31,Schulter::N,plece,мөр
32,Schulter::N,plece,бугалга
33,Arm::N,rameno,гар
34,Ellenbogen::N,lakeť,тохой
35,Hand::N,ruka,гар
36,Hand::N,ruka,алга
37,Handfläche::N,dlaň,алга
38,Finger::N,prst,хуруу
39,Fingernagel::N,necht,хурууны хумс
40,Nagel[Anatomie]::N,necht,хумс
41,Zeh::N,prst na nohe,хуруу
42,Fuß::N,noha,хөл
43,Ferse::N,päta,өсгий
44,Knie::N,koleno,өвдөг
45,Oberschenkel::N,stehno,гуя
46,Bein::N,noha,хөл
47,Körper::N,telo,бие
48,Haut::N,koža,арьс
49,Blut::N,krv,цус
50,Ader::N,žila,судас
51,Sehne::N,šľacha,бүлх
52,Sehne::N,šľacha,шандас
53,Knochen::N,kosť,яс
54,Gehirn::N,mozog,тархи
55,Herz::N,srdce,зүрх
56,Magen::N,žalúdok,ходоод
57,Leber::N,pečeň,элэг
58,Atem::N,dych,амьсгаа
59,Hunger::N,hlad,өлсгөлөн
60,Träne::N,slza,нулимс
61,Geschmack::N,chuť,амт
62,Geruch::N,pach,үнэр
63,Schlaf::N,spánok,нойр
64,Traum::N,sen,зүүд
65,Himmel::N,nebo,тэнгэр
66,Himmel::N,nebo,огторгуй
67,Sonne::N,slnko,нар
68,Mond::N,mesiac,сар
69,Stern::N,hviezda,од
70,Luft::N,vzduch,агаар
71,Wind::N,vietor,салхи
72,Welle::N,vlna,долгио
73,Welle::N,vlna,давалгаа
74,Wasser::N,voda,ус
75,Stein::N,kameň,чулуу
76,Boden::N,zem,хөрс
77,Boden::N,pôda,хөрс
78,Erde::N,zem,газар
79,Erde::N,zem,шороо
80,Staub::N,prach,тоос
81,Rauch::N,dym,утаа
82,Funke::N,iskra,оч
83,Feuer::N,oheň,гал
84,Licht::N,svetlo,гэрэл
85,Licht::N,svetlo,гэгээ
86,Schatten::N,tieň,сүүдэр
87,Wetter::N,počasie,тэнгэр
88,Wetter::N,počasie,цаг уур
89,Nebel::N,hmla,будан
90,Wolke::N,oblak,үүл
91,Wolke::N,mračno,үүл
92,Regen::N,dážď,бороо
93,Schnee::N,sneh,цас
94,Eis::N,ľad,мөс
95,Frost::N,mráz,хүйт
96,Kälte::N,zima,хүйт
97,Kälte::N,chlad,хүйт
98,Hitze::N,horúčava,халуун
99,Raureif::N,srieň,цан
100,Raureif::N,srieň,хяруу
101,Raureif::N,inovať,цан
102,Raureif::N,inovať,хяруу
103,Regenbogen::N,dúha,солонго
104,Donner::N,hrom,тэнгэрийн дуу
105,Strömung::N,prúdenie,урсгал
106,Tropfen::N,kvapka,дусал
107,Schaum::N,pena,хөөс
108,Schmutz::N,špina,хир
109,Schmutz::N,špina,шавхай
110,Schmutz::N,nečistota,хир
111,Schmutz::N,nečistota,шавхай
112,See::N,jazero,нуур
113,Sumpf::N,bahno,намаг
114,Sumpf::N,bahno,балчиг
115,Moor::N,močiar,хүлрийн намаг
116,Wiese::N,lúka,нуга
117,Wald::N,les,ой
118,Wald::N,hora,ой
